date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,4.1,4.41,4.1,4.34,178060.0
2021-03-12,4.06,4.15,4.0,4.06,28706.0
2021-03-11,4.14,4.1592,4.015,4.06,29584.0
2021-03-10,4.0,4.14,3.93,4.05,15642.0
2021-03-09,3.91,3.95,3.81,3.94,67472.0
2021-03-08,3.87,3.9729,3.8006,3.83,23091.0
2021-03-05,4.04,4.15,3.85,3.93,161826.0
2021-03-04,4.05,4.15,3.99,4.03,29969.0
2021-03-03,4.0001,4.12,4.0,4.095,14132.0
2021-03-02,4.06,4.09,4.04,4.06,17980.0
2021-03-01,4.19,4.22,4.03,4.09,16243.0
2021-02-26,4.05,4.15,3.87,4.15,38870.0
2021-02-25,4.19,4.2387,4.05,4.1,46850.0
2021-02-24,4.28,4.28,4.13,4.25,28035.0
2021-02-23,4.29,4.3011,4.19,4.25,9500.0
2021-02-22,4.35,4.35,4.2,4.26,29445.0
2021-02-19,4.32,4.33,4.21,4.28,11647.0
2021-02-18,4.42,4.445,4.15,4.2,42941.0
2021-02-17,4.35,4.5,4.35,4.5,65108.0
2021-02-16,4.4,4.5184,4.33,4.34,111520.0
2021-02-12,4.4,4.45,4.3279,4.42,20418.0
2021-02-11,4.47,4.47,4.28,4.36,20592.0
2021-02-10,4.45,4.5,4.3,4.43,35003.0
2021-02-09,4.19,4.49,4.19,4.45,47299.0
2021-02-08,4.24,4.385,4.2207,4.25,46495.0
2021-02-05,4.25,4.35,4.11,4.22,101654.0
2021-02-04,4.33,4.48,4.15,4.15,26577.0
2021-02-03,4.5042,4.6451,4.3114,4.34,32937.0
2021-02-02,4.39,4.5565,4.2509,4.35,30182.0
2021-02-01,4.22,4.3456,4.2003,4.28,32679.0
2021-01-29,4.3,4.4515,4.15,4.19,29151.0
2021-01-28,4.28,4.4188,4.19,4.22,17956.0
2021-01-27,4.43,4.47,4.05,4.22,95520.0
2021-01-26,4.59,4.6299,4.44,4.44,94161.0
2021-01-25,4.6,4.64,4.43,4.58,35022.0
2021-01-22,4.64,4.85,4.56,4.58,27877.0
2021-01-21,4.89,5.0,4.65,4.76,33429.0
2021-01-20,5.05,5.1739,4.8219,4.95,48302.0
2021-01-19,4.55,5.15,4.5,4.98,173666.0
2021-01-15,4.86,4.8736,4.45,4.45,146237.0
2021-01-14,4.7,4.9499,4.59,4.835,18369.0
2021-01-13,4.78,4.85,4.6692,4.7065,12005.0
2021-01-12,4.42,4.815,4.3145,4.7773,60994.0
2021-01-11,4.37,4.537,4.33,4.35,54245.0
2021-01-08,4.54,4.6,4.4,4.43,17002.0
2021-01-07,4.53,4.7,4.42,4.52,65175.0
2021-01-06,4.45,4.5599,4.37,4.39,29638.0
2021-01-05,4.41,4.49,4.3101,4.49,24032.0
2021-01-04,4.51,4.5459,4.32,4.35,33157.0
2020-12-31,4.45,4.61,4.45,4.51,13184.0
2020-12-30,4.38,4.61,4.3601,4.495,35081.0
2020-12-29,4.41,4.4911,4.2,4.34,95723.0
2020-12-28,4.55,4.56,4.36,4.45,91917.0
2020-12-24,4.62,4.63,4.505,4.53,17349.0
2020-12-23,4.55,4.67,4.42,4.67,9750.0
2020-12-22,4.68,4.68,4.489,4.53,26817.0
2020-12-21,4.65,4.76,4.57,4.62,38198.0
2020-12-18,4.71,4.8,4.62,4.64,44245.0
2020-12-17,4.66,4.7,4.56,4.67,8406.0
2020-12-16,4.58,4.8,4.47,4.64,113102.0
2020-12-15,4.5,4.58,4.39,4.58,92323.0
2020-12-14,4.92,5.09,4.35,4.3744,300983.0
2020-12-11,4.97,5.09,4.9,4.99,43103.0
2020-12-10,4.95,5.12,4.83,5.09,54572.0
2020-12-09,4.91,5.09,4.76,4.87,95978.0
2020-12-08,4.71,4.92,4.71,4.84,26033.0
2020-12-07,4.61,4.73,4.452,4.66,20186.0
2020-12-04,4.84,4.8462,4.55,4.65,31095.0
2020-12-03,4.6,4.96,4.6,4.83,60838.0
