date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,29.25,29.25,29.25,29.25,0.0
2021-03-12,29.25,29.25,29.25,29.25,0.0
2021-03-11,29.25,29.25,29.25,29.25,8.0
2021-03-10,29.25,29.25,29.25,29.25,141.0
2021-03-09,29.25,29.25,29.25,29.25,0.0
2021-03-08,29.25,29.25,29.25,29.25,3.0
2021-03-05,29.25,29.25,29.25,29.25,0.0
2021-03-04,29.25,29.25,29.25,29.25,401.0
2021-03-03,28.8,28.8,28.8,28.8,208.0
2021-03-02,29.2496,29.2496,29.2496,29.2496,5.0
2021-03-01,29.2496,29.2496,29.2496,29.2496,1.0
2021-02-26,29.2494,29.2496,29.2484,29.2496,405.0
2021-02-25,28.5401,28.5401,28.5401,28.5401,2.0
2021-02-24,28.5401,28.5401,28.5401,28.5401,572.0
2021-02-23,29.7,29.7,29.7,29.7,107.0
2021-02-22,29.7,29.7,29.7,29.7,0.0
2021-02-19,28.79,29.7,28.79,29.7,298.0
2021-02-18,30.7,30.7,30.7,30.7,2.0
2021-02-17,30.7,30.7,30.7,30.7,161.0
2021-02-16,28.61,28.75,28.61,28.7499,1015.0
2021-02-12,28.61,28.61,28.61,28.61,201.0
2021-02-11,28.98,28.98,28.98,28.98,126.0
2021-02-10,29.01,29.125,28.93,29.125,1060.0
2021-02-09,29.155,29.155,28.93,29.0,337.0
2021-02-08,29.99,30.227,25.29,29.29,43991.0
2021-02-05,29.8,29.8,29.8,29.8,10.0
2021-02-04,29.8,29.8,29.8,29.8,0.0
2021-02-03,29.8,29.8,29.8,29.8,0.0
2021-02-02,29.8,29.8,29.8,29.8,20.0
2021-02-01,29.8,29.8,29.8,29.8,247.0
2021-01-29,31.0,31.0,31.0,31.0,0.0
2021-01-28,31.0,31.0,31.0,31.0,100.0
2021-01-27,29.735,29.735,29.735,29.735,0.0
2021-01-26,29.735,29.735,29.735,29.735,20.0
2021-01-25,29.735,29.735,29.735,29.735,30.0
2021-01-22,29.735,29.735,29.735,29.735,0.0
2021-01-21,29.735,29.735,29.735,29.735,0.0
2021-01-20,29.735,29.735,29.735,29.735,20.0
2021-01-19,29.735,29.735,29.735,29.735,0.0
2021-01-15,29.735,29.735,29.735,29.735,100.0
2021-01-14,29.58,29.58,29.58,29.58,27.0
2021-01-13,29.58,29.58,29.58,29.58,0.0
2021-01-12,29.58,29.58,29.58,29.58,0.0
2021-01-11,29.58,29.58,29.58,29.58,0.0
2021-01-08,29.58,29.58,29.58,29.58,0.0
2021-01-07,29.58,29.58,29.58,29.58,0.0
2021-01-06,29.58,29.58,29.58,29.58,0.0
2021-01-05,29.58,29.58,29.58,29.58,306.0
2021-01-04,30.22,30.22,30.22,30.22,1.0
2020-12-31,30.25,30.26,30.1033,30.22,1016.0
2020-12-30,29.4866,29.4866,29.4866,29.4866,20.0
2020-12-29,29.4866,29.4866,29.4866,29.4866,0.0
2020-12-28,29.34,29.4866,29.34,29.4866,200.0
2020-12-24,29.61,29.61,29.61,29.61,0.0
2020-12-23,29.61,29.61,29.61,29.61,100.0
2020-12-22,29.8178,29.8178,29.8178,29.8178,0.0
2020-12-21,29.8178,29.8178,29.8178,29.8178,0.0
2020-12-18,29.8178,29.8178,29.8178,29.8178,356.0
2020-12-17,29.5,29.5,29.5,29.5,0.0
2020-12-16,29.5,29.5,29.5,29.5,40.0
2020-12-15,29.5,29.5,29.5,29.5,0.0
2020-12-14,29.5,29.5,29.5,29.5,0.0
2020-12-11,29.5,29.5,29.5,29.5,0.0
2020-12-10,29.5,29.5,29.5,29.5,0.0
2020-12-09,29.375,29.5,29.375,29.5,203.0
2020-12-08,29.9,29.9,29.9,29.9,480.0
2020-12-07,29.35,29.35,29.35,29.35,0.0
2020-12-04,29.35,29.35,29.35,29.35,100.0
2020-12-03,29.5,29.5,29.5,29.5,154.0
2020-12-02,29.5,29.5,29.5,29.5,0.0
2020-12-01,29.5,29.5,29.5,29.5,245.0
2020-11-30,29.25,29.25,29.25,29.25,0.0
2020-11-27,29.25,29.25,29.25,29.25,0.0
2020-11-25,29.25,29.55,29.25,29.25,627.0
2020-11-24,29.091,29.091,29.091,29.091,0.0
2020-11-23,28.99,29.091,28.99,29.091,2100.0
2020-11-20,29.93,29.93,29.93,29.93,0.0
2020-11-19,29.93,29.93,29.93,29.93,50.0
2020-11-18,29.93,29.93,29.93,29.93,0.0
2020-11-17,29.93,29.93,29.93,29.93,0.0
2020-11-16,29.93,29.93,29.93,29.93,0.0
2020-11-13,29.93,29.93,29.93,29.93,0.0
2020-11-12,29.98,29.98,29.93,29.93,820.0
2020-11-11,29.95,29.95,29.95,29.95,0.0
2020-11-10,29.95,29.95,29.95,29.95,20.0
2020-11-09,29.94,29.95,29.94,29.95,354.0
2020-11-06,28.9915,28.9915,28.9915,28.9915,0.0
2020-11-05,28.9915,28.9915,28.9915,28.9915,0.0
2020-11-04,29.2299,29.23,28.9915,28.9915,800.0
2020-11-03,28.5,28.5,28.5,28.5,278.0
2020-11-02,27.57,27.57,27.57,27.57,0.0
2020-10-30,27.57,27.57,27.57,27.57,0.0
2020-10-29,27.57,27.57,27.57,27.57,200.0
2020-10-28,28.54,28.54,28.54,28.54,0.0
2020-10-27,28.54,28.54,28.54,28.54,0.0
2020-10-26,28.54,28.54,28.54,28.54,1.0
2020-10-23,28.54,28.54,28.54,28.54,104.0
2020-10-22,28.54,28.54,28.54,28.54,155.0
2020-10-21,27.5,27.5,27.5,27.5,925.0
2020-10-20,28.58,28.58,27.5,27.5,925.0
2020-10-19,27.98,28.64,27.98,28.64,1471.0
2020-10-16,27.36,27.36,27.36,27.36,98.0
2020-10-15,27.36,27.36,27.36,27.36,99.0
2020-10-14,27.36,27.36,27.36,27.36,1.0
2020-10-13,27.36,27.36,27.36,27.36,345.0
2020-10-12,27.5,27.62,27.25,27.25,1300.0
2020-10-09,28.16,28.59,28.16,28.59,885.0
2020-10-08,28.21,28.65,28.21,28.65,440.0
2020-10-07,27.2,28.3,27.2,28.3,3604.0
2020-10-06,29.47,29.47,29.47,29.47,0.0
2020-10-05,29.47,29.47,29.47,29.47,0.0
2020-10-02,29.47,29.47,29.47,29.47,0.0
2020-10-01,29.47,29.47,29.47,29.47,90.0
2020-09-30,29.47,29.47,29.47,29.47,0.0
2020-09-29,29.47,29.47,29.47,29.47,0.0
2020-09-28,29.47,29.47,29.47,29.47,30.0
2020-09-25,29.47,29.47,29.47,29.47,0.0
2020-09-24,29.47,29.47,29.47,29.47,0.0
2020-09-23,29.47,29.47,29.47,29.47,40.0
2020-09-22,29.47,29.47,29.47,29.47,0.0
2020-09-21,29.47,29.47,29.47,29.47,100.0
2020-09-18,29.46,29.46,29.46,29.46,0.0
2020-09-17,29.46,29.46,29.46,29.46,0.0
2020-09-16,30.96,30.96,29.46,29.46,353.0
2020-09-15,30.0,30.0,30.0,30.0,10.0
2020-09-14,30.0,30.0,30.0,30.0,0.0
2020-09-11,30.0,30.0,30.0,30.0,0.0
2020-09-10,30.0,30.0,30.0,30.0,0.0
2020-09-09,30.0,30.0,30.0,30.0,20.0
2020-09-08,28.7,30.0,28.7,30.0,800.0
2020-09-04,28.8616,28.8616,28.8616,28.8616,0.0
2020-09-03,28.8616,28.8616,28.8616,28.8616,0.0
2020-09-02,28.8616,28.8616,28.8616,28.8616,130.0
2020-09-01,28.67,28.67,28.67,28.67,0.0
2020-08-31,28.67,28.67,28.67,28.67,37.0
2020-08-28,28.67,28.67,28.67,28.67,30.0
2020-08-27,28.67,28.67,28.67,28.67,0.0
2020-08-26,28.67,28.67,28.67,28.67,20.0
2020-08-25,28.67,28.67,28.67,28.67,135.0
2020-08-24,28.67,28.67,28.67,28.67,0.0
2020-08-21,28.67,28.67,28.67,28.67,99.0
2020-08-20,28.67,28.67,28.67,28.67,100.0
2020-08-19,28.6,28.6,28.6,28.6,0.0
2020-08-18,30.23,30.23,28.6,28.6,784.0
2020-08-17,28.85,28.85,28.77,28.77,205.0
2020-08-14,29.3065,29.3065,29.3065,29.3065,300.0
2020-08-13,30.7,30.7,29.24,29.24,606.0
2020-08-12,30.4721,31.5,30.4721,31.5,2630.0
2020-08-11,30.1659,30.1659,30.1659,30.1659,210.0
2020-08-10,30.1659,30.1659,30.1659,30.1659,10.0
2020-08-07,30.31,30.31,30.1659,30.1659,230.0
2020-08-06,30.0,30.0,30.0,30.0,0.0
2020-08-05,29.98,30.0,29.98,30.0,503.0
2020-08-04,29.71,29.71,29.71,29.71,100.0
2020-08-03,29.48,29.55,29.48,29.5499,532.0
2020-07-31,29.4999,29.4999,29.4999,29.4999,0.0
2020-07-30,29.46,29.5,29.4,29.4999,1520.0
2020-07-29,28.35,28.36,28.32,28.32,775.0
2020-07-28,28.28,28.28,28.28,28.28,2.0
2020-07-27,28.74,28.74,28.28,28.28,1502.0
2020-07-24,30.87,30.87,28.85,28.85,1102.0
2020-07-23,29.9001,29.9001,29.9,29.9001,1034.0
2020-07-22,30.305,30.99,29.9,30.99,901.0
2020-07-21,29.5,29.9,29.5,29.9,420.0
2020-07-20,29.27,29.27,29.27,29.27,290.0
2020-07-17,29.27,29.27,29.27,29.27,160.0
2020-07-16,29.27,29.27,29.27,29.27,0.0
2020-07-15,29.27,29.27,29.27,29.27,21.0
2020-07-14,29.27,29.27,29.27,29.27,200.0
2020-07-13,28.45,28.45,28.45,28.45,0.0
2020-07-10,28.45,28.45,28.45,28.45,0.0
2020-07-09,28.45,28.45,28.45,28.45,0.0
2020-07-08,28.45,28.45,28.45,28.45,0.0
2020-07-07,28.45,28.45,28.45,28.45,0.0
2020-07-06,28.46,28.46,28.45,28.45,219.0
2020-07-02,28.39,28.39,28.39,28.39,200.0
2020-07-01,28.31,28.31,28.31,28.31,21.0
2020-06-30,28.31,28.31,28.31,28.31,0.0
2020-06-29,28.31,28.31,28.31,28.31,102.0
2020-06-26,29.28,29.28,28.06,28.06,957.0
2020-06-25,29.32,29.32,29.32,29.32,83.0
2020-06-24,29.32,29.32,29.32,29.32,1.0
2020-06-23,29.32,29.32,29.32,29.32,0.0
2020-06-22,29.29,29.32,29.29,29.32,1000.0
2020-06-19,27.94,29.32,27.93,29.32,4701.0
2020-06-18,27.96,27.96,27.96,27.96,198.0
2020-06-17,29.6,29.6,29.6,29.6,0.0
2020-06-16,29.6,29.6,29.6,29.6,204.0
