date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,14.83,14.99,14.75,14.86,46800.0
2021-03-16,14.79,14.8807,14.7898,14.83,37108.0
2021-03-15,14.78,14.86,14.69,14.74,78508.0
2021-03-12,14.71,14.78,14.57,14.75,55769.0
2021-03-11,14.83,15.08,14.8,15.04,54317.0
2021-03-10,14.71,14.75,14.64,14.745,33449.0
2021-03-09,14.57,14.69,14.57,14.65,42414.0
2021-03-08,14.51,14.62,14.5,14.52,34093.0
2021-03-05,14.43,14.46,14.22,14.46,24062.0
2021-03-04,14.49,14.587,14.21,14.36,35886.0
2021-03-03,14.64,14.67,14.51,14.53,45771.0
2021-03-02,14.6,14.71,14.58,14.62,204450.0
2021-03-01,14.46,14.58,14.46,14.53,25924.0
2021-02-26,14.34,14.44,14.15,14.3,37198.0
2021-02-25,14.5,14.52,14.2915,14.31,34687.0
2021-02-24,14.37,14.5,14.3,14.5,24778.0
2021-02-23,14.36,14.38,14.17,14.36,37978.0
2021-02-22,14.47,14.5,14.395,14.44,32670.0
2021-02-19,14.63,14.63,14.5779,14.58,30268.0
2021-02-18,14.53,14.57,14.46,14.53,29716.0
2021-02-17,14.58,14.6184,14.53,14.6,37898.0
2021-02-16,14.72,14.73,14.6,14.61,27849.0
2021-02-12,14.64,14.665,14.58,14.6,50059.0
2021-02-11,14.59,14.64,14.53,14.62,50179.0
2021-02-10,14.56,14.64,14.45,14.58,71077.0
2021-02-09,14.5,14.55,14.46,14.55,37464.0
2021-02-08,14.49,14.56,14.45,14.5,37726.0
2021-02-05,14.37,14.5,14.37,14.42,62457.0
2021-02-04,14.38,14.42,14.3,14.41,58111.0
2021-02-03,14.4,14.4,14.22,14.29,58757.0
2021-02-02,14.22,14.34,14.22,14.3,50477.0
2021-02-01,13.98,14.06,13.9561,14.06,23291.0
2021-01-29,14.15,14.15,13.79,13.9,52392.0
2021-01-28,13.97,14.23,13.97,14.1,53466.0
2021-01-27,14.41,14.41,13.93,13.99,82876.0
2021-01-26,14.46,14.4874,14.3661,14.43,14358.0
2021-01-25,14.33,14.45,14.23,14.35,29962.0
2021-01-22,14.34,14.4,14.3,14.35,27740.0
2021-01-21,14.33,14.4,14.28,14.31,27336.0
2021-01-20,14.24,14.3,14.204,14.3,17196.0
2021-01-19,14.21,14.21,14.09,14.14,16631.0
2021-01-15,14.01,14.14,13.97,14.08,45249.0
2021-01-14,14.14,14.17,14.08,14.1,35681.0
2021-01-13,14.2,14.38,14.04,14.09,115957.0
2021-01-12,14.2,14.23,14.1,14.18,59133.0
2021-01-11,14.14,14.25,14.07,14.18,44338.0
2021-01-08,14.2,14.21,14.08,14.14,30566.0
2021-01-07,13.97,14.16,13.97,14.14,57887.0
2021-01-06,13.84,14.04,13.84,13.94,118368.0
2021-01-05,13.72,13.87,13.72,13.87,38037.0
2021-01-04,14.05,14.06,13.65,13.81,52250.0
2020-12-31,14.12,14.2098,13.96,14.07,102849.0
2020-12-30,13.95,14.06,13.95,14.04,51478.0
