date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,8.37,8.47,8.37,8.41,53586.0
2021-03-16,8.75,8.75,8.38,8.41,50587.0
2021-03-15,8.4,8.44,8.35,8.41,194819.0
2021-03-12,8.25,8.36,8.23,8.35,82486.0
2021-03-11,8.39,8.4,8.29,8.3,75415.0
2021-03-10,8.29,8.35,8.29,8.33,49157.0
2021-03-09,8.3,8.3699,8.285,8.3,24792.0
2021-03-08,8.28,8.3,8.2601,8.28,25158.0
2021-03-05,8.3,8.3145,8.23,8.27,76975.0
2021-03-04,8.3,8.3599,8.27,8.3,34122.0
2021-03-03,8.35,8.36,8.31,8.32,44284.0
2021-03-02,8.31,8.37,8.31,8.37,36601.0
2021-03-01,8.37,8.37,8.3,8.3399,33544.0
2021-02-26,8.27,8.31,8.23,8.3,50394.0
2021-02-25,8.3,8.32,8.25,8.25,22965.0
2021-02-24,8.27,8.31,8.2672,8.29,7424.0
2021-02-23,8.25,8.28,8.24,8.28,22898.0
2021-02-22,8.34,8.34,8.18,8.3,209506.0
2021-02-19,8.32,8.34,8.25,8.3342,50381.0
2021-02-18,8.23,8.3453,8.2,8.34,117788.0
2021-02-17,8.32,8.32,8.22,8.23,50850.0
2021-02-16,8.28,8.36,8.28,8.31,61645.0
2021-02-12,8.26,8.33,8.26,8.32,54550.0
2021-02-11,8.21,8.29,8.21,8.27,50469.0
2021-02-10,8.33,8.33,8.29,8.3,68831.0
2021-02-09,8.25,8.31,8.25,8.3,45930.0
2021-02-08,8.25,8.27,8.25,8.26,49037.0
2021-02-05,8.24,8.29,8.23,8.27,55251.0
2021-02-04,8.24,8.2662,8.24,8.24,26315.0
2021-02-03,8.27,8.27,8.23,8.24,61539.0
2021-02-02,8.27,8.29,8.25,8.29,26199.0
2021-02-01,8.27,8.27,8.22,8.27,31756.0
2021-01-29,8.23,8.25,8.18,8.24,132757.0
2021-01-28,8.2,8.27,8.19,8.25,79846.0
2021-01-27,8.24,8.24,8.16,8.23,49490.0
2021-01-26,8.23,8.26,8.18,8.25,72840.0
2021-01-25,8.2,8.2151,8.16,8.18,44696.0
2021-01-22,8.22,8.24,8.1502,8.22,72283.0
2021-01-21,8.21,8.2398,8.2,8.22,49339.0
2021-01-20,8.2,8.25,8.2,8.22,89614.0
2021-01-19,8.15,8.22,8.1,8.2,134440.0
2021-01-15,8.17,8.17,8.1,8.11,63722.0
2021-01-14,8.15,8.19,8.08,8.14,209317.0
