date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,9.2,9.3386,9.2,9.25,36091.0
2021-03-16,9.25,9.3167,9.2,9.24,65075.0
2021-03-15,9.24,9.3,9.185,9.28,43756.0
2021-03-12,9.25,9.2718,9.12,9.25,45196.0
2021-03-11,9.35,9.43,9.35,9.42,47227.0
2021-03-10,9.29,9.39,9.25,9.37,70131.0
2021-03-09,9.15,9.29,9.15,9.28,79480.0
2021-03-08,9.11,9.17,9.11,9.13,54533.0
2021-03-05,9.05,9.15,8.99,9.11,68742.0
2021-03-04,9.1,9.22,8.98,9.03,110899.0
2021-03-03,9.08,9.25,9.08,9.12,46185.0
2021-03-02,9.13,9.16,9.02,9.09,115214.0
2021-03-01,9.08,9.16,9.03,9.1501,40739.0
2021-02-26,9.07,9.15,9.01,9.05,54502.0
2021-02-25,9.24,9.26,9.05,9.06,70246.0
2021-02-24,9.15,9.22,9.11,9.22,59534.0
2021-02-23,9.14,9.14,8.98,9.11,94122.0
2021-02-22,9.08,9.12,9.02,9.1,64930.0
2021-02-19,9.08,9.1,9.08,9.08,34481.0
2021-02-18,9.06,9.08,9.01,9.08,21540.0
2021-02-17,9.0,9.11,8.9695,9.08,43076.0
2021-02-16,9.04,9.1,9.01,9.04,42686.0
2021-02-12,9.0,9.045,8.97,9.04,28854.0
2021-02-11,8.99,9.05,8.97,9.02,66916.0
2021-02-10,8.96,9.04,8.94,9.01,68780.0
2021-02-09,8.91,8.98,8.87,8.98,43867.0
2021-02-08,8.9,8.96,8.85,8.91,52442.0
2021-02-05,8.86,8.98,8.84,8.9,63590.0
2021-02-04,8.7,8.85,8.7,8.84,81470.0
2021-02-03,8.75,8.78,8.66,8.75,56147.0
2021-02-02,8.75,8.8,8.69,8.756,57984.0
2021-02-01,8.57,8.73,8.55,8.72,108204.0
2021-01-29,8.73,8.73,8.61,8.63,58445.0
2021-01-28,8.74,8.85,8.69,8.76,41099.0
2021-01-27,8.8,8.8299,8.68,8.73,79465.0
2021-01-26,8.78,8.88,8.78,8.86,62256.0
2021-01-25,8.85,8.9,8.79,8.82,57607.0
2021-01-22,8.75,8.88,8.75,8.85,33888.0
2021-01-21,8.85,8.875,8.77,8.85,25725.0
2021-01-20,8.76,8.94,8.76,8.87,75866.0
2021-01-19,8.8,8.83,8.75,8.77,56215.0
2021-01-15,8.72,8.84,8.71,8.82,40551.0
2021-01-14,8.79,8.84,8.67,8.79,86596.0
2021-01-13,8.66,8.82,8.66,8.78,46755.0
2021-01-12,8.65,8.72,8.65,8.7,41025.0
2021-01-11,8.73,8.73,8.62,8.69,42000.0
2021-01-08,8.63,8.8,8.61,8.71,45528.0
2021-01-07,8.6,8.69,8.56,8.65,48585.0
2021-01-06,8.55,8.66,8.55,8.6,51685.0
2021-01-05,8.61,8.65,8.54,8.6,85154.0
2021-01-04,8.73,8.77,8.57,8.66,82692.0
2020-12-31,8.79,8.8,8.69,8.77,62149.0
2020-12-30,8.78,8.78,8.65,8.7,142909.0
2020-12-29,8.84,8.84,8.68,8.71,134495.0
2020-12-28,8.67,8.76,8.64,8.71,86120.0
2020-12-24,8.6,8.67,8.6,8.67,45668.0
2020-12-23,8.68,8.72,8.6,8.6,64934.0
2020-12-22,8.58,8.67,8.565,8.61,46222.0
2020-12-21,8.53,8.62,8.5294,8.58,51226.0
2020-12-18,8.76,8.76,8.64,8.65,37572.0
2020-12-17,8.67,8.79,8.66,8.73,124047.0
2020-12-16,8.65,8.75,8.65,8.69,49082.0
2020-12-15,8.6,8.7,8.5991,8.68,63604.0
2020-12-14,8.85,8.87,8.62,8.62,87836.0
2020-12-11,8.8,8.98,8.79,8.98,50864.0
2020-12-10,8.95,9.0,8.81,8.81,55617.0
2020-12-09,9.06,9.215,9.0,9.04,36717.0
2020-12-08,8.99,9.15,8.93,9.06,57377.0
2020-12-07,9.04,9.26,8.97,9.05,78326.0
2020-12-04,8.92,9.39,8.8554,9.14,19803.0
2020-12-03,8.86,8.99,8.84,8.9315,47379.0
2020-12-02,8.82,8.94,8.76,8.81,28594.0
2020-12-01,8.88,8.92,8.75,8.83,60474.0
2020-11-30,8.74,8.9,8.7,8.84,51419.0
2020-11-27,8.83,8.842,8.7772,8.81,25719.0
2020-11-25,8.83,8.8601,8.64,8.7,41700.0
2020-11-24,8.74,8.85,8.735,8.84,32572.0
2020-11-23,8.61,8.704,8.52,8.66,32085.0
2020-11-20,8.49,8.54,8.48,8.53,33048.0
2020-11-19,8.46,8.559,8.46,8.52,14207.0
2020-11-18,8.53,8.6,8.5,8.52,23012.0
2020-11-17,8.5,8.6,8.47,8.53,75421.0
2020-11-16,8.42,8.59,8.42,8.55,74664.0
2020-11-13,8.27,8.42,8.27,8.39,52298.0
2020-11-12,8.21,8.34,8.16,8.25,50627.0
2020-11-11,8.19,8.26,8.16,8.25,49590.0
2020-11-10,8.04,8.18,8.04,8.12,27954.0
2020-11-09,8.09,8.255,8.04,8.05,32570.0
2020-11-06,7.8,7.867,7.8,7.82,35065.0
2020-11-05,7.75,7.88,7.75,7.85,110591.0
2020-11-04,7.63,7.77,7.59,7.74,58380.0
2020-11-03,7.49,7.6599,7.49,7.6,60007.0
2020-11-02,7.35,7.4989,7.35,7.43,49655.0
2020-10-30,7.35,7.45,7.33,7.34,78216.0
2020-10-29,7.33,7.49,7.33,7.46,82386.0
2020-10-28,7.52,7.53,7.33,7.33,65832.0
2020-10-27,7.62,7.6736,7.56,7.59,58041.0
2020-10-26,7.73,7.73,7.6,7.65,58148.0
2020-10-23,7.83,7.83,7.6,7.78,64861.0
2020-10-22,7.76,7.82,7.715,7.79,96239.0
2020-10-21,7.74,7.803,7.72,7.77,51365.0
2020-10-20,7.71,7.82,7.71,7.77,62313.0
2020-10-19,7.86,7.9,7.71,7.71,111060.0
2020-10-16,7.9,7.93,7.85,7.85,76495.0
2020-10-15,7.96,7.97,7.9,7.9,110161.0
2020-10-14,8.12,8.23,8.0,8.06,99835.0
2020-10-13,8.17,8.2001,8.11,8.15,32162.0
2020-10-12,8.31,8.31,7.97,8.18,163997.0
2020-10-09,8.07,8.24,8.07,8.17,65114.0
2020-10-08,8.1,8.165,8.0301,8.14,22478.0
2020-10-07,8.02,8.1132,8.005,8.04,71691.0
2020-10-06,8.07,8.11,8.03,8.04,86186.0
2020-10-05,7.86,8.04,7.86,8.04,155635.0
2020-10-02,7.82,7.9,7.71,7.88,72309.0
2020-10-01,7.9,7.9087,7.795,7.87,214208.0
2020-09-30,7.72,7.79,7.65,7.77,157305.0
2020-09-29,7.79,7.79,7.66,7.74,92257.0
2020-09-28,7.75,7.77,7.64,7.74,104461.0
2020-09-25,7.55,7.69,7.55,7.69,78864.0
2020-09-24,7.49,7.64,7.4,7.64,138720.0
2020-09-23,7.73,7.8,7.6,7.641,98436.0
2020-09-22,7.66,7.81,7.66,7.8,127320.0
2020-09-21,7.81,7.83,7.65,7.71,53709.0
2020-09-18,7.94,7.978,7.8702,7.9,18839.0
2020-09-17,7.95,8.0,7.89,7.98,50042.0
2020-09-16,7.96,8.04,7.96,8.01,63090.0
2020-09-15,7.89,8.01,7.89,7.98,77788.0
2020-09-14,7.84,7.92,7.83,7.92,87592.0
2020-09-11,7.95,7.985,7.9,7.92,100952.0
2020-09-10,8.1,8.1284,7.92,7.93,156693.0
2020-09-09,7.9,8.0701,7.9,8.05,92701.0
2020-09-08,7.92,7.92,7.85,7.89,101864.0
2020-09-04,8.01,8.06,7.86,7.96,63417.0
2020-09-03,8.09,8.1499,7.97,8.0,63417.0
2020-09-02,8.06,8.15,8.0,8.15,83812.0
2020-09-01,7.98,8.07,7.98,8.03,94131.0
2020-08-31,7.94,8.01,7.94,8.0,58014.0
2020-08-28,7.92,7.99,7.91,7.98,61535.0
2020-08-27,7.89,7.9655,7.87,7.95,65566.0
2020-08-26,7.9,7.95,7.83,7.92,105458.0
2020-08-25,7.82,7.94,7.8,7.89,126346.0
2020-08-24,7.8,7.84,7.79,7.81,49672.0
2020-08-21,7.87,7.87,7.8,7.8,56732.0
2020-08-20,7.85,7.8797,7.81,7.83,76320.0
2020-08-19,7.93,7.93,7.9,7.9,84930.0
2020-08-18,7.9,7.9407,7.8758,7.9,79663.0
2020-08-17,7.98,8.01,7.91,7.94,77352.0
2020-08-14,7.96,7.9799,7.93,7.95,59503.0
2020-08-13,7.95,8.11,7.95,8.01,62819.0
2020-08-12,7.9,7.98,7.9,7.95,64398.0
2020-08-11,7.99,8.02,7.9,7.9,47604.0
2020-08-10,7.85,7.93,7.841,7.91,71277.0
2020-08-07,7.83,7.89,7.77,7.89,58959.0
2020-08-06,7.8,7.87,7.77,7.845,54401.0
2020-08-05,7.8,7.88,7.79,7.8,30041.0
2020-08-04,7.76,7.83,7.74,7.78,75098.0
2020-08-03,7.74,7.81,7.72,7.78,50789.0
2020-07-31,7.81,7.8197,7.671,7.73,69766.0
2020-07-30,7.84,7.84,7.74,7.81,30515.0
2020-07-29,7.82,7.92,7.79,7.88,29120.0
2020-07-28,7.74,7.85,7.74,7.83,46217.0
2020-07-27,7.75,7.7833,7.74,7.7627,24760.0
2020-07-24,7.81,7.81,7.72,7.74,81988.0
2020-07-23,7.89,7.8993,7.77,7.77,60785.0
2020-07-22,7.78,7.93,7.78,7.84,68189.0
2020-07-21,7.72,7.87,7.72,7.8,70511.0
2020-07-20,7.71,7.75,7.64,7.71,64013.0
2020-07-17,7.65,7.76,7.65,7.73,47999.0
2020-07-16,7.63,7.75,7.63,7.68,62473.0
2020-07-15,7.74,7.78,7.69,7.7,29504.0
2020-07-14,7.63,7.67,7.59,7.67,58586.0
2020-07-13,7.67,7.71,7.65,7.66,44732.0
2020-07-10,7.58,7.69,7.58,7.65,47400.0
2020-07-09,7.69,7.69,7.56,7.59,41928.0
2020-07-08,7.67,7.79,7.67,7.69,43947.0
2020-07-07,7.73,7.77,7.71,7.71,41342.0
2020-07-06,7.95,7.99,7.71,7.78,88305.0
2020-07-02,7.89,7.95,7.75,7.86,75085.0
2020-07-01,7.9,7.95,7.73,7.86,92228.0
2020-06-30,7.61,7.74,7.54,7.73,48804.0
2020-06-29,7.56,7.6223,7.41,7.59,51639.0
2020-06-26,7.56,7.67,7.51,7.51,37807.0
2020-06-25,7.65,7.66,7.6,7.66,39644.0
2020-06-24,7.76,7.8,7.64,7.66,29677.0
2020-06-23,7.87,7.96,7.87,7.87,20038.0
2020-06-22,7.87,7.89,7.84,7.86,26970.0
2020-06-19,8.06,8.06,7.89,7.89,26117.0
2020-06-18,7.87,8.0,7.87,7.99,39555.0
2020-06-17,8.01,8.06,7.97,7.97,64554.0
2020-06-16,7.99,8.1,7.95,7.99,29586.0
2020-06-15,7.68,7.94,7.65,7.86,50071.0
2020-06-12,7.7,8.0,7.7,7.84,77858.0
2020-06-11,8.25,8.33,7.84,7.85,109150.0
2020-06-10,8.54,8.59,8.41,8.5,39421.0
2020-06-09,8.45,8.6,8.45,8.55,55040.0
2020-06-08,8.48,8.58,8.36,8.55,47498.0
2020-06-05,8.23,8.37,8.13,8.37,111573.0
2020-06-04,7.96,8.06,7.91,8.02,61854.0
2020-06-03,7.64,8.05,7.64,8.03,195032.0
2020-06-02,7.53,7.62,7.44,7.56,209632.0
2020-06-01,7.5,7.59,7.47,7.53,176900.0
2020-05-29,7.52,7.59,7.51,7.51,55914.0
2020-05-28,7.61,7.66,7.54,7.56,152866.0
2020-05-27,7.61,7.64,7.51,7.58,100089.0
2020-05-26,7.48,7.57,7.46,7.55,65879.0
2020-05-22,7.43,7.43,7.35,7.39,29903.0
2020-05-21,7.4,7.48,7.33,7.35,35404.0
2020-05-20,7.36,7.48,7.36,7.39,39374.0
2020-05-19,7.33,7.37,7.28,7.36,28256.0
2020-05-18,7.19,7.38,7.19,7.33,44229.0
2020-05-15,7.11,7.15,7.09,7.11,26277.0
2020-05-14,7.09,7.2,7.0,7.19,24748.0
2020-05-13,7.4,7.43,7.15,7.19,87717.0
2020-05-12,7.48,7.53,7.4,7.4,28916.0
2020-05-11,7.51,7.53,7.42,7.51,16662.0
2020-05-08,7.48,7.55,7.46,7.51,26948.0
2020-05-07,7.46,7.51,7.38,7.46,33805.0
2020-05-06,7.44,7.46,7.37,7.42,27647.0
2020-05-05,7.39,7.48,7.36,7.45,58339.0
2020-05-04,7.28,7.35,7.26,7.33,37877.0
2020-05-01,7.46,7.46,7.35,7.41,43457.0
2020-04-30,7.56,7.61,7.42,7.54,44718.0
2020-04-29,7.59,7.63,7.47,7.61,58743.0
2020-04-28,7.54,7.55,7.3,7.44,33796.0
2020-04-27,7.37,7.46,7.33,7.46,44958.0
2020-04-24,7.35,7.38,7.26,7.3,54684.0
