date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,1.88,1.93,1.72,1.9,7785292.0
2021-03-12,1.85,2.09,1.83,1.88,6554091.0
2021-03-11,2.15,2.24,1.83,1.91,11556332.0
2021-03-10,1.15,2.9214,1.035,2.6,16452287.0
2021-03-09,3.95,3.95,3.95,3.95,10398.0
2021-03-08,3.91,4.06,3.83,3.95,1820502.0
2021-03-05,4.0,4.09,3.58,3.9,2601005.0
2021-03-04,4.1,4.32,3.87,4.01,3461434.0
2021-03-03,3.87,4.35,3.705,4.15,5988979.0
2021-03-02,3.97,3.99,3.75,3.85,3305459.0
2021-03-01,4.14,4.33,3.95,4.0,4838507.0
2021-02-26,3.87,5.13,3.83,3.94,38663542.0
2021-02-25,3.77,3.78,3.42,3.46,3819287.0
2021-02-24,3.65,3.83,3.53,3.7,4039934.0
2021-02-23,3.87,3.91,3.41,3.56,5862702.0
2021-02-22,3.9,4.49,3.85,3.96,15071112.0
2021-02-19,6.0,6.15,5.7114,5.77,2745987.0
2021-02-18,5.65,5.67,5.23,5.55,2752815.0
2021-02-17,6.18,6.19,5.73,5.75,2512897.0
2021-02-16,6.68,6.72,6.01,6.17,6029268.0
2021-02-12,7.49,7.55,7.04,7.16,1952670.0
2021-02-11,7.33,7.7299,6.8,7.55,2634266.0
2021-02-10,7.61,7.69,7.2,7.29,1805182.0
2021-02-09,8.01,8.1,7.43,7.48,2312497.0
2021-02-08,7.77,8.35,7.77,8.09,3171114.0
2021-02-05,7.52,8.095,7.33,7.83,2730417.0
2021-02-04,7.48,7.72,7.17,7.52,2206554.0
2021-02-03,6.61,7.5,6.56,7.45,4005878.0
2021-02-02,6.81,6.84,6.53,6.54,1460587.0
2021-02-01,6.79,6.95,6.42,6.81,1777624.0
2021-01-29,7.13,7.16,6.54,6.71,2521482.0
2021-01-28,6.73,7.37,6.36,7.31,6259102.0
2021-01-27,7.32,7.45,6.59,6.75,4241106.0
2021-01-26,8.03,8.2401,7.56,7.69,5514044.0
2021-01-25,8.79,8.9,7.03,7.62,14336992.0
2021-01-22,5.52,7.08,5.44,6.85,12104692.0
2021-01-21,5.3,5.62,5.1299,5.59,1303367.0
2021-01-20,5.17,5.33,5.12,5.31,715740.0
2021-01-19,5.34,5.39,5.09,5.11,1068119.0
2021-01-15,5.41,5.45,5.17,5.31,1136241.0
2021-01-14,5.68,5.73,5.38,5.47,1649655.0
2021-01-13,5.4,5.71,5.2,5.66,2764940.0
2021-01-12,5.0,5.48,4.95,5.32,3871754.0
2021-01-11,4.97,5.08,4.8901,4.93,893170.0
2021-01-08,5.06,5.13,4.91,5.06,2061691.0
2021-01-07,4.91,5.0,4.83,4.95,1038822.0
2021-01-06,4.8,4.98,4.73,4.77,1387778.0
2021-01-05,4.67,4.885,4.61,4.85,1069596.0
2021-01-04,4.7,4.73,4.57,4.68,692944.0
2020-12-31,4.68,4.8619,4.67,4.68,795939.0
2020-12-30,4.65,4.93,4.63,4.72,1440539.0
2020-12-29,4.71,4.73,4.61,4.66,797959.0
2020-12-28,4.85,4.87,4.68,4.68,907416.0
2020-12-24,4.71,4.84,4.65,4.84,691299.0
2020-12-23,4.75,4.86,4.695,4.72,907553.0
2020-12-22,4.55,4.78,4.51,4.77,1274459.0
2020-12-21,4.54,4.55,4.4586,4.53,1074789.0
2020-12-18,4.61,4.75,4.5711,4.64,924549.0
2020-12-17,4.6,4.63,4.55,4.63,704639.0
2020-12-16,4.69,4.69,4.56,4.61,643177.0
2020-12-15,4.72,4.72,4.56,4.67,1070847.0
2020-12-14,4.83,4.84,4.66,4.66,1543985.0
2020-12-11,4.9,4.9211,4.79,4.82,1596063.0
2020-12-10,4.98,4.9855,4.9,4.9,939979.0
2020-12-09,4.89,5.25,4.8311,5.03,4226394.0
2020-12-08,4.94,4.95,4.89,4.9,846470.0
2020-12-07,4.93,4.99,4.86,4.98,1174869.0
2020-12-04,4.9,5.0,4.875,4.96,1096477.0
2020-12-03,4.93,4.95,4.87,4.88,1027253.0
2020-12-02,4.94,5.09,4.87,4.93,1701654.0
2020-12-01,4.96,5.0,4.83,4.99,1893088.0
2020-11-30,4.91,4.96,4.7601,4.9,2037233.0
2020-11-27,4.99,5.02,4.93,5.01,943898.0
2020-11-25,5.12,5.18,4.93,5.03,1894611.0
2020-11-24,5.46,5.46,5.07,5.22,3413196.0
2020-11-23,5.0,5.0378,4.9,5.01,2287446.0
2020-11-20,4.85,5.19,4.79,4.93,3002787.0
2020-11-19,4.85,4.92,4.71,4.91,1664626.0
2020-11-18,4.93,5.0,4.85,4.86,1383686.0
2020-11-17,4.98,5.0,4.9,4.95,1759385.0
2020-11-16,4.99,5.06,4.91,5.04,1391679.0
2020-11-13,5.08,5.0843,4.9,4.99,1830734.0
2020-11-12,5.34,5.47,5.1,5.13,3196899.0
2020-11-11,6.0,6.42,5.86,6.1,3096775.0
2020-11-10,5.45,5.94,5.42,5.83,1976139.0
2020-11-09,5.28,5.61,5.04,5.41,1857919.0
2020-11-06,5.05,5.075,4.9501,4.98,814797.0
2020-11-05,4.99,5.15,4.9599,5.08,766344.0
2020-11-04,5.07,5.09,4.91,4.93,898471.0
2020-11-03,5.06,5.12,4.97,5.02,712845.0
2020-11-02,5.15,5.17,4.98,5.06,603715.0
2020-10-30,5.05,5.15,4.8576,5.14,1328747.0
2020-10-29,4.8,5.19,4.71,5.16,1434532.0
2020-10-28,5.03,5.14,4.84,4.86,1840164.0
2020-10-27,5.24,5.4,5.1302,5.22,1187528.0
2020-10-26,5.5,5.53,5.18,5.26,1218761.0
2020-10-23,5.38,5.74,5.21,5.65,1149437.0
2020-10-22,5.29,5.49,5.0702,5.47,1451911.0
2020-10-21,5.62,5.68,5.32,5.36,1616320.0
2020-10-20,5.8,5.89,5.66,5.72,1627211.0
2020-10-19,6.02,6.1,5.72,5.77,1630581.0
2020-10-16,5.63,5.94,5.55,5.73,2211359.0
2020-10-15,5.8,5.83,5.5951,5.65,2169135.0
2020-10-14,6.1,6.14,5.905,6.01,1852372.0
2020-10-13,6.17,6.41,5.8998,6.27,3559921.0
2020-10-12,6.85,7.1,6.4182,6.43,6795908.0
2020-10-09,6.47,8.5,6.1,6.41,46845426.0
2020-10-08,5.44,5.76,5.23,5.6,5810718.0
2020-10-07,5.26,5.59,5.22,5.32,2723684.0
2020-10-06,5.0,5.6829,4.92,5.32,6732079.0
2020-10-05,4.94,5.33,4.86,5.17,3482108.0
2020-10-02,4.48,5.96,4.27,5.01,7194745.0
2020-10-01,5.25,5.3,4.8,4.87,3172732.0
2020-09-30,5.98,5.98,5.18,5.21,3360299.0
2020-09-29,7.44,7.44,5.1,5.75,9213773.0
2020-09-28,0.39,0.4,0.285,0.291,141675139.0
2020-09-25,0.6751,0.75,0.3351,0.3549,262608636.0
2020-09-24,0.4306,0.81,0.352,0.56,437748373.0
2020-09-23,0.3937,0.419,0.272,0.281,46448381.0
2020-09-22,0.299,0.41,0.29,0.3848,30784414.0
2020-09-21,0.301,0.31,0.2836,0.305,15440273.0
2020-09-18,0.2779,0.29,0.2422,0.2854,13119135.0
2020-09-17,0.251,0.46,0.24,0.2709,68658343.0
2020-09-16,0.241,0.241,0.2125,0.214,9711908.0
2020-09-15,0.25,0.25,0.2224,0.2405,10008201.0
2020-09-14,0.259,0.259,0.2421,0.2477,5558466.0
2020-09-11,0.2787,0.2787,0.256,0.259,3352056.0
