date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,7.88,7.96,7.81,7.85,16296.0
2021-03-16,7.89,7.97,7.79,7.86,40132.0
2021-03-15,7.92,7.92,7.85,7.875,27201.0
2021-03-12,7.97,7.97,7.8592,7.9,15762.0
2021-03-11,8.0,8.01,7.834,7.96,28012.0
2021-03-10,7.8804,7.92,7.8,7.92,30681.0
2021-03-09,7.96,7.96,7.7701,7.84,46640.0
2021-03-08,7.8268,8.07,7.8268,7.88,20160.0
2021-03-05,7.9,7.9007,7.8028,7.85,12592.0
2021-03-04,7.89,8.23,7.81,7.87,26759.0
2021-03-03,7.79,7.88,7.75,7.88,34617.0
2021-03-02,7.85,7.85,7.76,7.8,10249.0
2021-03-01,7.85,7.85,7.72,7.85,29039.0
2021-02-26,7.68,7.78,7.6692,7.78,20933.0
2021-02-25,7.79,7.805,7.65,7.65,16340.0
2021-02-24,7.64,7.82,7.62,7.76,24565.0
2021-02-23,7.71,7.7895,7.65,7.76,20833.0
2021-02-22,7.76,7.82,7.71,7.81,12733.0
2021-02-19,7.79,7.85,7.77,7.82,17261.0
2021-02-18,7.83,7.83,7.77,7.82,20000.0
2021-02-17,7.78,7.84,7.715,7.805,33231.0
2021-02-16,7.83,7.8594,7.7,7.78,30417.0
2021-02-12,7.75,7.88,7.73,7.88,23205.0
2021-02-11,7.71,7.8,7.7,7.77,13808.0
2021-02-10,7.76,7.89,7.68,7.8,65688.0
2021-02-09,7.79,7.84,7.68,7.81,22562.0
2021-02-08,7.9,7.9,7.75,7.83,36554.0
2021-02-05,7.8,7.87,7.7,7.87,33806.0
2021-02-04,7.85,7.85,7.71,7.84,18984.0
2021-02-03,7.84,7.84,7.8027,7.83,31411.0
2021-02-02,7.8,7.8596,7.755,7.82,18766.0
2021-02-01,7.85,7.86,7.7208,7.79,24715.0
2021-01-29,7.75,7.8,7.6601,7.78,25712.0
2021-01-28,7.74,7.75,7.68,7.75,31945.0
2021-01-27,7.67,7.74,7.615,7.72,17512.0
2021-01-26,7.69,7.69,7.6,7.66,79236.0
2021-01-25,7.63,7.65,7.56,7.64,21947.0
2021-01-22,7.74,7.74,7.6,7.67,36556.0
2021-01-21,7.75,7.75,7.66,7.7,14774.0
2021-01-20,7.74,7.75,7.695,7.72,20375.0
2021-01-19,7.79,7.79,7.665,7.7,23742.0
2021-01-15,7.75,7.75,7.62,7.73,17836.0
2021-01-14,7.63,7.8,7.6015,7.64,35359.0
2021-01-13,7.75,7.75,7.62,7.71,42261.0
2021-01-12,7.71,7.79,7.664,7.78,66626.0
2021-01-11,7.69,7.84,7.66,7.72,42590.0
2021-01-08,7.68,7.78,7.657,7.78,16590.0
2021-01-07,7.68,7.69,7.608,7.69,12724.0
2021-01-06,7.69,7.69,7.6001,7.68,26206.0
2021-01-05,7.5,7.73,7.48,7.66,122936.0
2021-01-04,7.46,7.492,7.45,7.49,37038.0
2020-12-31,7.5,7.52,7.44,7.48,155951.0
2020-12-30,7.49,7.52,7.43,7.47,161245.0
2020-12-29,7.57,7.57,7.45,7.48,115519.0
2020-12-28,7.52,7.58,7.46,7.55,80554.0
2020-12-24,7.58,7.58,7.47,7.53,19279.0
2020-12-23,7.44,7.65,7.44,7.54,95102.0
2020-12-22,7.35,7.46,7.35,7.45,174215.0
2020-12-21,7.49,7.49,7.35,7.39,217104.0
2020-12-18,7.68,7.68,7.49,7.53,73744.0
2020-12-17,7.53,7.79,7.52,7.7,77095.0
2020-12-16,7.58,7.58,7.49,7.54,47289.0
2020-12-15,7.59,7.6799,7.46,7.54,93370.0
2020-12-14,7.67,7.67,7.46,7.47,43994.0
2020-12-11,7.5652,7.66,7.543,7.61,23226.0
2020-12-10,7.52,7.65,7.45,7.55,49831.0
2020-12-09,7.4801,7.64,7.4801,7.53,45530.0
2020-12-08,7.58,7.69,7.51,7.53,30461.0
2020-12-07,7.5,7.55,7.38,7.52,69729.0
2020-12-04,7.53,7.67,7.53,7.55,73533.0
2020-12-03,7.74,7.74,7.4669,7.51,60345.0
2020-12-02,7.4596,7.8048,7.42,7.79,57764.0
2020-12-01,7.41,7.47,7.34,7.45,37123.0
2020-11-30,7.43,7.465,7.28,7.31,79632.0
2020-11-27,7.44,7.47,7.4027,7.42,22119.0
2020-11-25,7.32,7.35,7.266,7.34,30781.0
2020-11-24,7.25,7.37,7.25,7.35,21663.0
2020-11-23,7.28,7.33,7.2,7.29,53723.0
2020-11-20,7.24,7.34,7.24,7.32,16631.0
2020-11-19,7.26,7.3699,7.17,7.29,58999.0
2020-11-18,7.25,7.35,7.25,7.3,56194.0
2020-11-17,7.22,7.35,7.22,7.3,27155.0
2020-11-16,7.2,7.3,7.16,7.24,70849.0
2020-11-13,7.2,7.25,7.15,7.22,35580.0
2020-11-12,7.18,7.31,7.11,7.16,101367.0
2020-11-11,7.18,7.28,7.18,7.23,35267.0
2020-11-10,7.25,7.3085,7.09,7.15,65633.0
2020-11-09,7.33,7.471,7.2,7.22,31116.0
2020-11-06,7.26,7.55,7.26,7.29,19243.0
2020-11-05,7.13,7.3599,7.13,7.28,40028.0
2020-11-04,7.03,7.176,7.03,7.14,16833.0
2020-11-03,6.93,7.19,6.93,7.07,29035.0
2020-11-02,7.0,7.0,6.89,6.93,92183.0
2020-10-30,6.93,6.98,6.91,6.95,23958.0
2020-10-29,6.95,7.02,6.94,6.97,58449.0
2020-10-28,7.01,7.01,6.92,6.94,39674.0
2020-10-27,7.1,7.1659,7.01,7.04,56436.0
2020-10-26,7.1838,7.195,7.1,7.12,14759.0
2020-10-23,7.216,7.22,7.15,7.18,25806.0
2020-10-22,7.15,7.26,7.0901,7.25,325611.0
2020-10-21,7.07,7.15,7.07,7.11,33448.0
2020-10-20,7.1,7.1399,7.08,7.11,37478.0
2020-10-19,7.05,7.16,7.05,7.1,73546.0
