date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,10.0544,10.0544,9.9244,9.95,3381.0
2021-03-16,10.0,10.1,10.0,10.1,7664.0
2021-03-15,10.03,10.03,10.02,10.02,7984.0
2021-03-12,9.87,10.66,9.87,10.66,7163.0
2021-03-11,10.0043,10.06,9.9998,10.06,7876.0
2021-03-10,10.0,10.06,9.92,10.06,15734.0
2021-03-09,9.96,10.0,9.8993,10.0,22735.0
2021-03-08,9.9167,9.96,9.905,9.96,1884.0
2021-03-05,9.8684,9.97,9.85,9.96,48883.0
2021-03-04,9.95,10.05,9.9478,9.95,9430.0
2021-03-03,9.83,9.95,9.81,9.93,112267.0
2021-03-02,9.91,9.91,9.82,9.9,1194.0
2021-03-01,9.91,9.91,9.82,9.91,6157.0
2021-02-26,9.91,9.91,9.82,9.91,9745.0
2021-02-25,9.92,9.92,9.78,9.92,9715.0
2021-02-24,9.865,9.92,9.865,9.92,18866.0
2021-02-23,9.75,9.88,9.75,9.88,16964.0
2021-02-22,9.91,9.91,9.91,9.91,361.0
2021-02-19,9.8724,9.89,9.76,9.87,15300.0
2021-02-18,9.84,9.89,9.77,9.89,5977.0
2021-02-17,9.8332,9.8708,9.8332,9.84,6260.0
2021-02-16,9.85,9.91,9.74,9.89,36070.0
2021-02-12,9.9,9.91,9.8811,9.91,5397.0
2021-02-11,9.8501,9.91,9.85,9.91,2827.0
2021-02-10,9.85,9.91,9.85,9.91,4082.0
2021-02-09,9.875,9.91,9.826,9.91,22321.0
2021-02-08,9.8,9.9,9.8,9.9,1146.0
2021-02-05,9.8561,9.91,9.8561,9.91,4275.0
2021-02-04,9.8627,9.89,9.8627,9.89,1630.0
2021-02-03,9.81,9.89,9.81,9.89,3073.0
2021-02-02,9.87,9.89,9.8103,9.89,7400.0
2021-02-01,9.89,9.89,9.79,9.88,2576.0
2021-01-29,9.82,9.89,9.8,9.89,17177.0
2021-01-28,9.77,9.87,9.77,9.86,8986.0
2021-01-27,9.77,9.8299,9.74,9.74,12156.0
2021-01-26,9.827,9.86,9.761,9.86,10123.0
2021-01-25,9.89,9.89,9.75,9.82,19584.0
2021-01-22,9.76,9.89,9.75,9.89,3100.0
2021-01-21,9.85,9.88,9.74,9.88,15216.0
2021-01-20,9.785,9.9,9.785,9.9,9570.0
2021-01-19,9.78,9.9399,9.73,9.73,11035.0
2021-01-15,9.77,9.91,9.74,9.91,3200.0
2021-01-14,10.0,10.0,9.76,9.85,18135.0
2021-01-13,9.9,9.95,9.76,9.88,10250.0
2021-01-12,9.82,9.95,9.75,9.8,39004.0
2021-01-11,9.77,9.88,9.77,9.88,1536.0
2021-01-08,9.735,9.89,9.735,9.89,16364.0
2021-01-07,9.725,9.7868,9.725,9.77,7223.0
2021-01-06,9.74,9.76,9.63,9.68,12317.0
2021-01-05,9.65,9.94,9.65,9.76,14490.0
2021-01-04,9.6,9.69,9.6,9.68,10930.0
2020-12-31,9.57,9.62,9.5272,9.58,38196.0
2020-12-30,9.59,9.68,9.48,9.57,108112.0
2020-12-29,9.62,9.69,9.52,9.57,76844.0
2020-12-28,9.7,9.7,9.53,9.67,43716.0
2020-12-24,9.69,9.69,9.6137,9.69,6681.0
2020-12-23,9.67,9.67,9.58,9.67,27128.0
2020-12-22,9.55,9.6194,9.55,9.59,21841.0
2020-12-21,9.57,9.62,9.5,9.565,61743.0
2020-12-18,9.561,9.62,9.55,9.55,27383.0
2020-12-17,9.5904,9.61,9.51,9.59,18855.0
2020-12-16,9.61,9.61,9.55,9.575,7514.0
2020-12-15,9.58,9.6,9.54,9.56,18904.0
2020-12-14,9.56,9.6,9.51,9.52,37258.0
2020-12-11,9.59,9.65,9.52,9.56,26451.0
2020-12-10,9.57,9.58,9.54,9.56,8626.0
2020-12-09,9.6008,9.65,9.56,9.64,24724.0
2020-12-08,9.63,9.63,9.56,9.63,9842.0
2020-12-07,9.51,9.5724,9.49,9.57,25437.0
2020-12-04,9.55,9.65,9.49,9.5,87298.0
2020-12-03,9.56,9.6,9.49,9.5,31148.0
2020-12-02,9.54,9.5994,9.49,9.56,33393.0
2020-12-01,9.55,9.63,9.51,9.56,26174.0
2020-11-30,9.49,9.55,9.41,9.52,45657.0
2020-11-27,9.45,9.51,9.43,9.49,19217.0
2020-11-25,9.54,9.54,9.44,9.51,24588.0
2020-11-24,9.5677,9.5983,9.48,9.54,21151.0
2020-11-23,9.61,9.6294,9.4689,9.6,6099.0
2020-11-20,9.68,9.68,9.49,9.59,25096.0
2020-11-19,9.55,9.68,9.54,9.65,22787.0
2020-11-18,9.46,9.61,9.42,9.55,40556.0
2020-11-17,9.4,9.53,9.393,9.51,48159.0
2020-11-16,9.5,9.6,9.39,9.4,25070.0
2020-11-13,9.48,9.4936,9.38,9.43,49912.0
2020-11-12,9.72,10.0,9.42,9.45,27245.0
2020-11-11,9.8088,9.9,9.7,9.84,6952.0
2020-11-10,9.78,9.86,9.7,9.86,6722.0
2020-11-09,9.61,9.85,9.493,9.75,19699.0
2020-11-06,9.4234,9.62,9.3877,9.54,5899.0
2020-11-05,9.4435,9.45,9.35,9.4326,14838.0
2020-11-04,9.4,9.4669,9.35,9.35,7668.0
2020-11-03,9.3424,9.4813,9.34,9.35,13695.0
2020-11-02,9.3,9.46,9.3,9.3,11488.0
2020-10-30,9.3799,9.3799,9.3213,9.36,6750.0
2020-10-29,9.4065,9.4309,9.3,9.35,13285.0
2020-10-28,9.5,9.5,9.3,9.3231,21215.0
2020-10-27,9.4,9.49,9.4,9.49,1396.0
2020-10-26,9.51,9.51,9.4,9.4,3969.0
2020-10-23,9.32,9.54,9.32,9.4997,10453.0
2020-10-22,9.4212,9.5,9.31,9.34,15428.0
2020-10-21,9.46,9.5,9.46,9.48,5069.0
2020-10-20,9.5,9.5,9.4201,9.4201,3852.0
2020-10-19,9.46,9.54,9.39,9.54,17475.0
2020-10-16,9.493,9.493,9.493,9.493,477.0
2020-10-15,9.53,9.576,9.45,9.52,8810.0
2020-10-14,9.4505,9.4928,9.43,9.4928,5514.0
2020-10-13,9.5547,9.5547,9.5547,9.5547,105.0
2020-10-12,9.632,9.632,9.5547,9.5547,1710.0
2020-10-09,9.6325,9.6325,9.6325,9.6325,1033.0
2020-10-08,9.65,9.65,9.47,9.64,3553.0
2020-10-07,9.579,9.58,9.579,9.58,1133.0
2020-10-06,9.65,9.65,9.45,9.47,5266.0
2020-10-05,9.5,9.5,9.5,9.5,608.0
2020-10-02,9.5333,9.6,9.5,9.595,6655.0
2020-10-01,9.62,9.6838,9.49,9.55,3995.0
2020-09-30,9.41,9.4799,9.4,9.46,3625.0
2020-09-29,9.51,9.51,9.37,9.37,5328.0
2020-09-28,9.36,9.55,9.33,9.3416,13292.0
2020-09-25,9.3,9.39,9.3,9.3,16783.0
2020-09-24,9.36,9.3781,9.3,9.31,10705.0
2020-09-23,9.44,9.44,9.37,9.4145,6310.0
2020-09-22,9.4112,9.4112,9.4112,9.4112,2200.0
2020-09-21,9.44,9.8,9.38,9.38,15206.0
2020-09-18,9.3814,9.46,9.35,9.403,11329.0
2020-09-17,9.46,9.47,9.46,9.4699,2024.0
2020-09-16,9.3867,9.4416,9.3867,9.4114,7735.0
2020-09-15,9.405,9.5,9.37,9.4699,13986.0
2020-09-14,9.42,9.4247,9.39,9.4247,5326.0
2020-09-11,9.44,9.44,9.35,9.4,10302.0
2020-09-10,9.37,9.445,9.37,9.4,8744.0
2020-09-09,9.31,9.3816,9.3,9.32,13226.0
2020-09-08,9.41,9.41,9.31,9.3501,4306.0
2020-09-04,9.39,9.39,9.35,9.38,3414.0
2020-09-03,9.46,9.4796,9.4,9.4,14474.0
2020-09-02,9.51,9.55,9.44,9.46,21710.0
2020-09-01,9.43,9.4799,9.41,9.4773,7191.0
2020-08-31,9.47,9.5099,9.45,9.47,13591.0
2020-08-28,9.5,9.5775,9.46,9.46,20713.0
2020-08-27,9.44,9.49,9.44,9.48,16589.0
2020-08-26,9.46,9.46,9.4,9.45,26954.0
2020-08-25,9.45,9.46,9.4452,9.46,6285.0
2020-08-24,9.4899,9.49,9.445,9.4647,5209.0
2020-08-21,9.42,9.4696,9.42,9.45,4860.0
2020-08-20,9.4201,9.43,9.42,9.4202,3481.0
2020-08-19,9.4374,9.4519,9.43,9.45,4246.0
2020-08-18,9.3999,9.42,9.3999,9.4178,7040.0
2020-08-17,9.374,9.44,9.365,9.4399,16323.0
2020-08-14,9.35,9.37,9.35,9.37,8349.0
2020-08-13,9.3126,9.33,9.2948,9.315,10253.0
2020-08-12,9.31,9.35,9.28,9.3,9503.0
2020-08-11,9.37,9.38,9.31,9.31,27699.0
2020-08-10,9.32,9.3542,9.31,9.345,4809.0
2020-08-07,9.32,9.32,9.31,9.31,2355.0
2020-08-06,9.335,9.34,9.3,9.34,7940.0
2020-08-05,9.355,9.38,9.2,9.3,11357.0
2020-08-04,9.27,9.42,9.27,9.42,2807.0
2020-08-03,9.43,9.43,9.235,9.34,40224.0
2020-07-31,9.38,9.4,9.25,9.34,7658.0
2020-07-30,9.36,9.42,9.36,9.42,3969.0
2020-07-29,9.335,9.3734,9.325,9.325,3005.0
2020-07-28,9.3,9.3001,9.2,9.2775,19347.0
2020-07-27,9.22,9.2985,9.16,9.29,11674.0
2020-07-24,9.2677,9.27,9.17,9.21,3450.0
2020-07-23,9.23,9.39,9.16,9.39,14151.0
2020-07-22,9.2726,9.31,9.16,9.22,2627.0
2020-07-21,9.276,9.33,9.16,9.25,13706.0
2020-07-20,9.17,9.31,9.17,9.31,6113.0
2020-07-17,9.22,9.26,9.12,9.12,6375.0
2020-07-16,9.232,9.232,9.232,9.232,236.0
2020-07-15,9.249,9.32,9.06,9.31,26569.0
2020-07-14,9.21,9.21,9.14,9.17,1552.0
2020-07-13,9.27,9.32,9.26,9.26,2980.0
2020-07-10,9.25,9.339,9.19,9.26,14026.0
2020-07-09,9.35,9.35,9.12,9.24,6961.0
2020-07-08,9.361,9.361,9.336,9.358,4692.0
2020-07-07,9.32,9.44,9.29,9.391,13102.0
2020-07-06,9.412,9.44,9.28,9.44,1776.0
2020-07-02,9.55,9.55,9.28,9.3,25349.0
2020-07-01,9.39,9.67,9.27,9.38,16202.0
