date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,4.9,7.09,4.8,6.44,3607760.0
2021-03-12,4.12,5.45,4.12,5.07,1147389.0
2021-03-11,4.09,4.2441,4.0601,4.24,178414.0
2021-03-10,4.1,4.43,3.99,4.09,979385.0
2021-03-09,4.21,4.3062,3.95,3.97,527435.0
2021-03-08,4.37,5.22,4.125,4.17,1640902.0
2021-03-05,4.94,5.09,4.2522,4.33,625028.0
2021-03-04,5.46,5.472,4.82,4.94,139254.0
2021-03-03,5.31,5.8862,5.28,5.52,296106.0
2021-03-02,5.13,5.57,5.05,5.44,604758.0
2021-03-01,5.02,5.46,5.02,5.13,639533.0
2021-02-26,5.03,5.4342,4.91,4.91,297207.0
2021-02-25,5.41,5.61,4.96,5.03,658314.0
2021-02-24,4.97,5.66,4.97,5.32,621684.0
2021-02-23,4.99,5.25,4.55,4.96,708811.0
2021-02-22,4.81,5.57,4.81,5.15,684087.0
2021-02-19,4.95,5.24,4.7124,4.94,468187.0
2021-02-18,4.71,5.0,4.5775,4.82,311847.0
2021-02-17,5.02,5.126,4.66,4.76,278572.0
2021-02-16,4.9,5.57,4.8,4.82,790078.0
2021-02-12,5.11,5.61,4.77,4.83,641340.0
2021-02-11,5.18,5.6262,5.1,5.1,474192.0
2021-02-10,4.56,5.63,4.56,5.46,1997774.0
2021-02-09,4.56,4.85,4.52,4.53,357089.0
2021-02-08,4.55,4.8,4.39,4.55,315624.0
2021-02-05,4.65,4.79,4.4001,4.52,120255.0
2021-02-04,4.55,4.85,4.42,4.63,437012.0
2021-02-03,4.2,4.55,4.14,4.52,365058.0
2021-02-02,3.91,4.18,3.71,4.15,274102.0
2021-02-01,4.05,4.11,3.8722,3.92,237740.0
2021-01-29,4.53,5.05,3.92,4.03,939479.0
2021-01-28,6.4,6.84,4.1,4.28,1401935.0
2021-01-27,5.23,8.67,4.41,6.5,7720562.0
2021-01-26,4.35,4.55,3.95,4.17,266090.0
2021-01-25,4.44,4.99,3.91,4.5,1211568.0
2021-01-22,3.82,4.08,3.8,4.03,167391.0
2021-01-21,3.92,3.92,3.81,3.83,33903.0
2021-01-20,3.82,3.91,3.76,3.83,41775.0
2021-01-19,3.74,3.86,3.67,3.77,49205.0
2021-01-15,3.78,3.9499,3.73,3.75,121987.0
2021-01-14,3.78,4.02,3.68,3.88,201032.0
2021-01-13,3.81,4.01,3.66,3.69,101539.0
2021-01-12,3.67,3.87,3.64,3.87,107791.0
2021-01-11,3.56,3.8,3.5477,3.67,80526.0
2021-01-08,3.74,3.74,3.515,3.6,27820.0
2021-01-07,3.61,3.83,3.43,3.66,122374.0
2021-01-06,3.75,3.86,3.56,3.58,62765.0
2021-01-05,3.54,3.68,3.48,3.68,44369.0
2021-01-04,3.73,3.76,3.4092,3.46,68864.0
2020-12-31,3.68,3.78,3.65,3.73,85789.0
2020-12-30,4.01,4.07,3.65,3.71,218550.0
2020-12-29,3.92,4.2023,3.91,4.08,246307.0
2020-12-28,4.03,4.0548,3.9,3.93,30983.0
2020-12-24,3.86,4.0209,3.81,4.02,41502.0
2020-12-23,4.23,4.26,3.9,3.92,115283.0
2020-12-22,4.4,4.42,4.12,4.23,118318.0
2020-12-21,4.2,4.5,4.2,4.4,138638.0
2020-12-18,4.43,4.7,4.16,4.23,188669.0
2020-12-17,4.56,4.84,4.38,4.48,168433.0
2020-12-16,4.6,4.8,4.51,4.64,120957.0
2020-12-15,4.21,4.5,4.13,4.48,142528.0
2020-12-14,4.3,4.3,4.08,4.25,109349.0
2020-12-11,4.3,4.3,4.11,4.27,57260.0
2020-12-10,4.1,4.52,3.91,4.42,216967.0
2020-12-09,4.22,4.38,4.15,4.26,141280.0
2020-12-08,4.2,4.256,4.02,4.12,80083.0
2020-12-07,4.19,4.35,4.14,4.19,63348.0
2020-12-04,4.17,4.31,4.17,4.29,47762.0
2020-12-03,4.34,4.37,4.08,4.15,74372.0
2020-12-02,4.03,4.35,3.91,4.26,274482.0
2020-12-01,4.1,4.33,3.99,4.11,102851.0
2020-11-30,4.25,4.25,4.0,4.01,108586.0
2020-11-27,4.38,4.43,4.21,4.29,73125.0
2020-11-25,4.56,4.56,4.06,4.25,255805.0
2020-11-24,3.96,4.48,3.93,4.4,254745.0
2020-11-23,4.14,4.2482,3.6,3.9,363889.0
2020-11-20,4.31,4.31,4.06,4.09,76428.0
2020-11-19,4.42,4.42,4.24,4.3,72442.0
2020-11-18,4.16,4.521,4.16,4.34,219398.0
2020-11-17,4.06,4.2322,4.0,4.16,90764.0
2020-11-16,4.02,4.15,3.92,4.08,105617.0
2020-11-13,3.6,4.05,3.54,3.88,311312.0
2020-11-12,3.68,3.8014,3.6,3.66,73254.0
2020-11-11,3.79,3.93,3.6309,3.8,103032.0
2020-11-10,3.58,4.3309,3.485,3.75,566133.0
2020-11-09,0.7202,0.83,0.7202,0.7625,571702.0
2020-11-06,0.71,0.7496,0.6914,0.6914,237276.0
2020-11-05,0.7137,0.7599,0.7014,0.7183,375823.0
2020-11-04,0.72,0.75,0.697,0.7084,355293.0
2020-11-03,0.7,0.795,0.677,0.7548,646565.0
2020-11-02,0.6633,0.6899,0.6633,0.6889,241627.0
2020-10-30,0.6757,0.68,0.6513,0.6633,143854.0
2020-10-29,0.69,0.6957,0.6613,0.68,262624.0
2020-10-28,0.7338,0.7338,0.6613,0.6798,378146.0
2020-10-27,0.7594,0.7629,0.7011,0.7113,727655.0
2020-10-26,0.79,0.79,0.7286,0.76,563362.0
2020-10-23,0.82,0.845,0.7712,0.7975,606362.0
2020-10-22,0.79,0.96,0.7861,0.8557,2876131.0
2020-10-21,0.8,0.8,0.745,0.7869,549159.0
2020-10-20,0.77,0.7942,0.7195,0.7795,639833.0
2020-10-19,0.78,0.82,0.73,0.7459,795242.0
2020-10-16,0.76,0.8293,0.7425,0.7868,1120214.0
2020-10-15,0.75,0.8111,0.7303,0.79,1392557.0
2020-10-14,0.825,0.8295,0.7411,0.77,2723358.0
2020-10-13,1.1,1.15,0.8001,0.8899,38923803.0
2020-10-12,0.73,0.73,0.6501,0.6849,2265005.0
2020-10-09,0.61,0.675,0.61,0.6599,800504.0
2020-10-08,0.6,0.6347,0.5901,0.6199,674231.0
2020-10-07,0.583,0.615,0.5788,0.58,518118.0
2020-10-06,0.56,0.6298,0.56,0.5722,829028.0
2020-10-05,0.56,0.5822,0.56,0.5776,422452.0
2020-10-02,0.546,0.5883,0.546,0.5837,595276.0
2020-10-01,0.57,0.7,0.54,0.5998,5038694.0
2020-09-30,0.5305,0.55,0.5305,0.5395,2080529.0
2020-09-29,0.545,0.5706,0.5212,0.5476,355439.0
2020-09-28,0.5201,0.5585,0.52,0.545,399496.0
2020-09-25,0.558,0.5598,0.5,0.5109,1260675.0
2020-09-24,0.55,0.5901,0.5212,0.5601,825446.0
2020-09-23,0.6,0.6,0.541,0.55,482891.0
2020-09-22,0.58,0.6008,0.58,0.5846,273723.0
2020-09-21,0.6061,0.6095,0.5712,0.5775,346122.0
2020-09-18,0.5923,0.6181,0.5892,0.6096,401817.0
2020-09-17,0.57,0.6398,0.56,0.5891,878612.0
2020-09-16,0.62,0.6297,0.575,0.5867,1061279.0
2020-09-15,0.669,0.68,0.6255,0.6581,2137906.0
2020-09-14,0.8201,0.8454,0.61,0.6866,16612024.0
2020-09-11,0.6,0.6,0.495,0.4993,607346.0
2020-09-10,0.552,0.5693,0.5301,0.5532,676565.0
2020-09-09,0.5,0.5695,0.5,0.552,512942.0
2020-09-08,0.5,0.5565,0.481,0.5309,898473.0
2020-09-04,0.6,0.62,0.55,0.579,1174955.0
2020-09-03,0.6188,0.659,0.5735,0.6545,3005571.0
2020-09-02,0.5199,0.78,0.519,0.6338,21559923.0
2020-09-01,0.8464,1.13,0.5223,0.54,98250878.0
2020-08-31,0.3848,0.412,0.375,0.3845,239971.0
2020-08-28,0.4179,0.4179,0.4001,0.4099,160364.0
2020-08-27,0.39,0.45,0.3899,0.4195,1008052.0
2020-08-26,0.4348,0.4348,0.383,0.395,421133.0
2020-08-25,0.4,0.4129,0.38,0.402,232654.0
2020-08-24,0.3739,0.3994,0.3626,0.3905,315905.0
2020-08-21,0.39,0.4,0.3678,0.3714,319677.0
2020-08-20,0.4344,0.44,0.3723,0.378,793168.0
2020-08-19,0.47,0.47,0.4301,0.4339,544646.0
2020-08-18,0.484,0.5,0.4627,0.47,338785.0
2020-08-17,0.47,0.509,0.4509,0.4845,684608.0
2020-08-14,0.51,0.52,0.5021,0.5026,299348.0
2020-08-13,0.53,0.55,0.5101,0.5143,497833.0
2020-08-12,0.56,0.57,0.5134,0.5234,571206.0
2020-08-11,0.55,0.5801,0.55,0.5522,371761.0
2020-08-10,0.55,0.5749,0.55,0.56,346649.0
2020-08-07,0.57,0.575,0.5301,0.5574,458141.0
2020-08-06,0.56,0.5889,0.545,0.5455,697132.0
2020-08-05,0.57,0.594,0.5561,0.5601,329284.0
2020-08-04,0.53,0.587,0.5029,0.5658,974561.0
2020-08-03,0.58,0.585,0.55,0.5517,370630.0
2020-07-31,0.6209,0.63,0.54,0.5716,1141744.0
2020-07-30,0.67,0.67,0.63,0.64,1406767.0
2020-07-29,0.64,0.6599,0.6156,0.6301,1190854.0
2020-07-28,0.72,0.79,0.67,0.6844,3651692.0
2020-07-27,0.68,0.6833,0.621,0.67,1280345.0
2020-07-24,0.62,0.83,0.61,0.687,8850993.0
2020-07-23,0.8033,0.8033,0.6503,0.6598,3767838.0
2020-07-22,0.66,0.72,0.6545,0.6545,1178589.0
2020-07-21,0.69,0.713,0.65,0.695,1449247.0
2020-07-20,0.695,0.75,0.675,0.682,1493044.0
2020-07-17,0.76,0.77,0.702,0.72,2475442.0
2020-07-16,1.13,1.56,0.779,0.87,27324954.0
2020-07-15,0.627,0.65,0.608,0.63,206980.0
2020-07-14,0.62,0.63,0.574,0.602,430985.0
2020-07-13,0.67,0.682,0.615,0.62,247296.0
2020-07-10,0.699,0.71,0.655,0.669,405269.0
2020-07-09,0.735,0.74,0.67,0.69,295363.0
2020-07-08,0.7,0.748,0.7,0.721,354456.0
2020-07-07,0.73,0.73,0.71,0.717,199115.0
2020-07-06,0.75,0.75,0.719,0.74,240142.0
2020-07-02,0.679,0.75,0.679,0.73,595998.0
2020-07-01,0.72,0.72,0.659,0.7,560022.0
2020-06-30,0.66,0.71,0.66,0.692,298090.0
2020-06-29,0.65,0.7,0.6249,0.6886,832512.0
