date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,7.23,7.24,7.23,7.23,346.0
2021-03-16,7.22,7.24,7.2,7.2325,6074.0
2021-03-15,7.31,7.31,7.24,7.24,1780.0
2021-03-12,7.26,7.31,7.26,7.3,4151.0
2021-03-11,7.26,7.3,7.21,7.3,2188.0
2021-03-10,7.24,7.26,7.24,7.26,2441.0
2021-03-09,7.23,7.24,7.18,7.24,32511.0
2021-03-08,7.16,7.1862,7.16,7.18,6279.0
2021-03-05,7.15,7.19,7.14,7.18,7307.0
2021-03-04,7.2,7.2895,7.16,7.16,10676.0
2021-03-03,7.23,7.25,7.23,7.25,229.0
2021-03-02,7.26,7.3076,7.209,7.265,1876.0
2021-03-01,7.23,7.31,7.22,7.3,9247.0
2021-02-26,7.23,7.23,7.16,7.2,53700.0
2021-02-25,7.33,7.33,7.18,7.23,8071.0
2021-02-24,7.22,7.26,7.21,7.26,5627.0
2021-02-23,7.26,7.36,7.17,7.26,8495.0
2021-02-22,7.2,7.25,7.2,7.25,6250.0
2021-02-19,7.21,7.235,7.19,7.235,1240.0
2021-02-18,7.21,7.21,7.19,7.21,13334.0
2021-02-17,7.2101,7.2101,7.21,7.21,1855.0
2021-02-16,7.33,7.3469,7.16,7.21,19642.0
2021-02-12,7.3,7.32,7.1493,7.24,11905.0
2021-02-11,7.2,7.42,7.2,7.28,6441.0
2021-02-10,7.38,7.38,7.26,7.26,1213.0
2021-02-09,7.24,7.3,7.1501,7.3,6270.0
2021-02-08,7.3,7.3,7.2524,7.26,1314.0
2021-02-05,7.25,7.29,7.2001,7.28,8088.0
2021-02-04,7.2,7.25,7.19,7.24,5571.0
2021-02-03,7.2,7.2,7.15,7.181,6193.0
2021-02-02,7.16,7.2,7.16,7.18,11946.0
2021-02-01,7.19,7.2,7.17,7.17,2669.0
2021-01-29,7.2,7.2,7.1873,7.19,2662.0
2021-01-28,7.18,7.19,7.15,7.18,8899.0
2021-01-27,7.05,7.14,7.05,7.13,25383.0
2021-01-26,7.04,7.12,7.04,7.08,4333.0
2021-01-25,7.03,7.08,7.03,7.08,5526.0
2021-01-22,7.03,7.0689,7.03,7.06,9829.0
2021-01-21,7.01,7.09,6.415,7.07,26059.0
2021-01-20,7.06,7.0836,7.06,7.0836,1131.0
2021-01-19,7.02,7.09,7.02,7.07,18370.0
2021-01-15,7.05,7.1,7.05,7.06,2865.0
2021-01-14,7.09,7.09,7.07,7.09,5573.0
2021-01-13,7.05,7.11,7.05,7.11,2337.0
2021-01-12,7.07,7.088,7.06,7.0799,10762.0
2021-01-11,7.07,7.1,7.01,7.08,7224.0
2021-01-08,7.1594,7.1965,7.1201,7.1201,5353.0
2021-01-07,7.2,7.2,7.1378,7.15,6731.0
2021-01-06,7.1,7.16,7.1,7.16,6612.0
2021-01-05,7.12,7.165,7.12,7.14,2934.0
2021-01-04,7.18,7.1844,7.16,7.16,7928.0
2020-12-31,7.2,7.2,7.16,7.19,5848.0
2020-12-30,7.1601,7.21,7.1601,7.2,3935.0
2020-12-29,7.16,7.21,7.09,7.21,26616.0
2020-12-28,7.25,7.25,7.15,7.2,14230.0
2020-12-24,7.17,7.22,7.16,7.2,5542.0
2020-12-23,7.1655,7.21,7.1634,7.21,4319.0
2020-12-22,7.19,7.19,7.1,7.18,15004.0
2020-12-21,7.09,7.1575,7.09,7.13,9074.0
2020-12-18,7.17,7.21,7.155,7.2,11772.0
2020-12-17,7.07,7.19,7.07,7.19,46495.0
2020-12-16,7.01,7.16,7.01,7.13,35637.0
2020-12-15,7.2299,7.2299,7.0122,7.02,107275.0
2020-12-14,7.15,7.2199,7.08,7.08,30502.0
2020-12-11,7.25,7.5,7.16,7.16,14152.0
2020-12-10,7.18,7.23,7.16,7.16,10698.0
2020-12-09,7.25,7.5,7.1501,7.22,17213.0
2020-12-08,7.2451,7.2494,7.185,7.185,3225.0
2020-12-07,7.14,7.2098,7.14,7.18,901.0
2020-12-04,7.15,7.22,7.12,7.15,7655.0
2020-12-03,7.31,7.31,7.15,7.1774,8212.0
2020-12-02,7.32,7.32,7.185,7.229,3312.0
2020-12-01,7.22,7.25,7.2139,7.2439,2691.0
2020-11-30,7.22,7.22,7.09,7.21,7505.0
2020-11-27,7.21,7.21,7.14,7.175,1713.0
2020-11-25,7.18,7.18,7.04,7.1,8684.0
2020-11-24,7.22,7.22,7.081,7.2,12157.0
2020-11-23,7.15,7.22,7.01,7.22,5537.0
2020-11-20,7.2,7.2,7.116,7.19,5600.0
2020-11-19,7.16,7.25,6.95,7.25,38158.0
2020-11-18,7.04,7.1,6.93,7.09,47482.0
2020-11-17,7.04,7.04,6.91,7.0,12863.0
2020-11-16,7.01,7.0109,6.89,6.96,12463.0
2020-11-13,6.89,6.94,6.86,6.93,53617.0
2020-11-12,6.8901,6.9,6.86,6.88,188394.0
2020-11-11,6.986,7.0227,6.95,6.98,14235.0
2020-11-10,7.04,7.04,6.97,6.99,5838.0
2020-11-09,6.96,6.98,6.91,6.94,32381.0
2020-11-06,6.9438,6.9438,6.9438,6.9438,3.0
2020-11-05,6.97,6.97,6.92,6.9438,1422.0
2020-11-04,6.92,6.97,6.92,6.94,13953.0
2020-11-03,6.9,6.9737,6.9,6.9737,451.0
2020-11-02,7.04,7.04,6.91,6.91,2789.0
2020-10-30,6.8574,6.95,6.8574,6.93,6998.0
2020-10-29,6.96,6.98,6.8537,6.98,4730.0
2020-10-28,6.865,6.934,6.865,6.89,5691.0
2020-10-27,6.91,6.9244,6.83,6.8776,3432.0
2020-10-26,6.868,7.02,6.84,6.8409,5758.0
2020-10-23,7.04,7.04,6.9,6.92,6505.0
2020-10-22,6.88,7.0,6.8601,6.93,23706.0
