date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,9.31,9.365,9.31,9.34,519731.0
2021-03-16,9.35,9.355,9.29,9.33,630913.0
2021-03-15,9.42,9.4203,9.34,9.36,487913.0
2021-03-12,9.43,9.44,9.33,9.4,686873.0
2021-03-11,9.5,9.52,9.48,9.5,299951.0
2021-03-10,9.5,9.517,9.46,9.48,318503.0
2021-03-09,9.45,9.5,9.42,9.46,334050.0
2021-03-08,9.41,9.44,9.36,9.39,488569.0
2021-03-05,9.44,9.44,9.31,9.39,379774.0
2021-03-04,9.44,9.445,9.31,9.39,424080.0
2021-03-03,9.37,9.4357,9.36,9.42,329032.0
2021-03-02,9.36,9.43,9.32,9.39,483129.0
2021-03-01,9.38,9.41,9.3413,9.37,551659.0
2021-02-26,9.22,9.31,9.22,9.29,361893.0
2021-02-25,9.44,9.4942,9.2,9.21,788398.0
2021-02-24,9.44,9.48,9.41,9.47,387778.0
2021-02-23,9.48,9.51,9.42,9.46,404526.0
2021-02-22,9.48,9.52,9.45,9.5,436368.0
2021-02-19,9.47,9.56,9.47,9.52,384189.0
2021-02-18,9.41,9.505,9.375,9.48,462756.0
2021-02-17,9.46,9.48,9.42,9.47,483898.0
2021-02-16,9.52,9.54,9.46,9.51,483167.0
2021-02-12,9.63,9.67,9.52,9.53,359911.0
2021-02-11,9.63,9.6799,9.59,9.64,251555.0
2021-02-10,9.66,9.71,9.63,9.7,459063.0
2021-02-09,9.67,9.7,9.6,9.64,824355.0
2021-02-08,9.66,9.74,9.65,9.69,394882.0
2021-02-05,9.6,9.6862,9.6,9.67,463835.0
2021-02-04,9.55,9.62,9.51,9.62,525268.0
2021-02-03,9.48,9.58,9.41,9.56,859367.0
2021-02-02,9.37,9.48,9.37,9.44,485995.0
2021-02-01,9.35,9.4,9.35,9.37,470958.0
2021-01-29,9.34,9.37,9.31,9.34,452477.0
2021-01-28,9.24,9.39,9.235,9.35,480836.0
2021-01-27,9.23,9.3,9.21,9.24,401627.0
2021-01-26,9.3,9.3056,9.25,9.25,554678.0
