date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,2.7,2.89,2.64,2.89,130828.0
2021-03-12,2.5,2.68,2.5,2.66,183037.0
2021-03-11,2.5,2.6,2.39,2.41,193416.0
2021-03-10,2.56,2.62,2.4,2.45,117931.0
2021-03-09,2.38,2.64,2.37,2.5,126259.0
2021-03-08,2.21,2.43,2.2,2.4,153540.0
2021-03-05,2.2,2.24,2.02,2.15,256743.0
2021-03-04,2.5,2.51,2.2,2.24,273636.0
2021-03-03,2.34,2.5599,2.3,2.47,465081.0
2021-03-02,2.54,2.54,2.26,2.35,301302.0
2021-03-01,2.43,2.48,2.3557,2.42,116357.0
2021-02-26,2.65,2.7,2.3,2.31,232408.0
2021-02-25,2.86,2.91,2.62,2.62,212544.0
2021-02-24,2.8,3.01,2.8,2.85,147436.0
2021-02-23,3.09,3.099,2.7608,2.79,327990.0
2021-02-22,3.33,3.37,3.18,3.19,258211.0
2021-02-19,3.72,3.773,3.31,3.31,233172.0
2021-02-18,3.71,3.78,3.6,3.65,148523.0
2021-02-17,3.57,3.87,3.54,3.7,455944.0
2021-02-16,4.82,5.39,3.85,3.94,1614526.0
2021-02-12,3.77,4.6,3.75,4.54,789369.0
2021-02-11,3.8,3.94,3.6,3.82,226005.0
2021-02-10,3.87,3.95,3.2404,3.8,420794.0
2021-02-09,3.71,3.85,3.55,3.78,322469.0
2021-02-08,3.59,3.7,3.52,3.6,376071.0
2021-02-05,3.59,3.79,3.4,3.52,951712.0
2021-02-04,3.29,3.4962,3.2,3.49,205492.0
2021-02-03,3.1,3.3,3.09,3.28,121695.0
2021-02-02,3.1,3.17,2.96,3.09,138750.0
2021-02-01,3.0,3.15,2.98,3.08,149970.0
2021-01-29,3.12,3.21,2.96,2.96,141384.0
2021-01-28,3.25,3.31,3.08,3.14,204193.0
2021-01-27,3.1,3.34,3.05,3.14,248817.0
2021-01-26,3.51,3.5599,3.3,3.44,221143.0
2021-01-25,3.3,3.74,3.21,3.51,735789.0
2021-01-22,3.01,3.2285,2.925,3.16,221774.0
2021-01-21,3.0,3.14,2.92,3.01,234452.0
2021-01-20,2.97,3.0558,2.88,2.97,137272.0
2021-01-19,3.0,3.09,2.87,2.97,139899.0
