date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,44.81,45.04,44.32,45.03,133991.0
2021-03-12,44.61,44.83,44.165,44.4,433824.0
2021-03-11,45.73,45.73,44.91,45.16,437173.0
2021-03-10,44.67,45.21,44.13,44.99,588257.0
2021-03-09,45.2,45.72,44.4,44.71,428153.0
2021-03-08,43.75,44.01,43.105,43.62,362921.0
2021-03-05,41.62,41.82,40.88,41.63,332543.0
2021-03-04,40.74,41.055,39.85,39.92,208758.0
2021-03-03,40.33,40.58,40.04,40.2,228222.0
2021-03-02,39.58,39.99,39.39,39.76,291855.0
2021-03-01,39.18,39.36,38.54,39.21,203267.0
2021-02-26,39.09,39.15,38.32,38.32,149949.0
2021-02-25,39.99,40.28,39.13,39.49,222640.0
2021-02-24,39.11,39.39,38.88,39.29,154217.0
2021-02-23,39.17,39.495,38.66,39.18,212722.0
2021-02-22,38.9,39.415,38.718,38.92,210991.0
2021-02-19,39.81,39.97,39.55,39.74,163181.0
2021-02-18,39.47,39.57,39.15,39.41,137524.0
2021-02-17,40.32,40.72,40.17,40.63,119009.0
2021-02-16,40.88,40.88,40.13,40.37,170235.0
2021-02-12,40.64,40.96,40.4,40.92,91669.0
2021-02-11,40.59,40.6147,39.96,40.5,156004.0
2021-02-10,41.0,41.14,40.34,40.39,129394.0
2021-02-09,39.79,40.3,39.69,40.19,121561.0
2021-02-08,40.04,40.07,39.41,39.79,199787.0
2021-02-05,39.28,39.44,39.04,39.18,327402.0
2021-02-04,37.91,37.91,36.98,37.54,312042.0
2021-02-03,37.58,37.79,37.26,37.62,299601.0
2021-02-02,37.86,37.98,37.52,37.77,278564.0
2021-02-01,37.75,38.2299,37.5131,38.14,457940.0
2021-01-29,36.5,37.02,36.26,36.26,619248.0
2021-01-28,37.13,37.85,36.7994,37.54,277539.0
2021-01-27,38.25,38.3,37.22,37.23,106014.0
2021-01-26,39.27,39.38,38.67,39.04,231938.0
2021-01-25,40.01,40.01,39.42,39.91,66192.0
2021-01-22,40.08,40.1111,39.66,39.88,102820.0
2021-01-21,40.95,40.95,40.52,40.8,158160.0
2021-01-20,40.99,41.44,40.89,41.25,156714.0
2021-01-19,41.28,41.28,40.51,40.9,163056.0
2021-01-15,41.23,41.43,40.76,40.95,150104.0
2021-01-14,42.71,43.18,42.58,42.83,106399.0
2021-01-13,42.96,43.1,42.52,43.1,113540.0
2021-01-12,41.82,42.42,41.82,42.4,86480.0
2021-01-11,41.69,42.14,41.61,41.97,101904.0
2021-01-08,42.51,42.54,41.72,42.35,108616.0
2021-01-07,42.34,42.43,41.93,42.07,122276.0
2021-01-06,40.42,41.46,40.3,41.03,114025.0
2021-01-05,39.86,40.17,39.8,39.93,83675.0
2021-01-04,39.33,39.56,38.68,39.13,164975.0
2020-12-31,39.64,39.69,39.35,39.6,52552.0
2020-12-30,39.57,40.0,39.39,39.64,110772.0
2020-12-29,40.0,40.09,39.5,39.5,118761.0
2020-12-28,41.32,41.44,40.93,40.97,96395.0
2020-12-24,40.94,41.09,40.62,40.88,106738.0
2020-12-23,39.78,40.03,39.52,39.95,105637.0
2020-12-22,40.41,40.48,39.83,39.83,280040.0
2020-12-21,40.66,40.83,40.4,40.74,134090.0
2020-12-18,41.28,41.29,40.81,40.89,155391.0
2020-12-17,41.79,42.17,41.51,41.88,213580.0
2020-12-16,42.38,42.64,42.22,42.61,83305.0
2020-12-15,42.46,42.92,42.26,42.89,98052.0
2020-12-14,43.23,43.275,42.41,42.46,211705.0
2020-12-11,43.0,43.08,42.47,43.01,267170.0
2020-12-10,42.69,43.51,42.6,43.33,453793.0
2020-12-09,42.35,42.59,42.25,42.35,284895.0
2020-12-08,42.13,42.26,41.72,42.01,270054.0
2020-12-07,43.77,43.77,43.145,43.25,81824.0
2020-12-04,43.47,43.95,43.25,43.83,148524.0
2020-12-03,43.05,43.57,43.0,43.2,149885.0
2020-12-02,42.62,42.89,42.3641,42.75,146935.0
2020-12-01,42.15,42.4,41.76,42.04,221067.0
2020-11-30,41.84,42.09,41.46,41.59,146932.0
2020-11-27,43.39,43.83,43.35,43.61,75994.0
2020-11-25,43.21,43.67,43.13,43.39,115755.0
2020-11-24,42.6,42.6,41.78,42.47,87370.0
2020-11-23,41.97,42.21,41.76,41.79,109257.0
2020-11-20,41.18,41.47,41.021,41.4,519770.0
2020-11-19,41.41,41.5,41.03,41.44,158312.0
2020-11-18,42.25,42.66,42.18,42.26,93323.0
2020-11-17,41.84,42.28,41.77,41.99,148844.0
2020-11-16,42.23,42.23,41.3,41.41,207311.0
2020-11-13,40.89,41.42,40.8,41.28,89121.0
2020-11-12,41.59,41.88,41.01,41.2,139530.0
2020-11-11,42.45,42.53,41.83,42.18,177158.0
2020-11-10,40.01,40.53,40.01,40.42,206559.0
2020-11-09,40.07,41.24,39.925,40.21,260404.0
2020-11-06,38.42,38.42,38.01,38.31,83380.0
2020-11-05,38.02,38.57,37.99,38.4,77354.0
