date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,4.51,4.59,4.5,4.55,10529.0
2021-03-12,4.64,4.64,4.48,4.58,8860.0
2021-03-11,4.47,4.6,4.47,4.5861,7503.0
2021-03-10,4.45,4.6,4.343,4.55,10633.0
2021-03-09,4.5,4.65,4.49,4.5011,2230.0
2021-03-08,4.32,4.61,4.32,4.5,7294.0
2021-03-05,4.545,4.57,4.42,4.5,10181.0
2021-03-04,4.64,4.64,4.41,4.5,5508.0
2021-03-03,4.662,4.751,4.64,4.66,4353.0
2021-03-02,4.8,4.8,4.621,4.76,4343.0
2021-03-01,4.59,4.92,4.5728,4.68,28856.0
2021-02-26,4.7,4.7,4.46,4.54,6446.0
2021-02-25,4.5875,4.77,4.5,4.545,8548.0
2021-02-24,4.62,4.74,4.6,4.64,2336.0
2021-02-23,4.67,4.67,4.4515,4.65,5190.0
2021-02-22,4.55,4.575,4.468,4.53,5790.0
2021-02-19,4.55,4.63,4.5,4.61,3835.0
2021-02-18,4.75,4.75,4.6,4.61,32282.0
2021-02-17,4.65,4.715,4.59,4.69,5767.0
2021-02-16,4.56,4.69,4.5303,4.62,5495.0
2021-02-12,4.38,4.65,4.38,4.62,8350.0
2021-02-11,4.48,4.5039,4.44,4.44,11357.0
2021-02-10,4.52,4.54,4.4604,4.51,7705.0
2021-02-09,4.62,4.62,4.48,4.55,26695.0
2021-02-08,4.63,4.69,4.59,4.65,5822.0
2021-02-05,4.57,4.6,4.42,4.54,33383.0
2021-02-04,4.52,4.5993,4.52,4.57,9376.0
2021-02-03,4.69,4.69,4.5,4.575,23604.0
2021-02-02,4.5,4.72,4.48,4.64,34937.0
2021-02-01,4.59,4.69,4.35,4.35,37255.0
2021-01-29,4.48,4.7082,4.46,4.57,10229.0
2021-01-28,4.58,4.646,4.387,4.52,18199.0
2021-01-27,4.62,4.75,4.5,4.58,46809.0
2021-01-26,4.61,4.86,4.61,4.75,17504.0
2021-01-25,4.81,4.9,4.7,4.7,8673.0
2021-01-22,4.82,4.87,4.64,4.75,4146.0
2021-01-21,4.87,4.87,4.67,4.86,8854.0
2021-01-20,4.89,4.98,4.739,4.8,22341.0
2021-01-19,4.8,4.98,4.7938,4.94,16916.0
2021-01-15,4.89,4.98,4.86,4.86,20885.0
2021-01-14,4.6495,4.9,4.6495,4.87,27023.0
2021-01-13,4.77,4.94,4.71,4.89,11336.0
2021-01-12,4.81,4.9808,4.47,4.94,38899.0
2021-01-11,5.45,5.5,4.64,4.8,106790.0
2021-01-08,4.82,5.5,4.8,5.355,154418.0
2021-01-07,4.55,4.66,4.55,4.63,4532.0
2021-01-06,4.67,4.69,4.55,4.55,19424.0
2021-01-05,4.66,4.69,4.5,4.61,22430.0
2021-01-04,4.6522,4.71,4.6028,4.71,12999.0
2020-12-31,4.71,4.8,4.69,4.7,28584.0
2020-12-30,4.7,4.75,4.65,4.72,24709.0
2020-12-29,4.63,4.73,4.5954,4.65,16398.0
2020-12-28,4.6,4.75,4.55,4.66,20159.0
2020-12-24,4.61,4.62,4.55,4.57,8557.0
2020-12-23,4.62,4.62,4.55,4.56,8147.0
2020-12-22,4.65,4.65,4.53,4.62,21924.0
2020-12-21,4.61,4.65,4.5,4.65,33667.0
2020-12-18,4.47,4.61,4.47,4.61,48359.0
2020-12-17,4.49,4.5,4.39,4.45,43916.0
2020-12-16,4.49,4.5,4.33,4.45,48541.0
2020-12-15,4.45,4.5,4.4,4.5,31736.0
2020-12-14,4.2715,4.44,4.2702,4.41,31876.0
2020-12-11,4.3,4.39,4.25,4.29,37097.0
2020-12-10,4.3599,4.4247,4.28,4.3,22591.0
2020-12-09,4.26,4.45,4.2,4.26,17287.0
2020-12-08,4.39,4.45,4.3016,4.39,15169.0
2020-12-07,4.43,4.43,4.16,4.3,20799.0
2020-12-04,4.1,4.49,4.0947,4.28,89971.0
2020-12-03,3.7,4.09,3.67,4.08,224413.0
2020-12-02,3.2,4.39,3.2,3.9,699374.0
2020-12-01,3.0579,3.06,3.03,3.03,3121.0
2020-11-30,3.11,3.11,3.04,3.09,3869.0
2020-11-27,3.0945,3.0945,3.0945,3.0945,311.0
2020-11-25,3.05,3.08,3.05,3.06,2594.0
2020-11-24,3.071,3.1459,3.071,3.1,4271.0
2020-11-23,3.1229,3.1229,3.07,3.07,11024.0
2020-11-20,3.07,3.15,3.07,3.15,2331.0
2020-11-19,3.11,3.11,3.055,3.07,1237.0
2020-11-18,3.07,3.07,3.05,3.07,9233.0
2020-11-17,3.07,3.07,3.07,3.07,1462.0
2020-11-16,3.16,3.16,3.09,3.09,2876.0
2020-11-13,3.2497,3.25,3.15,3.15,7181.0
2020-11-12,3.24,3.24,3.15,3.18,2413.0
2020-11-11,3.19,3.19,3.19,3.19,437.0
2020-11-10,3.2,3.23,3.2,3.21,960.0
2020-11-09,3.33,3.33,3.14,3.2,22984.0
2020-11-06,3.18,3.2,3.1,3.2,10567.0
2020-11-05,3.195,3.2399,3.18,3.2012,9462.0
2020-11-04,3.1594,3.22,3.0853,3.22,8761.0
2020-11-03,3.32,3.32,3.06,3.06,4538.0
2020-11-02,3.23,3.3,3.2,3.24,12411.0
2020-10-30,3.23,3.24,3.2,3.21,6034.0
2020-10-29,3.18,3.22,3.16,3.2,5360.0
2020-10-28,3.02,3.15,3.02,3.15,8818.0
