date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,6.62,6.65,6.57,6.64,90702.0
2021-03-12,6.59,6.62,6.56,6.6,128749.0
2021-03-11,6.56,6.6,6.53,6.57,119660.0
2021-03-10,6.39,6.59,6.34,6.54,221096.0
2021-03-09,6.32,6.41,6.26,6.37,254892.0
2021-03-08,6.35,6.39,6.28,6.29,208862.0
2021-03-05,6.38,6.41,6.15,6.29,204209.0
2021-03-04,6.39,6.42,6.22,6.28,407780.0
2021-03-03,6.37,6.41,6.34,6.36,296482.0
2021-03-02,6.34,6.39,6.28,6.35,75936.0
2021-03-01,6.16,6.44,6.16,6.32,247713.0
2021-02-26,6.27,6.31,6.08,6.14,220546.0
2021-02-25,6.56,6.56,6.27,6.28,267574.0
2021-02-24,6.41,6.59,6.41,6.53,257371.0
2021-02-23,6.4,6.42,6.21,6.39,528227.0
2021-02-22,6.34,6.44,6.34,6.39,431164.0
2021-02-19,6.27,6.34,6.27,6.31,105541.0
2021-02-18,6.35,6.4,6.22,6.25,249611.0
2021-02-17,6.49,6.49,6.37,6.41,198384.0
2021-02-16,6.53,6.57,6.44,6.45,180925.0
2021-02-12,6.35,6.465,6.35,6.43,138753.0
2021-02-11,6.49,6.55,6.37,6.42,266842.0
2021-02-10,6.52,6.55,6.46,6.48,221928.0
2021-02-09,6.56,6.56,6.46,6.53,190057.0
2021-02-08,6.44,6.56,6.44,6.56,176698.0
2021-02-05,6.34,6.49,6.32,6.4,214631.0
2021-02-04,6.29,6.31,6.22,6.29,188394.0
2021-02-03,6.15,6.25,6.15,6.22,204999.0
2021-02-02,6.18,6.25,6.12,6.12,174645.0
2021-02-01,6.19,6.2,6.02,6.08,179682.0
2021-01-29,6.06,6.18,5.99,6.02,190056.0
2021-01-28,6.06,6.14,6.05,6.12,142856.0
2021-01-27,6.25,6.26,5.96,6.05,421427.0
2021-01-26,6.35,6.43,6.25,6.26,171464.0
2021-01-25,6.18,6.31,6.15,6.29,232052.0
2021-01-22,6.24,6.3,6.16,6.25,231864.0
2021-01-21,6.47,6.47,6.3,6.3,379998.0
2021-01-20,6.51,6.56,6.41,6.44,176732.0
2021-01-19,6.55,6.6,6.48,6.48,175588.0
2021-01-15,6.63,6.65,6.5,6.53,185354.0
2021-01-14,6.72,6.73,6.67,6.7,244523.0
2021-01-13,6.61,6.67,6.565,6.63,324044.0
2021-01-12,6.47,6.64,6.4401,6.61,223177.0
2021-01-11,6.41,6.48,6.39,6.43,146593.0
2021-01-08,6.53,6.5697,6.38,6.45,218060.0
2021-01-07,6.29,6.47,6.245,6.47,439446.0
2021-01-06,6.04,6.31,6.01,6.2,319312.0
2021-01-05,5.76,6.03,5.76,5.99,196775.0
2021-01-04,5.81,5.86,5.72,5.73,234745.0
2020-12-31,5.65,5.77,5.62,5.75,585187.0
2020-12-30,5.64,5.72,5.6,5.61,399694.0
2020-12-29,5.55,5.62,5.48,5.6,413365.0
2020-12-28,5.61,5.65,5.49,5.53,293890.0
2020-12-24,5.61,5.6599,5.57,5.58,152541.0
2020-12-23,5.61,5.69,5.6,5.61,239873.0
2020-12-22,5.53,5.63,5.53,5.57,227040.0
2020-12-21,5.55,5.72,5.4994,5.6,401895.0
2020-12-18,5.79,5.8593,5.66,5.66,214564.0
2020-12-17,5.84,5.91,5.84,5.87,299783.0
2020-12-16,5.83,5.88,5.775,5.84,426755.0
2020-12-15,5.7,5.89,5.7,5.82,204055.0
2020-12-14,5.85,5.9401,5.66,5.67,309541.0
2020-12-11,5.81,5.8784,5.76,5.78,91601.0
2020-12-10,5.66,5.84,5.66,5.82,254463.0
2020-12-09,5.82,5.89,5.655,5.66,204948.0
2020-12-08,5.75,5.87,5.75,5.78,277011.0
2020-12-07,5.99,6.0,5.77,5.82,476738.0
2020-12-04,5.78,6.0427,5.78,6.03,388297.0
2020-12-03,5.55,5.74,5.45,5.7,423295.0
2020-12-02,5.29,5.54,5.29,5.53,256099.0
2020-12-01,5.3,5.42,5.3,5.38,301926.0
2020-11-30,5.36,5.41,5.21,5.25,229535.0
2020-11-27,5.37,5.4299,5.3,5.33,157216.0
2020-11-25,5.7,5.7,5.37,5.41,600365.0
2020-11-24,5.45,5.54,5.42,5.42,331440.0
2020-11-23,5.16,5.35,5.16,5.33,160972.0
2020-11-20,5.16,5.19,5.12,5.12,78271.0
2020-11-19,4.97,5.17,4.95,5.17,243931.0
2020-11-18,5.08,5.2,4.99,4.99,301554.0
2020-11-17,4.95,5.1,4.8915,5.05,108193.0
2020-11-16,5.0,5.1,4.94,5.0,301928.0
2020-11-13,4.74,4.86,4.74,4.85,297905.0
2020-11-12,4.8,4.85,4.7,4.75,127199.0
2020-11-11,4.9,4.9,4.76,4.81,258336.0
2020-11-10,4.74,4.83,4.65,4.83,281975.0
2020-11-09,4.54,4.72,4.5389,4.68,364083.0
2020-11-06,4.4,4.4399,4.29,4.29,266574.0
2020-11-05,4.3,4.4336,4.3,4.4,245260.0
2020-11-04,4.28,4.37,4.2109,4.3,155494.0
2020-11-03,4.26,4.34,4.23,4.26,186098.0
2020-11-02,4.19,4.25,4.1601,4.21,200361.0
2020-10-30,4.25,4.25,4.15,4.19,191228.0
2020-10-29,4.11,4.27,4.1,4.27,193998.0
2020-10-28,4.3,4.31,4.18,4.19,246363.0
2020-10-27,4.38,4.4347,4.37,4.37,89022.0
