date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,47.89,48.385,47.53,47.65,161110.0
2021-03-11,47.55,48.47,47.26,48.09,162090.0
2021-03-10,47.25,47.79,46.81,47.43,207557.0
2021-03-09,47.22,47.34,46.42,47.25,228952.0
2021-03-08,46.6,47.68,45.81,46.88,195656.0
2021-03-05,45.75,47.0861,45.45,46.5,162487.0
2021-03-04,44.73,46.0,44.19,45.43,292249.0
2021-03-03,44.2,44.67,43.66,44.4,206179.0
2021-03-02,43.07,44.5,43.07,44.21,186509.0
2021-03-01,42.4,43.4,42.4,43.31,289786.0
2021-02-26,42.42,43.34,41.53,42.21,262519.0
2021-02-25,44.65,44.98,42.46,42.51,256195.0
2021-02-24,43.73,44.66,43.61,44.18,108455.0
2021-02-23,44.44,44.77,43.76,43.96,111068.0
2021-02-22,45.15,45.26,44.01,44.12,161483.0
2021-02-19,46.24,46.24,45.15,45.19,188376.0
2021-02-18,45.4,46.45,45.15,45.87,250762.0
2021-02-17,45.29,45.73,45.07,45.47,146560.0
2021-02-16,45.56,45.56,44.86,45.29,121394.0
2021-02-12,44.42,45.2815,44.2709,44.9,148138.0
2021-02-11,44.83,45.3773,44.1,44.42,98361.0
2021-02-10,45.29,45.73,44.11,44.92,110570.0
2021-02-09,45.02,45.2687,44.5451,44.91,96282.0
2021-02-08,45.24,45.24,44.05,44.4,85934.0
2021-02-05,44.42,45.13,44.14,44.9,66908.0
2021-02-04,44.36,44.57,43.78,43.95,84353.0
2021-02-03,45.0,45.63,44.53,44.53,89121.0
2021-02-02,44.99,45.47,44.57,44.91,85621.0
2021-02-01,43.78,44.66,43.46,44.39,66802.0
2021-01-29,44.94,44.94,43.07,43.54,166164.0
2021-01-28,44.95,45.15,44.34,44.77,94261.0
2021-01-27,45.91,46.15,44.41,44.41,101287.0
2021-01-26,45.7,46.79,45.355,46.5,93518.0
2021-01-25,46.46,46.595,45.55,45.85,137928.0
2021-01-22,46.09,46.43,45.45,46.39,131564.0
2021-01-21,47.22,47.6,46.1034,46.37,101865.0
2021-01-20,47.49,47.49,45.97,46.81,192132.0
2021-01-19,47.61,47.61,45.8,47.05,147990.0
