date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,10.73,10.73,10.46,10.5,79167.0
2021-03-12,10.92,10.925,10.63,10.63,73028.0
2021-03-11,11.05,11.05,10.7,10.82,117761.0
2021-03-10,10.7,11.05,10.6501,11.01,109039.0
2021-03-09,10.84,10.84,10.52,10.65,127819.0
2021-03-08,11.03,11.05,10.61,10.72,91095.0
2021-03-05,10.78,11.0,10.36,10.72,113813.0
2021-03-04,10.96,11.0,10.27,10.78,227993.0
2021-03-03,10.72,11.03,10.72,10.87,142271.0
2021-03-02,10.73,11.04,10.7,10.89,113749.0
2021-03-01,10.47,10.79,10.37,10.73,228925.0
2021-02-26,10.18,10.54,10.16,10.35,174525.0
2021-02-25,10.16,10.8,10.1,10.35,319406.0
2021-02-24,9.75,10.34,9.68,10.21,346408.0
2021-02-23,9.99,10.0,9.55,9.8,169444.0
2021-02-22,9.7,10.0433,9.65,9.84,250336.0
2021-02-19,9.76,9.937,9.6,9.73,128054.0
2021-02-18,10.04,10.0495,9.7,9.75,88713.0
2021-02-17,10.13,10.1899,9.85,10.02,74348.0
2021-02-16,9.84,10.23,9.82,10.0,211102.0
2021-02-12,9.32,9.76,9.32,9.74,122419.0
2021-02-11,9.6,9.65,9.25,9.46,153479.0
2021-02-10,9.15,9.6855,9.06,9.58,467236.0
2021-02-09,8.93,9.25,8.9001,9.15,218970.0
2021-02-08,8.8,9.1292,8.79,9.0,373738.0
2021-02-05,8.82,8.82,8.6,8.75,190832.0
2021-02-04,8.8,8.9599,8.55,8.68,147950.0
2021-02-03,8.57,8.8,8.51,8.77,135464.0
2021-02-02,8.53,8.554,8.38,8.51,143461.0
2021-02-01,8.34,8.4999,8.09,8.3,287685.0
2021-01-29,8.55,8.689,8.26,8.36,141513.0
2021-01-28,8.82,8.82,8.53,8.74,222814.0
2021-01-27,8.7,8.9194,8.63,8.69,181227.0
2021-01-26,8.98,9.02,8.76,8.88,193725.0
2021-01-25,8.96,8.965,8.63,8.82,149102.0
2021-01-22,8.75,8.8728,8.59,8.74,149657.0
2021-01-21,9.0,9.07,8.85,8.85,208018.0
2021-01-20,9.34,9.34,9.02,9.1,145941.0
2021-01-19,8.79,9.38,8.7262,9.28,194373.0
2021-01-15,8.91,8.92,8.59,8.62,191417.0
2021-01-14,9.48,9.72,8.75,8.83,343747.0
2021-01-13,9.48,9.58,9.16,9.22,135301.0
2021-01-12,9.33,9.67,9.1801,9.58,201739.0
2021-01-11,8.81,9.36,8.8,9.19,213068.0
2021-01-08,8.93,9.16,8.86,8.87,144304.0
2021-01-07,8.8,9.05,8.6,8.94,157726.0
2021-01-06,8.98,9.155,8.65,8.74,179508.0
2021-01-05,8.7,9.15,8.57,8.92,211328.0
2021-01-04,8.1,8.4899,7.91,8.44,246529.0
2020-12-31,7.94,7.9664,7.75,7.91,148715.0
2020-12-30,7.82,8.15,7.81,7.92,197756.0
2020-12-29,8.0,8.01,7.65,7.91,322151.0
2020-12-28,8.18,8.35,7.81,7.91,263306.0
2020-12-24,8.3,8.35,8.15,8.15,45764.0
