date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,15.0,17.67,14.93,17.09,6376505.0
2021-03-12,13.17,15.36,13.06,15.08,7996378.0
2021-03-11,11.95,13.11,11.46,12.78,3907219.0
2021-03-10,11.35,12.067,11.35,11.97,2389774.0
2021-03-09,11.15,11.58,10.83,11.15,2994934.0
2021-03-08,11.17,11.325,10.7598,10.91,1841981.0
2021-03-05,11.13,11.44,9.5,11.0,2079881.0
2021-03-04,11.54,11.75,10.55,10.97,1179971.0
2021-03-03,11.81,11.98,11.49,11.65,678264.0
2021-03-02,11.72,12.25,11.67,11.81,911768.0
2021-03-01,11.24,11.83,11.16,11.81,810610.0
2021-02-26,10.95,11.14,10.46,10.77,1697970.0
2021-02-25,11.93,11.95,10.83,10.86,1644439.0
2021-02-24,11.92,12.18,11.5,11.99,1230926.0
2021-02-23,11.95,12.53,11.12,11.77,2323933.0
2021-02-22,11.83,12.51,11.83,12.25,1463753.0
2021-02-19,12.02,12.45,11.99,12.07,1893317.0
2021-02-18,12.08,12.33,11.22,11.94,1239327.0
2021-02-17,12.94,13.0,12.2,12.35,989610.0
2021-02-16,12.32,13.3,12.15,12.72,2043385.0
2021-02-12,12.17,12.56,12.16,12.24,707070.0
2021-02-11,12.88,13.01,12.05,12.21,1286311.0
2021-02-10,13.5,13.78,12.62,12.83,2551167.0
2021-02-09,13.58,13.783,13.1401,13.34,1561081.0
2021-02-08,13.79,14.28,13.61,13.64,2907327.0
2021-02-05,13.36,13.88,13.1,13.51,1503361.0
2021-02-04,12.83,13.7,12.83,13.15,2348127.0
2021-02-03,11.6,12.99,11.43,12.78,2351857.0
2021-02-02,11.45,11.715,11.27,11.51,1328860.0
2021-02-01,10.98,11.315,10.665,11.24,1294381.0
2021-01-29,11.43,11.97,10.82,10.85,1317406.0
2021-01-28,11.16,11.47,11.07,11.4,809574.0
2021-01-27,11.02,11.5338,10.85,11.04,1380376.0
2021-01-26,11.46,11.7162,11.23,11.31,1271180.0
2021-01-25,11.37,11.89,11.07,11.31,1390611.0
2021-01-22,11.4,12.195,11.375,11.61,1067203.0
2021-01-21,12.11,12.22,11.23,11.56,1363073.0
2021-01-20,12.15,12.29,11.675,12.06,1921958.0
2021-01-19,11.57,12.31,11.2,12.19,1670457.0
2021-01-15,11.09,11.15,10.64,10.66,988509.0
2021-01-14,11.38,11.8,11.2125,11.25,1159614.0
2021-01-13,11.15,11.9315,11.02,11.33,1810355.0
2021-01-12,11.05,11.27,10.91,11.02,1165799.0
2021-01-11,11.1,11.26,10.655,10.95,1134586.0
2021-01-08,11.61,11.68,11.15,11.31,1789892.0
2021-01-07,10.35,11.585,10.21,11.52,3751836.0
2021-01-06,9.8,10.18,9.66,10.09,2400441.0
2021-01-05,9.54,9.9001,9.4001,9.59,1715041.0
2021-01-04,10.27,10.4199,9.26,9.5,4204407.0
2020-12-31,8.42,11.39,8.41,10.56,19792947.0
2020-12-30,8.17,8.44,8.08,8.37,1349647.0
2020-12-29,8.63,8.63,8.15,8.16,2658294.0
2020-12-28,8.96,9.15,8.53,8.55,1213782.0
2020-12-24,8.95,8.9873,8.54,8.82,1589176.0
2020-12-23,8.55,9.09,8.52,8.96,2573160.0
2020-12-22,8.62,8.845,8.41,8.46,2250370.0
