date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,6.18,6.64,5.89,6.58,1056734.0
2021-03-12,6.08,6.22,5.85,6.05,435321.0
2021-03-11,5.7,6.21,5.65,6.12,364185.0
2021-03-10,5.59,5.74,5.425,5.63,288091.0
2021-03-09,5.42,5.6,5.35,5.52,248484.0
2021-03-08,5.26,5.53,5.11,5.29,223710.0
2021-03-05,5.12,5.34,5.026,5.23,320198.0
2021-03-04,5.52,5.67,4.82,5.04,653800.0
2021-03-03,5.8,5.9799,5.545,5.62,456988.0
2021-03-02,5.26,5.85,5.26,5.78,372587.0
2021-03-01,5.75,5.85,5.26,5.27,440669.0
2021-02-26,6.07,6.32,5.32,5.52,564982.0
2021-02-25,6.31,6.59,5.97,6.0,297309.0
2021-02-24,6.18,6.31,6.0,6.26,218103.0
2021-02-23,6.43,6.43,5.76,6.1,945115.0
2021-02-22,6.98,6.994,6.42,6.47,361046.0
2021-02-19,6.68,6.9562,6.68,6.95,379594.0
2021-02-18,6.64,6.8456,6.5,6.62,370377.0
2021-02-17,6.57,6.77,6.33,6.74,189772.0
2021-02-16,7.3,7.4,6.75,6.82,293748.0
2021-02-12,6.92,7.5999,6.735,7.33,456677.0
2021-02-11,7.32,7.5786,6.82,6.87,328938.0
2021-02-10,6.84,7.62,6.7,7.24,643424.0
2021-02-09,7.15,7.15,6.4,6.71,401133.0
2021-02-08,6.64,7.13,6.39,7.11,929574.0
2021-02-05,6.47,6.57,6.38,6.55,481590.0
2021-02-04,6.38,6.45,6.26,6.38,445851.0
2021-02-03,6.3,6.5,6.14,6.35,607396.0
2021-02-02,6.28,6.35,5.8166,6.16,680155.0
2021-02-01,5.45,6.24,5.36,5.9,682668.0
2021-01-29,5.49,5.56,5.25,5.4,372220.0
2021-01-28,5.4,5.72,5.16,5.52,255305.0
2021-01-27,5.29,5.51,5.0,5.36,414650.0
2021-01-26,5.52,5.52,5.2,5.36,292183.0
2021-01-25,5.5,5.67,5.27,5.45,888655.0
2021-01-22,5.3,5.5,5.17,5.48,159837.0
2021-01-21,5.4,5.43,5.15,5.31,153400.0
2021-01-20,5.1,5.46,5.1,5.39,482125.0
2021-01-19,4.99,5.07,4.9,5.06,364189.0
2021-01-15,5.03,5.11,4.7327,4.91,280970.0
2021-01-14,4.45,5.23,4.41,5.07,741314.0
2021-01-13,4.3,4.41,4.18,4.41,424658.0
2021-01-12,4.28,4.435,4.28,4.3,221114.0
2021-01-11,4.36,4.42,4.25,4.32,323471.0
2021-01-08,4.6,4.6,4.36,4.38,306352.0
2021-01-07,4.73,4.7454,4.3,4.56,638222.0
2021-01-06,4.8,5.3,4.69,4.7,1027058.0
2021-01-05,4.53,4.79,4.46,4.68,345925.0
2021-01-04,4.68,4.7,4.32,4.49,781755.0
2020-12-31,4.59,4.67,4.575,4.65,248024.0
2020-12-30,4.62,4.72,4.56,4.65,228593.0
2020-12-29,4.88,4.9084,4.49,4.6,340659.0
2020-12-28,4.58,4.64,4.54,4.61,280989.0
2020-12-24,4.55,4.57,4.4,4.54,207124.0
2020-12-23,4.47,4.56,4.35,4.52,377531.0
2020-12-22,4.56,4.6,4.41,4.46,134732.0
2020-12-21,4.51,4.63,4.41,4.51,203067.0
2020-12-18,4.52,4.72,4.49,4.49,595517.0
2020-12-17,4.62,4.7,4.46,4.59,550687.0
2020-12-16,4.6,4.69,4.55,4.67,636266.0
