date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,18.57,18.75,18.5101,18.72,31672.0
2021-03-12,18.55,18.73,18.47,18.59,27389.0
2021-03-11,18.72,18.73,18.5,18.59,35529.0
2021-03-10,18.53,18.65,18.51,18.55,34960.0
2021-03-09,18.62,18.73,18.35,18.51,58835.0
2021-03-08,18.4,18.83,18.2225,18.52,60165.0
2021-03-05,18.9,18.9,18.4,18.52,66732.0
2021-03-04,18.86,19.02,18.61,18.66,43059.0
2021-03-03,18.57,19.04,18.57,18.93,37782.0
2021-03-02,18.61,18.74,18.47,18.59,34466.0
2021-03-01,18.55,18.866,18.5,18.5,26907.0
2021-02-26,18.65,18.704,18.49,18.51,29099.0
2021-02-25,18.59,18.9,18.3541,18.6,39184.0
2021-02-24,18.4,18.75,18.33,18.63,33479.0
2021-02-23,18.74,18.74,18.42,18.42,33967.0
2021-02-22,19.01,19.049,18.66,18.91,48436.0
2021-02-19,18.9,19.15,18.9,19.03,26976.0
2021-02-18,18.92,18.92,18.74,18.9,28514.0
2021-02-17,18.82,18.93,18.62,18.93,33097.0
2021-02-16,18.85,18.9,18.68,18.86,31469.0
2021-02-12,18.56,18.75,18.56,18.75,14829.0
2021-02-11,18.48,18.65,18.3803,18.6,16778.0
2021-02-10,18.41,18.55,18.35,18.48,23992.0
2021-02-09,18.2,18.56,18.19,18.4,32975.0
2021-02-08,18.32,18.4299,18.0999,18.2,50174.0
2021-02-05,18.23,18.63,18.1796,18.42,54173.0
2021-02-04,18.04,18.27,18.04,18.12,26454.0
2021-02-03,18.07,18.24,17.96,18.01,27605.0
2021-02-02,18.04,18.19,17.82,17.98,28457.0
2021-02-01,17.9,17.96,17.6,17.96,51689.0
2021-01-29,17.64,17.96,17.64,17.65,37558.0
2021-01-28,17.91,18.0388,17.62,17.71,42028.0
2021-01-27,18.11,18.11,17.6,17.86,42212.0
2021-01-26,18.1,18.28,18.1,18.25,34681.0
2021-01-25,18.74,18.75,17.53,18.09,107197.0
2021-01-22,18.68,18.77,18.605,18.73,38953.0
2021-01-21,18.54,18.75,18.43,18.7,38901.0
2021-01-20,18.5,18.9877,18.32,18.43,42120.0
2021-01-19,18.33,18.45,18.25,18.42,43799.0
2021-01-15,18.36,18.43,18.32,18.35,28898.0
2021-01-14,18.46,18.46,18.31,18.41,39843.0
2021-01-13,18.42,18.4999,18.25,18.43,38663.0
2021-01-12,18.38,18.49,18.28,18.37,38717.0
2021-01-11,18.3,18.3693,18.1,18.31,39555.0
2021-01-08,18.63,18.63,18.3,18.38,64318.0
2021-01-07,18.26,18.75,18.1,18.75,86823.0
2021-01-06,17.7,18.5,17.7,18.11,54503.0
2021-01-05,17.67,18.2154,17.52,18.09,44811.0
2021-01-04,17.88,17.88,17.58,17.72,59513.0
2020-12-31,17.76,17.88,17.76,17.81,29741.0
2020-12-30,17.87,18.0,17.76,17.81,22141.0
2020-12-29,17.98,18.0247,17.78,17.88,28424.0
2020-12-28,18.11,18.11,17.73,17.98,49782.0
2020-12-24,17.94,18.1,17.8822,18.0,25700.0
2020-12-23,18.01,18.12,17.76,17.85,51655.0
2020-12-22,17.66,18.24,17.65,17.9,44998.0
2020-12-21,17.77,17.7706,17.45,17.71,44991.0
2020-12-18,17.91,18.035,17.65,17.73,41382.0
2020-12-17,17.72,17.91,17.7081,17.88,59460.0
2020-12-16,17.47,17.73,17.45,17.6,49399.0
2020-12-15,17.56,17.5985,17.36,17.52,30621.0
2020-12-14,17.32,17.685,17.32,17.45,46690.0
2020-12-11,17.3,17.37,17.07,17.37,27507.0
2020-12-10,17.37,17.37,17.03,17.27,53470.0
2020-12-09,17.73,17.75,17.32,17.45,41822.0
2020-12-08,17.42,17.75,17.41,17.64,47818.0
2020-12-07,17.54,17.6799,17.39,17.43,38248.0
2020-12-04,17.58,17.84,17.51,17.51,28471.0
