date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,6.57,6.66,6.57,6.66,21277.0
2021-03-12,6.71,6.8,6.65,6.8,30793.0
2021-03-11,6.64,6.79,6.61,6.79,16549.0
2021-03-10,6.47,6.66,6.47,6.66,18761.0
2021-03-09,6.39,6.51,6.36,6.5,38355.0
2021-03-08,6.51,6.55,6.38,6.55,25979.0
2021-03-05,6.55,6.75,6.43,6.75,32441.0
2021-03-04,6.83,6.84,6.51,6.76,55804.0
2021-03-03,6.69,6.95,6.59,6.95,66115.0
2021-03-02,6.76,6.79,6.7,6.76,32573.0
2021-03-01,6.89,7.0,6.82,6.95,83505.0
2021-02-26,6.98,7.06,6.8,7.0,71175.0
2021-02-25,7.01,7.05,6.9,7.04,42366.0
2021-02-24,7.04,7.11,6.64,6.64,19015.0
2021-02-23,6.99,7.09,6.95,7.08,16460.0
2021-02-22,6.96,7.07,6.94,7.05,28445.0
2021-02-19,7.08,7.19,6.98,6.98,189048.0
2021-02-18,7.08,7.11,7.03,7.05,19082.0
2021-02-17,7.16,7.1792,7.04,7.08,28906.0
2021-02-16,7.1592,7.18,7.12,7.12,3225.0
2021-02-12,7.13,7.16,7.08,7.13,16631.0
2021-02-11,7.11,7.15,7.08,7.11,10064.0
2021-02-10,7.15,7.15,7.08,7.1,15526.0
2021-02-09,7.07,7.14,7.01,7.09,6462.0
2021-02-08,7.01,7.15,7.01,7.09,14942.0
2021-02-05,6.95,7.1,6.95,7.07,46286.0
2021-02-04,6.97,6.97,6.9,6.95,5600.0
2021-02-03,7.0,7.04,6.98,7.0,9350.0
2021-02-02,7.0,7.05,6.97,6.98,36141.0
2021-02-01,6.81,6.91,6.71,6.71,61732.0
2021-01-29,6.83,6.87,6.78,6.8,11358.0
2021-01-28,6.87,6.98,6.81,6.93,51858.0
2021-01-27,6.92,6.97,6.83,6.92,52540.0
2021-01-26,6.97,7.06,6.8625,6.8625,142367.0
2021-01-25,6.92,6.92,6.65,6.76,50526.0
2021-01-22,6.98,7.02,6.83,6.83,23599.0
2021-01-21,7.16,7.16,6.89,6.89,67664.0
2021-01-20,7.07,7.15,6.98,7.03,25736.0
2021-01-19,7.1,7.12,6.85,7.0,18635.0
2021-01-15,7.15,7.2,7.06,7.1,137084.0
2021-01-14,7.22,7.26,7.05,7.11,213866.0
2021-01-13,7.17,7.22,7.1,7.14,5650.0
2021-01-12,6.95,7.13,6.89,7.06,83572.0
2021-01-11,6.93,6.97,6.83,6.87,141099.0
2021-01-08,7.04,7.07,6.93,6.9656,4556.0
2021-01-07,7.02,7.04,6.93,6.95,4879.0
2021-01-06,7.03,7.13,6.99,7.04,15540.0
2021-01-05,7.01,7.13,7.01,7.11,7587.0
2021-01-04,7.3,7.35,7.04,7.04,45476.0
2020-12-31,7.1658,7.18,7.011,7.1,3101.0
2020-12-30,7.11,7.18,7.01,7.16,8195.0
2020-12-29,7.13,7.22,7.08,7.21,11633.0
2020-12-28,7.13,7.15,7.05,7.05,17091.0
2020-12-24,7.29,7.29,7.14,7.14,708.0
2020-12-23,7.23,7.24,7.16,7.24,4900.0
2020-12-22,7.21,7.32,7.19,7.22,27687.0
2020-12-21,7.19,7.3499,7.1,7.1,44568.0
2020-12-18,7.32,7.39,7.19,7.36,23487.0
2020-12-17,7.33,7.42,7.28,7.42,15612.0
2020-12-16,7.29,7.4,7.14,7.14,10710.0
2020-12-15,7.25,7.33,7.22,7.25,6659.0
2020-12-14,7.31,7.3135,7.2,7.3,9920.0
2020-12-11,7.12,7.44,7.12,7.28,21757.0
