date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,9.92,10.19,9.55,10.1,670952.0
2021-03-12,10.05,10.22,9.775,9.93,582536.0
2021-03-11,10.43,10.49,9.52,10.01,1829370.0
2021-03-10,10.08,10.82,10.065,10.59,2010017.0
2021-03-09,9.52,10.08,9.0062,10.03,2548625.0
2021-03-08,8.57,10.14,8.22,10.0,8697772.0
2021-03-05,7.61,7.77,7.46,7.68,576916.0
2021-03-04,7.15,7.73,7.13,7.51,800915.0
2021-03-03,7.25,7.31,6.93,7.1,703076.0
2021-03-02,7.16,7.69,6.99,7.18,1404386.0
2021-03-01,7.47,7.78,7.375,7.63,544478.0
2021-02-26,7.04,7.47,6.85,7.3,949987.0
2021-02-25,7.07,7.19,7.0,7.02,734010.0
2021-02-24,6.92,7.23,6.9,7.07,591901.0
2021-02-23,6.38,7.06,6.33,6.98,1030288.0
2021-02-22,6.23,6.475,6.16,6.42,359229.0
2021-02-19,6.24,6.42,6.18,6.25,411367.0
2021-02-18,6.42,6.46,6.18,6.19,753773.0
2021-02-17,6.46,6.51,6.15,6.46,666091.0
2021-02-16,6.86,6.885,6.44,6.47,487681.0
2021-02-12,7.09,7.12,6.57,6.83,1216160.0
2021-02-11,6.45,6.46,6.23,6.37,506514.0
2021-02-10,6.59,6.6265,6.35,6.4,417780.0
2021-02-09,6.61,6.6171,6.27,6.44,412546.0
2021-02-08,6.49,6.63,6.42,6.58,342191.0
2021-02-05,6.59,6.62,6.3707,6.48,315809.0
2021-02-04,6.34,6.58,6.3382,6.54,416399.0
2021-02-03,6.3,6.4,6.16,6.3,325688.0
2021-02-02,6.1,6.355,6.0001,6.33,521807.0
2021-02-01,6.17,6.2013,5.96,5.99,651633.0
2021-01-29,6.57,6.57,6.14,6.14,820107.0
2021-01-28,6.59,6.75,6.51,6.52,396200.0
2021-01-27,6.96,7.29,6.49,6.53,1011484.0
2021-01-26,7.66,7.66,7.1886,7.43,1083744.0
2021-01-25,7.38,7.45,6.84,6.98,590533.0
2021-01-22,6.72,6.76,6.54,6.74,389955.0
2021-01-21,6.96,6.96,6.7,6.76,280370.0
2021-01-20,6.99,7.155,6.83,6.92,369245.0
2021-01-19,7.17,7.2599,7.03,7.03,428718.0
2021-01-15,7.16,7.27,7.06,7.11,330489.0
2021-01-14,7.41,7.45,7.22,7.26,235585.0
