date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,8.68,8.7299,8.68,8.71,43770.0
2021-03-12,8.71,8.74,8.6311,8.69,89210.0
2021-03-11,8.68,8.82,8.66,8.74,107546.0
2021-03-10,8.59,8.71,8.58,8.69,118227.0
2021-03-09,8.57,8.61,8.56,8.61,60453.0
2021-03-08,8.54,8.555,8.52,8.54,53046.0
2021-03-05,8.65,8.65,8.5,8.55,70596.0
2021-03-04,8.62,8.64,8.56,8.6,76122.0
2021-03-03,8.6,8.69,8.56,8.64,84056.0
2021-03-02,8.53,8.61,8.52,8.58,75545.0
2021-03-01,8.53,8.57,8.52,8.56,35004.0
2021-02-26,8.51,8.54,8.46,8.49,88791.0
2021-02-25,8.53,8.53,8.4,8.46,73779.0
2021-02-24,8.57,8.57,8.31,8.54,312492.0
2021-02-23,8.68,8.69,8.48,8.53,124149.0
2021-02-22,8.75,8.81,8.7,8.72,47272.0
2021-02-19,8.77,8.8,8.73,8.74,58581.0
2021-02-18,8.79,8.88,8.71,8.79,54694.0
2021-02-17,8.8,8.86,8.8,8.82,43352.0
2021-02-16,8.9,8.9,8.84,8.85,68240.0
2021-02-12,8.99,9.0,8.95,8.97,51281.0
2021-02-11,9.01,9.032,8.97,8.99,52628.0
2021-02-10,8.98,9.02,8.98,9.01,75058.0
2021-02-09,8.99,9.0223,8.96,8.98,128305.0
2021-02-08,8.98,9.086,8.9301,9.03,76919.0
2021-02-05,8.89,8.96,8.8888,8.94,55528.0
2021-02-04,8.77,8.99,8.77,8.91,115994.0
2021-02-03,8.79,8.84,8.73,8.74,73951.0
2021-02-02,8.73,8.86,8.73,8.81,50746.0
2021-02-01,8.76,8.76,8.71,8.74,83873.0
2021-01-29,8.77,8.77,8.71,8.75,76706.0
2021-01-28,8.74,8.77,8.72,8.77,67825.0
2021-01-27,8.79,8.79,8.71,8.77,56830.0
2021-01-26,8.77,8.77,8.69,8.77,43220.0
2021-01-25,8.7,8.71,8.65,8.71,75662.0
2021-01-22,8.65,8.8,8.65,8.69,70598.0
2021-01-21,8.62,8.65,8.61,8.64,52101.0
2021-01-20,8.66,8.71,8.62,8.63,76560.0
2021-01-19,8.67,8.73,8.66,8.69,58460.0
2021-01-15,8.78,8.78,8.63,8.64,63119.0
2021-01-14,8.6,8.75,8.6,8.69,62662.0
2021-01-13,8.62,8.62,8.56,8.58,55486.0
2021-01-12,8.63,8.6545,8.56,8.58,53511.0
2021-01-11,8.61,8.696,8.56,8.66,79292.0
2021-01-08,8.56,8.68,8.52,8.65,50159.0
2021-01-07,8.63,8.64,8.51,8.57,159056.0
2021-01-06,8.65,8.7199,8.5702,8.65,80541.0
2021-01-05,8.69,8.71,8.63,8.68,53261.0
2021-01-04,8.77,8.77,8.66,8.68,99423.0
2020-12-31,8.76,8.79,8.685,8.77,137234.0
2020-12-30,8.67,8.69,8.63,8.67,57071.0
2020-12-29,8.55,8.79,8.5185,8.61,110662.0
2020-12-28,8.47,8.53,8.44,8.52,68636.0
2020-12-24,8.46,8.47,8.43,8.45,19260.0
2020-12-23,8.41,8.47,8.41,8.44,44007.0
2020-12-22,8.41,8.44,8.39,8.41,83569.0
2020-12-21,8.45,8.45,8.4,8.41,72152.0
2020-12-18,8.47,8.47,8.42,8.42,67413.0
2020-12-17,8.43,8.46,8.43,8.44,58525.0
2020-12-16,8.5,8.52,8.42,8.43,108945.0
2020-12-15,8.59,8.5999,8.53,8.55,74220.0
2020-12-14,8.64,8.6406,8.52,8.6,131773.0
2020-12-11,8.51,8.6,8.4899,8.58,203634.0
2020-12-10,8.5,8.5,8.46,8.49,54596.0
2020-12-09,8.48,8.5,8.47,8.47,146490.0
2020-12-08,8.47,8.5,8.46,8.48,110854.0
2020-12-07,8.46,8.4966,8.45,8.46,113295.0
2020-12-04,8.52,8.52,8.45,8.505,100450.0
2020-12-03,8.5,8.52,8.47,8.52,76484.0
2020-12-02,8.55,8.5806,8.46,8.49,214762.0
2020-12-01,8.51,8.63,8.5,8.59,99160.0
2020-11-30,8.51,8.53,8.47,8.53,80300.0
2020-11-27,8.51,8.51,8.39,8.5,89788.0
2020-11-25,8.44,8.5,8.43,8.5,62658.0
2020-11-24,8.51,8.51,8.41,8.47,75909.0
2020-11-23,8.44,8.457,8.4,8.45,55162.0
2020-11-20,8.46,8.4801,8.42,8.43,69188.0
2020-11-19,8.48,8.5048,8.46,8.48,39931.0
2020-11-18,8.44,8.5,8.44,8.5,53831.0
2020-11-17,8.45,8.455,8.42,8.45,50295.0
2020-11-16,8.5,8.5,8.4659,8.48,88254.0
2020-11-13,8.49,8.5,8.48,8.49,74158.0
2020-11-12,8.49,8.49,8.43,8.46,46733.0
2020-11-11,8.49,8.49,8.45,8.45,83342.0
2020-11-10,8.45,8.49,8.44,8.48,65990.0
2020-11-09,8.47,8.49,8.4538,8.48,104230.0
2020-11-06,8.47,8.47,8.45,8.47,46339.0
2020-11-05,8.44,8.47,8.44,8.47,58284.0
2020-11-04,8.37,8.4383,8.37,8.39,55529.0
2020-11-03,8.24,8.47,8.21,8.36,90527.0
2020-11-02,8.19,8.24,8.1554,8.21,90685.0
2020-10-30,8.0,8.17,7.91,8.16,147259.0
2020-10-29,8.01,8.1046,7.99,8.04,80350.0
2020-10-28,8.12,8.175,8.01,8.03,99901.0
2020-10-27,8.2,8.22,8.1701,8.21,34428.0
2020-10-26,8.24,8.24,8.1301,8.22,42661.0
2020-10-23,8.19,8.27,8.19,8.23,33202.0
2020-10-22,8.2,8.2199,7.8,8.21,30257.0
2020-10-21,8.2,8.22,8.2,8.21,31696.0
2020-10-20,8.17,8.23,8.17,8.21,35197.0
2020-10-19,8.22,8.2542,8.17,8.17,80931.0
2020-10-16,8.24,8.2522,8.22,8.22,90942.0
2020-10-15,8.27,8.27,8.22,8.25,67208.0
2020-10-14,8.26,8.293,8.24,8.26,49864.0
2020-10-13,8.24,8.26,8.22,8.26,33698.0
2020-10-12,8.3,8.36,8.3,8.32,41033.0
2020-10-09,8.28,8.34,8.265,8.31,87929.0
2020-10-08,8.22,8.3,8.22,8.23,47383.0
2020-10-07,8.21,8.25,8.2,8.25,58126.0
2020-10-06,8.12,8.18,8.1,8.13,108843.0
2020-10-05,8.15,8.1826,8.12,8.14,83637.0
2020-10-02,8.11,8.2,8.0748,8.12,59155.0
2020-10-01,8.01,8.09,8.01,8.07,85801.0
2020-09-30,8.14,8.14,8.01,8.01,111351.0
2020-09-29,8.04,8.09,8.01,8.05,103272.0
2020-09-28,8.1,8.17,8.0951,8.11,66349.0
2020-09-25,8.09,8.1,8.034,8.1,79079.0
2020-09-24,8.2,8.2,8.0,8.1,73854.0
2020-09-23,8.3,8.3457,8.17,8.17,62726.0
2020-09-22,8.3,8.35,8.3,8.32,55207.0
2020-09-21,8.37,8.37,8.3,8.32,56496.0
2020-09-18,8.35,8.37,8.346,8.35,30827.0
2020-09-17,8.33,8.36,8.33,8.35,36173.0
2020-09-16,8.35,8.37,8.34,8.34,75226.0
2020-09-15,8.34,8.4,8.3273,8.35,58485.0
2020-09-14,8.42,8.43,8.36,8.36,61332.0
2020-09-11,8.4,8.435,8.38,8.38,46990.0
2020-09-10,8.51,8.5262,8.39,8.39,130230.0
2020-09-09,8.53,8.5651,8.5,8.5,57332.0
2020-09-08,8.57,8.57,8.5,8.51,38238.0
2020-09-04,8.47,8.595,8.42,8.57,50806.0
2020-09-03,8.6,8.6151,8.4,8.51,168619.0
2020-09-02,8.63,8.64,8.5727,8.62,67901.0
2020-09-01,8.55,8.63,8.51,8.62,119797.0
2020-08-31,8.58,8.58,8.52,8.52,88469.0
2020-08-28,8.52,8.5485,8.52,8.54,25282.0
2020-08-27,8.56,8.57,8.52,8.52,99186.0
2020-08-26,8.52,8.5377,8.5,8.51,38445.0
2020-08-25,8.47,8.53,8.451,8.52,64545.0
2020-08-24,8.49,8.49,8.45,8.48,33583.0
2020-08-21,8.53,8.53,8.44,8.45,54457.0
2020-08-20,8.56,8.6091,8.48,8.49,178690.0
2020-08-19,8.62,8.64,8.56,8.59,126199.0
2020-08-18,8.69,8.69,8.62,8.63,74199.0
2020-08-17,8.69,8.77,8.68,8.74,104811.0
2020-08-14,8.68,8.6999,8.64,8.68,97928.0
2020-08-13,8.57,8.66,8.57,8.66,72747.0
2020-08-12,8.6,8.6086,8.54,8.6,58254.0
2020-08-11,8.67,8.683,8.6,8.61,90691.0
2020-08-10,8.62,8.67,8.6,8.66,115250.0
2020-08-07,8.62,8.65,8.62,8.63,78890.0
2020-08-06,8.67,8.68,8.6,8.66,73406.0
2020-08-05,8.6,8.67,8.6,8.67,89936.0
2020-08-04,8.51,8.65,8.51,8.61,89668.0
2020-08-03,8.52,8.64,8.49,8.52,159892.0
