date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,25.2325,25.2325,25.0001,25.2,1842.0
2021-03-12,25.25,25.25,25.04,25.05,4367.0
2021-03-11,25.35,25.38,25.3,25.3,8525.0
2021-03-10,25.3001,25.3201,25.25,25.2875,35226.0
2021-03-09,25.25,25.37,25.25,25.25,32907.0
2021-03-08,25.17,25.35,25.15,25.35,5858.0
2021-03-05,25.2245,25.25,25.15,25.15,5082.0
2021-03-04,25.275,25.275,25.275,25.275,579.0
2021-03-03,25.18,25.18,25.18,25.18,79.0
2021-03-02,25.17,25.27,25.15,25.18,10680.0
2021-03-01,25.39,25.39,25.15,25.15,3039.0
2021-02-26,25.275,25.325,25.275,25.3,1072.0
2021-02-25,25.17,25.25,25.17,25.25,474.0
2021-02-24,25.2515,25.2515,25.2515,25.2515,81.0
2021-02-23,25.15,25.45,25.045,25.2515,10493.0
2021-02-22,25.1001,25.4,25.1001,25.14,2983.0
2021-02-19,25.44,25.47,25.44,25.47,300.0
2021-02-18,25.335,25.335,25.335,25.335,138.0
2021-02-17,25.02,25.2975,25.02,25.24,3126.0
2021-02-16,25.14,25.15,25.02,25.02,483.0
2021-02-12,25.03,25.2,25.03,25.18,32619.0
2021-02-11,25.17,25.17,25.12,25.12,305.0
2021-02-10,25.1464,25.1464,25.1464,25.1464,600.0
2021-02-09,25.0595,25.1882,25.0,25.12,4607.0
2021-02-08,25.0,25.19,25.0,25.19,930.0
2021-02-05,25.0,25.15,24.95,25.15,5280.0
2021-02-04,25.0,25.15,24.975,25.15,3507.0
2021-02-03,24.95,25.15,24.75,25.15,1601.0
2021-02-02,25.2,25.2,25.0,25.0,5127.0
2021-02-01,25.07,25.07,25.025,25.025,543.0
2021-01-29,25.0,25.19,24.75,25.19,5202.0
2021-01-28,25.1217,25.1217,25.1217,25.1217,31.0
2021-01-27,24.89,25.15,24.89,25.1217,1521.0
2021-01-26,25.18,25.2,25.0,25.15,3400.0
2021-01-25,25.2851,25.2899,25.2,25.2,350.0
2021-01-22,25.05,25.4291,24.8,25.29,3490.0
2021-01-21,24.81,25.005,24.8,25.0,4487.0
2021-01-20,25.008,25.008,24.8001,24.81,10964.0
2021-01-19,25.0109,25.03,24.85,24.85,1846.0
2021-01-15,24.73,25.0,24.7,24.95,3238.0
2021-01-14,25.1,25.1,25.1,25.1,431.0
2021-01-13,25.05,25.05,24.95,25.049,1126.0
2021-01-12,25.05,25.05,25.05,25.05,230.0
2021-01-11,25.1296,25.15,25.0766,25.15,3699.0
2021-01-08,25.05,25.05,25.05,25.05,0.0
2021-01-07,25.05,25.05,25.05,25.05,800.0
2021-01-06,25.0548,25.0548,25.0,25.05,450.0
2021-01-05,24.95,24.95,24.95,24.95,677.0
2021-01-04,24.5,24.95,24.5,24.95,981.0
2020-12-31,24.75,25.0,24.75,24.95,2003.0
2020-12-30,24.95,25.19,24.7,24.71,5704.0
2020-12-29,24.7,24.997,24.53,24.95,1621.0
2020-12-28,24.765,24.765,24.765,24.765,453.0
2020-12-24,24.64,24.64,24.64,24.64,299.0
2020-12-23,24.71,24.78,24.315,24.71,8465.0
2020-12-22,24.54,24.93,24.281,24.75,11834.0
2020-12-21,24.77,24.99,24.27,24.59,2838.0
2020-12-18,24.59,25.0,23.36,24.993,10764.0
2020-12-17,24.51,24.55,24.375,24.55,18077.0
2020-12-16,24.65,24.915,24.52,24.54,9831.0
2020-12-15,24.91,24.91,24.52,24.65,10040.0
2020-12-14,24.78,25.2327,24.78,24.98,6180.0
2020-12-11,24.77,25.09,24.77,25.09,5000.0
2020-12-10,25.0,25.0749,24.77,24.96,5447.0
2020-12-09,24.9,25.05,24.9,25.03,5095.0
2020-12-08,24.9,24.9,24.825,24.9,5093.0
2020-12-07,24.86,24.9,24.75,24.876,3155.0
2020-12-04,24.77,24.9,24.535,24.85,6368.0
2020-12-03,24.6,24.8954,24.6,24.8954,6038.0
2020-12-02,24.68,24.9205,24.58,24.75,3052.0
2020-12-01,24.6,24.69,24.53,24.69,7617.0
2020-11-30,24.09,24.57,23.745,24.47,17996.0
2020-11-27,24.39,24.4,24.0,24.19,3966.0
2020-11-25,24.58,24.63,24.2,24.37,9242.0
2020-11-24,24.29,24.6673,24.15,24.4,13033.0
2020-11-23,24.47,24.47,24.06,24.14,15965.0
2020-11-20,23.5,24.88,23.3044,24.44,20320.0
2020-11-19,23.5,23.75,23.15,23.5,12706.0
2020-11-18,23.65,23.65,22.8438,23.5,2055.0
2020-11-17,23.5,23.55,23.49,23.5,4108.0
2020-11-16,23.5,23.5,23.44,23.49,11036.0
2020-11-13,23.56,23.56,23.4532,23.46,14749.0
2020-11-12,23.56,23.56,22.991,23.49,23103.0
2020-11-11,23.75,23.75,23.455,23.5,1670.0
2020-11-10,23.37,23.75,23.2,23.5,9550.0
2020-11-09,23.84,23.84,23.196,23.47,1016.0
2020-11-06,23.08,23.765,22.83,23.35,2415.0
2020-11-05,22.98,23.02,22.615,23.0,7097.0
2020-11-04,23.4,23.55,23.015,23.19,10052.0
2020-11-03,23.39,23.725,23.27,23.645,17119.0
2020-11-02,23.901,23.901,23.901,23.901,100.0
2020-10-30,24.25,24.25,24.0,24.0,11396.0
2020-10-29,24.09,25.0,24.09,24.5,9104.0
2020-10-28,23.5,24.37,22.7725,24.07,5244.0
2020-10-27,24.23,24.23,23.75,23.75,2305.0
2020-10-26,24.59,24.59,24.37,24.37,2732.0
2020-10-23,23.95,24.5,23.9,24.35,3906.0
2020-10-22,24.08,24.25,23.58,24.25,6765.0
2020-10-21,23.195,24.65,23.05,24.32,26858.0
2020-10-20,23.47,23.47,22.8,23.24,4647.0
2020-10-19,23.26,23.47,22.7,23.47,4409.0
2020-10-16,23.2,23.2,23.1069,23.1069,1449.0
2020-10-15,23.2,23.2,23.0,23.2,4075.0
2020-10-14,23.18,23.2,23.0,23.2,2602.0
2020-10-13,22.8,23.35,22.78,23.2,3019.0
2020-10-12,23.51,23.5324,23.1,23.38,4890.0
2020-10-09,22.11,23.0688,21.87,22.88,2695.0
2020-10-08,22.25,22.99,21.91,22.99,3151.0
2020-10-07,21.87,22.4,21.84,22.32,3049.0
2020-10-06,22.0,22.0,21.14,21.82,29176.0
2020-10-05,22.625,22.625,22.1,22.25,5820.0
2020-10-02,22.65,22.8361,22.65,22.8361,400.0
2020-10-01,23.0,23.0,22.52,22.69,2829.0
