date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,3.19,3.25,2.85,2.945,105407.0
2021-03-12,3.85,3.905,3.1599,3.25,203874.0
2021-03-11,4.0,4.0,3.77,3.84,20611.0
2021-03-10,4.65,4.65,4.0,4.0,46954.0
2021-03-09,3.51,4.25,3.5,4.08,71429.0
2021-03-08,3.59,4.0,3.06,3.5,94364.0
2021-03-05,3.0,3.59,2.15,3.59,130597.0
2021-03-04,3.41,3.41,2.77,2.84,66468.0
2021-03-03,3.59,3.6,3.4315,3.45,36882.0
2021-03-02,4.91,4.91,3.29,3.45,227981.0
2021-03-01,6.65,6.7209,5.11,5.21,62326.0
2021-02-26,6.93,7.41,6.51,6.51,21472.0
2021-02-25,6.78,6.97,6.53,6.9,44587.0
2021-02-24,7.1,7.1,6.73,6.78,48947.0
2021-02-23,7.21,7.3746,7.2,7.2,14108.0
2021-02-22,7.42,7.42,7.25,7.3925,12806.0
2021-02-19,7.21,7.4678,7.11,7.22,30623.0
2021-02-18,7.47,7.47,7.35,7.35,18103.0
2021-02-17,7.35,7.76,7.35,7.47,22601.0
2021-02-16,7.83,8.04,7.36,7.52,62604.0
2021-02-12,7.64,7.97,7.64,7.905,18903.0
2021-02-11,7.94,8.0072,7.79,7.96,24804.0
2021-02-10,8.23,8.23,8.05,8.05,16171.0
2021-02-09,8.08,8.23,8.08,8.17,8201.0
2021-02-08,7.95,8.23,7.95,8.12,8573.0
2021-02-05,7.96,7.96,7.9,7.9242,8858.0
2021-02-04,8.05,8.05,7.923,7.96,13166.0
2021-02-03,8.07,8.145,7.9,8.05,20008.0
2021-02-02,7.1,8.2,6.53,7.78,198911.0
2021-02-01,8.54,8.7,8.5001,8.68,13363.0
2021-01-29,8.75,8.78,8.45,8.54,17748.0
2021-01-28,8.5,8.8,8.41,8.75,25002.0
2021-01-27,8.36,8.75,8.29,8.34,45664.0
2021-01-26,8.3355,8.398,8.2,8.3,18502.0
2021-01-25,8.42,8.42,8.19,8.291,8159.0
2021-01-22,8.39,8.434,8.1688,8.41,10757.0
2021-01-21,8.8,8.8,8.0514,8.25,23281.0
2021-01-20,8.33,8.33,7.81,8.14,32740.0
2021-01-19,8.43,8.493,8.27,8.36,23886.0
2021-01-15,8.41,8.55,8.22,8.425,21435.0
2021-01-14,8.1701,8.8,8.1701,8.56,50723.0
2021-01-13,8.4,8.7,8.4,8.7,46594.0
2021-01-12,8.65,8.7235,8.315,8.44,41156.0
2021-01-11,8.73,8.73,8.5275,8.65,21081.0
2021-01-08,8.48,8.88,8.1913,8.74,35895.0
2021-01-07,8.26,8.43,8.16,8.4,14400.0
2021-01-06,8.14,8.5455,7.7,8.24,41045.0
2021-01-05,7.9,8.29,7.77,8.071,11944.0
2021-01-04,7.69,7.885,7.69,7.885,11171.0
2020-12-31,7.46,7.86,7.35,7.8584,16811.0
2020-12-30,7.33,7.57,7.26,7.385,16671.0
2020-12-29,7.5,7.5,7.31,7.33,12310.0
2020-12-28,7.42,7.58,7.41,7.49,38174.0
2020-12-24,7.32,7.465,7.32,7.42,3075.0
2020-12-23,7.45,7.7601,7.3,7.3219,19848.0
2020-12-22,7.59,7.59,7.44,7.5,9531.0
2020-12-21,7.45,7.76,7.34,7.5,14428.0
2020-12-18,7.5,7.54,7.45,7.46,18864.0
2020-12-17,7.54,7.69,7.49,7.49,2228.0
2020-12-16,7.6,7.78,7.5053,7.58,13505.0
2020-12-15,7.33,7.676,7.16,7.6,11733.0
2020-12-14,7.68,7.8,7.22,7.22,19665.0
2020-12-11,7.55,7.74,7.2,7.6517,29299.0
2020-12-10,7.7,7.79,7.38,7.75,11593.0
2020-12-09,7.815,7.87,7.73,7.8,6284.0
2020-12-08,7.73,7.826,7.72,7.826,7479.0
2020-12-07,7.75,7.99,7.68,7.79,22965.0
2020-12-04,7.85,8.0,7.77,7.79,27751.0
2020-12-03,8.13,8.25,7.79,7.79,65373.0
2020-12-02,8.15,8.285,8.05,8.09,8461.0
2020-12-01,8.05,8.35,8.05,8.25,8713.0
2020-11-30,8.26,8.35,8.05,8.05,8182.0
2020-11-27,8.15,8.64,8.15,8.37,5880.0
2020-11-25,8.11,8.43,7.7675,8.25,59196.0
