date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,11.77,11.84,11.68,11.72,44158.0
2021-03-11,11.81,11.88,11.81,11.86,35155.0
2021-03-10,11.76,11.82,11.74,11.82,46933.0
2021-03-09,11.67,11.73,11.65,11.73,38729.0
2021-03-08,11.69,11.7,11.65,11.66,46672.0
2021-03-05,11.72,11.8,11.66,11.67,34910.0
2021-03-04,11.78,11.81,11.71,11.74,38313.0
2021-03-03,11.84,11.84,11.73,11.74,43618.0
2021-03-02,11.83,11.88,11.81,11.82,47976.0
2021-03-01,11.82,11.8851,11.8,11.84,65192.0
2021-02-26,11.73,11.86,11.68,11.85,40700.0
2021-02-25,11.89,11.895,11.69,11.71,52047.0
2021-02-24,11.72,11.89,11.65,11.89,153968.0
2021-02-23,11.82,11.84,11.64,11.72,97266.0
2021-02-22,12.12,12.12,11.81,11.87,82372.0
2021-02-19,12.2,12.2159,12.09,12.12,23797.0
2021-02-18,12.21,12.2804,12.2,12.2,47799.0
2021-02-17,12.34,12.36,12.13,12.26,58850.0
2021-02-16,12.43,12.469,12.28,12.35,58844.0
2021-02-12,12.52,12.55,12.43,12.45,38673.0
2021-02-11,12.48,12.57,12.48,12.52,45199.0
2021-02-10,12.42,12.5,12.42,12.49,42967.0
2021-02-09,12.3943,12.47,12.36,12.44,40637.0
2021-02-08,12.25,12.37,12.22,12.35,80039.0
2021-02-05,12.14,12.24,12.14,12.24,46382.0
2021-02-04,12.1,12.19,12.09,12.17,60855.0
2021-02-03,12.07,12.16,12.04,12.13,62633.0
2021-02-02,12.03,12.13,12.02,12.08,65083.0
2021-02-01,12.12,12.12,12.02,12.03,116279.0
2021-01-29,12.06,12.14,12.05,12.13,72522.0
2021-01-28,12.13,12.1557,12.08,12.08,91202.0
2021-01-27,12.17,12.21,12.13,12.15,76150.0
2021-01-26,12.1,12.24,12.09,12.22,84421.0
2021-01-25,12.1,12.17,12.05,12.1,76135.0
2021-01-22,12.21,12.21,12.07,12.14,56464.0
2021-01-21,12.1,12.2,12.04,12.15,66136.0
2021-01-20,12.06,12.06,11.96,11.99,65180.0
2021-01-19,12.02,12.04,12.0115,12.04,19928.0
2021-01-15,12.14,12.14,11.98,12.02,20870.0
2021-01-14,12.18,12.2,11.87,12.08,49235.0
2021-01-13,12.19,12.37,12.05,12.14,126283.0
2021-01-12,12.04,12.08,12.0386,12.05,45322.0
2021-01-11,12.1,12.1,12.0,12.06,62550.0
2021-01-08,11.89,12.19,11.89,11.98,101513.0
2021-01-07,11.92,11.94,11.85,11.88,59258.0
2021-01-06,11.93,12.03,11.84,11.86,68375.0
2021-01-05,11.88,11.96,11.85,11.94,86624.0
2021-01-04,11.98,11.98,11.82,11.9,81919.0
