date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,6.73,6.9,6.6911,6.84,1317447.0
2021-03-12,6.68,6.79,6.63,6.75,1013359.0
2021-03-11,6.76,6.93,6.68,6.85,1576491.0
2021-03-10,6.62,6.71,6.555,6.66,1216485.0
2021-03-09,6.56,6.74,6.49,6.7,853577.0
2021-03-08,6.48,6.845,6.41,6.75,1601159.0
2021-03-05,7.09,7.09,6.62,6.97,1912923.0
2021-03-04,7.15,7.35,6.73,6.92,2927934.0
2021-03-03,6.89,6.96,6.76,6.92,4284245.0
2021-03-02,6.02,6.12,6.015,6.06,439395.0
2021-03-01,5.94,6.025,5.91,6.01,519151.0
2021-02-26,5.95,5.98,5.76,5.84,1574541.0
2021-02-25,6.2,6.24,5.945,6.0,941211.0
2021-02-24,6.14,6.31,6.08,6.27,943539.0
2021-02-23,5.98,6.035,5.75,6.0,910033.0
2021-02-22,5.9,5.99,5.88,5.92,661061.0
2021-02-19,5.95,6.065,5.89,5.96,759480.0
2021-02-18,5.91,5.945,5.84,5.91,653108.0
2021-02-17,6.01,6.01,5.87,5.95,1026621.0
2021-02-16,6.25,6.28,6.11,6.16,1834776.0
2021-02-12,6.36,6.55,6.325,6.52,938050.0
2021-02-11,6.5,6.52,6.31,6.52,1740478.0
2021-02-10,7.0,7.04,6.51,6.57,2398755.0
2021-02-09,7.14,7.31,7.01,7.19,2086220.0
2021-02-08,6.65,6.79,6.62,6.73,1043413.0
2021-02-05,6.59,6.79,6.54,6.77,1648903.0
2021-02-04,6.18,6.22,6.12,6.18,775613.0
2021-02-03,5.96,6.13,5.94,6.03,699242.0
2021-02-02,5.85,5.89,5.74,5.85,866229.0
2021-02-01,5.72,5.75,5.585,5.73,1082714.0
2021-01-29,6.1,6.18,5.825,5.9,1205056.0
2021-01-28,5.91,5.96,5.79,5.92,879313.0
2021-01-27,5.69,6.04,5.6,5.91,1629113.0
2021-01-26,5.5,5.62,5.46,5.54,1103886.0
2021-01-25,5.15,5.32,5.1302,5.28,1902876.0
