date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.08,14.13,14.03,14.06,30974.0
2021-03-11,14.19,14.221,14.13,14.19,21272.0
2021-03-10,14.35,14.35,14.13,14.19,48784.0
2021-03-09,14.25,14.25,14.15,14.17,25401.0
2021-03-08,14.1,14.15,14.06,14.11,38054.0
2021-03-05,14.07,14.11,13.96,14.07,22933.0
2021-03-04,14.1,14.11,13.92,14.04,123185.0
2021-03-03,13.98,14.08,13.85,14.05,62795.0
2021-03-02,14.0,14.04,13.92,13.95,74380.0
2021-03-01,14.12,14.12,13.91,13.96,54855.0
2021-02-26,13.91,13.98,13.71,13.98,63502.0
2021-02-25,13.97,14.01,13.76,13.79,58451.0
2021-02-24,13.85,14.02,13.75,13.97,136827.0
2021-02-23,14.2,14.2,13.85,13.88,70028.0
2021-02-22,14.54,14.54,14.14,14.25,121990.0
2021-02-19,14.55,14.6,14.4,14.53,90090.0
2021-02-18,14.58,14.58,14.36,14.55,56109.0
2021-02-17,14.55,14.59,14.45,14.55,38932.0
2021-02-16,14.57,14.57,14.45,14.53,37550.0
2021-02-12,14.65,14.7,14.55,14.55,28012.0
2021-02-11,14.68,14.74,14.59,14.6,44631.0
2021-02-10,14.73,14.74,14.57,14.62,53540.0
2021-02-09,14.74,14.74,14.54,14.56,95963.0
2021-02-08,14.71,14.745,14.53,14.6,71142.0
2021-02-05,14.56,14.7,14.53,14.56,56758.0
2021-02-04,14.6,14.65,14.5057,14.56,45418.0
2021-02-03,14.57,14.68,14.49,14.55,60087.0
2021-02-02,14.4,14.56,14.4,14.53,72883.0
2021-02-01,14.49,14.5092,14.42,14.45,48656.0
2021-01-29,14.47,14.51,14.4,14.48,34589.0
2021-01-28,14.45,14.53,14.27,14.53,131106.0
2021-01-27,14.47,14.48,14.28,14.34,77304.0
2021-01-26,14.38,14.48,14.35,14.42,86608.0
2021-01-25,14.49,14.55,14.28,14.41,95957.0
2021-01-22,14.43,14.43,14.29,14.34,57703.0
2021-01-21,14.4,14.43,14.365,14.43,61602.0
2021-01-20,14.41,14.41,14.26,14.35,115326.0
2021-01-19,14.18,14.3,14.14,14.2,53255.0
2021-01-15,14.25,14.35,14.12,14.3,64051.0
2021-01-14,14.31,14.31,14.06,14.08,77596.0
2021-01-13,14.13,14.19,13.97,14.17,35802.0
2021-01-12,14.06,14.29,13.98,14.0,67689.0
2021-01-11,14.05,14.08,13.99,14.03,44980.0
2021-01-08,14.14,14.14,13.98,14.0,40539.0
2021-01-07,14.1,14.12,13.95,14.01,48364.0
2021-01-06,14.15,14.15,13.95,14.01,81393.0
2021-01-05,14.23,14.23,14.11,14.15,42048.0
2021-01-04,14.18,14.21,14.03,14.12,68259.0
2020-12-31,14.07,14.092,14.0,14.08,80900.0
2020-12-30,13.87,14.01,13.87,13.95,92654.0
2020-12-29,13.95,14.0,13.8,13.89,93937.0
2020-12-28,14.02,14.0598,13.9001,13.92,60088.0
2020-12-24,14.14,14.14,14.0,14.05,44062.0
2020-12-23,14.03,14.06,13.94,13.97,34870.0
2020-12-22,14.02,14.02,13.86,13.94,53935.0
2020-12-21,13.95,13.9899,13.85,13.88,38370.0
2020-12-18,14.02,14.02,13.878,13.9,63728.0
2020-12-17,13.91,13.9873,13.81,13.88,93720.0
2020-12-16,14.12,14.22,13.91,13.96,98572.0
2020-12-15,14.25,14.25,14.04,14.08,43493.0
2020-12-14,14.35,14.35,14.14,14.17,22591.0
2020-12-11,14.11,14.19,14.11,14.17,30350.0
2020-12-10,14.11,14.18,14.11,14.16,36105.0
2020-12-09,14.2,14.26,14.05,14.13,72275.0
2020-12-08,14.25,14.25,14.13,14.21,34192.0
2020-12-07,14.1,14.25,14.0342,14.24,41219.0
2020-12-04,14.5,14.5,13.99,14.04,69937.0
2020-12-03,14.17,14.17,14.02,14.13,74487.0
2020-12-02,13.95,14.2,13.95,14.11,57749.0
2020-12-01,14.0,14.1,13.9206,13.98,82504.0
2020-11-30,14.0,14.0,13.93,13.99,17302.0
2020-11-27,14.0,14.0,13.93,13.93,20377.0
2020-11-25,13.99,13.99,13.84,13.86,75392.0
2020-11-24,13.91,13.94,13.81,13.9,52136.0
2020-11-23,13.84,13.84,13.7363,13.8,56514.0
2020-11-20,13.82,13.82,13.6604,13.75,47972.0
2020-11-19,13.84,13.84,13.65,13.73,79081.0
2020-11-18,13.66,13.86,13.632,13.78,52064.0
2020-11-17,13.66,13.66,13.58,13.64,39512.0
2020-11-16,13.78,13.78,13.52,13.66,57730.0
2020-11-13,13.83,13.83,13.65,13.66,50381.0
2020-11-12,13.83,13.86,13.71,13.8,78710.0
2020-11-11,13.62,13.87,13.5701,13.76,82535.0
2020-11-10,13.46,13.54,13.46,13.53,30598.0
2020-11-09,13.62,13.7,13.46,13.51,86834.0
2020-11-06,13.38,13.58,13.38,13.55,84824.0
2020-11-05,13.49,13.575,13.34,13.34,66661.0
2020-11-04,13.33,13.46,13.2861,13.46,44973.0
2020-11-03,13.3,13.3,13.13,13.24,45537.0
2020-11-02,13.2,13.21,13.1,13.21,41003.0
2020-10-30,13.06,13.19,13.03,13.17,61122.0
2020-10-29,13.08,13.15,13.02,13.13,50787.0
2020-10-28,13.06,13.15,12.97,13.12,57807.0
2020-10-27,13.06,13.12,13.0,13.08,49836.0
2020-10-26,13.12,13.15,13.02,13.06,62335.0
2020-10-23,13.25,13.25,13.1,13.12,83457.0
2020-10-22,13.34,13.34,13.21,13.24,26256.0
2020-10-21,13.27,13.34,13.24,13.29,44772.0
2020-10-20,13.34,13.34,13.2667,13.34,45417.0
2020-10-19,13.36,13.37,13.2515,13.29,44579.0
2020-10-16,13.35,13.37,13.28,13.28,40843.0
2020-10-15,13.45,13.45,13.3,13.39,28827.0
2020-10-14,13.55,13.55,13.27,13.45,54987.0
2020-10-13,13.56,13.59,13.53,13.53,22124.0
2020-10-12,13.58,13.58,13.525,13.56,26937.0
2020-10-09,13.55,13.59,13.39,13.51,19812.0
2020-10-08,13.52,13.55,13.47,13.52,92288.0
2020-10-07,13.52,13.53,13.45,13.5,61353.0
2020-10-06,13.51,13.52,13.32,13.42,61850.0
2020-10-05,13.5,13.52,13.41,13.45,34259.0
2020-10-02,13.37,13.5176,13.33,13.48,36297.0
2020-10-01,13.48,13.53,13.32,13.46,38542.0
2020-09-30,13.21,13.41,13.21,13.41,82929.0
2020-09-29,13.21,13.29,13.195,13.27,48408.0
2020-09-28,13.16,13.23,13.13,13.13,33593.0
2020-09-25,13.1,13.13,13.02,13.1,48746.0
2020-09-24,13.14,13.2,13.11,13.17,64572.0
2020-09-23,13.32,13.32,13.17,13.23,80276.0
2020-09-22,13.26,13.31,13.19,13.26,55001.0
2020-09-21,13.46,13.46,13.28,13.29,42933.0
2020-09-18,13.49,13.49,13.41,13.43,12917.0
2020-09-17,13.49,13.49,13.33,13.42,42917.0
2020-09-16,13.58,13.58,13.42,13.43,62807.0
2020-09-15,13.48,13.61,13.46,13.56,51849.0
2020-09-14,13.55,13.55,13.35,13.51,116403.0
2020-09-11,13.56,13.6,13.45,13.5,80246.0
2020-09-10,13.39,13.56,13.38,13.47,75773.0
2020-09-09,13.32,13.37,13.28,13.28,38713.0
2020-09-08,13.37,13.37,13.22,13.23,53288.0
2020-09-04,13.47,13.585,13.28,13.3,85814.0
2020-09-03,13.66,13.71,13.3,13.52,106337.0
2020-09-02,13.46,13.68,13.46,13.6,76161.0
2020-09-01,13.48,13.49,13.41,13.43,38042.0
2020-08-31,13.39,13.4941,13.39,13.45,34509.0
2020-08-28,13.37,13.37,13.323,13.36,23652.0
2020-08-27,13.29,13.36,13.29,13.3,24987.0
2020-08-26,13.41,13.46,13.29,13.31,46347.0
2020-08-25,13.39,13.61,13.39,13.43,46705.0
2020-08-24,13.59,13.67,13.5004,13.52,46363.0
2020-08-21,13.61,13.66,13.525,13.55,64325.0
2020-08-20,13.65,13.72,13.6,13.6,85778.0
2020-08-19,13.78,13.8,13.73,13.7712,101264.0
2020-08-18,13.92,14.0,13.73,13.74,69757.0
2020-08-17,13.99,13.99,13.92,13.93,39496.0
2020-08-14,13.97,14.0024,13.955,13.9679,66079.0
2020-08-13,13.89,14.08,13.77,13.98,104612.0
2020-08-12,13.87,14.05,13.825,13.96,239478.0
2020-08-11,13.96,13.96,13.87,13.87,116632.0
2020-08-10,14.0,14.01,13.785,13.93,114897.0
2020-08-07,13.9,14.0,13.8,13.95,71690.0
2020-08-06,13.88,13.8999,13.83,13.86,45116.0
2020-08-05,13.87,13.88,13.8,13.81,53227.0
2020-08-04,13.85,13.86,13.791,13.85,44657.0
2020-08-03,13.85,13.85,13.69,13.82,48524.0
2020-07-31,13.7,13.7487,13.63,13.73,32379.0
2020-07-30,13.56,13.67,13.5,13.66,75821.0
2020-07-29,13.65,13.65,13.55,13.58,40487.0
2020-07-28,13.64,13.65,13.53,13.57,33834.0
2020-07-27,13.53,13.64,13.53,13.6,29372.0
2020-07-24,13.66,13.66,13.55,13.56,29861.0
2020-07-23,13.63,13.65,13.48,13.61,50381.0
2020-07-22,13.57,13.57,13.4201,13.54,53661.0
2020-07-21,13.54,13.65,13.45,13.5,74666.0
2020-07-20,13.43,13.49,13.43,13.45,42376.0
2020-07-17,13.4,13.52,13.38,13.39,66337.0
2020-07-16,13.35,13.48,13.32,13.44,47497.0
2020-07-15,13.45,13.45,13.35,13.38,45485.0
2020-07-14,13.37,13.43,13.3,13.43,81624.0
2020-07-13,13.36,13.47,13.36,13.42,47093.0
2020-07-10,13.38,13.42,13.29,13.33,106016.0
2020-07-09,13.31,13.42,13.31,13.32,38749.0
2020-07-08,13.29,13.36,13.29,13.34,48912.0
2020-07-07,13.17,13.27,13.13,13.27,83686.0
2020-07-06,13.04,13.17,13.04,13.17,77452.0
2020-07-02,12.96,13.07,12.91,13.06,98405.0
2020-07-01,13.02,13.03,12.87,13.01,58100.0
2020-06-30,12.93,13.0,12.89,12.93,63672.0
2020-06-29,12.97,13.01,12.86,13.0,62150.0
2020-06-26,13.0,13.05,12.93,13.01,74388.0
2020-06-25,13.09,13.1,12.98,12.99,57547.0
2020-06-24,13.15,13.15,12.99,13.07,105921.0
2020-06-23,13.0,13.1,12.96,13.03,58642.0
2020-06-22,13.05,13.05,12.89,12.96,110486.0
2020-06-19,13.05,13.05,13.0,13.05,38682.0
2020-06-18,12.99,13.03,12.96,13.03,41460.0
