date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,12.48,12.5,12.4,12.4381,36362.0
2021-03-16,12.53,12.54,12.48,12.53,54871.0
2021-03-15,12.41,12.53,12.41,12.53,35036.0
2021-03-12,12.48,12.51,12.41,12.41,25069.0
2021-03-11,12.5,12.565,12.49,12.53,38868.0
2021-03-10,12.43,12.55,12.4,12.53,40838.0
2021-03-09,12.33,12.44,12.3,12.42,24340.0
2021-03-08,12.31,12.34,12.29,12.31,37537.0
2021-03-05,12.3,12.33,12.22,12.31,39193.0
2021-03-04,12.32,12.35,12.24,12.27,39425.0
2021-03-03,12.38,12.38,12.3,12.3,40592.0
2021-03-02,12.33,12.38,12.25,12.38,25516.0
2021-03-01,12.21,12.33,12.21,12.29,65412.0
2021-02-26,12.11,12.19,12.0831,12.17,45245.0
2021-02-25,12.17,12.17,12.0,12.03,97737.0
2021-02-24,12.0,12.16,11.9315,12.12,53294.0
2021-02-23,12.11,12.11,11.88,12.03,83119.0
2021-02-22,12.18,12.25,12.09,12.09,68763.0
2021-02-19,12.34,12.36,12.23,12.26,58723.0
2021-02-18,12.45,12.45,12.27,12.36,148877.0
2021-02-17,12.51,12.54,12.42,12.48,61692.0
2021-02-16,12.56,12.59,12.49,12.56,53306.0
2021-02-12,12.66,12.67,12.58,12.58,58615.0
2021-02-11,12.61,12.65,12.56,12.65,166868.0
2021-02-10,12.58,12.69,12.58,12.63,41636.0
2021-02-09,12.6,12.65,12.58,12.59,124099.0
2021-02-08,12.59,12.7499,12.53,12.63,104669.0
2021-02-05,12.46,12.58,12.43,12.58,43454.0
2021-02-04,12.42,12.4499,12.39,12.41,51273.0
2021-02-03,12.45,12.45,12.39,12.39,37727.0
2021-02-02,12.45,12.52,12.41,12.45,167461.0
2021-02-01,12.48,12.55,12.4,12.44,77942.0
2021-01-29,12.54,12.56,12.45,12.48,36648.0
2021-01-28,12.53,12.63,12.49,12.51,47574.0
2021-01-27,12.6,12.6,12.5,12.55,58323.0
2021-01-26,12.52,12.61,12.41,12.6,71947.0
2021-01-25,12.54,12.54,12.45,12.5,56786.0
2021-01-22,12.49,12.52,12.44,12.49,75671.0
2021-01-21,12.41,12.47,12.3,12.47,48096.0
2021-01-20,12.37,12.37,12.3007,12.37,62518.0
2021-01-19,12.32,12.3996,12.3,12.33,59247.0
2021-01-15,12.44,12.5,12.38,12.4,57098.0
2021-01-14,12.51,12.52,12.4,12.41,44652.0
2021-01-13,12.5,12.52,12.4564,12.48,45053.0
2021-01-12,12.46,12.5,12.39,12.46,70187.0
2021-01-11,12.44,12.52,12.3801,12.49,83389.0
2021-01-08,12.54,12.5807,12.45,12.46,33901.0
2021-01-07,12.5,12.54,12.47,12.54,47391.0
2021-01-06,12.48,12.54,12.42,12.46,62242.0
2021-01-05,12.44,12.49,12.38,12.48,22084.0
2021-01-04,12.46,12.4894,12.37,12.44,111756.0
2020-12-31,12.4,12.47,12.37,12.44,53710.0
2020-12-30,12.25,12.39,12.25,12.37,61609.0
2020-12-29,12.13,12.29,12.09,12.26,77982.0
2020-12-28,12.16,12.18,12.05,12.09,115463.0
2020-12-24,12.11,12.17,12.07,12.16,34384.0
2020-12-23,12.13,12.15,12.05,12.06,54992.0
2020-12-22,12.08,12.13,12.04,12.1,85539.0
2020-12-21,12.09,12.1734,12.05,12.05,102378.0
2020-12-18,12.07,12.18,12.07,12.15,56794.0
2020-12-17,12.12,12.151,12.06,12.07,161959.0
2020-12-16,12.21,12.2619,12.11,12.15,96050.0
2020-12-15,12.25,12.275,12.19,12.19,52474.0
2020-12-14,12.31,12.36,12.19,12.25,83479.0
2020-12-11,12.35,12.35,12.27,12.31,34612.0
2020-12-10,12.36,12.37,12.3,12.3,97652.0
2020-12-09,12.41,12.45,12.34,12.41,65516.0
2020-12-08,12.32,12.3907,12.32,12.35,54821.0
2020-12-07,12.34,12.42,12.32,12.32,62861.0
2020-12-04,12.35,12.37,12.32,12.32,513223.0
2020-12-03,12.34,12.395,12.3,12.35,94512.0
2020-12-02,12.29,12.38,12.28,12.32,115379.0
2020-12-01,12.37,12.39,12.26,12.33,78819.0
2020-11-30,12.42,12.42,12.28,12.33,43275.0
2020-11-27,12.34,12.45,12.3,12.4,45990.0
2020-11-25,12.31,12.325,12.261,12.28,69067.0
2020-11-24,12.25,12.31,12.2208,12.27,31217.0
2020-11-23,12.14,12.18,12.13,12.18,32794.0
2020-11-20,12.12,12.1307,12.06,12.09,38164.0
2020-11-19,12.06,12.12,12.05,12.11,42057.0
2020-11-18,11.98,12.07,11.96,12.04,60959.0
2020-11-17,11.95,12.05,11.93,12.01,39392.0
2020-11-16,11.99,11.991,11.93,11.9327,50853.0
2020-11-13,11.97,12.01,11.97,12.0,50315.0
2020-11-12,11.96,12.0,11.95,11.95,53633.0
2020-11-11,11.91,11.95,11.9,11.95,63071.0
2020-11-10,11.88,11.94,11.875,11.89,104541.0
2020-11-09,11.96,11.96,11.76,11.84,74823.0
2020-11-06,11.72,11.85,11.67,11.85,116356.0
2020-11-05,11.58,11.61,11.48,11.59,24413.0
2020-11-04,11.46,11.58,11.41,11.54,76153.0
2020-11-03,11.38,11.42,11.3,11.38,30994.0
2020-11-02,11.33,11.375,11.32,11.35,53547.0
2020-10-30,11.41,11.4118,11.33,11.34,59599.0
2020-10-29,11.39,11.42,11.3,11.4,108504.0
2020-10-28,11.34,11.42,11.26,11.4,78194.0
2020-10-27,11.38,11.42,11.31,11.37,97870.0
2020-10-26,11.46,11.46,11.32,11.33,56144.0
2020-10-23,11.5,11.505,11.38,11.44,49304.0
2020-10-22,11.52,11.54,11.45,11.45,47818.0
2020-10-21,11.57,11.57,11.5,11.56,61065.0
2020-10-20,11.5,11.58,11.48,11.56,36456.0
2020-10-19,11.45,11.53,11.44,11.5,45326.0
2020-10-16,11.59,11.6,11.44,11.49,45053.0
2020-10-15,11.68,11.74,11.49,11.53,60613.0
2020-10-14,11.64,11.76,11.64,11.71,42522.0
2020-10-13,11.74,11.74,11.64,11.66,30571.0
2020-10-12,11.7,11.77,11.64,11.69,39982.0
2020-10-09,11.65,11.74,11.63,11.65,35584.0
2020-10-08,11.67,11.74,11.59,11.63,21960.0
2020-10-07,11.65,11.75,11.57,11.61,43502.0
2020-10-06,11.55,11.65,11.55,11.57,42681.0
2020-10-05,11.73,11.75,11.57,11.58,35060.0
2020-10-02,11.65,11.7,11.61,11.66,18922.0
2020-10-01,11.63,11.74,11.5845,11.73,79597.0
2020-09-30,11.64,11.66,11.56,11.58,37230.0
2020-09-29,11.54,11.63,11.53,11.61,22927.0
2020-09-28,11.63,11.66,11.53,11.56,20099.0
2020-09-25,11.45,11.53,11.42,11.53,52980.0
2020-09-24,11.52,11.52,11.45,11.46,17303.0
2020-09-23,11.58,11.63,11.47,11.5,76551.0
2020-09-22,11.53,11.605,11.5,11.59,63885.0
2020-09-21,11.65,11.65,11.56,11.58,25857.0
2020-09-18,11.68,11.69,11.6,11.63,26160.0
2020-09-17,11.71,11.72,11.58,11.63,48769.0
2020-09-16,11.73,11.73,11.69,11.71,23048.0
2020-09-15,11.74,11.745,11.69,11.73,26380.0
2020-09-14,11.76,11.7899,11.68,11.75,65343.0
2020-09-11,11.75,11.79,11.68,11.75,47707.0
2020-09-10,11.7,11.7,11.67,11.68,45240.0
2020-09-09,11.61,11.65,11.5384,11.65,38910.0
2020-09-08,11.6,11.6,11.49,11.54,43960.0
2020-09-04,11.72,11.72,11.56,11.59,51778.0
2020-09-03,11.77,11.82,11.67,11.69,88256.0
2020-09-02,11.75,11.84,11.71,11.79,105635.0
2020-09-01,11.71,11.74,11.66,11.72,47417.0
2020-08-31,11.7,11.74,11.64,11.67,116992.0
2020-08-28,11.62,11.67,11.585,11.67,30119.0
2020-08-27,11.67,11.68,11.52,11.55,39192.0
2020-08-26,11.65,11.67,11.58,11.63,81102.0
2020-08-25,11.73,11.74,11.66,11.67,98490.0
2020-08-24,11.93,11.93,11.14,11.7,191449.0
2020-08-21,12.02,12.02,11.8,11.85,70001.0
2020-08-20,12.07,12.07,11.95,11.96,34282.0
2020-08-19,12.14,12.14,12.04,12.05,36618.0
2020-08-18,12.15,12.15,12.06,12.09,59267.0
2020-08-17,12.16,12.2,12.12,12.18,57943.0
2020-08-14,12.18,12.18,12.11,12.16,41956.0
2020-08-13,12.19,12.2,12.1,12.16,60514.0
2020-08-12,12.17,12.2,12.13,12.15,27752.0
2020-08-11,12.18,12.2,12.15,12.18,116696.0
2020-08-10,12.17,12.17,12.1101,12.16,46293.0
2020-08-07,12.18,12.18,12.1,12.12,114224.0
2020-08-06,12.23,12.23,12.12,12.16,180519.0
2020-08-05,12.16,12.18,12.11,12.15,71013.0
2020-08-04,12.15,12.15,12.05,12.13,34057.0
2020-08-03,12.09,12.09,12.0,12.09,113769.0
2020-07-31,12.0,12.0,11.89,12.0,48294.0
2020-07-30,11.83,11.95,11.81,11.95,112382.0
2020-07-29,11.76,11.825,11.71,11.82,110746.0
2020-07-28,11.62,11.7,11.62,11.69,143517.0
2020-07-27,11.65,11.7,11.5801,11.59,209031.0
2020-07-24,11.74,11.85,11.63,11.63,223374.0
2020-07-23,11.77,11.78,11.69,11.78,106593.0
2020-07-22,11.68,11.75,11.6401,11.74,55731.0
2020-07-21,11.66,11.68,11.62,11.68,108020.0
