date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,20.9367,20.95,20.9367,20.95,852.0
2021-03-12,20.95,20.95,20.85,20.85,546.0
2021-03-11,20.85,20.945,20.85,20.88,1762.0
2021-03-10,21.1,21.1,20.85,20.85,3515.0
2021-03-09,20.95,21.0,20.8936,21.0,13748.0
2021-03-08,20.65,20.9117,20.65,20.8917,1299.0
2021-03-05,20.62,20.76,20.504,20.76,3043.0
2021-03-04,20.85,21.0,20.6,21.0,31762.0
2021-03-03,20.95,21.0,20.91,20.91,3781.0
2021-03-02,20.95,20.95,20.9,20.9,1407.0
2021-03-01,21.08,21.08,20.8,20.9,2558.0
2021-02-26,20.9,20.9,20.9,20.9,1290.0
2021-02-25,20.92,21.1472,20.9,20.91,17322.0
2021-02-24,21.37,21.37,21.15,21.18,7442.0
2021-02-23,21.12,21.57,21.12,21.35,3993.0
2021-02-22,21.5,21.5,21.14,21.32,3373.0
2021-02-19,21.42,21.42,21.1599,21.4,2980.0
2021-02-18,21.3,21.3,21.15,21.15,1202.0
2021-02-17,21.73,21.73,21.14,21.15,7522.0
2021-02-16,21.34,21.43,21.34,21.34,5215.0
2021-02-12,21.3216,21.41,21.2,21.339,6525.0
2021-02-11,21.56,21.56,21.378,21.52,3906.0
2021-02-10,21.377,21.3799,21.35,21.3799,4991.0
2021-02-09,21.17,21.5,21.17,21.41,16198.0
2021-02-08,21.05,21.32,21.05,21.29,15032.0
2021-02-05,21.11,21.15,21.11,21.15,609.0
2021-02-04,21.0174,21.32,20.9988,21.2099,5008.0
2021-02-03,21.15,21.23,21.07,21.1,11081.0
2021-02-02,21.19,21.215,21.0,21.0,22082.0
2021-02-01,20.73,21.17,20.73,21.0,4580.0
2021-01-29,20.9739,21.03,20.82,21.0,18615.0
2021-01-28,20.75,21.03,20.75,20.975,56966.0
2021-01-27,21.1,21.1,20.6,20.68,23432.0
2021-01-26,21.15,21.1925,21.075,21.1925,17130.0
2021-01-25,21.2,21.21,21.15,21.1501,1501.0
2021-01-22,21.08,21.3,21.0,21.2536,8789.0
2021-01-21,21.34,21.34,21.15,21.32,4869.0
2021-01-20,21.18,21.32,21.18,21.27,12337.0
2021-01-19,21.0401,21.21,21.03,21.18,13633.0
2021-01-15,21.095,21.19,21.04,21.04,40441.0
2021-01-14,21.1511,21.2,21.1,21.13,9384.0
2021-01-13,21.1912,21.1912,21.12,21.12,2544.0
2021-01-12,21.02,21.02,21.0,21.0,5623.0
2021-01-11,21.095,21.095,21.0,21.02,2483.0
2021-01-08,20.7513,21.1,20.7513,21.01,3314.0
2021-01-07,21.0855,21.14,21.077,21.09,2490.0
2021-01-06,21.2,21.2437,20.895,21.0,45247.0
2021-01-05,20.85,21.17,20.709,21.17,10255.0
2021-01-04,20.81,20.81,20.5,20.81,31855.0
2020-12-31,20.685,20.74,20.58,20.63,79468.0
2020-12-30,20.47,20.7165,20.47,20.62,19439.0
2020-12-29,21.0,21.0,20.46,20.59,12335.0
2020-12-28,20.78,20.95,20.78,20.9,13345.0
2020-12-24,20.68,20.68,20.52,20.68,2016.0
2020-12-23,20.84,20.84,20.5,20.68,8386.0
2020-12-22,20.92,20.92,20.61,20.63,16673.0
2020-12-21,20.74,20.8028,20.655,20.767,3122.0
2020-12-18,20.495,20.73,20.465,20.73,28660.0
2020-12-17,20.51,20.53,20.3,20.38,7819.0
2020-12-16,20.97,20.97,20.24,20.51,8992.0
2020-12-15,20.61,20.95,20.61,20.84,8176.0
2020-12-14,20.73,20.74,20.48,20.54,4458.0
2020-12-11,20.25,20.42,20.23,20.34,4808.0
2020-12-10,20.26,20.56,20.24,20.56,63156.0
2020-12-09,20.6,20.6,20.425,20.475,6126.0
2020-12-08,20.44,20.5,20.415,20.4499,7149.0
2020-12-07,20.35,20.38,20.0,20.32,10209.0
2020-12-04,20.28,20.3342,20.0,20.29,3806.0
2020-12-03,20.09,20.2301,20.09,20.15,15908.0
2020-12-02,20.23,20.31,19.81,20.2327,4324.0
2020-12-01,19.9785,20.34,19.9785,20.16,13858.0
2020-11-30,20.18,20.34,19.91,20.08,10135.0
2020-11-27,20.02,20.05,18.76,20.05,8609.0
2020-11-25,20.25,20.5,20.21,20.21,22349.0
2020-11-24,19.9588,20.47,19.9588,20.3484,47879.0
2020-11-23,20.0,20.01,19.97,20.0,28430.0
