date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,13.98,14.0,13.94,14.0,32381.0
2021-03-11,14.0,14.05,14.0,14.05,14519.0
2021-03-10,14.0,14.045,13.97,13.99,45982.0
2021-03-09,14.01,14.0361,13.97,14.01,30233.0
2021-03-08,13.96,13.96,13.913,13.96,39849.0
2021-03-05,13.94,13.95,13.87,13.88,17929.0
2021-03-04,13.96,13.96,13.9,13.92,39130.0
2021-03-03,13.94,13.97,13.91,13.96,64760.0
2021-03-02,13.96,13.97,13.92,13.94,47572.0
2021-03-01,13.95,13.97,13.9,13.96,30912.0
2021-02-26,13.93,13.93,13.85,13.87,56279.0
2021-02-25,13.9,13.915,13.61,13.81,181118.0
2021-02-24,13.72,13.93,13.66,13.93,66753.0
2021-02-23,13.75,13.78,13.61,13.7201,87555.0
2021-02-22,13.82,13.86,13.66,13.76,199255.0
2021-02-19,13.97,13.97,13.85,13.86,37531.0
2021-02-18,13.95,13.95,13.91,13.93,40330.0
2021-02-17,14.05,14.05,13.97,13.98,58872.0
2021-02-16,14.13,14.13,14.02,14.02,48538.0
2021-02-12,14.15,14.1698,14.14,14.15,18959.0
2021-02-11,14.23,14.27,14.2,14.22,34335.0
2021-02-10,14.24,14.2699,14.21,14.22,30217.0
2021-02-09,14.18,14.2298,14.16,14.2,66154.0
2021-02-08,14.19,14.2,14.1,14.18,54906.0
2021-02-05,14.05,14.17,14.05,14.16,67027.0
2021-02-04,14.1,14.15,14.05,14.06,32987.0
2021-02-03,14.07,14.11,14.04,14.11,27385.0
2021-02-02,14.01,14.11,14.01,14.07,42566.0
2021-02-01,14.1,14.1,14.0,14.04,24929.0
2021-01-29,14.09,14.0901,13.99,14.03,52268.0
2021-01-28,14.02,14.07,14.009,14.06,20552.0
2021-01-27,14.03,14.03,13.99,14.0,42229.0
2021-01-26,14.02,14.07,14.02,14.06,48600.0
2021-01-25,14.1,14.12,14.0,14.04,35973.0
2021-01-22,14.13,14.1322,14.06,14.06,24387.0
2021-01-21,14.1,14.14,14.07,14.11,62819.0
2021-01-20,14.01,14.06,14.0,14.05,55710.0
2021-01-19,13.91,14.05,13.91,14.01,33296.0
2021-01-15,13.98,14.03,13.97,13.97,20888.0
2021-01-14,13.99,14.04,13.98,13.98,17801.0
2021-01-13,14.11,14.15,14.01,14.04,60314.0
2021-01-12,14.13,14.14,13.99,14.0,37782.0
2021-01-11,13.98,14.08,13.95,14.04,33722.0
2021-01-08,14.02,14.02,13.98,14.01,15125.0
2021-01-07,14.09,14.12,13.9665,13.99,42358.0
2021-01-06,14.15,14.18,14.07,14.09,70983.0
2021-01-05,14.11,14.15,14.0627,14.14,48758.0
2021-01-04,14.11,14.15,13.94,14.11,51656.0
2020-12-31,14.09,14.14,14.0334,14.11,41198.0
2020-12-30,14.08,14.13,14.05,14.06,27510.0
2020-12-29,14.1,14.13,14.035,14.05,33891.0
2020-12-28,14.09,14.09,13.9999,14.05,28005.0
2020-12-24,13.9,14.1,13.865,14.08,29112.0
2020-12-23,13.94,13.95,13.8379,13.9,40772.0
2020-12-22,13.85,13.95,13.85,13.9,38103.0
2020-12-21,13.83,13.853,13.78,13.84,40811.0
2020-12-18,13.71,13.88,13.71,13.88,60150.0
2020-12-17,13.8,13.8,13.7142,13.76,41194.0
2020-12-16,13.8,13.82,13.7428,13.77,30155.0
2020-12-15,13.81,13.85,13.81,13.83,39439.0
2020-12-14,13.83,13.86,13.8,13.8,27498.0
2020-12-11,13.96,13.96,13.87,13.88,34937.0
2020-12-10,13.94,13.975,13.9001,13.95,16033.0
2020-12-09,13.95,14.0,13.9301,13.94,49479.0
2020-12-08,13.96,13.99,13.95,13.96,37471.0
2020-12-07,13.85,13.94,13.85,13.93,48615.0
2020-12-04,13.89,13.91,13.87,13.89,17047.0
2020-12-03,13.86,13.87,13.83,13.87,40109.0
2020-12-02,13.92,13.94,13.8,13.82,56156.0
2020-12-01,13.9,13.95,13.86,13.91,33956.0
2020-11-30,13.89,13.89,13.8534,13.87,16144.0
2020-11-27,13.82,13.88,13.73,13.85,12095.0
2020-11-25,13.83,13.87,13.77,13.78,26289.0
2020-11-24,13.74,13.808,13.74,13.78,30581.0
2020-11-23,13.7,13.715,13.62,13.7,54296.0
2020-11-20,13.74,13.74,13.69,13.7,21761.0
2020-11-19,13.74,13.775,13.69,13.7,41793.0
2020-11-18,13.74,13.75,13.7,13.73,34220.0
2020-11-17,13.61,13.74,13.61,13.73,26843.0
2020-11-16,13.68,13.68,13.59,13.61,53515.0
2020-11-13,13.68,13.689,13.6406,13.65,20242.0
2020-11-12,13.66,13.71,13.65,13.65,33530.0
2020-11-11,13.621,13.66,13.62,13.66,7985.0
2020-11-10,13.68,13.68,13.6,13.64,35851.0
2020-11-09,13.72,13.74,13.61,13.65,47655.0
