date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,3.34,3.39,3.34,3.35,106161.0
2021-03-11,3.4,3.44,3.33,3.33,181059.0
2021-03-10,3.22,3.38,3.22,3.38,120058.0
2021-03-09,3.28,3.33,3.2,3.24,143335.0
2021-03-08,3.31,3.3999,3.29,3.29,99063.0
2021-03-05,3.35,3.36,3.2397,3.29,153599.0
2021-03-04,3.3,3.34,3.2,3.29,217991.0
2021-03-03,3.23,3.3,3.2107,3.22,192401.0
2021-03-02,3.19,3.2299,3.15,3.2,137179.0
2021-03-01,3.08,3.19,3.08,3.18,227500.0
2021-02-26,3.07,3.07,2.95,3.04,151371.0
2021-02-25,3.14,3.1999,3.05,3.1,183344.0
2021-02-24,3.06,3.15,3.05,3.12,343357.0
2021-02-23,3.04,3.04,2.9,3.04,174283.0
2021-02-22,2.95,3.03,2.95,2.99,193488.0
2021-02-19,2.88,2.955,2.88,2.94,304994.0
2021-02-18,2.97,2.99,2.88,2.88,548854.0
2021-02-17,2.99,3.001,2.93,2.97,285943.0
2021-02-16,2.94,3.02,2.94,2.98,313485.0
2021-02-12,2.87,2.95,2.87,2.94,200166.0
2021-02-11,2.9,2.93,2.865,2.89,211674.0
2021-02-10,2.9,2.92,2.87,2.9,295085.0
2021-02-09,2.9,2.915,2.87,2.9,199604.0
2021-02-08,2.88,2.94,2.88,2.92,319511.0
2021-02-05,2.8,2.87,2.8,2.86,446955.0
2021-02-04,2.71,2.765,2.71,2.74,303744.0
2021-02-03,2.68,2.71,2.66,2.7,276710.0
2021-02-02,2.62,2.69,2.6198,2.66,296933.0
2021-02-01,2.57,2.64,2.55,2.61,284179.0
2021-01-29,2.63,2.67,2.58,2.61,321132.0
2021-01-28,2.61,2.65,2.56,2.64,851660.0
2021-01-27,2.53,2.66,2.53,2.61,2171129.0
2021-01-26,2.39,2.44,2.31,2.35,172654.0
2021-01-25,2.36,2.4,2.34,2.37,223383.0
2021-01-22,2.41,2.41,2.34,2.39,189224.0
2021-01-21,2.51,2.515,2.4,2.45,292032.0
2021-01-20,2.55,2.56,2.48,2.52,262624.0
2021-01-19,2.57,2.5999,2.54,2.54,327995.0
2021-01-15,2.6,2.62,2.54,2.57,207077.0
2021-01-14,2.62,2.67,2.61,2.62,217334.0
2021-01-13,2.63,2.64,2.575,2.61,386702.0
2021-01-12,2.53,2.621,2.5261,2.6,347255.0
2021-01-11,2.45,2.53,2.445,2.52,154926.0
2021-01-08,2.56,2.58,2.44,2.48,179695.0
2021-01-07,2.44,2.53,2.42,2.52,274417.0
2021-01-06,2.42,2.47,2.36,2.41,405050.0
2021-01-05,2.29,2.444,2.29,2.38,301726.0
2021-01-04,2.34,2.355,2.253,2.28,249106.0
2020-12-31,2.28,2.36,2.258,2.32,612156.0
2020-12-30,2.28,2.32,2.24,2.28,366053.0
2020-12-29,2.28,2.37,2.25,2.28,767395.0
2020-12-28,2.3,2.34,2.22,2.27,323705.0
2020-12-24,2.28,2.32,2.28,2.29,154656.0
2020-12-23,2.3,2.38,2.3,2.33,223361.0
2020-12-22,2.31,2.35,2.29,2.31,260813.0
