date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,3.73,3.74,3.72,3.73,507777.0
2021-03-12,3.75,3.75,3.71,3.73,477309.0
2021-03-11,3.75,3.75,3.73,3.75,570953.0
2021-03-10,3.75,3.76,3.74,3.74,205995.0
2021-03-09,3.75,3.76,3.72,3.75,690208.0
2021-03-08,3.76,3.77,3.725,3.74,747743.0
2021-03-05,3.74,3.75,3.72,3.75,480397.0
2021-03-04,3.75,3.7662,3.72,3.72,529630.0
2021-03-03,3.77,3.78,3.75,3.75,494717.0
2021-03-02,3.77,3.78,3.76,3.77,469905.0
2021-03-01,3.79,3.81,3.76,3.77,1328698.0
2021-02-26,3.77,3.79,3.75,3.77,364479.0
2021-02-25,3.8,3.8,3.74,3.75,376131.0
2021-02-24,3.78,3.8,3.78,3.79,363958.0
2021-02-23,3.81,3.81,3.78,3.79,447800.0
2021-02-22,3.79,3.81,3.79,3.8,382978.0
2021-02-19,3.79,3.8,3.78,3.8,256697.0
2021-02-18,3.79,3.79,3.77,3.78,613401.0
2021-02-17,3.78,3.8,3.77,3.78,374431.0
2021-02-16,3.8,3.8,3.77,3.78,496187.0
2021-02-12,3.81,3.82,3.805,3.81,249425.0
2021-02-11,3.81,3.82,3.8,3.82,543121.0
2021-02-10,3.79,3.81,3.78,3.8,677296.0
2021-02-09,3.79,3.82,3.76,3.785,612919.0
2021-02-08,3.77,3.78,3.76,3.78,497307.0
2021-02-05,3.76,3.76,3.75,3.76,532190.0
2021-02-04,3.75,3.76,3.75,3.75,563059.0
2021-02-03,3.77,3.77,3.75,3.75,662154.0
2021-02-02,3.76,3.77,3.75,3.77,442431.0
2021-02-01,3.79,3.79,3.76,3.76,549393.0
2021-01-29,3.78,3.7801,3.77,3.78,329951.0
2021-01-28,3.77,3.78,3.76,3.76,397615.0
2021-01-27,3.78,3.78,3.76,3.77,261829.0
2021-01-26,3.77,3.78,3.76,3.78,244710.0
2021-01-25,3.78,3.78,3.76,3.77,240823.0
2021-01-22,3.78,3.78,3.76,3.76,450081.0
2021-01-21,3.8,3.8022,3.76,3.77,295968.0
2021-01-20,3.82,3.83,3.8,3.8,183765.0
2021-01-19,3.8,3.84,3.77,3.83,597069.0
2021-01-15,3.8,3.82,3.78,3.8,394157.0
2021-01-14,3.78,3.8,3.78,3.8,452324.0
