date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,44.49,45.15,43.7,45.15,46816.0
2021-03-12,44.77,45.0,43.45,44.81,50905.0
2021-03-11,45.33,45.33,44.56,44.83,37414.0
2021-03-10,45.045,45.7364,44.81,45.25,45528.0
2021-03-09,45.82,45.82,44.48,44.73,76428.0
2021-03-08,44.0,45.8,43.605,45.75,58620.0
2021-03-05,41.96,43.53,41.49,43.53,39492.0
2021-03-04,42.4,44.0611,41.08,41.45,45686.0
2021-03-03,42.249,43.8299,41.97,42.63,80839.0
2021-03-02,42.22,42.22,41.17,41.86,25723.0
2021-03-01,40.14,42.21,40.05,42.18,35922.0
2021-02-26,40.9,40.91,39.47,39.47,53242.0
2021-02-25,41.83,41.83,40.45,40.55,26931.0
2021-02-24,40.67,42.48,40.67,41.96,20817.0
2021-02-23,40.77,41.62,40.05,40.4,42857.0
2021-02-22,40.67,41.24,40.16,41.14,18727.0
2021-02-19,40.16,40.925,40.16,40.6,20323.0
2021-02-18,40.28,40.49,39.8003,40.1,49953.0
2021-02-17,40.35,40.9637,40.08,40.08,28830.0
2021-02-16,41.25,41.59,40.13,40.66,20933.0
2021-02-12,41.0,41.98,40.46,40.91,25367.0
2021-02-11,40.6,42.0,40.29,40.96,39374.0
2021-02-10,41.3401,41.775,40.4507,40.52,30346.0
2021-02-09,41.0,41.81,40.67,41.38,25867.0
2021-02-08,40.14,41.19,40.07,40.96,25401.0
2021-02-05,40.355,40.775,39.98,40.14,14254.0
2021-02-04,40.07,40.57,39.7349,40.57,22907.0
2021-02-03,39.67,40.3648,39.29,40.13,22600.0
2021-02-02,40.31,40.31,39.5,39.65,30667.0
2021-02-01,39.85,40.285,39.1,39.71,39809.0
2021-01-29,40.37,41.4164,39.75,39.88,44073.0
2021-01-28,41.04,41.75,40.09,40.37,52394.0
2021-01-27,40.53,41.76,39.991,40.66,67628.0
2021-01-26,42.14,42.42,40.59,41.46,32331.0
2021-01-25,42.23,42.75,41.05,41.88,55395.0
2021-01-22,40.7,41.75,40.59,41.75,35787.0
2021-01-21,41.31,42.11,40.62,40.99,63230.0
2021-01-20,40.8,41.895,40.5,41.31,38222.0
2021-01-19,40.85,41.36,39.99,40.52,51127.0
2021-01-15,40.38,41.36,39.77,40.92,31365.0
2021-01-14,40.5,41.3829,40.115,40.98,31237.0
2021-01-13,40.5,40.715,40.05,40.21,19521.0
2021-01-12,39.59,40.8799,39.48,40.44,44563.0
2021-01-11,38.61,39.57,38.61,39.57,28794.0
2021-01-08,39.79,39.9388,38.36,39.22,41789.0
2021-01-07,39.76,39.76,38.53,39.38,34631.0
2021-01-06,38.17,39.8,38.0133,39.39,67368.0
2021-01-05,37.38,38.41,37.22,37.44,46902.0
2021-01-04,38.49,38.85,37.07,37.38,56061.0
2020-12-31,38.13,38.27,37.76,38.02,46282.0
2020-12-30,37.6231,38.47,37.09,38.28,52896.0
2020-12-29,38.09,38.3046,36.81,36.96,47782.0
2020-12-28,37.31,38.3583,37.0,38.02,54049.0
2020-12-24,36.67,36.9,36.24,36.81,18182.0
2020-12-23,36.06,36.92,35.8,36.58,48368.0
2020-12-22,35.67,36.22,35.6,35.89,38936.0
2020-12-21,35.68,36.04,35.26,35.65,49278.0
2020-12-18,36.36,37.0,36.05,36.16,141786.0
2020-12-17,36.79,36.89,36.0,36.1,52264.0
2020-12-16,37.26,37.3,36.3,36.63,31592.0
2020-12-15,36.2,37.18,35.94,37.05,30877.0
2020-12-14,35.94,36.3,35.805,35.82,49808.0
2020-12-11,35.29,36.01,35.23,35.74,22622.0
2020-12-10,35.18,36.065,35.08,35.38,37366.0
2020-12-09,35.16,35.72,34.905,35.37,41365.0
2020-12-08,34.41,34.93,34.12,34.87,48894.0
2020-12-07,34.94,34.94,34.51,34.63,30940.0
2020-12-04,34.51,35.21,34.51,34.87,28461.0
2020-12-03,34.23,34.85,34.051,34.57,37454.0
2020-12-02,34.03,34.62,33.95,34.21,44954.0
2020-12-01,33.85,34.8,33.68,34.15,32491.0
2020-11-30,34.73,34.73,33.36,33.39,50487.0
2020-11-27,34.47,35.15,34.23,34.79,11824.0
2020-11-25,34.79,35.15,34.31,34.31,35393.0
2020-11-24,34.5,35.175,34.31,34.8,40042.0
2020-11-23,33.54,34.2,33.54,34.0,25302.0
2020-11-20,33.03,33.5,32.95,33.41,26542.0
2020-11-19,33.68,33.945,32.765,33.29,25768.0
2020-11-18,33.52,34.07,33.3,33.75,32268.0
2020-11-17,33.17,33.5,32.6,33.29,38792.0
2020-11-16,32.93,34.11,32.9,33.33,45898.0
2020-11-13,32.19,32.9133,32.19,32.5,29169.0
2020-11-12,32.66,33.01,31.69,32.1,46013.0
2020-11-11,33.05,33.05,32.02,32.74,85884.0
2020-11-10,32.75,33.28,32.27,32.8,128458.0
2020-11-09,32.15,34.37,32.0,32.29,79879.0
2020-11-06,31.74,31.96,30.4301,30.89,105037.0
2020-11-05,31.64,32.0,31.13,31.44,118201.0
2020-11-04,31.21,31.79,31.2,31.52,29007.0
2020-11-03,31.58,31.96,30.97,31.82,53922.0
2020-11-02,30.09,31.21,30.09,31.1,77947.0
2020-10-30,30.27,30.76,29.64,29.94,38138.0
2020-10-29,30.37,30.63,30.05,30.38,44516.0
2020-10-28,30.22,30.635,30.045,30.51,91980.0
2020-10-27,30.82,31.05,30.38,30.72,123869.0
2020-10-26,30.32,30.81,29.94,30.79,34393.0
2020-10-23,30.53,30.77,30.17,30.64,43545.0
2020-10-22,29.9,30.82,29.88,30.47,36473.0
2020-10-21,29.0,29.996,29.0,29.83,83081.0
2020-10-20,29.4,29.6336,28.84,29.15,72236.0
2020-10-19,30.21,30.58,29.16,29.33,48439.0
2020-10-16,30.46,30.8666,30.24,30.24,33516.0
2020-10-15,30.37,30.91,30.24,30.55,42898.0
2020-10-14,31.27,31.33,30.73,30.73,19928.0
2020-10-13,31.9,31.99,31.13,31.49,28414.0
2020-10-12,31.42,32.08,31.13,31.99,121900.0
2020-10-09,31.88,31.9368,31.37,31.48,37847.0
2020-10-08,32.0,32.05,31.42,31.69,40754.0
2020-10-07,32.11,32.34,31.52,31.71,42998.0
2020-10-06,31.7,32.4674,31.6,31.79,31248.0
2020-10-05,30.91,31.66,30.91,31.43,41333.0
2020-10-02,30.51,31.076,30.49,30.79,68770.0
2020-10-01,30.61,31.15,30.6,30.95,47390.0
2020-09-30,31.13,31.5,30.465,30.57,59317.0
2020-09-29,31.48,31.6,31.02,31.07,45642.0
2020-09-28,30.9,31.81,30.85,31.58,84999.0
2020-09-25,31.01,31.16,30.5,30.62,141063.0
2020-09-24,31.2,31.38,30.95,31.23,76803.0
2020-09-23,31.03,31.37,30.89,31.16,67167.0
2020-09-22,30.5,31.12,30.41,31.12,73999.0
2020-09-21,31.64,32.0,30.29,30.51,119789.0
2020-09-18,31.62,32.05,31.23,32.03,114547.0
2020-09-17,31.12,31.67,31.11,31.33,24402.0
2020-09-16,31.3,31.67,31.12,31.3,43678.0
2020-09-15,31.48,31.58,31.0202,31.14,40750.0
2020-09-14,31.47,31.67,31.06,31.43,37713.0
2020-09-11,31.0,31.41,30.85,31.3,39585.0
2020-09-10,31.0,31.345,30.53,30.81,44526.0
2020-09-09,31.21,31.49,30.76,30.95,43005.0
2020-09-08,31.36,31.61,30.9843,31.12,52652.0
2020-09-04,31.88,31.95,31.25,31.42,41269.0
2020-09-03,31.69,31.78,31.04,31.42,76949.0
2020-09-02,31.63,32.15,31.59,31.8,36956.0
2020-09-01,31.3,31.79,31.13,31.67,28431.0
2020-08-31,31.33,31.65,31.26,31.37,40961.0
2020-08-28,31.51,31.615,31.18,31.49,41071.0
2020-08-27,31.19,31.64,30.99,31.3,32243.0
2020-08-26,30.69,31.19,30.59,31.02,67877.0
2020-08-25,31.3,31.5499,30.4596,30.64,28251.0
2020-08-24,31.35,31.38,30.77,31.0,46297.0
2020-08-21,30.21,31.21,30.18,31.05,92110.0
2020-08-20,30.24,30.43,29.97,30.42,25561.0
2020-08-19,30.53,31.2,30.29,30.51,36195.0
2020-08-18,30.18,30.54,29.89,30.45,40626.0
2020-08-17,30.16,30.22,29.86,30.11,32025.0
2020-08-14,29.98,30.06,29.64,29.87,22800.0
2020-08-13,30.5,30.625,29.92,30.12,25435.0
2020-08-12,31.13,31.13,30.33,30.74,35879.0
2020-08-11,30.05,31.2,30.0,30.71,72614.0
2020-08-10,28.99,29.93,28.8,29.62,54283.0
2020-08-07,28.6,29.085,28.6,28.82,35175.0
2020-08-06,28.87,28.95,28.56,28.7,42443.0
2020-08-05,29.24,29.33,28.76,28.87,39878.0
2020-08-04,29.1,29.23,28.58,28.93,30837.0
2020-08-03,28.64,29.31,28.5,29.22,35441.0
2020-07-31,28.62,28.83,27.95,28.35,52256.0
2020-07-30,29.04,29.2,28.72,28.79,33545.0
2020-07-29,29.04,29.52,28.9,29.43,31343.0
2020-07-28,28.97,29.325,28.76,28.88,28854.0
2020-07-27,28.66,29.45,28.63,29.14,40505.0
2020-07-24,29.19,29.28,28.58,28.67,26328.0
2020-07-23,28.68,29.4,28.68,29.33,41530.0
2020-07-22,29.25,29.62,28.725,28.85,44045.0
2020-07-21,29.11,29.92,29.11,29.49,30175.0
2020-07-20,29.34,29.55,28.63,28.84,54729.0
2020-07-17,29.49,30.06,29.37,29.45,42584.0
2020-07-16,29.39,29.83,29.05,29.46,33439.0
2020-07-15,29.5,30.11,29.27,29.51,66250.0
2020-07-14,28.81,29.32,28.51,28.94,55987.0
2020-07-13,28.72,29.09,28.39,28.77,50733.0
2020-07-10,27.57,28.53,27.57,28.43,42789.0
2020-07-09,29.05,29.05,27.38,27.45,83096.0
2020-07-08,28.89,29.25,28.55,29.05,68155.0
2020-07-07,29.04,29.46,28.78,29.03,63075.0
2020-07-06,29.37,29.57,28.86,29.32,52707.0
2020-07-02,29.0,29.52,28.5,28.73,47205.0
2020-07-01,29.78,30.0,28.2,28.39,66607.0
2020-06-30,29.01,29.83,29.0,29.77,61085.0
2020-06-29,28.6,30.15,28.5,29.29,74874.0
2020-06-26,27.7,28.25,27.56,28.14,149571.0
2020-06-25,27.31,28.19,27.08,28.14,50591.0
2020-06-24,27.82,28.0,27.31,27.46,60164.0
2020-06-23,28.55,28.65,27.87,28.17,65850.0
2020-06-22,27.93,28.46,27.72,28.3,56423.0
2020-06-19,28.22,28.43,27.58,28.2,94528.0
2020-06-18,27.74,28.54,27.74,28.04,31466.0
2020-06-17,29.12,29.12,27.97,28.09,32982.0
2020-06-16,29.65,29.83,28.58,28.99,40850.0
2020-06-15,27.54,28.78,27.42,28.63,47173.0
2020-06-12,29.18,29.32,27.59,28.33,72834.0
2020-06-11,29.53,29.53,27.97,28.16,62727.0
2020-06-10,30.84,30.97,30.01,30.01,35776.0
2020-06-09,31.31,31.5,30.36,31.0,54104.0
2020-06-08,32.4,32.89,31.4,31.9,63462.0
2020-06-05,31.41,32.32,30.84,31.88,65747.0
2020-06-04,29.71,30.87,29.58,30.83,74237.0
2020-06-03,29.14,29.86,28.96,29.56,70685.0
2020-06-02,29.15,29.4,28.75,28.87,33020.0
2020-06-01,29.88,29.92,28.74,28.8,61735.0
2020-05-29,29.51,29.96,29.23,29.63,37482.0
2020-05-28,31.16,31.16,29.86,29.86,48850.0
2020-05-27,30.44,30.85,29.84,30.65,44279.0
2020-05-26,29.36,30.1,28.38,29.65,75984.0
2020-05-22,28.82,28.82,28.12,28.43,33665.0
2020-05-21,28.7,29.1,28.4,28.6,33551.0
2020-05-20,28.59,29.26,28.41,28.63,67450.0
2020-05-19,28.95,29.46,28.08,28.13,67083.0
2020-05-18,28.24,29.29,28.24,29.15,48818.0
2020-05-15,26.56,27.44,26.54,27.24,34822.0
2020-05-14,26.03,26.64,25.32,26.62,54628.0
2020-05-13,26.86,27.0,25.87,26.67,60458.0
2020-05-12,28.39,28.39,26.97,27.03,45536.0
2020-05-11,29.9,29.9,28.31,28.4,55713.0
2020-05-08,29.22,30.3,28.81,30.24,68210.0
2020-05-07,28.92,29.1,27.47,28.48,65930.0
2020-05-06,28.46,28.66,28.14,28.41,46049.0
2020-05-05,29.29,29.76,28.33,28.52,60408.0
2020-05-04,28.84,29.33,28.1,28.77,59360.0
2020-05-01,29.78,29.78,28.88,29.28,65238.0
2020-04-30,30.49,30.83,29.96,30.38,56807.0
2020-04-29,30.53,31.19,29.42,30.91,103038.0
2020-04-28,29.14,30.08,28.85,29.84,68622.0
2020-04-27,27.68,28.71,27.68,28.4,69097.0
2020-04-24,27.3,27.75,27.04,27.61,43344.0
2020-04-23,26.64,27.77,26.33,27.35,61536.0
2020-04-22,26.6,27.08,26.2,26.79,55297.0
2020-04-21,25.81,26.46,25.7,26.2,76644.0
2020-04-20,27.0,27.0,25.92,26.41,61218.0
2020-04-17,26.35,27.07,25.97,26.9,119030.0
2020-04-16,27.01,27.09,25.57,25.69,84512.0
2020-04-15,27.83,27.83,26.22,27.17,87743.0
2020-04-14,28.2,28.68,27.17,27.96,109483.0
2020-04-13,28.5,28.58,27.41,28.15,79336.0
2020-04-09,27.95,28.52,27.74,28.52,113566.0
2020-04-08,28.35,28.43,27.19,27.4,94831.0
2020-04-07,28.07,28.69,27.35,27.73,132295.0
2020-04-06,26.7,27.73,26.7,27.48,104609.0
2020-04-03,25.75,26.82,25.26,25.89,67673.0
2020-04-02,25.92,26.88,25.27,26.02,108664.0
2020-04-01,27.31,27.36,26.45,26.57,78812.0
2020-03-31,27.29,28.28,26.31,28.28,110801.0
2020-03-30,26.14,27.44,26.14,27.17,121668.0
2020-03-27,26.95,27.12,25.99,25.99,54184.0
2020-03-26,27.04,27.81,26.79,27.53,69903.0
2020-03-25,27.36,27.84,26.7,26.82,77276.0
2020-03-24,27.38,27.97,26.52,27.44,62526.0
2020-03-23,27.15,27.56,25.25,26.29,94757.0
2020-03-20,28.45,28.57,26.75,27.41,124113.0
2020-03-19,26.23,29.12,26.0,28.44,85062.0
2020-03-18,26.73,27.52,25.95,26.28,79341.0
2020-03-17,26.1,28.44,25.97,28.28,94340.0
2020-03-16,27.09,27.99,25.43,25.64,99442.0
2020-03-13,27.19,28.77,26.89,28.77,92903.0
2020-03-12,28.33,28.83,26.51,27.05,99650.0
2020-03-11,28.59,29.18,28.15,29.0,65191.0
2020-03-10,29.35,29.49,28.34,29.2,117384.0
2020-03-09,29.0,30.19,27.82,29.12,69988.0
2020-03-06,30.73,31.8,29.71,30.74,75153.0
2020-03-05,29.86,32.08,29.86,31.42,102926.0
2020-03-04,30.5,30.64,29.68,30.54,58246.0
2020-03-03,31.15,31.17,30.04,30.26,48366.0
2020-03-02,29.87,31.17,29.71,30.96,55266.0
2020-02-28,30.6,30.6,28.3,29.71,88266.0
2020-02-27,30.25,31.43,29.76,31.07,54171.0
2020-02-26,30.1,30.95,30.1,30.76,74962.0
2020-02-25,32.28,32.43,29.94,29.94,66863.0
2020-02-24,32.16,32.68,31.16,32.43,38247.0
2020-02-21,33.89,34.0,32.7,33.04,56781.0
2020-02-20,33.39,34.37,33.03,33.98,38709.0
2020-02-19,33.68,33.87,33.31,33.67,37615.0
2020-02-18,34.12,34.39,33.68,33.8,20486.0
2020-02-14,34.98,34.98,33.95,34.18,12647.0
2020-02-13,34.23,35.08,34.1,34.99,14556.0
2020-02-12,33.98,34.48,33.92,34.34,18959.0
2020-02-11,33.91,34.3,33.63,33.65,29801.0
2020-02-10,34.02,34.24,33.5,33.62,25285.0
2020-02-07,34.89,34.89,33.99,34.11,22981.0
2020-02-06,35.34,35.34,34.68,34.79,21195.0
2020-02-05,35.21,35.21,34.75,35.11,25191.0
2020-02-04,35.15,35.15,34.63,34.75,26479.0
2020-02-03,34.41,34.83,34.26,34.68,33202.0
2020-01-31,34.58,34.84,34.2,34.41,50198.0
2020-01-30,34.42,34.79,34.1,34.69,25313.0
2020-01-29,35.28,35.44,34.57,34.65,30873.0
2020-01-28,35.49,35.64,35.11,35.18,21953.0
2020-01-27,35.65,35.95,35.23,35.25,28572.0
2020-01-24,35.94,36.4,35.85,36.29,39691.0
2020-01-23,34.81,36.14,34.36,35.81,59755.0
2020-01-22,35.15,35.26,34.81,34.81,41747.0
2020-01-21,35.66,35.66,34.84,35.02,24426.0
2020-01-17,36.36,36.36,35.21,35.62,27667.0
2020-01-16,35.07,36.25,34.97,36.18,32662.0
2020-01-15,34.87,35.23,33.83,34.77,79262.0
2020-01-14,35.16,35.48,34.69,34.9,63628.0
2020-01-13,35.34,35.72,34.69,35.34,61208.0
2020-01-10,35.85,35.85,35.01,35.31,30295.0
2020-01-09,36.27,36.27,35.76,35.93,24079.0
2020-01-08,36.37,36.53,35.96,36.13,20246.0
2020-01-07,36.4,36.66,36.0,36.36,28926.0
2020-01-06,36.4,36.87,36.14,36.43,28028.0
2020-01-03,36.51,36.9,36.25,36.52,20434.0
2020-01-02,37.37,37.37,36.53,36.9,20889.0
2019-12-31,37.28,37.63,36.91,37.13,26298.0
2019-12-30,37.44,37.52,37.02,37.39,43549.0
2019-12-27,37.65,37.66,36.97,37.19,22610.0
2019-12-26,37.36,37.58,37.11,37.52,20718.0
2019-12-24,37.94,37.94,37.05,37.24,8594.0
2019-12-23,37.14,37.98,36.9,37.72,60298.0
2019-12-20,37.06,37.22,36.69,37.01,77335.0
2019-12-19,37.8,37.8,36.7,36.9,40799.0
2019-12-18,37.56,38.18,37.23,37.83,24158.0
2019-12-17,36.86,37.94,36.82,37.4,34777.0
2019-12-16,36.75,37.27,36.6,36.74,25473.0
2019-12-13,36.97,36.97,36.18,36.5,25817.0
2019-12-12,36.59,37.4,36.11,37.05,47418.0
2019-12-11,36.4,36.66,36.02,36.56,33452.0
2019-12-10,36.01,36.51,35.82,36.38,28094.0
2019-12-09,35.82,36.27,35.62,36.07,42013.0
2019-12-06,36.1,36.42,35.73,35.82,65844.0
2019-12-05,35.72,36.29,35.64,35.92,37068.0
2019-12-04,36.2,36.39,35.55,35.61,29155.0
2019-12-03,35.78,36.14,35.55,36.03,33464.0
2019-12-02,36.75,37.0,35.97,36.12,28102.0
2019-11-29,36.56,37.31,36.26,36.65,20563.0
2019-11-27,36.98,37.18,36.45,36.87,23096.0
2019-11-26,36.41,37.19,36.1,36.82,45867.0
2019-11-25,36.8,37.0,36.13,36.15,58518.0
2019-11-22,36.0,36.79,35.53,36.73,53274.0
2019-11-21,35.49,36.09,35.05,35.79,52020.0
2019-11-20,35.87,36.14,35.29,35.4,48479.0
2019-11-19,36.37,36.78,35.8,35.94,39231.0
