date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,21.52,21.7655,21.5,21.63,25525.0
2021-03-12,21.63,21.6729,21.35,21.35,41309.0
2021-03-11,22.27,22.27,21.66,21.72,27171.0
2021-03-10,21.87,22.04,21.79,22.03,23950.0
2021-03-09,21.75,21.87,21.45,21.79,25439.0
2021-03-08,21.59,21.75,21.52,21.71,29755.0
2021-03-05,21.62,21.62,21.24,21.5,24195.0
2021-03-04,21.73,21.9,21.15,21.48,48881.0
2021-03-03,21.71,21.82,21.5,21.72,28053.0
2021-03-02,21.85,21.85,21.579,21.74,37226.0
2021-03-01,21.94,22.0494,21.85,21.92,24382.0
2021-02-26,21.49,21.88,21.405,21.88,40442.0
2021-02-25,21.44,21.512,21.24,21.28,67002.0
2021-02-24,21.33,21.48,21.1644,21.445,44091.0
2021-02-23,21.25,21.33,20.89,21.33,69726.0
2021-02-22,21.48,21.48,21.195,21.25,47639.0
2021-02-19,21.54,21.66,21.31,21.32,51328.0
2021-02-18,21.7,21.75,21.47,21.49,49868.0
2021-02-17,21.76,21.9199,21.53,21.73,64516.0
2021-02-16,22.06,22.1736,21.81,21.85,33676.0
2021-02-12,22.2,22.28,21.66,22.0,75401.0
2021-02-11,22.56,22.56,22.17,22.25,41824.0
2021-02-10,22.59,22.59,22.3566,22.36,37922.0
2021-02-09,22.35,22.59,22.321,22.55,45452.0
2021-02-08,22.22,22.49,22.2,22.45,68266.0
2021-02-05,22.15,22.27,22.0,22.26,40755.0
2021-02-04,22.19,22.19,21.99,22.04,45286.0
2021-02-03,21.9,22.1095,21.9,22.06,23459.0
2021-02-02,21.87,22.09,21.87,22.01,25861.0
2021-02-01,22.0,22.4431,21.85,21.9,65530.0
2021-01-29,21.84,22.28,21.7891,21.88,47206.0
2021-01-28,21.83,21.9394,21.75,21.79,57429.0
2021-01-27,21.97,21.99,21.71,21.71,61253.0
2021-01-26,21.85,22.02,21.85,21.9,24552.0
2021-01-25,22.1,22.27,21.65,21.81,68233.0
2021-01-22,22.42,22.42,22.03,22.03,66068.0
2021-01-21,22.18,22.37,22.0401,22.35,31220.0
2021-01-20,22.04,22.18,21.976,22.18,27723.0
2021-01-19,21.93,21.99,21.85,21.96,28838.0
2021-01-15,21.94,22.005,21.83,21.89,24920.0
2021-01-14,22.24,22.2442,21.85,21.96,42714.0
2021-01-13,22.25,22.2999,21.9,22.02,55316.0
2021-01-12,21.92,22.1,21.85,22.06,38076.0
2021-01-11,21.74,21.92,21.74,21.89,29951.0
2021-01-08,21.7,21.8799,21.7,21.85,17484.0
2021-01-07,21.63,21.77,21.52,21.74,44815.0
2021-01-06,21.64,21.74,21.6,21.63,25495.0
2021-01-05,21.77,21.835,21.64,21.69,23746.0
2021-01-04,21.7,21.81,21.51,21.8,40542.0
2020-12-31,21.75,21.83,21.54,21.78,21595.0
2020-12-30,21.6,21.86,21.6,21.85,56040.0
2020-12-29,21.51,21.82,21.48,21.6,39655.0
2020-12-28,21.3,21.52,21.3,21.44,104879.0
2020-12-24,21.6,21.64,21.49,21.59,9486.0
2020-12-23,21.55,21.62,21.45,21.52,43439.0
2020-12-22,21.56,21.71,21.505,21.55,21762.0
2020-12-21,21.48,21.6092,21.45,21.55,46386.0
2020-12-18,21.62,21.62,21.38,21.48,42134.0
2020-12-17,21.6,21.72,21.5,21.64,21360.0
2020-12-16,21.79,21.81,21.465,21.65,68466.0
2020-12-15,21.5,21.82,21.48,21.82,50062.0
2020-12-14,21.56,21.68,21.5,21.53,46401.0
2020-12-11,21.8,21.8,21.6168,21.68,28346.0
2020-12-10,21.75,21.8,21.45,21.7,25174.0
2020-12-09,21.68,21.82,21.66,21.82,42667.0
2020-12-08,21.51,21.7,21.4339,21.7,29734.0
2020-12-07,21.64,21.66,21.34,21.45,50115.0
2020-12-04,21.8,21.82,21.57,21.69,23025.0
2020-12-03,21.96,21.96,21.67,21.67,33090.0
2020-12-02,21.64,21.94,21.54,21.94,33549.0
2020-12-01,21.45,21.65,21.39,21.64,23889.0
