date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,12.31,12.5,12.31,12.43,8161.0
2021-03-11,12.39,12.4515,12.22,12.38,4870.0
2021-03-10,12.34,12.5,12.21,12.36,15468.0
2021-03-09,12.29,12.59,12.1,12.3001,18449.0
2021-03-08,12.35,12.45,12.11,12.21,8966.0
2021-03-05,12.2,12.4489,12.1435,12.4399,16437.0
2021-03-04,12.21,12.56,12.14,12.2408,11576.0
2021-03-03,12.2835,12.4,12.21,12.21,4859.0
2021-03-02,12.1,12.5,12.1,12.21,11538.0
2021-03-01,12.17,12.2794,12.11,12.121,10971.0
2021-02-26,12.15,12.2756,12.14,12.18,7294.0
2021-02-25,12.14,12.51,11.97,12.04,7308.0
2021-02-24,12.1,12.28,12.1,12.12,9021.0
2021-02-23,12.28,12.289,11.97,12.2,14916.0
2021-02-22,12.07,12.4743,12.07,12.1,10299.0
2021-02-19,12.2,12.2265,12.05,12.14,4452.0
2021-02-18,12.04,12.24,12.03,12.19,4305.0
2021-02-17,12.34,12.34,12.0476,12.11,8478.0
2021-02-16,12.04,12.26,12.04,12.25,18603.0
2021-02-12,12.2511,12.27,12.1301,12.205,7667.0
2021-02-11,12.29,12.29,12.03,12.14,26869.0
2021-02-10,12.18,12.2001,12.0381,12.2,23327.0
2021-02-09,12.06,12.26,12.06,12.11,15591.0
2021-02-08,12.08,12.31,12.02,12.12,25843.0
2021-02-05,12.04,12.35,12.02,12.155,20928.0
2021-02-04,12.25,12.44,12.0139,12.05,27174.0
2021-02-03,12.35,12.4958,12.0283,12.11,9635.0
2021-02-02,12.08,12.51,11.92,12.25,17762.0
2021-02-01,12.02,12.1498,11.9201,11.94,11660.0
2021-01-29,11.97,12.2,11.92,12.0,19049.0
2021-01-28,11.95,12.0549,11.8245,12.01,9223.0
2021-01-27,11.83,12.07,11.82,12.02,8065.0
2021-01-26,12.11,12.11,11.96,11.96,27463.0
2021-01-25,12.1,12.26,11.97,12.03,46707.0
2021-01-22,12.19,12.52,12.13,12.22,5575.0
2021-01-21,12.23,12.295,12.02,12.16,40153.0
2021-01-20,12.47,12.5652,12.17,12.28,9128.0
2021-01-19,12.4,12.6,12.155,12.6,39726.0
2021-01-15,12.59,12.79,12.1442,12.45,24215.0
2021-01-14,12.27,12.4,12.0101,12.4,19809.0
2021-01-13,12.3,12.33,11.72,12.14,33472.0
2021-01-12,11.75,12.25,11.73,12.25,29058.0
2021-01-11,11.89,12.0,11.86,11.86,7137.0
2021-01-08,12.08,12.17,11.883,11.99,6426.0
2021-01-07,12.17,12.26,11.9,11.92,15131.0
2021-01-06,11.94,12.23,11.93,12.07,6129.0
2021-01-05,11.8,12.16,11.8,12.03,9713.0
2021-01-04,11.96,11.9705,11.523,11.82,14756.0
2020-12-31,12.0,12.13,11.8,11.88,39149.0
2020-12-30,11.82,12.1,11.8,11.86,7756.0
2020-12-29,12.12,12.279,11.85,12.07,23127.0
2020-12-28,12.375,12.5,12.25,12.25,15542.0
2020-12-24,12.03,12.79,12.0,12.29,22435.0
2020-12-23,11.95,12.16,11.69,12.12,32565.0
2020-12-22,12.07,12.07,11.28,11.95,35509.0
2020-12-21,12.11,12.2,12.0002,12.075,10367.0
2020-12-18,12.12,12.35,12.0901,12.25,7121.0
2020-12-17,11.98,12.26,11.98,11.99,33865.0
2020-12-16,11.94,12.22,11.94,12.02,11142.0
2020-12-15,11.93,12.1,11.859,12.04,28660.0
2020-12-14,11.95,12.1,11.8401,12.05,40911.0
2020-12-11,12.12,12.12,11.93,11.93,7297.0
2020-12-10,12.12,12.12,12.03,12.03,5298.0
2020-12-09,12.01,12.1,11.95,12.1,16189.0
2020-12-08,12.0,12.14,11.86,12.14,19937.0
2020-12-07,12.14,12.14,11.8001,12.14,22470.0
2020-12-04,12.06,12.2409,11.9,12.075,19149.0
2020-12-03,12.12,12.37,12.021,12.21,22927.0
2020-12-02,12.23,12.3675,12.0,12.1,15095.0
2020-12-01,12.14,12.4196,12.07,12.23,19424.0
2020-11-30,12.36,12.4684,11.95,12.24,25516.0
2020-11-27,12.09,12.09,11.92,11.92,10577.0
2020-11-25,12.07,12.1024,11.76,12.09,20607.0
2020-11-24,12.38,12.79,11.84,12.1,31701.0
2020-11-23,12.39,12.7826,12.3596,12.42,9771.0
2020-11-20,12.3279,12.9366,12.3279,12.42,13950.0
2020-11-19,12.6,12.82,12.4862,12.61,13585.0
