date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.12,14.17,14.05,14.05,27892.0
2021-03-11,14.16,14.2496,14.16,14.17,27991.0
2021-03-10,14.12,14.31,14.115,14.19,30425.0
2021-03-09,13.93,14.19,13.93,14.03,15788.0
2021-03-08,13.76,14.01,13.73,13.93,56539.0
2021-03-05,13.74,13.76,13.65,13.73,35501.0
2021-03-04,13.83,13.85,13.68,13.74,47266.0
2021-03-03,13.84,13.84,13.76,13.78,28212.0
2021-03-02,13.72,13.87,13.72,13.82,48663.0
2021-03-01,13.9,13.9,13.71,13.77,72169.0
2021-02-26,13.65,13.89,13.56,13.75,200430.0
2021-02-25,13.9,13.9354,13.6,13.6,55956.0
2021-02-24,13.83,13.99,13.63,13.93,37129.0
2021-02-23,13.81,13.9599,13.6112,13.89,66811.0
2021-02-22,14.15,14.15,13.91,13.97,46751.0
2021-02-19,13.98,14.08,13.85,14.08,46411.0
2021-02-18,13.96,13.99,13.92,13.98,33324.0
2021-02-17,14.05,14.16,13.94,13.98,95893.0
2021-02-16,14.22,14.238,14.13,14.17,36068.0
2021-02-12,14.27,14.3,14.19,14.22,25624.0
2021-02-11,14.31,14.39,14.31,14.335,14959.0
2021-02-10,14.23,14.44,14.16,14.3,54700.0
2021-02-09,14.17,14.22,14.17,14.22,51499.0
2021-02-08,14.2,14.27,14.172,14.2,55794.0
2021-02-05,14.13,14.2,14.13,14.2,33886.0
2021-02-04,14.13,14.2,14.08,14.16,29825.0
2021-02-03,14.11,14.2,14.08,14.16,27768.0
2021-02-02,14.01,14.2,14.01,14.15,54014.0
2021-02-01,14.16,14.19,14.06,14.06,34747.0
2021-01-29,13.95,14.09,13.93,14.08,36439.0
2021-01-28,14.04,14.1051,13.99,14.0,63503.0
2021-01-27,14.14,14.15,14.0,14.09,72174.0
2021-01-26,14.16,14.2,14.08,14.16,23785.0
2021-01-25,14.16,14.2,14.08,14.17,35804.0
2021-01-22,14.35,14.35,14.17,14.2,28245.0
2021-01-21,14.33,14.41,14.1,14.19,71576.0
2021-01-20,14.22,14.93,14.1498,14.33,29904.0
2021-01-19,14.13,14.27,14.09,14.23,32122.0
2021-01-15,14.15,14.15,14.05,14.11,20868.0
2021-01-14,14.19,14.196,13.9502,14.12,44338.0
2021-01-13,14.02,14.07,14.02,14.07,30675.0
2021-01-12,14.11,14.17,14.05,14.07,30138.0
2021-01-11,13.96,14.24,13.9002,14.17,47702.0
2021-01-08,13.88,13.95,13.88,13.92,19237.0
2021-01-07,13.99,13.99,13.81,13.88,55666.0
2021-01-06,14.1,14.11,13.97,13.99,39161.0
2021-01-05,13.95,14.13,13.87,14.04,31643.0
2021-01-04,14.11,14.18,13.92,13.97,43579.0
2020-12-31,14.26,14.26,13.98,13.98,54826.0
2020-12-30,13.82,14.3,13.82,14.11,86449.0
2020-12-29,13.87,13.9,13.83,13.85,13881.0
2020-12-28,13.9,13.9,13.8,13.8,39522.0
2020-12-24,13.85,13.93,13.85,13.89,12998.0
2020-12-23,13.74,13.9,13.74,13.87,23186.0
2020-12-22,13.81,13.93,13.76,13.79,31465.0
2020-12-21,13.73,13.82,13.7,13.73,49521.0
2020-12-18,13.66,13.83,13.59,13.74,16969.0
2020-12-17,13.82,13.87,13.58,13.59,63897.0
2020-12-16,13.91,13.91,13.75,13.84,46370.0
2020-12-15,13.91,13.95,13.83,13.9,31798.0
2020-12-14,13.9,13.93,13.85,13.92,44899.0
2020-12-11,13.95,14.03,13.89,13.89,52471.0
2020-12-10,13.96,14.0,13.9,14.0,20124.0
2020-12-09,13.84,14.0,13.84,13.96,50316.0
2020-12-08,13.82,13.88,13.79,13.88,19392.0
2020-12-07,13.71,13.98,13.71,13.74,59047.0
2020-12-04,13.71,13.76,13.7,13.71,32389.0
2020-12-03,13.76,13.8,13.7,13.75,30927.0
2020-12-02,13.69,13.8,13.59,13.76,41095.0
2020-12-01,13.74,13.74,13.6,13.61,42398.0
2020-11-30,13.72,13.72,13.62,13.64,45375.0
2020-11-27,13.72,13.72,13.67,13.68,32810.0
2020-11-25,13.61,13.81,13.595,13.67,41987.0
2020-11-24,13.5,13.64,13.5,13.58,24515.0
2020-11-23,13.44,13.51,13.425,13.5076,27236.0
2020-11-20,13.42,13.44,13.38,13.43,13246.0
2020-11-19,13.33,13.41,13.33,13.39,15662.0
2020-11-18,13.35,13.3799,13.315,13.34,24651.0
2020-11-17,13.32,13.3699,13.31,13.31,59919.0
2020-11-16,13.31,13.3399,13.31,13.32,34230.0
2020-11-13,13.31,13.31,13.2844,13.31,38041.0
2020-11-12,13.31,13.36,13.31,13.36,41071.0
2020-11-11,13.37,13.3732,13.3358,13.36,10303.0
2020-11-10,13.3,13.33,13.3,13.33,27168.0
2020-11-09,13.35,13.35,13.29,13.33,28889.0
2020-11-06,13.2,13.25,13.2,13.25,26990.0
2020-11-05,13.15,13.26,13.15,13.22,40486.0
2020-11-04,13.19,13.19,13.1,13.14,74458.0
2020-11-03,13.06,13.09,13.0501,13.09,30672.0
2020-11-02,13.06,13.08,13.03,13.05,25180.0
2020-10-30,13.11,13.127,13.0,13.04,25546.0
2020-10-29,13.11,13.12,13.0038,13.11,16891.0
2020-10-28,13.07,13.12,13.02,13.1,47119.0
2020-10-27,13.1,13.14,13.0501,13.1,46873.0
2020-10-26,13.0721,13.0723,13.0,13.05,24922.0
2020-10-23,13.14,13.14,13.06,13.1,6319.0
2020-10-22,13.23,13.23,13.1295,13.14,9667.0
2020-10-21,13.24,13.24,13.17,13.22,46545.0
2020-10-20,13.22,13.2499,13.19,13.24,60411.0
2020-10-19,13.11,13.13,13.085,13.1207,32499.0
2020-10-16,13.26,13.26,13.0502,13.09,22698.0
2020-10-15,13.22,13.24,13.19,13.2,24446.0
2020-10-14,13.21,13.24,13.19,13.21,22375.0
2020-10-13,13.34,13.34,13.28,13.28,63320.0
2020-10-12,13.39,13.4,13.3,13.33,56566.0
2020-10-09,13.4,13.4,13.2501,13.27,22124.0
2020-10-08,13.35,13.37,13.26,13.33,34695.0
2020-10-07,13.37,13.4,13.225,13.32,110421.0
2020-10-06,13.19,13.2648,13.185,13.24,38120.0
2020-10-05,13.2,13.2,13.12,13.14,28398.0
2020-10-02,13.16,13.17,13.07,13.16,24311.0
2020-10-01,13.17,13.19,13.0974,13.15,28974.0
2020-09-30,13.02,13.08,12.98,13.08,29017.0
2020-09-29,12.97,13.06,12.97,13.06,31144.0
2020-09-28,13.0,13.01,12.98,12.98,29348.0
2020-09-25,12.99,12.99,12.94,12.97,18122.0
2020-09-24,13.01,13.01,12.96,12.96,10843.0
2020-09-23,13.14,13.14,12.95,12.95,30247.0
2020-09-22,13.19,13.19,13.06,13.06,42422.0
2020-09-21,13.17,13.19,13.12,13.12,11264.0
2020-09-18,13.21,13.21,13.08,13.18,47098.0
2020-09-17,13.08,13.19,13.07,13.15,37435.0
2020-09-16,13.13,13.19,13.08,13.08,15443.0
2020-09-15,13.14,13.22,13.14,13.15,20947.0
2020-09-14,13.12,13.23,13.12,13.194,23142.0
2020-09-11,13.16,13.28,13.16,13.17,30020.0
2020-09-10,13.12,13.25,13.12,13.16,23877.0
2020-09-09,13.16,13.1899,13.1101,13.13,24394.0
2020-09-08,13.2,13.2,13.08,13.11,10183.0
