date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,74.47,74.56,72.78,73.68,164633.0
2021-03-12,76.53,76.84,74.86,75.14,130912.0
2021-03-11,78.74,78.74,75.18,76.17,240322.0
2021-03-10,77.04,80.7,77.04,78.34,136131.0
2021-03-09,75.84,77.62,73.89,76.57,103079.0
2021-03-08,73.56,75.56,72.27,75.32,121632.0
2021-03-05,72.14,73.07,70.88,73.07,123212.0
2021-03-04,73.05,73.145,69.92,70.96,106865.0
2021-03-03,72.19,74.59,71.21,73.32,96407.0
2021-03-02,73.5,73.94,71.59,71.77,85304.0
2021-03-01,69.37,73.61,69.0946,73.22,114327.0
2021-02-26,68.29,68.65,67.53,68.48,180822.0
2021-02-25,69.85,69.85,67.29,68.5,93087.0
2021-02-24,68.04,70.8,68.04,70.02,109888.0
2021-02-23,67.03,68.675,66.11,68.1,159470.0
2021-02-22,66.49,68.31,65.74,67.53,211711.0
2021-02-19,66.71,68.22,65.2657,66.81,134236.0
2021-02-18,68.37,68.46,64.0095,66.71,123081.0
2021-02-17,69.9,69.9,68.33,68.82,109559.0
2021-02-16,71.26,71.56,70.08,70.61,70902.0
2021-02-12,68.83,69.9,68.34,69.76,49964.0
2021-02-11,68.3,69.82,67.81,69.48,132368.0
2021-02-10,71.43,72.34,68.15,68.15,131998.0
2021-02-09,71.96,72.31,70.55,70.93,91100.0
2021-02-08,69.86,72.53,69.86,72.01,76445.0
2021-02-05,69.32,69.94,68.86,69.26,70920.0
2021-02-04,67.89,68.865,67.605,68.67,46021.0
2021-02-03,68.68,70.01,67.83,68.22,50627.0
2021-02-02,67.99,69.19,67.21,68.87,47190.0
2021-02-01,69.11,69.29,66.68,67.61,95241.0
2021-01-29,69.92,70.85,68.11,68.19,138010.0
2021-01-28,68.34,69.8,68.1,69.08,96267.0
2021-01-27,67.12,67.91,65.74,67.5,111360.0
2021-01-26,68.67,69.89,67.62,68.84,61706.0
2021-01-25,67.56,67.805,66.0,67.2,88872.0
2021-01-22,65.97,68.36,65.62,68.08,78772.0
2021-01-21,68.35,68.35,66.02,66.95,79653.0
2021-01-20,69.6,69.85,68.25,68.63,95580.0
2021-01-19,68.98,69.15,68.01,69.15,175065.0
2021-01-15,68.8,70.1,67.415,68.21,103285.0
2021-01-14,70.75,71.88,69.71,70.17,150256.0
2021-01-13,68.17,70.02,67.28,70.0,164991.0
2021-01-12,67.18,68.59,67.18,68.33,59447.0
2021-01-11,66.69,67.67,66.69,67.58,64470.0
2021-01-08,68.34,68.34,66.5601,67.78,75194.0
2021-01-07,69.61,69.71,67.87,68.34,75790.0
2021-01-06,66.89,70.06,66.89,69.08,164011.0
2021-01-05,62.87,65.9,62.84,65.29,79372.0
2021-01-04,64.61,65.28,61.96,62.61,107680.0
2020-12-31,63.31,64.0,63.13,63.72,49716.0
2020-12-30,61.74,63.67,61.74,63.47,47469.0
2020-12-29,62.43,62.43,61.04,61.36,62048.0
2020-12-28,63.48,63.48,61.72,62.12,69405.0
2020-12-24,63.95,63.95,61.84,62.73,37073.0
2020-12-23,62.18,64.23,61.72,63.68,78630.0
2020-12-22,61.29,61.86,60.39,61.6,54628.0
2020-12-21,60.73,61.52,60.32,61.42,63952.0
2020-12-18,62.41,63.05,60.35,62.03,391655.0
2020-12-17,60.12,62.53,60.12,62.47,137452.0
2020-12-16,59.71,59.99,58.2183,59.61,118348.0
2020-12-15,57.37,60.08,57.37,59.46,178110.0
2020-12-14,58.17,58.66,57.25,57.25,79904.0
2020-12-11,58.37,59.37,57.475,57.73,82519.0
2020-12-10,59.03,59.53,58.31,58.95,71295.0
2020-12-09,62.21,62.21,59.385,59.48,77440.0
2020-12-08,60.82,61.69,60.36,61.56,74118.0
2020-12-07,61.84,62.49,61.02,61.19,47582.0
2020-12-04,59.89,62.28,59.89,62.18,61173.0
2020-12-03,60.46,60.46,59.06,59.24,26878.0
2020-12-02,58.98,60.29,58.89,60.13,57824.0
2020-12-01,59.31,59.82,58.28,59.0,70621.0
2020-11-30,60.06,60.06,58.05,58.3,74434.0
2020-11-27,60.56,60.56,59.345,60.54,24408.0
2020-11-25,61.61,61.61,60.25,60.37,68935.0
2020-11-24,61.9,62.29,60.9301,61.96,76072.0
2020-11-23,60.48,61.43,59.59,60.81,82528.0
2020-11-20,59.53,60.36,59.0,60.16,39670.0
2020-11-19,60.6,60.6,58.86,59.92,61071.0
2020-11-18,60.59,61.53,59.75,60.55,73975.0
2020-11-17,60.93,60.93,59.22,60.39,84656.0
2020-11-16,59.14,61.69,59.14,61.25,103435.0
2020-11-13,55.99,58.44,55.99,58.25,67391.0
2020-11-12,54.53,56.02,54.16,55.46,128700.0
2020-11-11,56.95,56.95,54.63,55.33,52800.0
2020-11-10,58.08,58.61,56.56,56.92,169299.0
2020-11-09,55.34,59.0,54.87,57.34,129730.0
2020-11-06,52.27,52.75,51.66,52.14,60267.0
2020-11-05,50.88,52.41,50.88,51.78,81876.0
2020-11-04,50.95,51.88,50.1,50.39,82224.0
2020-11-03,51.97,52.415,51.37,52.0,88063.0
2020-11-02,51.8,51.85,50.65,51.33,105975.0
2020-10-30,51.72,52.165,50.88,51.19,96506.0
2020-10-29,50.3,52.71,50.08,51.82,107128.0
2020-10-28,50.0,50.81,49.51,50.8,163304.0
2020-10-27,50.87,51.1,50.04,50.86,83640.0
2020-10-26,53.28,53.32,51.11,51.28,163227.0
2020-10-23,55.26,55.45,53.59,53.81,55955.0
2020-10-22,55.54,55.54,53.38,54.67,89786.0
2020-10-21,55.56,56.13,54.76,55.47,51759.0
2020-10-20,55.47,56.32,55.15,55.37,40202.0
2020-10-19,55.82,56.99,55.05,55.13,65919.0
2020-10-16,55.51,56.5697,55.51,55.85,46962.0
2020-10-15,55.09,56.02,54.67,55.7,57775.0
2020-10-14,56.25,56.38,55.41,55.86,57906.0
2020-10-13,57.07,57.35,55.9,56.11,55394.0
2020-10-12,57.64,58.06,56.99,57.62,75375.0
2020-10-09,56.7,57.59,56.42,57.5,107505.0
2020-10-08,55.61,56.165,54.78,55.84,73286.0
2020-10-07,54.58,55.18,54.02,54.88,106880.0
2020-10-06,55.26,55.8,53.06,53.72,111375.0
2020-10-05,54.39,54.83,53.85,54.44,101484.0
2020-10-02,51.5,54.41,50.78,54.25,139917.0
2020-10-01,52.01,52.83,51.15,52.44,117870.0
2020-09-30,52.55,52.92,51.7,52.03,117437.0
2020-09-29,53.66,54.22,51.65,52.18,148285.0
2020-09-28,52.25,54.24,52.25,53.91,135402.0
2020-09-25,50.93,52.16,50.7,51.68,98153.0
2020-09-24,50.2,51.74,49.6,50.93,88210.0
2020-09-23,50.56,51.3,49.98,50.0,90618.0
2020-09-22,51.32,51.32,49.86,50.65,186040.0
2020-09-21,50.89,51.5,49.74,51.1,193747.0
2020-09-18,51.63,52.495,51.32,52.0,350320.0
2020-09-17,50.82,51.51,50.5,51.18,71278.0
2020-09-16,51.79,52.29,51.38,51.5,125633.0
2020-09-15,52.39,52.39,51.11,51.59,82498.0
2020-09-14,51.14,52.14,50.825,51.96,95016.0
2020-09-11,50.64,51.295,50.49,50.76,74084.0
2020-09-10,51.4,52.2,50.48,50.5,68052.0
2020-09-09,51.99,52.0785,50.66,51.6,78454.0
2020-09-08,52.28,52.95,50.7515,51.71,95371.0
2020-09-04,54.8,54.8,52.68,52.79,102370.0
2020-09-03,55.75,55.835,53.41,53.68,73788.0
2020-09-02,55.13,56.32,54.72,56.1,96301.0
2020-09-01,54.51,55.25,53.99,55.18,123197.0
2020-08-31,56.03,56.03,54.405,54.59,154430.0
2020-08-28,56.63,56.65,55.52,56.07,74592.0
2020-08-27,56.88,56.96,55.56,56.12,72184.0
2020-08-26,56.97,57.13,55.79,56.3,82072.0
2020-08-25,57.91,58.15,56.25,57.11,57571.0
2020-08-24,57.3,57.435,56.535,57.39,84373.0
2020-08-21,56.65,56.8,55.01,56.75,106019.0
2020-08-20,55.97,57.87,55.79,57.06,93382.0
2020-08-19,57.66,57.7,56.485,56.64,82287.0
2020-08-18,58.85,58.85,56.685,57.57,96112.0
2020-08-17,58.99,59.62,58.52,58.86,67652.0
2020-08-14,59.02,59.12,58.18,58.64,63753.0
