date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,21.11,21.11,21.03,21.05,7195.0
2021-03-17,21.09,21.12,21.08,21.08,7768.0
2021-03-16,21.08,21.15,21.08,21.09,10603.0
2021-03-15,21.15,21.15,21.02,21.08,30943.0
2021-03-12,21.12,21.15,21.0,21.07,6444.0
2021-03-11,21.21,21.21,21.08,21.115,12909.0
2021-03-10,21.05,21.2,21.05,21.18,21106.0
2021-03-09,21.04,21.09,20.93,21.06,19176.0
2021-03-08,20.91,20.93,20.9,20.91,28687.0
2021-03-05,20.93,20.97,20.9,20.9,40701.0
2021-03-04,20.89,20.955,20.89,20.92,26634.0
2021-03-03,20.91,20.948,20.9,20.9,11706.0
2021-03-02,20.89,21.01,20.89,20.93,23933.0
2021-03-01,21.09,21.09,20.885,20.89,31971.0
2021-02-26,21.0,21.06,20.92,20.96,19905.0
2021-02-25,20.95,20.995,20.92,20.93,36752.0
2021-02-24,21.14,21.14,20.98,20.98,83135.0
2021-02-23,21.18,21.2,21.13,21.15,30394.0
2021-02-22,21.4,21.405,21.04,21.2,70307.0
2021-02-19,21.45,21.455,21.395,21.41,177620.0
2021-02-18,21.4,21.49,21.4,21.48,10477.0
2021-02-17,21.51,21.51,21.45,21.45,16407.0
2021-02-16,21.48,21.51,21.46,21.46,21842.0
2021-02-12,21.47,21.51,21.45,21.45,20414.0
2021-02-11,21.46,21.59,21.46,21.47,36508.0
2021-02-10,21.42,21.48,21.42,21.46,13657.0
2021-02-09,21.42,21.52,21.42,21.44,22283.0
2021-02-08,21.43,21.475,21.42,21.42,30825.0
2021-02-05,21.38,21.42,21.36,21.42,12959.0
2021-02-04,21.36,21.37,21.35,21.35,42771.0
2021-02-03,21.3,21.36,21.29,21.35,34252.0
2021-02-02,21.35,21.35,21.29,21.29,28643.0
2021-02-01,21.34,21.34,21.29,21.33,18433.0
2021-01-29,21.34,21.34,21.29,21.31,32324.0
2021-01-28,21.32,21.35,21.27,21.29,48774.0
2021-01-27,21.26,21.3,21.22,21.28,27112.0
2021-01-26,21.24,21.28,21.15,21.23,55932.0
2021-01-25,21.21,21.25,21.2,21.21,37445.0
2021-01-22,21.33,21.33,21.12,21.2,45016.0
2021-01-21,21.13,21.29,21.13,21.23,27456.0
2021-01-20,21.16,21.25,21.155,21.25,15838.0
2021-01-19,21.19,21.19,21.15,21.16,4642.0
2021-01-15,21.1,21.2,21.05,21.19,37846.0
2021-01-14,21.17,21.2194,21.06,21.1,30664.0
2021-01-13,20.99,21.14,20.9501,21.07,30543.0
2021-01-12,20.9,20.98,20.9,20.96,27014.0
2021-01-11,20.85,20.9,20.85,20.89,15603.0
2021-01-08,20.84,20.97,20.833,20.88,18081.0
2021-01-07,20.88,20.91,20.8,20.89,24180.0
2021-01-06,20.92,20.92,20.8,20.82,22941.0
