date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,15.08,15.14,15.0,15.07,88415.0
2021-03-11,15.11,15.16,15.04,15.16,40194.0
2021-03-10,15.01,15.06,15.01,15.05,57817.0
2021-03-09,14.92,15.01,14.91,15.0,46961.0
2021-03-08,14.85,14.96,14.85,14.93,31846.0
2021-03-05,14.94,14.97,14.85,14.88,50443.0
2021-03-04,14.87,14.96,14.85,14.91,100375.0
2021-03-03,14.89,14.94,14.85,14.91,44794.0
2021-03-02,14.79,14.95,14.75,14.89,67312.0
2021-03-01,14.86,14.948,14.73,14.78,65654.0
2021-02-26,14.82,14.86,14.73,14.82,59792.0
2021-02-25,14.74,14.82,14.5,14.8,129108.0
2021-02-24,14.68,14.78,14.56,14.78,97604.0
2021-02-23,14.74,14.75,14.61,14.7,83125.0
2021-02-22,14.84,14.939,14.6908,14.76,76183.0
2021-02-19,14.99,14.99,14.66,14.86,167191.0
2021-02-18,14.98,15.01,14.881,15.0,41620.0
2021-02-17,15.14,15.15,14.89,14.97,54973.0
2021-02-16,15.21,15.21,15.01,15.13,44411.0
2021-02-12,15.23,15.26,15.18,15.21,122782.0
2021-02-11,15.2,15.26,15.1937,15.25,80631.0
2021-02-10,15.11,15.2,15.11,15.18,81481.0
2021-02-09,15.15,15.18,15.08,15.12,149730.0
2021-02-08,15.0,15.09,14.99,15.08,71082.0
2021-02-05,15.05,15.11,14.9,14.93,105742.0
2021-02-04,15.0,15.05,14.87,15.02,72301.0
2021-02-03,15.07,15.1,14.9501,14.98,109735.0
2021-02-02,15.08,15.08,15.0,15.03,53600.0
2021-02-01,15.09,15.09,15.0,15.03,43732.0
2021-01-29,15.06,15.06,14.94,14.98,53422.0
2021-01-28,15.0,15.01,14.9,15.01,193962.0
2021-01-27,14.92,14.96,14.85,14.96,113125.0
2021-01-26,14.87,14.92,14.8,14.92,61297.0
2021-01-25,14.83,14.85,14.7202,14.85,61721.0
2021-01-22,14.77,14.81,14.75,14.76,54951.0
2021-01-21,14.72,14.78,14.72,14.74,40143.0
2021-01-20,14.73,14.75,14.68,14.72,77588.0
2021-01-19,14.69,14.75,14.67,14.69,65955.0
2021-01-15,14.71,14.73,14.64,14.73,65830.0
2021-01-14,14.68,14.75,14.635,14.7,87877.0
2021-01-13,14.51,14.69,14.51,14.66,158729.0
2021-01-12,14.56,14.59,14.53,14.53,39789.0
2021-01-11,14.55,14.61,14.52,14.54,85050.0
2021-01-08,14.55,14.65,14.48,14.55,105367.0
2021-01-07,14.7,14.73,14.47,14.5,328952.0
2021-01-06,14.87,14.9,14.65,14.65,130251.0
2021-01-05,14.89,14.94,14.79,14.85,49330.0
2021-01-04,14.87,14.9399,14.82,14.86,25495.0
2020-12-31,14.85,14.9,14.81,14.87,41088.0
