date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.84,14.85,14.72,14.85,43774.0
2021-03-11,14.81,14.91,14.81,14.9,26932.0
2021-03-10,14.69,14.81,14.69,14.81,13621.0
2021-03-09,14.65,14.72,14.64,14.69,16472.0
2021-03-08,14.56,14.67,14.56,14.63,54659.0
2021-03-05,14.5,14.56,14.46,14.52,59870.0
2021-03-04,14.57,14.58,14.38,14.43,65507.0
2021-03-03,14.53,14.58,14.48,14.57,29727.0
2021-03-02,14.51,14.57,14.47,14.56,40275.0
2021-03-01,14.4,14.5,14.38,14.48,63593.0
2021-02-26,14.25,14.38,14.245,14.33,61866.0
2021-02-25,14.29,14.35,14.12,14.21,134848.0
2021-02-24,14.31,14.33,14.25,14.31,254595.0
2021-02-23,14.35,14.4699,14.29,14.33,76528.0
2021-02-22,14.73,14.73,14.44,14.46,102850.0
2021-02-19,14.76,14.76,14.68,14.71,54214.0
2021-02-18,14.79,14.79,14.67,14.76,86004.0
2021-02-17,14.96,14.96,14.79,14.79,39634.0
2021-02-16,15.02,15.03,14.9,14.92,37917.0
2021-02-12,15.15,15.15,14.99,15.02,33455.0
2021-02-11,15.11,15.19,15.08,15.17,22016.0
2021-02-10,15.0,15.09,14.9815,15.09,41857.0
2021-02-09,14.93,15.0,14.8846,15.0,63837.0
2021-02-08,14.81,14.93,14.79,14.92,99534.0
2021-02-05,14.74,14.81,14.72,14.81,43422.0
2021-02-04,14.7,14.72,14.6307,14.69,53973.0
2021-02-03,14.69,14.74,14.62,14.65,62809.0
2021-02-02,14.58,14.67,14.58,14.65,39775.0
2021-02-01,14.52,14.62,14.5004,14.62,66190.0
2021-01-29,14.58,14.6297,14.43,14.46,83924.0
2021-01-28,14.59,14.67,14.57,14.64,48867.0
2021-01-27,14.49,14.6,14.455,14.59,54418.0
2021-01-26,14.43,14.49,14.39,14.47,62436.0
2021-01-25,14.45,14.47,14.39,14.43,50305.0
2021-01-22,14.53,14.55,14.38,14.45,93896.0
2021-01-21,14.42,14.51,14.4,14.51,42325.0
2021-01-20,14.39,14.43,14.36,14.43,29499.0
2021-01-19,14.36,14.4,14.31,14.37,42286.0
2021-01-15,14.33,14.4099,14.3,14.33,54943.0
2021-01-14,14.39,14.44,14.32,14.34,58997.0
2021-01-13,14.45,14.4844,14.37,14.39,46543.0
2021-01-12,14.47,14.52,14.4,14.48,34996.0
2021-01-11,14.44,14.5,14.419,14.465,61306.0
2021-01-08,14.43,14.44,14.39,14.42,77183.0
2021-01-07,14.3,14.48,14.3,14.44,111009.0
2021-01-06,14.34,14.38,14.3,14.32,51284.0
2021-01-05,14.38,14.4,14.31,14.38,62958.0
2021-01-04,14.46,14.4999,14.34,14.35,113351.0
2020-12-31,14.44,14.49,14.3856,14.46,73952.0
