date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,9.88,9.99,9.88,9.99,2586.0
2021-03-12,9.86,9.96,9.86,9.95,16237.0
2021-03-11,9.82,10.0161,9.82,9.8899,9084.0
2021-03-10,9.65,9.72,9.65,9.72,7749.0
2021-03-09,9.51,9.6,9.51,9.57,4938.0
2021-03-08,9.352,9.43,9.32,9.43,13351.0
2021-03-05,9.56,9.56,9.35,9.46,6257.0
2021-03-04,9.71,9.71,9.48,9.59,6851.0
2021-03-03,9.81,9.81,9.53,9.56,5901.0
2021-03-02,9.65,9.65,9.55,9.55,404.0
2021-03-01,9.49,9.54,9.48,9.5099,2623.0
2021-02-26,9.29,9.48,9.29,9.37,3436.0
2021-02-25,9.77,9.77,9.3,9.3,5783.0
2021-02-24,9.62,9.7185,9.62,9.7185,2075.0
2021-02-23,9.51,9.6572,9.51,9.61,4528.0
2021-02-22,9.5,9.5,9.42,9.42,1325.0
2021-02-19,9.57,9.58,9.56,9.56,1649.0
2021-02-18,9.63,9.63,9.52,9.54,5208.0
2021-02-17,9.6,9.68,9.6,9.68,1138.0
2021-02-16,9.81,9.81,9.46,9.6,4642.0
2021-02-12,9.6126,9.65,9.61,9.61,3199.0
2021-02-11,9.67,9.69,9.63,9.63,2196.0
2021-02-10,9.82,9.87,9.62,9.62,1857.0
2021-02-09,9.51,9.73,9.51,9.73,620.0
2021-02-08,9.64,9.64,9.47,9.62,6660.0
2021-02-05,9.5246,9.55,9.5,9.5,440.0
2021-02-04,9.53,9.53,9.35,9.53,6614.0
2021-02-03,9.4,9.53,9.3028,9.38,11672.0
2021-02-02,9.31,9.3399,9.3,9.31,4623.0
2021-02-01,9.15,9.25,9.15,9.2496,9164.0
2021-01-29,9.31,9.476,9.01,9.03,13434.0
2021-01-28,9.41,9.57,9.1,9.1,15230.0
2021-01-27,9.66,9.66,9.61,9.61,773.0
2021-01-26,9.81,9.82,9.81,9.82,705.0
2021-01-25,9.94,9.94,9.75,9.88,3117.0
2021-01-22,9.8,9.9,9.76,9.76,1594.0
2021-01-21,10.35,10.35,9.91,9.91,557.0
2021-01-20,10.02,10.02,10.02,10.02,1.0
2021-01-19,10.09,10.59,10.02,10.02,5191.0
2021-01-15,9.91,10.19,9.88,10.08,2909.0
2021-01-14,9.7801,10.03,9.7801,10.03,5890.0
2021-01-13,9.95,9.95,9.86,9.95,10304.0
2021-01-12,10.0,10.02,9.95,9.96,5824.0
