date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,13.98,14.02,13.96,13.99,92030.0
2021-03-11,14.13,14.18,14.09,14.11,68090.0
2021-03-10,14.07,14.14,14.06,14.09,51856.0
2021-03-09,13.99,14.06,13.98,14.03,75229.0
2021-03-08,13.95,13.96,13.93,13.95,115085.0
2021-03-05,13.92,13.98,13.88,13.93,250649.0
2021-03-04,14.02,14.03,13.9,13.95,74238.0
2021-03-03,14.02,14.07,13.96,14.0,150206.0
2021-03-02,13.97,14.12,13.94,14.07,129409.0
2021-03-01,14.0,14.11,13.95,13.98,116113.0
2021-02-26,13.88,14.0,13.78,13.96,178854.0
2021-02-25,14.03,14.06,13.82,13.85,144795.0
2021-02-24,13.88,14.03,13.84,14.03,145196.0
2021-02-23,14.14,14.1797,13.89,13.9,201558.0
2021-02-22,14.48,14.48,14.14,14.15,151498.0
2021-02-19,14.52,14.54,14.41,14.49,105759.0
2021-02-18,14.64,14.64,14.5379,14.57,89203.0
2021-02-17,14.63,14.72,14.58,14.68,130034.0
2021-02-16,14.64,14.65,14.56,14.61,106333.0
2021-02-12,14.64,14.66,14.6,14.66,74337.0
2021-02-11,14.65,14.71,14.65,14.7,79290.0
2021-02-10,14.62,14.67,14.59,14.65,188534.0
2021-02-09,14.61,14.66,14.57,14.61,115661.0
2021-02-08,14.61,14.63,14.58,14.61,139901.0
2021-02-05,14.55,14.62,14.55,14.59,109767.0
2021-02-04,14.5,14.56,14.46,14.55,93518.0
2021-02-03,14.47,14.57,14.46,14.51,57523.0
2021-02-02,14.46,14.515,14.45,14.49,93163.0
2021-02-01,14.45,14.5,14.42,14.5,71843.0
2021-01-29,14.43,14.45,14.36,14.45,72869.0
2021-01-28,14.34,14.45,14.31,14.44,203572.0
2021-01-27,14.28,14.351,14.22,14.35,170736.0
2021-01-26,14.27,14.3,14.19,14.27,163584.0
2021-01-25,14.16,14.26,14.14,14.25,100757.0
2021-01-22,14.22,14.26,14.15,14.16,121482.0
2021-01-21,14.25,14.32,14.16,14.2,84355.0
2021-01-20,14.21,14.22,14.15,14.2,141765.0
2021-01-19,14.13,14.27,14.12,14.15,146326.0
2021-01-15,14.15,14.15,14.09,14.13,49821.0
2021-01-14,14.15,14.1599,14.08,14.13,136822.0
2021-01-13,14.15,14.15,13.91,14.15,142974.0
2021-01-12,14.12,14.17,14.1,14.13,131091.0
2021-01-11,14.19,14.19,14.15,14.17,57792.0
2021-01-08,14.2,14.2,14.1154,14.18,80329.0
2021-01-07,14.2,14.23,14.12,14.13,110962.0
2021-01-06,14.32,14.325,14.18,14.18,59041.0
2021-01-05,14.37,14.39,14.29,14.32,95060.0
2021-01-04,14.47,14.47,14.25,14.38,150349.0
2020-12-31,14.33,14.47,14.2897,14.45,168908.0
2020-12-30,14.12,14.27,14.09,14.27,101241.0
2020-12-29,14.1,14.17,14.08,14.14,69134.0
2020-12-28,14.17,14.18,14.03,14.05,150253.0
2020-12-24,14.09,14.18,14.07,14.16,39445.0
2020-12-23,14.06,14.12,14.0,14.05,139557.0
2020-12-22,14.08,14.1079,13.95,13.97,157290.0
2020-12-21,14.12,14.13,14.0,14.0,137878.0
2020-12-18,13.89,14.12,13.89,14.12,95645.0
2020-12-17,13.98,14.03,13.85,13.86,130453.0
2020-12-16,14.15,14.1711,13.96,14.0,171803.0
2020-12-15,14.18,14.22,14.14,14.15,68614.0
2020-12-14,14.17,14.23,14.17,14.17,59585.0
2020-12-11,14.2,14.25,14.2,14.24,113452.0
2020-12-10,14.2,14.23,14.19,14.22,80886.0
2020-12-09,14.18,14.24,14.16,14.24,118857.0
2020-12-08,14.15,14.155,14.13,14.14,133287.0
2020-12-07,14.18,14.18,14.11,14.11,85783.0
2020-12-04,14.11,14.15,14.0913,14.15,64141.0
2020-12-03,14.1,14.1227,14.04,14.12,115895.0
2020-12-02,13.96,14.07,13.96,14.06,153798.0
2020-12-01,13.94,14.0,13.8957,13.95,64931.0
2020-11-30,13.94,13.94,13.9,13.93,62020.0
2020-11-27,13.94,13.95,13.92,13.92,45903.0
2020-11-25,13.93,13.93,13.9,13.92,81592.0
2020-11-24,13.94,13.94,13.88,13.88,64140.0
2020-11-23,13.83,13.9,13.83,13.85,81280.0
2020-11-20,13.88,13.88,13.83,13.83,37578.0
2020-11-19,13.83,13.85,13.8175,13.85,44356.0
2020-11-18,13.77,13.88,13.77,13.81,54862.0
2020-11-17,13.79,13.81,13.77,13.79,46964.0
2020-11-16,13.76,13.79,13.7401,13.77,61323.0
2020-11-13,13.78,13.8,13.72,13.77,123639.0
2020-11-12,13.79,13.82,13.77,13.82,64243.0
2020-11-11,13.78,13.8,13.75,13.78,57306.0
2020-11-10,13.71,13.775,13.71,13.75,50729.0
2020-11-09,13.69,13.77,13.68,13.75,369814.0
2020-11-06,13.7,13.7232,13.68,13.68,109307.0
2020-11-05,13.61,13.7,13.6075,13.68,58912.0
2020-11-04,13.53,13.61,13.495,13.6,83076.0
2020-11-03,13.46,13.49,13.43,13.43,109313.0
2020-11-02,13.45,13.48,13.41,13.46,88779.0
2020-10-30,13.3,13.43,13.27,13.43,106787.0
2020-10-29,13.3,13.36,13.3,13.32,45036.0
2020-10-28,13.23,13.34,13.22,13.3,104095.0
2020-10-27,13.3,13.34,13.29,13.29,109528.0
2020-10-26,13.23,13.31,13.22,13.31,152865.0
2020-10-23,13.26,13.31,13.26,13.29,44166.0
2020-10-22,13.39,13.39,13.3,13.31,32930.0
2020-10-21,13.4,13.4,13.3601,13.38,61388.0
2020-10-20,13.39,13.44,13.39,13.39,58107.0
2020-10-19,13.46,13.47,13.4,13.41,59602.0
2020-10-16,13.48,13.55,13.425,13.46,90721.0
2020-10-15,13.5,13.5,13.43,13.44,74976.0
2020-10-14,13.5,13.52,13.46,13.5,72981.0
2020-10-13,13.5,13.55,13.5,13.55,69692.0
2020-10-12,13.46,13.5,13.433,13.47,78501.0
2020-10-09,13.51,13.5451,13.47,13.47,54498.0
2020-10-08,13.5,13.53,13.48,13.52,59869.0
2020-10-07,13.5,13.56,13.47,13.47,97582.0
2020-10-06,13.42,13.5,13.37,13.47,45931.0
2020-10-05,13.48,13.49,13.36,13.39,92713.0
2020-10-02,13.41,13.51,13.37,13.46,94830.0
2020-10-01,13.48,13.51,13.44,13.46,106415.0
2020-09-30,13.43,13.48,13.4,13.44,138151.0
2020-09-29,13.37,13.41,13.355,13.4,68395.0
2020-09-28,13.31,13.401,13.2915,13.37,72806.0
2020-09-25,13.23,13.33,13.23,13.29,62135.0
2020-09-24,13.33,13.347,13.27,13.3,72110.0
2020-09-23,13.39,13.39,13.33,13.35,63366.0
2020-09-22,13.41,13.41,13.33,13.36,71184.0
2020-09-21,13.37,13.44,13.35,13.4,45295.0
2020-09-18,13.47,13.47,13.41,13.41,98210.0
2020-09-17,13.38,13.45,13.3501,13.42,81431.0
2020-09-16,13.37,13.4,13.35,13.38,38653.0
2020-09-15,13.44,13.47,13.2,13.37,49504.0
2020-09-14,13.4,13.4782,13.391,13.44,52705.0
2020-09-11,13.45,13.52,13.41,13.42,87200.0
2020-09-10,13.45,13.53,13.43,13.45,79431.0
2020-09-09,13.39,13.43,13.3528,13.43,41479.0
2020-09-08,13.4,13.4,13.31,13.34,108478.0
2020-09-04,13.48,13.48,13.3,13.36,90610.0
2020-09-03,13.55,13.59,13.43,13.48,65485.0
2020-09-02,13.48,13.62,13.48,13.62,100142.0
2020-09-01,13.48,13.5,13.4,13.48,77667.0
2020-08-31,13.41,13.45,13.41,13.44,83360.0
2020-08-28,13.32,13.38,13.3,13.38,48976.0
2020-08-27,13.31,13.35,13.28,13.3,96885.0
2020-08-26,13.36,13.39,13.3,13.32,45407.0
2020-08-25,13.49,13.52,13.37,13.4,43571.0
2020-08-24,13.54,13.64,13.51,13.52,61650.0
2020-08-21,13.69,13.7,13.53,13.53,104122.0
2020-08-20,13.76,13.76,13.67,13.68,117949.0
2020-08-19,13.71,13.79,13.69,13.76,113642.0
2020-08-18,13.7,13.73,13.69,13.7,48140.0
2020-08-17,13.75,13.75,13.67,13.72,68730.0
2020-08-14,13.72,13.74,13.69,13.7,46290.0
2020-08-13,13.73,13.79,13.67,13.7,62994.0
2020-08-12,13.76,13.85,13.76,13.8,140438.0
2020-08-11,13.9,13.9,13.82,13.84,91347.0
2020-08-10,13.84,13.89,13.82,13.86,30960.0
2020-08-07,13.87,13.89,13.79,13.82,62439.0
2020-08-06,13.85,13.87,13.79,13.83,60377.0
2020-08-05,13.71,13.82,13.71,13.81,83922.0
2020-08-04,13.67,13.83,13.66,13.75,118217.0
