date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,13.35,13.39,13.28,13.36,37062.0
2021-03-11,13.39,13.44,13.36,13.41,37865.0
2021-03-10,13.3,13.4,13.3,13.35,124608.0
2021-03-09,13.32,13.34,13.3,13.3,102097.0
2021-03-08,13.29,13.32,13.26,13.3,46447.0
2021-03-05,13.26,13.3,13.2,13.27,62326.0
2021-03-04,13.3,13.33,13.2,13.22,57042.0
2021-03-03,13.27,13.3,13.27,13.29,69635.0
2021-03-02,13.3,13.3,13.27,13.29,74199.0
2021-03-01,13.31,13.34,13.2829,13.29,74389.0
2021-02-26,13.37,13.37,13.26,13.26,65386.0
2021-02-25,13.35,13.38,13.21,13.26,153537.0
2021-02-24,13.23,13.4,13.165,13.4,145803.0
2021-02-23,13.17,13.24,13.06,13.23,117918.0
2021-02-22,13.3,13.3,13.12,13.15,88170.0
2021-02-19,13.26,13.32,13.23,13.26,55281.0
2021-02-18,13.3,13.34,13.26,13.26,73065.0
2021-02-17,13.4,13.41,13.3,13.33,42681.0
2021-02-16,13.38,13.42,13.3,13.37,187826.0
2021-02-12,13.44,13.4714,13.36,13.4,50195.0
2021-02-11,13.46,13.51,13.44,13.5,79417.0
2021-02-10,13.42,13.55,13.42,13.47,90971.0
2021-02-09,13.43,13.5,13.4,13.41,76430.0
2021-02-08,13.54,13.58,13.43,13.49,84629.0
2021-02-05,13.42,13.59,13.42,13.51,88664.0
2021-02-04,13.42,13.45,13.35,13.42,58177.0
2021-02-03,13.43,13.45,13.36,13.42,31091.0
2021-02-02,13.45,13.45,13.4002,13.41,67859.0
2021-02-01,13.39,13.52,13.36,13.47,95315.0
2021-01-29,13.38,13.4,13.3206,13.38,30980.0
2021-01-28,13.32,13.38,13.32,13.36,41701.0
2021-01-27,13.32,13.37,13.3,13.3,41029.0
2021-01-26,13.39,13.39,13.34,13.37,41272.0
2021-01-25,13.37,13.4,13.33,13.36,42149.0
2021-01-22,13.33,13.34,13.3,13.34,36097.0
2021-01-21,13.23,13.31,13.23,13.28,54170.0
2021-01-20,13.22,13.27,13.17,13.19,49893.0
2021-01-19,13.29,13.29,13.13,13.21,56605.0
2021-01-15,13.22,13.305,13.22,13.23,17439.0
2021-01-14,13.24,13.4,13.17,13.2,49981.0
2021-01-13,13.25,13.25,13.17,13.22,112698.0
2021-01-12,13.25,13.2793,13.15,13.17,41480.0
2021-01-11,13.25,13.25,13.16,13.21,38945.0
2021-01-08,13.33,13.34,13.23,13.25,55298.0
