date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,10.07,10.09,10.07,10.09,46912.0
2021-03-16,10.12,10.13,10.09,10.11,50513.0
2021-03-15,10.06,10.1391,10.06,10.11,57389.0
2021-03-12,10.09,10.12,10.0401,10.06,51425.0
2021-03-11,10.11,10.15,10.085,10.13,52222.0
2021-03-10,10.05,10.09,10.02,10.06,124232.0
2021-03-09,10.01,10.08,10.01,10.03,65701.0
2021-03-08,9.95,10.05,9.95,10.0,80911.0
2021-03-05,9.94,10.01,9.89,9.96,76895.0
2021-03-04,10.04,10.0401,9.9,9.92,92734.0
2021-03-03,10.1,10.1,10.02,10.05,73698.0
2021-03-02,10.18,10.23,10.09,10.1,78567.0
2021-03-01,10.45,10.45,10.17,10.18,74503.0
2021-02-26,10.15,10.32,10.14,10.21,47062.0
2021-02-25,10.3,10.44,10.06,10.09,114727.0
2021-02-24,10.45,10.5,10.28,10.35,69424.0
2021-02-23,10.77,10.77,10.5,10.5,33926.0
2021-02-22,10.91,10.91,10.75,10.77,21271.0
2021-02-19,10.9,10.92,10.87,10.88,17252.0
2021-02-18,10.76,10.89,10.76,10.87,18557.0
2021-02-17,10.78,10.96,10.76,10.83,23504.0
2021-02-16,10.82,10.83,10.73,10.76,23266.0
2021-02-12,10.79,10.84,10.77,10.83,22045.0
2021-02-11,10.72,10.8,10.72,10.8,19131.0
2021-02-10,10.68,10.8,10.651,10.71,43034.0
2021-02-09,10.56,10.69,10.56,10.66,29845.0
2021-02-08,10.72,10.72,10.55,10.56,24189.0
2021-02-05,10.6,10.72,10.6,10.67,24390.0
2021-02-04,10.6,10.67,10.56,10.57,25325.0
2021-02-03,10.75,10.76,10.59,10.6,42288.0
2021-02-02,10.75,10.79,10.1704,10.68,48733.0
2021-02-01,10.95,10.958,10.7,10.7,37749.0
2021-01-29,11.0,11.0,10.75,10.8,30412.0
2021-01-28,10.86,10.96,10.76,10.92,31974.0
2021-01-27,10.7,11.0,10.645,10.78,89340.0
2021-01-26,10.9,10.97,10.8,10.89,26047.0
