date,1. open,2. high,3. low,4. close,5. volume
2021-03-05,15.04,15.05,14.86,15.05,15147.0
2021-03-04,15.09,15.1149,15.03,15.03,5916.0
2021-03-03,15.16,15.31,15.13,15.2,10774.0
2021-03-02,15.19,15.36,15.19,15.29,9947.0
2021-03-01,15.42,15.42,15.32,15.37,6045.0
2021-02-26,15.3299,15.36,15.295,15.35,2693.0
2021-02-25,15.5,15.5015,15.0328,15.15,20778.0
2021-02-24,15.75,15.92,15.42,15.54,20622.0
2021-02-23,15.9,15.91,15.82,15.89,13046.0
2021-02-22,15.9201,15.9607,15.8406,15.88,25466.0
2021-02-19,15.9,15.95,15.9,15.91,6775.0
2021-02-18,15.75,16.09,15.75,15.9,28231.0
2021-02-17,15.73,15.75,15.69,15.75,16447.0
2021-02-16,15.74,15.74,15.6537,15.73,478.0
2021-02-12,15.67,15.79,15.66,15.74,4240.0
2021-02-11,15.68,15.9639,15.4,15.72,11787.0
2021-02-10,15.81,15.82,15.66,15.81,6673.0
2021-02-09,15.7815,15.7815,15.63,15.6543,6421.0
2021-02-08,15.6,15.7,15.6,15.65,13720.0
2021-02-05,15.8399,15.8399,15.56,15.56,4608.0
2021-02-04,15.54,15.58,15.45,15.58,11984.0
2021-02-03,15.55,15.55,15.55,15.55,203.0
2021-02-02,15.45,15.79,15.45,15.5295,18009.0
2021-02-01,15.6,15.6,15.49,15.55,4146.0
2021-01-29,15.47,15.5599,15.47,15.5599,983.0
2021-01-28,15.44,15.7913,15.44,15.56,3386.0
2021-01-27,15.26,15.5136,15.26,15.43,17478.0
2021-01-26,15.49,15.58,15.46,15.58,6382.0
2021-01-25,15.63,15.63,15.46,15.52,7799.0
2021-01-22,15.5,15.53,15.5,15.53,3394.0
2021-01-21,15.42,15.4866,15.42,15.48,4204.0
2021-01-20,15.4318,15.469,15.4318,15.469,620.0
2021-01-19,15.37,15.3727,15.37,15.37,1377.0
2021-01-15,15.33,15.42,15.32,15.38,8315.0
2021-01-14,15.38,15.3899,15.38,15.38,13176.0
2021-01-13,15.35,15.42,15.35,15.39,14949.0
2021-01-12,15.401,15.47,15.393,15.47,3607.0
2021-01-11,15.43,15.44,15.43,15.44,3284.0
2021-01-08,15.4,15.425,15.4,15.4,2314.0
2021-01-07,15.4398,15.4398,15.39,15.42,1792.0
2021-01-06,15.4599,15.46,15.43,15.43,4028.0
2021-01-05,15.4,15.46,15.4,15.43,4127.0
2021-01-04,15.48,15.48,15.41,15.44,7152.0
2020-12-31,15.48,15.48,15.39,15.41,13847.0
2020-12-30,15.4253,15.48,15.42,15.46,25714.0
2020-12-29,15.45,15.45,15.405,15.42,9536.0
2020-12-28,15.4299,15.45,15.4096,15.45,7205.0
2020-12-24,15.4249,15.4249,15.4249,15.4249,404.0
2020-12-23,15.4199,15.43,15.41,15.41,4264.0
2020-12-22,15.34,15.389,15.33,15.37,4107.0
2020-12-21,15.409,15.409,15.37,15.37,5289.0
2020-12-18,15.4208,15.44,15.411,15.44,8438.0
2020-12-17,15.38,15.4,15.38,15.4,922.0
2020-12-16,15.36,15.433,15.36,15.4105,5535.0
2020-12-15,15.405,15.405,15.3909,15.4,2353.0
2020-12-14,15.4,15.43,15.386,15.43,1107.0
2020-12-11,15.41,15.4413,15.41,15.4413,2126.0
2020-12-10,15.47,15.47,15.47,15.47,1127.0
2020-12-09,15.4,15.4999,15.4,15.4,6346.0
2020-12-08,15.42,15.4527,15.42,15.43,9014.0
2020-12-07,15.44,15.44,15.44,15.44,37.0
2020-12-04,15.45,15.45,15.43,15.44,7326.0
2020-12-03,15.4169,15.45,15.4169,15.44,4650.0
2020-12-02,15.419,15.419,15.38,15.4,2608.0
2020-12-01,15.5,15.5,15.46,15.5,3863.0
2020-11-30,15.5,15.5,15.455,15.49,3141.0
2020-11-27,15.46,15.5,15.4292,15.49,3974.0
2020-11-25,15.3956,15.45,15.35,15.4284,887.0
2020-11-24,15.38,15.4071,15.35,15.38,5671.0
2020-11-23,15.44,15.46,15.4,15.4,4205.0
2020-11-20,15.34,15.45,15.34,15.41,3978.0
2020-11-19,15.45,15.4677,15.45,15.46,1099.0
2020-11-18,15.39,15.4231,15.37,15.3899,2755.0
2020-11-17,15.45,15.45,15.425,15.425,1408.0
2020-11-16,15.44,15.44,15.44,15.44,201.0
2020-11-13,15.35,15.48,15.3471,15.3552,1938.0
