date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,5.04,5.06,5.0,5.02,212280.0
2021-03-11,5.04,5.08,5.04,5.06,211146.0
2021-03-10,4.98,5.08,4.98,5.02,373111.0
2021-03-09,4.88,5.03,4.88,4.99,392164.0
2021-03-08,4.9,4.93,4.84,4.84,412714.0
2021-03-05,4.97,4.97,4.69,4.89,811439.0
2021-03-04,5.06,5.06,4.86,4.93,905764.0
2021-03-03,5.11,5.13,5.065,5.08,455274.0
2021-03-02,5.17,5.19,5.12,5.13,508567.0
2021-03-01,5.07,5.185,5.07,5.17,412588.0
2021-02-26,4.99,5.04,4.94,5.01,444854.0
2021-02-25,5.1,5.15,4.99,4.99,350562.0
2021-02-24,5.05,5.145,5.04,5.13,320074.0
2021-02-23,5.09,5.14,4.89,5.08,924302.0
2021-02-22,5.19,5.21,5.15,5.17,288261.0
2021-02-19,5.21,5.24,5.2039,5.21,210528.0
2021-02-18,5.23,5.23,5.17,5.18,213274.0
2021-02-17,5.27,5.28,5.22,5.24,314048.0
2021-02-16,5.31,5.33,5.25,5.28,227839.0
2021-02-12,5.3,5.32,5.28,5.31,281817.0
2021-02-11,5.3,5.31,5.27,5.3,255371.0
2021-02-10,5.27,5.295,5.24,5.27,876730.0
2021-02-09,5.28,5.31,5.26,5.31,1175778.0
2021-02-08,5.25,5.3,5.24,5.3,587326.0
2021-02-05,5.21,5.24,5.2,5.23,312499.0
2021-02-04,5.19,5.22,5.17,5.2,221451.0
2021-02-03,5.21,5.215,5.15,5.17,304678.0
2021-02-02,5.13,5.22,5.12,5.21,308960.0
2021-02-01,5.08,5.12,5.06,5.12,256950.0
2021-01-29,5.1,5.115,5.02,5.02,339843.0
2021-01-28,5.08,5.13,5.05,5.1,863865.0
2021-01-27,5.11,5.11,5.02,5.08,792214.0
2021-01-26,5.1,5.14,5.1,5.11,552216.0
2021-01-25,5.07,5.12,5.07,5.1,247962.0
2021-01-22,5.09,5.1,5.06,5.07,444251.0
2021-01-21,5.07,5.11,5.07,5.09,275069.0
2021-01-20,5.06,5.09,5.06,5.07,779927.0
2021-01-19,5.03,5.0591,5.01,5.04,1562149.0
2021-01-15,5.06,5.08,5.01,5.01,1551792.0
2021-01-14,5.08,5.115,5.05,5.06,2129816.0
2021-01-13,5.07,5.11,5.065,5.07,2309201.0
2021-01-12,5.13,5.15,5.095,5.11,1876217.0
2021-01-11,5.14,5.16,5.0998,5.15,1931894.0
2021-01-08,5.1,5.18,5.1,5.18,1580001.0
2021-01-07,5.07,5.1,5.04,5.1,1913643.0
2021-01-06,5.07,5.08,5.02,5.03,1896764.0
2021-01-05,5.04,5.1,5.04,5.07,1107066.0
2021-01-04,5.1,5.1,5.02,5.05,1995823.0
2020-12-31,5.03,5.1,5.03,5.09,1384810.0
2020-12-30,5.02,5.06,5.015,5.03,2325633.0
2020-12-29,5.04,5.055,5.0,5.03,1194445.0
2020-12-28,5.06,5.08,5.02,5.03,741527.0
2020-12-24,5.05,5.075,5.035,5.05,997683.0
2020-12-23,5.04,5.09,5.04,5.05,601050.0
2020-12-22,5.04,5.065,5.02,5.06,1337557.0
2020-12-21,4.95,5.05,4.93,5.05,913202.0
2020-12-18,5.01,5.03,4.97,5.01,652827.0
2020-12-17,5.0,5.02,4.99,5.0,597840.0
2020-12-16,4.96,5.005,4.9,4.99,1479817.0
2020-12-15,4.92,4.98,4.92,4.95,1094418.0
2020-12-14,4.92,4.955,4.89,4.9,540075.0
2020-12-11,4.9,4.955,4.89,4.89,1496149.0
2020-12-10,4.9,4.945,4.8762,4.94,981038.0
2020-12-09,5.01,5.05,4.93,4.95,1661461.0
2020-12-08,4.97,5.025,4.95,5.02,1321454.0
2020-12-07,4.92,5.0,4.9,4.96,1608431.0
2020-12-04,4.9,4.93,4.89,4.93,927324.0
2020-12-03,4.83,4.925,4.8287,4.87,1436981.0
2020-12-02,4.81,4.99,4.77,4.83,1027371.0
2020-12-01,4.84,4.84,4.77,4.81,1575541.0
2020-11-30,4.78,4.81,4.74,4.81,548516.0
2020-11-27,4.79,4.8199,4.78,4.78,137370.0
2020-11-25,4.73,4.785,4.73,4.78,762469.0
2020-11-24,4.7,4.75,4.68,4.73,1720658.0
2020-11-23,4.63,4.7,4.62,4.68,1056999.0
2020-11-20,4.59,4.645,4.5885,4.62,491961.0
2020-11-19,4.51,4.6,4.5,4.59,1182812.0
2020-11-18,4.54,4.6,4.51,4.53,954579.0
2020-11-17,4.48,4.55,4.46,4.53,630738.0
2020-11-16,4.42,4.5,4.41,4.49,1622463.0
2020-11-13,4.35,4.42,4.35,4.4,703632.0
2020-11-12,4.32,4.3984,4.31,4.35,895947.0
2020-11-11,4.26,4.34,4.18,4.32,2170297.0
2020-11-10,4.29,4.29,4.205,4.25,2147499.0
