date,1. open,2. high,3. low,4. close,5. volume
2021-03-01,9.69,9.69,9.69,9.69,0.0
2021-02-26,9.69,9.69,9.69,9.69,0.0
2021-02-25,9.69,9.69,9.69,9.69,0.0
2021-02-24,9.69,9.69,9.69,9.69,0.0
2021-02-23,9.7,9.7057,9.69,9.69,22448.0
2021-02-22,9.85,9.85,9.7,9.7099,66725.0
2021-02-19,9.85,9.8599,9.85,9.85,1019.0
2021-02-18,9.85,9.85,9.85,9.85,332.0
2021-02-17,9.85,9.85,9.84,9.84,63655.0
2021-02-16,9.84,9.85,9.84,9.84,1813.0
2021-02-12,9.85,9.85,9.85,9.85,301.0
2021-02-11,9.87,9.87,9.84,9.84,6287.0
2021-02-10,9.86,9.93,9.86,9.86,7253.0
2021-02-09,9.86,9.87,9.86,9.86,65348.0
2021-02-08,9.86,9.86,9.86,9.86,5767.0
2021-02-05,9.86,9.8699,9.86,9.86,10814.0
2021-02-04,9.867,9.867,9.86,9.86,12053.0
2021-02-03,9.85,9.8601,9.85,9.86,76783.0
2021-02-02,9.85,9.86,9.85,9.85,10170.0
2021-02-01,9.85,9.86,9.85,9.85,10917.0
2021-01-29,9.86,9.86,9.85,9.85,3596.0
2021-01-28,9.84,9.86,9.84,9.85,6029.0
2021-01-27,9.84,9.86,9.84,9.85,72842.0
2021-01-26,9.85,9.86,9.84,9.85,31239.0
2021-01-25,9.85,9.855,9.85,9.85,10743.0
2021-01-22,9.84,9.86,9.84,9.85,29545.0
2021-01-21,9.84,9.845,9.84,9.84,36929.0
2021-01-20,9.8443,9.85,9.84,9.84,61001.0
2021-01-19,9.83,9.8405,9.785,9.84,170632.0
2021-01-15,9.83,9.85,9.83,9.83,157808.0
2021-01-14,9.83,9.84,9.83,9.83,7435.0
2021-01-13,9.83,9.84,9.83,9.83,186991.0
2021-01-12,9.82,9.8396,9.82,9.83,15786.0
2021-01-11,9.84,9.8401,9.82,9.83,140461.0
2021-01-08,9.85,9.85,9.82,9.83,164324.0
2021-01-07,9.85,9.85,9.83,9.84,10788.0
2021-01-06,9.8483,9.8483,9.83,9.83,13684.0
2021-01-05,9.85,9.85,9.8293,9.83,6992.0
2021-01-04,9.88,9.95,9.82,9.83,15481.0
2020-12-31,9.84,9.87,9.8112,9.87,23361.0
2020-12-30,9.81,9.82,9.81,9.81,15281.0
2020-12-29,9.85,9.85,9.79,9.8025,15433.0
2020-12-28,9.82,9.93,9.79,9.83,43581.0
2020-12-24,9.7658,9.82,9.76,9.79,43450.0
2020-12-23,9.762,9.7764,9.76,9.76,51405.0
2020-12-22,9.76,9.76,9.75,9.76,31249.0
2020-12-21,9.77,9.79,9.75,9.78,25844.0
2020-12-18,9.79,9.79,9.77,9.77,18716.0
2020-12-17,9.82,9.82,9.75,9.78,14411.0
2020-12-16,9.77,9.77,9.75,9.76,11377.0
2020-12-15,9.76,9.76,9.75,9.75,33292.0
2020-12-14,9.75,9.7589,9.75,9.75,6722.0
2020-12-11,9.77,9.785,9.75,9.75,20236.0
2020-12-10,9.82,9.82,9.77,9.77,11679.0
2020-12-09,9.77,9.775,9.77,9.77,8035.0
2020-12-08,9.76,9.78,9.75,9.75,63169.0
