date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,14.2,14.23,14.11,14.11,54431.0
2021-03-16,14.23,14.25,14.17,14.19,59210.0
2021-03-15,14.04,14.26,14.04,14.24,70279.0
2021-03-12,14.09,14.105,14.0,14.09,70702.0
2021-03-11,14.13,14.21,14.06,14.16,88543.0
2021-03-10,13.87,14.14,13.86,14.09,74161.0
2021-03-09,13.83,13.99,13.816,13.85,95447.0
2021-03-08,13.75,13.88,13.74,13.86,126550.0
2021-03-05,13.79,13.79,13.71,13.73,72110.0
2021-03-04,13.74,13.84,13.72,13.75,155218.0
2021-03-03,13.74,13.8,13.69,13.7,121425.0
2021-03-02,13.78,13.85,13.78,13.79,87865.0
2021-03-01,13.88,13.95,13.77,13.79,116717.0
2021-02-26,13.8,13.88,13.8,13.83,134790.0
2021-02-25,13.89,13.93,13.76,13.77,152055.0
2021-02-24,13.85,13.91,13.82,13.88,135075.0
2021-02-23,13.87,14.5,13.82,13.85,100023.0
2021-02-22,14.1,14.1,13.89,13.92,139580.0
2021-02-19,14.1,14.1,14.02,14.03,103693.0
2021-02-18,14.11,14.12,14.06,14.11,73535.0
2021-02-17,14.15,14.15,14.08,14.11,66852.0
2021-02-16,14.19,14.19,14.1,14.16,122597.0
2021-02-12,14.16,14.22,14.16,14.19,86495.0
2021-02-11,14.18,14.22,14.16,14.18,58463.0
2021-02-10,14.21,14.25,14.19,14.22,163864.0
2021-02-09,14.26,14.27,14.17,14.19,206870.0
2021-02-08,14.39,14.41,14.27,14.28,89479.0
2021-02-05,14.24,14.35,14.2297,14.35,69174.0
2021-02-04,14.16,14.23,14.14,14.2,71141.0
2021-02-03,14.3,14.3465,13.98,13.98,75728.0
2021-02-02,14.33,14.4,14.3,14.31,55876.0
2021-02-01,14.33,14.37,14.29,14.37,73889.0
2021-01-29,14.21,14.31,14.18,14.3,102688.0
2021-01-28,14.17,14.2901,14.16,14.263,47716.0
2021-01-27,14.26,14.32,14.14,14.18,70375.0
2021-01-26,14.25,14.35,14.2,14.28,81010.0
2021-01-25,14.12,14.25,14.1,14.24,77931.0
2021-01-22,14.23,14.23,14.07,14.14,69058.0
2021-01-21,14.18,14.18,14.08,14.18,25935.0
2021-01-20,14.15,14.23,14.12,14.12,101936.0
2021-01-19,14.07,14.18,14.05,14.16,73048.0
2021-01-15,14.18,14.18,14.1102,14.15,48543.0
2021-01-14,14.15,14.18,14.06,14.16,106964.0
2021-01-13,13.96,14.25,13.96,14.24,107593.0
2021-01-12,14.0,14.03,13.94,13.97,50527.0
2021-01-11,13.98,14.0,13.91,14.0,45648.0
2021-01-08,13.99,14.0,13.93,13.98,41566.0
2021-01-07,13.87,13.97,13.84,13.96,66627.0
2021-01-06,13.97,14.06,13.81,13.83,122503.0
2021-01-05,13.81,13.99,13.81,13.98,59290.0
2021-01-04,13.92,13.92,13.79,13.88,64755.0
2020-12-31,13.79,13.88,13.74,13.88,68857.0
2020-12-30,13.75,13.83,13.74,13.8,101326.0
2020-12-29,13.89,13.9,13.75,13.79,119018.0
2020-12-28,13.86,13.9,13.75,13.89,62671.0
2020-12-24,13.77,13.82,13.77,13.77,29309.0
2020-12-23,13.75,13.79,13.73,13.78,38247.0
2020-12-22,13.76,13.77,13.68,13.75,65716.0
2020-12-21,13.65,13.76,13.63,13.75,49473.0
2020-12-18,13.68,13.7099,13.65,13.66,144442.0
2020-12-17,13.81,13.81,13.61,13.65,55511.0
2020-12-16,13.81,13.84,13.75,13.77,59367.0
2020-12-15,13.8,13.87,13.8,13.83,43106.0
2020-12-14,13.81,13.89,13.81,13.84,49490.0
2020-12-11,13.78,13.88,13.78,13.86,20926.0
2020-12-10,13.84,13.87,13.73,13.85,66605.0
2020-12-09,13.91,13.92,13.82,13.89,76329.0
2020-12-08,13.83,13.92,13.83,13.92,53476.0
2020-12-07,13.85,13.94,13.795,13.86,33375.0
2020-12-04,13.85,13.87,13.8,13.84,26266.0
2020-12-03,13.85,13.88,13.8,13.82,63456.0
2020-12-02,13.85,13.99,13.79,13.835,98940.0
2020-12-01,13.77,13.85,13.71,13.84,38259.0
2020-11-30,13.83,13.83,13.69,13.75,36767.0
2020-11-27,13.72,13.78,13.72,13.765,7941.0
2020-11-25,13.74,13.75,13.67,13.72,29772.0
2020-11-24,13.59,13.67,13.53,13.67,63270.0
2020-11-23,13.53,13.6,13.49,13.53,59177.0
2020-11-20,13.44,13.52,13.44,13.51,36280.0
2020-11-19,13.58,13.59,13.46,13.47,77711.0
2020-11-18,13.57,13.6,13.54,13.58,32948.0
2020-11-17,13.56,13.57,13.5,13.57,43067.0
2020-11-16,13.5,13.52,13.4463,13.51,31109.0
2020-11-13,13.53,13.54,13.42,13.48,47992.0
2020-11-12,13.56,13.57,13.5,13.5,27791.0
2020-11-11,13.51,13.59,13.51,13.59,54298.0
2020-11-10,13.54,13.58,13.49,13.58,65490.0
2020-11-09,13.51,13.58,13.481,13.51,42629.0
2020-11-06,13.5,13.53,13.475,13.53,23409.0
2020-11-05,13.5,13.5,13.4385,13.49,54932.0
2020-11-04,13.34,13.585,13.3334,13.53,35997.0
2020-11-03,13.23,13.34,13.2,13.32,71268.0
2020-11-02,13.31,13.31,13.14,13.22,58203.0
2020-10-30,13.11,13.27,13.1,13.2,41494.0
2020-10-29,13.19,13.19,13.1,13.15,29200.0
2020-10-28,13.21,13.21,13.1,13.15,33895.0
2020-10-27,13.22,13.22,13.12,13.21,66559.0
2020-10-26,13.32,13.32,13.13,13.15,51073.0
2020-10-23,13.38,13.38,13.24,13.33,24291.0
2020-10-22,13.36,13.44,13.27,13.38,85074.0
2020-10-21,13.35,13.38,13.3,13.38,39699.0
2020-10-20,13.36,13.38,13.2951,13.34,70748.0
2020-10-19,13.36,13.38,13.3,13.35,34300.0
2020-10-16,13.34,13.41,13.2801,13.39,45043.0
2020-10-15,13.37,13.3799,13.32,13.37,39190.0
2020-10-14,13.37,13.38,13.3159,13.38,49000.0
2020-10-13,13.39,13.43,13.37,13.4,58198.0
2020-10-12,13.33,13.4,13.33,13.38,31746.0
2020-10-09,13.3,13.37,13.2957,13.35,34388.0
2020-10-08,13.25,13.34,13.25,13.3,92832.0
2020-10-07,13.32,13.32,13.22,13.22,69467.0
2020-10-06,13.32,13.38,13.26,13.29,67343.0
2020-10-05,13.28,13.334,13.25,13.26,29439.0
2020-10-02,13.36,13.46,13.23,13.3,116225.0
2020-10-01,13.46,13.46,13.4026,13.429,35644.0
2020-09-30,13.28,13.41,13.28,13.36,63378.0
2020-09-29,13.29,13.33,13.29,13.33,29438.0
2020-09-28,13.37,13.37,13.29,13.315,22903.0
2020-09-25,13.28,13.33,13.18,13.33,43334.0
2020-09-24,13.3,13.3,13.17,13.22,44248.0
2020-09-23,13.31,13.329,13.2625,13.32,25882.0
2020-09-22,13.35,13.36,13.26,13.36,53566.0
2020-09-21,13.32,13.36,13.2592,13.36,44603.0
2020-09-18,13.33,13.3498,13.26,13.31,68574.0
2020-09-17,13.31,13.36,13.31,13.36,27981.0
2020-09-16,13.35,13.36,13.3,13.36,34626.0
2020-09-15,13.32,13.36,13.2905,13.36,53162.0
2020-09-14,13.37,13.37,13.3211,13.35,41946.0
2020-09-11,13.43,13.43,13.3102,13.35,22999.0
2020-09-10,13.36,13.37,13.29,13.37,29358.0
2020-09-09,13.26,13.35,13.25,13.26,38839.0
2020-09-08,13.33,13.3599,13.23,13.26,47559.0
2020-09-04,13.4,13.4226,13.26,13.36,80420.0
2020-09-03,13.43,13.4798,13.38,13.41,75202.0
2020-09-02,13.38,13.48,13.38,13.48,46600.0
2020-09-01,13.33,13.39,13.33,13.39,58774.0
2020-08-31,13.3,13.3899,13.3,13.38,51687.0
2020-08-28,13.21,13.3,13.2025,13.3,60358.0
2020-08-27,13.2,13.225,13.13,13.17,62513.0
2020-08-26,13.16,13.23,13.15,13.23,126346.0
2020-08-25,13.35,13.35,13.15,13.16,45135.0
2020-08-24,13.33,13.35,13.25,13.32,69154.0
2020-08-21,13.29,13.3258,13.25,13.29,55297.0
2020-08-20,13.26,13.3496,13.25,13.32,72210.0
2020-08-19,13.37,13.49,13.25,13.26,102062.0
2020-08-18,13.37,13.4,13.36,13.38,33507.0
2020-08-17,13.5,13.5,13.36,13.39,65964.0
2020-08-14,13.5,13.53,13.4,13.52,50836.0
2020-08-13,13.47,13.55,13.46,13.51,51317.0
2020-08-12,13.5,13.54,13.455,13.515,203790.0
2020-08-11,13.48,13.55,13.44,13.48,130435.0
2020-08-10,13.51,13.51,13.43,13.44,157064.0
2020-08-07,13.5,13.5,13.44,13.45,90655.0
2020-08-06,13.45,13.5,13.41,13.5,74763.0
2020-08-05,13.47,13.47,13.4,13.42,58843.0
2020-08-04,13.42,13.46,13.395,13.44,48723.0
2020-08-03,13.34,13.47,13.3,13.42,202684.0
2020-07-31,13.21,13.3,13.21,13.3,59751.0
2020-07-30,13.22,13.26,13.19,13.25,39474.0
2020-07-29,13.19,13.22,13.155,13.17,125444.0
2020-07-28,13.19,13.19,13.15,13.18,86183.0
2020-07-27,13.22,13.22,13.15,13.18,78231.0
2020-07-24,13.22,13.23,13.17,13.2,67658.0
2020-07-23,13.22,13.24,13.17,13.2,80135.0
2020-07-22,13.28,13.28,13.19,13.22,80693.0
2020-07-21,13.27,13.29,13.23,13.25,96834.0
2020-07-20,13.26,13.29,13.26,13.27,30532.0
2020-07-17,13.24,13.3,13.24,13.27,46194.0
2020-07-16,13.25,13.29,13.25,13.25,50543.0
2020-07-15,13.24,13.31,13.24,13.25,42757.0
2020-07-14,13.29,13.3,13.21,13.24,106181.0
2020-07-13,13.4,13.4,13.28,13.31,39487.0
2020-07-10,13.3,13.38,13.3,13.34,54429.0
2020-07-09,13.34,13.34,13.31,13.33,25885.0
2020-07-08,13.29,13.34,13.26,13.34,51377.0
2020-07-07,13.2,13.29,13.18,13.26,29578.0
2020-07-06,13.25,13.28,13.14,13.19,85731.0
2020-07-02,13.25,13.28,13.19,13.26,47241.0
2020-07-01,13.23,13.28,13.19,13.21,65259.0
2020-06-30,13.15,13.21,13.11,13.21,69574.0
2020-06-29,13.19,13.2,13.12,13.15,35470.0
2020-06-26,13.2,13.2,13.12,13.17,37079.0
2020-06-25,13.22,13.22,13.17,13.18,57190.0
2020-06-24,13.16,13.18,13.14,13.18,40946.0
2020-06-23,13.13,13.19,13.1,13.11,37977.0
2020-06-22,13.14,13.14,13.1,13.14,42846.0
2020-06-19,13.13,13.18,13.09,13.12,48413.0
2020-06-18,13.07,13.09,13.06,13.08,37327.0
2020-06-17,13.07,13.13,13.03,13.08,127034.0
2020-06-16,12.98,13.08,12.97,13.0,43491.0
