date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,42.02,42.02,39.18,39.48,776200.0
2021-03-16,41.73,42.53,41.6449,42.14,481222.0
2021-03-15,41.96,42.57,41.37,42.42,516850.0
2021-03-12,40.99,41.67,40.81,41.48,392760.0
2021-03-11,40.79,41.0599,40.385,40.69,376524.0
2021-03-10,40.17,40.92,39.7,40.86,486233.0
2021-03-09,40.93,41.45,40.22,40.24,600134.0
2021-03-08,40.54,41.25,39.84,41.05,652299.0
2021-03-05,39.68,40.56,39.43,40.22,899000.0
2021-03-04,39.82,40.29,39.13,39.27,461253.0
2021-03-03,39.39,40.14,39.0107,39.65,301009.0
2021-03-02,40.18,40.245,39.34,39.39,453870.0
2021-03-01,39.89,40.69,39.66,40.29,511683.0
2021-02-26,39.6,40.18,39.27,39.29,657255.0
2021-02-25,39.27,40.4,39.27,39.48,512327.0
2021-02-24,39.55,39.55,38.72,39.14,605860.0
2021-02-23,39.36,39.98,39.26,39.31,829640.0
2021-02-22,39.42,39.66,39.2,39.26,731186.0
2021-02-19,38.98,40.04,38.91,39.6,640300.0
2021-02-18,38.88,39.43,38.49,38.97,585326.0
2021-02-17,37.7,38.9,37.7,38.87,558620.0
2021-02-16,36.78,37.84,36.62,37.81,723569.0
2021-02-12,36.86,37.325,36.61,36.62,747171.0
2021-02-11,37.36,37.85,36.93,37.18,520462.0
2021-02-10,37.57,38.15,37.13,37.38,562182.0
2021-02-09,36.28,37.22,36.16,37.21,458459.0
2021-02-08,36.79,36.81,36.1,36.3,478492.0
2021-02-05,36.58,36.79,35.85,36.62,666868.0
2021-02-04,35.79,36.3,35.34,36.05,529346.0
2021-02-03,35.67,35.99,35.34,35.57,649302.0
2021-02-02,35.9,36.42,35.41,35.94,592133.0
2021-02-01,35.0,35.81,34.61,35.66,435406.0
2021-01-29,35.03,35.41,34.48,35.01,1079440.0
2021-01-28,35.68,36.43,34.885,34.91,439345.0
2021-01-27,34.61,35.63,34.5,35.46,872061.0
2021-01-26,36.0,36.0,34.936,35.26,392342.0
2021-01-25,35.13,36.0,34.9,35.8,778016.0
2021-01-22,34.55,35.46,34.33,35.43,568342.0
2021-01-21,35.69,35.78,34.87,34.96,497332.0
2021-01-20,36.37,36.58,35.04,35.72,690984.0
2021-01-19,38.39,38.39,36.4,36.52,531977.0
