date,1. open,2. high,3. low,4. close,5. volume
2021-03-05,14.5,14.52,14.4137,14.52,3292.0
2021-03-04,14.54,14.5887,14.4601,14.4601,2390.0
2021-03-03,14.54,14.6101,14.54,14.59,5406.0
2021-03-02,14.74,14.74,14.53,14.59,4453.0
2021-03-01,14.89,14.89,14.78,14.79,1014.0
2021-02-26,14.7039,14.7039,14.7039,14.7039,949.0
2021-02-25,14.59,14.59,14.45,14.4798,1547.0
2021-02-24,14.59,14.59,14.55,14.56,3778.0
2021-02-23,14.59,14.59,14.4625,14.54,13917.0
2021-02-22,14.9,14.9,14.565,14.6,16707.0
2021-02-19,14.8,14.84,14.71,14.72,7920.0
2021-02-18,14.64,14.78,14.64,14.76,33031.0
2021-02-17,14.57,14.6,14.45,14.59,9680.0
2021-02-16,14.46,14.63,14.4,14.57,4135.0
2021-02-12,14.52,14.52,14.46,14.5,3981.0
2021-02-11,14.51,14.58,14.49,14.58,2044.0
2021-02-10,14.38,14.5,14.38,14.5,6905.0
2021-02-09,14.28,14.33,14.22,14.33,8400.0
2021-02-08,14.19,14.28,14.19,14.28,1003.0
2021-02-05,14.22,14.23,14.18,14.18,1573.0
2021-02-04,14.19,14.2,14.19,14.2,1828.0
2021-02-03,14.28,14.28,14.09,14.09,10538.0
2021-02-02,14.31,14.31,14.31,14.31,106.0
2021-02-01,14.31,14.31,14.31,14.31,273.0
2021-01-29,14.2,14.2,14.17,14.17,2019.0
2021-01-28,14.17,14.29,14.17,14.2799,2452.0
2021-01-27,14.19,14.19,14.19,14.19,1943.0
2021-01-26,14.17,14.18,14.17,14.18,1728.0
2021-01-25,14.21,14.23,14.2,14.22,5400.0
2021-01-22,14.14,14.16,14.11,14.16,2022.0
2021-01-21,14.1185,14.15,14.09,14.1198,4190.0
2021-01-20,14.05,14.0608,14.05,14.06,2201.0
2021-01-19,14.03,14.06,14.02,14.03,4950.0
2021-01-15,14.01,14.056,14.01,14.056,1132.0
2021-01-14,13.99,14.0499,13.99,14.0499,2800.0
2021-01-13,14.01,14.0521,14.01,14.05,910.0
2021-01-12,14.02,14.25,13.97,13.97,734.0
2021-01-11,14.0199,14.0199,14.0199,14.0199,11.0
2021-01-08,14.0199,14.0199,14.0199,14.0199,80.0
2021-01-07,14.005,14.02,13.99,14.0199,3077.0
2021-01-06,14.05,14.05,14.0343,14.0343,935.0
2021-01-05,14.02,14.0359,14.02,14.0359,632.0
2021-01-04,14.03,14.03,14.02,14.02,1818.0
2020-12-31,14.06,14.06,13.9916,14.0157,10347.0
2020-12-30,14.0526,14.0526,14.02,14.02,702.0
2020-12-29,14.06,14.06,13.97,13.9701,6959.0
2020-12-28,13.9702,13.9702,13.97,13.97,700.0
2020-12-24,14.05,14.05,13.96,13.98,6585.0
2020-12-23,13.99,13.99,13.99,13.99,1.0
2020-12-22,13.85,14.04,13.85,13.99,8439.0
2020-12-21,14.0303,14.0303,14.0303,14.0303,0.0
2020-12-18,14.03,14.0303,14.03,14.0303,330.0
2020-12-17,14.0074,14.03,14.0074,14.03,4732.0
2020-12-16,14.0506,14.0506,13.95,13.97,16700.0
2020-12-15,14.14,14.14,14.03,14.03,1850.0
2020-12-14,14.11,14.14,14.1,14.14,4150.0
2020-12-11,14.144,14.144,14.144,14.144,76.0
2020-12-10,14.144,14.144,14.144,14.144,30.0
2020-12-09,14.144,14.144,14.144,14.144,4.0
2020-12-08,14.16,14.17,14.12,14.144,4630.0
2020-12-07,14.28,14.28,14.11,14.15,5472.0
2020-12-04,14.2,14.2001,14.17,14.17,4723.0
2020-12-03,14.11,14.2,14.11,14.15,630.0
2020-12-02,14.1555,14.2,14.1555,14.1646,1684.0
2020-12-01,14.2,14.2,14.18,14.2,9419.0
2020-11-30,14.16,14.2131,14.16,14.193,1621.0
2020-11-27,14.17,14.17,14.17,14.17,157.0
2020-11-25,14.1,14.1,14.1,14.1,1642.0
2020-11-24,14.1,14.1,14.1,14.1,100.0
2020-11-23,14.07,14.07,14.07,14.07,1026.0
2020-11-20,14.07,14.07,14.07,14.07,1000.0
2020-11-19,14.1,14.1,14.07,14.07,4171.0
2020-11-18,14.14,14.15,14.05,14.1,1660.0
2020-11-17,14.15,14.15,14.147,14.147,4036.0
2020-11-16,14.12,14.15,14.12,14.15,451.0
2020-11-13,14.088,14.088,14.088,14.088,266.0
2020-11-12,13.92,14.75,13.92,14.15,65309.0
2020-11-11,13.92,13.95,13.92,13.94,1526.0
2020-11-10,13.91,13.98,13.91,13.9799,3660.0
2020-11-09,13.91,13.93,13.91,13.93,1228.0
2020-11-06,13.9,13.9,13.9,13.9,202.0
2020-11-05,13.875,13.875,13.875,13.875,1.0
2020-11-04,13.81,13.9,13.81,13.875,5201.0
2020-11-03,13.77,13.83,13.77,13.83,1872.0
2020-11-02,13.83,13.83,13.82,13.82,2890.0
2020-10-30,13.76,13.76,13.76,13.76,463.0
2020-10-29,13.85,13.85,13.85,13.85,165.0
2020-10-28,13.78,13.8097,13.78,13.8097,324.0
2020-10-27,13.8,13.81,13.8,13.81,3255.0
2020-10-26,13.8262,13.8262,13.8,13.8,2723.0
2020-10-23,13.82,13.862,13.81,13.8166,8631.0
2020-10-22,13.81,13.81,13.81,13.81,265.0
2020-10-21,13.89,13.89,13.855,13.855,801.0
2020-10-20,13.89,13.89,13.89,13.89,7.0
2020-10-19,13.88,13.89,13.83,13.89,3006.0
2020-10-16,13.84,13.87,13.84,13.87,1436.0
2020-10-15,13.93,13.93,13.87,13.9,1038.0
