date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,15.25,15.27,15.2001,15.27,82340.0
2021-03-16,15.23,15.2851,15.19,15.21,84081.0
2021-03-15,15.2,15.23,15.18,15.19,67954.0
2021-03-12,15.25,15.25,15.14,15.19,82910.0
2021-03-11,15.3,15.39,15.27,15.32,55346.0
2021-03-10,15.22,15.27,15.2,15.22,57307.0
2021-03-09,15.13,15.19,15.11,15.17,54671.0
2021-03-08,15.06,15.11,15.04,15.09,57018.0
2021-03-05,15.06,15.09,14.98,15.07,99169.0
2021-03-04,15.11,15.1591,14.95,15.0,89143.0
2021-03-03,15.12,15.12,15.0,15.1,103629.0
2021-03-02,15.17,15.25,15.11,15.11,153791.0
2021-03-01,15.18,15.225,15.13,15.16,59251.0
2021-02-26,15.08,15.13,15.0,15.13,93869.0
2021-02-25,15.07,15.13,14.83,14.96,443212.0
2021-02-24,15.06,15.15,15.0,15.13,212085.0
2021-02-23,15.27,15.27,15.0642,15.09,118657.0
2021-02-22,15.51,15.51,15.28,15.3,62046.0
2021-02-19,15.55,15.58,15.4505,15.47,56062.0
2021-02-18,15.64,15.64,15.5002,15.54,40277.0
2021-02-17,15.71,15.7145,15.6201,15.64,43965.0
2021-02-16,15.79,15.79,15.66,15.69,55171.0
2021-02-12,15.79,15.81,15.72,15.76,35485.0
2021-02-11,15.71,15.96,15.71,15.79,63757.0
2021-02-10,15.71,15.78,15.7,15.76,51808.0
2021-02-09,15.61,15.69,15.6,15.68,55339.0
2021-02-08,15.67,15.67,15.59,15.59,93466.0
2021-02-05,15.58,15.62,15.58,15.62,40518.0
2021-02-04,15.57,15.63,15.53,15.56,103906.0
2021-02-03,15.65,15.7,15.57,15.59,84244.0
2021-02-02,15.58,15.66,15.55,15.65,68176.0
2021-02-01,15.72,15.72,15.58,15.59,56721.0
2021-01-29,15.55,15.65,15.55,15.62,64784.0
2021-01-28,15.64,15.64,15.58,15.6,37064.0
2021-01-27,15.51,15.69,15.45,15.56,83562.0
2021-01-26,15.53,15.53,15.46,15.49,60947.0
2021-01-25,15.5,15.5,15.45,15.49,48281.0
2021-01-22,15.46,15.46,15.43,15.44,37594.0
2021-01-21,15.42,15.42,15.3701,15.42,91698.0
2021-01-20,15.39,15.41,15.35,15.38,130679.0
2021-01-19,15.39,15.41,15.38,15.4,52849.0
2021-01-15,15.43,15.43,15.4,15.4,51342.0
2021-01-14,15.4,15.45,15.39,15.4,42138.0
2021-01-13,15.4,15.53,15.4,15.46,58749.0
2021-01-12,15.45,15.4609,15.4,15.41,65622.0
2021-01-11,15.58,15.64,15.45,15.48,99454.0
2021-01-08,15.51,15.5555,15.46,15.55,100625.0
2021-01-07,15.6,15.6,15.51,15.52,46770.0
2021-01-06,15.77,15.8,15.5,15.56,210304.0
2021-01-05,15.76,15.79,15.67,15.79,34158.0
2021-01-04,15.83,15.83,15.63,15.78,74101.0
2020-12-31,15.73,15.82,15.72,15.76,60211.0
2020-12-30,15.79,15.82,15.71,15.73,62090.0
2020-12-29,15.74,15.8,15.72,15.74,53688.0
2020-12-28,15.74,15.83,15.68,15.75,85773.0
2020-12-24,15.66,15.75,15.66,15.75,40951.0
2020-12-23,15.68,15.75,15.66,15.69,49377.0
2020-12-22,15.66,15.72,15.64,15.69,85394.0
2020-12-21,15.52,15.81,15.49,15.7,104471.0
2020-12-18,15.42,15.54,15.42,15.53,51642.0
2020-12-17,15.51,15.51,15.41,15.44,57699.0
2020-12-16,15.45,15.45,15.41,15.44,120367.0
2020-12-15,15.57,15.57,15.41,15.45,93678.0
2020-12-14,15.59,15.62,15.5,15.51,107814.0
2020-12-11,15.69,15.73,15.66,15.7,67702.0
2020-12-10,15.66,15.75,15.66,15.71,61115.0
2020-12-09,15.74,15.74,15.63,15.66,196787.0
2020-12-08,15.65,15.69,15.62,15.66,37796.0
2020-12-07,15.64,15.68,15.54,15.63,92665.0
2020-12-04,15.62,15.62,15.52,15.58,49560.0
2020-12-03,15.53,15.6,15.42,15.58,76548.0
2020-12-02,15.4,15.47,15.37,15.47,48086.0
2020-12-01,15.62,15.62,15.36,15.44,185899.0
2020-11-30,15.48,15.54,15.44,15.54,47363.0
2020-11-27,15.52,15.53,15.47,15.52,26935.0
2020-11-25,15.43,15.49,15.4,15.46,62640.0
2020-11-24,15.43,15.47,15.35,15.43,60377.0
2020-11-23,15.31,15.4,15.26,15.36,89128.0
2020-11-20,15.3,15.32,15.28,15.3,84707.0
2020-11-19,15.29,15.32,15.29,15.3,93314.0
2020-11-18,15.3,15.3013,15.2701,15.3,44773.0
2020-11-17,15.3,15.31,15.2802,15.3,46762.0
