date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,11.26,11.41,11.2101,11.3741,19241.0
2021-03-16,11.39,11.41,11.26,11.26,5528.0
2021-03-15,11.36,11.39,11.25,11.39,6716.0
2021-03-12,11.35,11.39,11.21,11.35,5450.0
2021-03-11,11.43,11.43,11.25,11.38,16915.0
2021-03-10,11.42,11.43,11.3952,11.43,9999.0
2021-03-09,11.335,11.4,11.3311,11.4,10870.0
2021-03-08,11.22,11.29,11.1514,11.2858,9485.0
2021-03-05,11.33,11.33,11.15,11.19,16125.0
2021-03-04,11.23,11.31,11.19,11.27,9585.0
2021-03-03,11.35,11.35,11.19,11.27,14391.0
2021-03-02,11.42,11.45,11.2701,11.28,29081.0
2021-03-01,11.35,11.41,11.31,11.31,10170.0
2021-02-26,11.0,11.5,11.0,11.26,36578.0
2021-02-25,11.13,11.39,11.0,11.02,20956.0
2021-02-24,11.15,11.24,11.08,11.15,16208.0
2021-02-23,11.26,11.29,11.15,11.15,26147.0
2021-02-22,11.5,11.52,11.23,11.24,19020.0
2021-02-19,11.53,11.53,11.5,11.5,2557.0
2021-02-18,11.56,11.56,11.48,11.5,4220.0
2021-02-17,11.52,11.55,11.4156,11.54,7036.0
2021-02-16,11.52,11.52,11.43,11.44,8703.0
2021-02-12,11.57,11.6,11.47,11.52,6120.0
2021-02-11,11.62,11.62,11.22,11.5964,21866.0
2021-02-10,11.6,11.6252,11.461,11.5876,9078.0
2021-02-09,11.59,11.65,11.59,11.6203,8620.0
2021-02-08,11.56,11.63,11.54,11.63,12836.0
2021-02-05,11.57,11.7653,11.55,11.6,24359.0
2021-02-04,11.56,11.57,11.4552,11.57,4083.0
2021-02-03,11.5,11.56,11.4888,11.56,9321.0
2021-02-02,11.55,11.56,11.38,11.51,12189.0
2021-02-01,11.49,11.56,11.408,11.5001,9704.0
2021-01-29,11.53,11.55,11.3,11.49,7063.0
2021-01-28,11.52,11.5527,11.47,11.54,17173.0
2021-01-27,11.51,11.6999,11.33,11.4,29896.0
2021-01-26,11.52,11.52,11.3,11.48,12930.0
2021-01-25,11.68,11.68,11.2996,11.41,21848.0
2021-01-22,11.49,11.51,11.3364,11.395,16208.0
2021-01-21,11.4,11.5,11.36,11.49,22701.0
2021-01-20,11.32,11.36,11.31,11.36,9647.0
2021-01-19,11.27,11.32,11.27,11.29,3709.0
2021-01-15,11.3,11.31,11.234,11.31,14430.0
2021-01-14,11.17,11.32,11.17,11.25,21056.0
