date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,15.08,15.08,14.8416,14.95,4153.0
2021-03-16,15.0832,15.0832,14.986,15.032,3523.0
2021-03-15,15.2,15.2,14.968,14.98,1679.0
2021-03-12,15.2,15.2,15.2,15.2,634.0
2021-03-11,15.0249,15.1881,15.0249,15.14,5290.0
2021-03-10,14.9999,14.9999,14.9999,14.9999,201.0
2021-03-09,14.9515,14.9882,14.9501,14.9882,6854.0
2021-03-08,14.8,15.04,14.8,14.84,2647.0
2021-03-05,14.67,14.85,14.67,14.85,15798.0
2021-03-04,15.04,15.1,14.96,14.99,7064.0
2021-03-03,15.12,15.34,14.91,15.07,17498.0
2021-03-02,15.12,15.12,15.05,15.085,4394.0
2021-03-01,15.34,15.34,15.05,15.2,19972.0
2021-02-26,14.88,14.88,14.88,14.88,3435.0
2021-02-25,14.9,14.9,14.75,14.83,1005.0
2021-02-24,14.9,14.9,14.85,14.86,3352.0
2021-02-23,14.84,14.97,14.73,14.97,4345.0
2021-02-22,14.8599,14.98,14.8599,14.98,10554.0
2021-02-19,15.09,15.09,14.81,15.0,10409.0
2021-02-18,15.11,15.19,15.0118,15.02,22364.0
2021-02-17,15.2,15.2,15.02,15.14,4883.0
2021-02-16,15.29,15.31,15.12,15.1993,6439.0
2021-02-12,15.29,15.29,15.29,15.29,885.0
2021-02-11,15.28,15.2907,15.28,15.29,3035.0
2021-02-10,15.11,15.2899,15.11,15.24,4572.0
2021-02-09,15.03,15.24,15.0,15.15,12567.0
2021-02-08,14.9625,15.0,14.9,14.95,2796.0
2021-02-05,15.0,15.0,14.91,15.0,2913.0
2021-02-04,15.05,15.05,14.67,15.02,23829.0
2021-02-03,15.0,15.09,15.0,15.09,3792.0
2021-02-02,14.95,15.3799,14.95,15.02,12210.0
2021-02-01,15.0,15.01,14.9967,15.01,5213.0
2021-01-29,14.99,15.01,14.89,15.0,11854.0
2021-01-28,15.0,15.0,14.9779,15.0,5275.0
2021-01-27,14.8483,14.94,14.8483,14.94,5588.0
2021-01-26,14.9,14.91,14.8315,14.91,5294.0
2021-01-25,14.73,14.9,14.73,14.9,4131.0
2021-01-22,14.86,14.9,14.72,14.73,6697.0
2021-01-21,14.8902,14.905,14.87,14.9,8001.0
2021-01-20,14.8307,15.07,14.81,15.07,5118.0
2021-01-19,14.86,14.86,14.84,14.86,4948.0
2021-01-15,14.8,14.91,14.75,14.91,4936.0
2021-01-14,15.07,15.07,14.67,14.88,17800.0
2021-01-13,14.81,15.0,14.64,15.0,5028.0
2021-01-12,14.75,14.974,14.75,14.91,7736.0
2021-01-11,14.7,14.73,14.7,14.73,1148.0
2021-01-08,14.61,14.66,14.54,14.66,14695.0
2021-01-07,14.67,14.69,14.6,14.66,9281.0
2021-01-06,14.77,14.81,14.64,14.72,23051.0
2021-01-05,14.78,14.78,14.64,14.64,1962.0
2021-01-04,14.78,14.81,14.67,14.67,4351.0
2020-12-31,14.7,14.88,14.65,14.83,20678.0
2020-12-30,14.69,14.7,14.65,14.6507,7217.0
2020-12-29,14.7,14.7,14.6351,14.69,17710.0
2020-12-28,14.7,14.7,14.54,14.7,6921.0
2020-12-24,14.69,14.71,14.6722,14.6722,2164.0
2020-12-23,14.72,14.72,14.656,14.71,5098.0
2020-12-22,14.72,14.72,14.6427,14.69,3237.0
2020-12-21,14.72,14.72,14.6802,14.71,7123.0
2020-12-18,14.8676,14.95,14.722,14.722,2802.0
2020-12-17,14.78,14.8,14.66,14.72,10144.0
2020-12-16,14.72,14.725,14.61,14.725,1302.0
2020-12-15,14.8,14.8,14.69,14.71,13312.0
2020-12-14,14.6,14.69,14.6,14.68,23666.0
2020-12-11,14.73,14.73,14.6,14.67,903.0
2020-12-10,14.71,14.71,14.59,14.59,4205.0
2020-12-09,14.77,14.92,14.64,14.68,5622.0
2020-12-08,14.945,14.945,14.62,14.64,25602.0
2020-12-07,15.0,15.0,14.895,14.95,3422.0
2020-12-04,14.95,14.99,14.95,14.95,34326.0
2020-12-03,14.95,14.95,14.88,14.94,3744.0
2020-12-02,14.86,14.97,14.86,14.9198,2752.0
2020-12-01,14.95,14.97,14.86,14.97,5889.0
2020-11-30,14.82,14.95,14.82,14.95,2372.0
2020-11-27,14.97,14.97,14.8203,14.9116,515.0
2020-11-25,14.8,14.93,14.8,14.89,1849.0
2020-11-24,14.83,14.97,14.83,14.97,4426.0
2020-11-23,14.92,14.97,14.915,14.915,5579.0
2020-11-20,14.8636,14.8636,14.8306,14.8306,2809.0
2020-11-19,14.79,14.92,14.79,14.92,2095.0
2020-11-18,14.9,14.9,14.79,14.79,2040.0
2020-11-17,14.8,14.97,14.7176,14.97,3023.0
2020-11-16,14.8,14.8944,14.8,14.8361,1139.0
2020-11-13,14.77,14.89,14.75,14.89,1056.0
2020-11-12,14.65,14.8102,14.65,14.8102,2395.0
2020-11-11,14.7,14.7371,14.7,14.7,681.0
2020-11-10,14.666,14.754,14.6558,14.754,5548.0
2020-11-09,14.66,14.765,14.66,14.7504,3610.0
2020-11-06,14.78,14.78,14.624,14.624,3110.0
2020-11-05,14.675,14.75,14.65,14.65,4016.0
2020-11-04,14.52,14.78,14.52,14.7765,3506.0
2020-11-03,14.6,14.6,14.44,14.47,1510.0
2020-11-02,14.8,14.8,14.46,14.46,12430.0
2020-10-30,14.66,14.7508,14.5,14.625,2983.0
2020-10-29,14.9,14.9,14.52,14.6835,8774.0
2020-10-28,14.98,14.98,14.85,14.85,565.0
2020-10-27,14.785,15.0,14.785,15.0,3957.0
2020-10-26,14.82,14.82,14.6575,14.71,5712.0
2020-10-23,14.66,14.72,14.61,14.61,5144.0
2020-10-22,14.64,14.65,14.64,14.65,3616.0
2020-10-21,14.5353,14.68,14.5353,14.6491,7689.0
2020-10-20,14.57,14.7463,14.57,14.7463,1468.0
2020-10-19,14.77,14.78,14.61,14.726,6136.0
2020-10-16,14.6586,14.77,14.6586,14.77,3158.0
2020-10-15,14.6164,14.6164,14.5973,14.6,2810.0
2020-10-14,14.71,14.78,14.6854,14.6854,4501.0
2020-10-13,14.64,14.87,14.54,14.87,6823.0
2020-10-12,14.455,14.47,14.437,14.437,610.0
2020-10-09,14.39,14.64,14.36,14.51,3015.0
2020-10-08,14.367,14.367,14.3609,14.3609,1043.0
2020-10-07,14.3343,14.41,14.23,14.25,4540.0
2020-10-06,14.39,14.4,14.35,14.4,1605.0
2020-10-05,14.14,14.27,14.14,14.27,970.0
2020-10-02,14.63,14.63,14.02,14.13,13706.0
2020-10-01,14.25,14.34,14.1962,14.34,1680.0
2020-09-30,14.15,14.1698,14.099,14.099,1567.0
2020-09-29,14.2,14.2,14.0646,14.0646,8104.0
2020-09-28,13.99,14.1,13.99,14.06,11212.0
2020-09-25,13.93,13.93,13.93,13.93,501.0
2020-09-24,13.94,13.9575,13.902,13.91,4225.0
2020-09-23,13.99,14.01,13.85,13.95,12184.0
2020-09-22,13.8785,13.9994,13.78,13.95,7813.0
2020-09-21,13.91,13.92,13.78,13.87,4318.0
2020-09-18,13.96,13.97,13.9527,13.9527,4587.0
2020-09-17,14.0,14.0,13.85,13.85,7757.0
2020-09-16,13.99,13.99,13.95,13.99,7697.0
2020-09-15,14.32,14.32,13.955,14.0,16724.0
2020-09-14,14.325,14.325,14.17,14.17,2791.0
2020-09-11,14.49,14.49,14.28,14.3,4510.0
2020-09-10,14.7499,14.7499,14.435,14.4992,9729.0
2020-09-09,14.6,14.98,14.6,14.7499,6044.0
2020-09-08,14.92,14.92,14.6631,14.6631,506.0
2020-09-04,14.8518,14.8518,14.8518,14.8518,1.0
2020-09-03,14.95,14.95,14.72,14.8518,2674.0
2020-09-02,14.8,14.99,14.74,14.99,4573.0
2020-09-01,15.0,15.0,14.8,14.85,5047.0
2020-08-31,15.0,15.0,14.99,14.99,1482.0
2020-08-28,14.81,14.81,14.74,14.8,6104.0
2020-08-27,14.8,14.81,14.8,14.8,3710.0
2020-08-26,14.82,14.82,14.8,14.8,1003.0
2020-08-25,14.75,14.79,14.72,14.77,4803.0
2020-08-24,14.74,14.74,14.7,14.72,23644.0
2020-08-21,14.9,14.9,14.7675,14.7675,1788.0
2020-08-20,14.72,14.86,14.72,14.7948,2800.0
2020-08-19,15.0,15.0,15.0,15.0,201.0
2020-08-18,14.7843,14.895,14.7843,14.895,331.0
2020-08-17,14.8,14.95,14.8,14.95,4646.0
2020-08-14,14.73,14.8,14.73,14.77,4436.0
2020-08-13,14.9699,14.9699,14.72,14.7632,11639.0
2020-08-12,15.0,15.0,15.0,15.0,1904.0
2020-08-11,14.7726,14.99,14.7726,14.95,6838.0
2020-08-10,14.76,14.9,14.75,14.837,4193.0
2020-08-07,14.848,14.848,14.848,14.848,744.0
2020-08-06,14.75,14.814,14.75,14.814,1927.0
2020-08-05,14.72,14.79,14.72,14.79,9852.0
2020-08-04,14.62,14.74,14.55,14.74,8299.0
2020-08-03,14.62,14.62,14.55,14.55,1954.0
2020-07-31,14.48,14.61,14.48,14.61,1327.0
2020-07-30,14.56,14.56,14.36,14.5,2275.0
2020-07-29,14.36,14.509,14.36,14.41,4403.0
2020-07-28,14.41,14.56,14.41,14.5168,3713.0
2020-07-27,14.45,14.45,14.385,14.4,3700.0
2020-07-24,14.58,14.59,14.35,14.37,8824.0
2020-07-23,14.44,14.4493,14.4,14.4493,2029.0
2020-07-22,14.45,14.45,14.37,14.41,9277.0
2020-07-21,14.405,14.405,14.405,14.405,311.0
2020-07-20,14.75,14.75,14.41,14.41,2130.0
2020-07-17,14.43,14.43,14.4,14.429,1551.0
2020-07-16,14.5,14.59,14.41,14.59,5611.0
2020-07-15,14.47,14.53,14.47,14.53,2047.0
2020-07-14,14.16,14.305,14.16,14.305,967.0
2020-07-13,14.48,14.48,14.48,14.48,140.0
2020-07-10,14.3,14.49,14.22,14.49,5612.0
2020-07-09,14.498,14.499,14.463,14.49,3801.0
2020-07-08,14.415,14.5,14.41,14.5,2145.0
2020-07-07,14.25,14.5,14.25,14.5,3299.0
2020-07-06,14.25,14.41,14.25,14.25,6469.0
2020-07-02,14.16,14.26,14.16,14.25,2702.0
2020-07-01,14.26,14.26,14.16,14.221,2723.0
2020-06-30,14.13,14.231,14.13,14.23,2033.0
2020-06-29,14.26,14.26,14.26,14.26,2396.0
2020-06-26,14.15,14.18,14.075,14.18,2647.0
2020-06-25,14.098,14.21,14.098,14.21,1276.0
2020-06-24,14.09,14.12,14.01,14.08,4856.0
2020-06-23,13.95,14.12,13.95,14.12,4717.0
2020-06-22,13.71,13.92,13.71,13.917,5651.0
2020-06-19,13.9,13.9,13.668,13.85,3468.0
2020-06-18,13.77,13.88,13.77,13.88,1283.0
2020-06-17,13.701,13.84,13.701,13.84,4913.0
2020-06-16,13.68,13.68,13.68,13.68,11.0
2020-06-15,13.5,13.68,13.5,13.68,3247.0
2020-06-12,13.42,13.55,13.42,13.5,4735.0
2020-06-11,13.5,13.606,13.45,13.47,5128.0
2020-06-10,13.83,13.852,13.44,13.44,21639.0
2020-06-09,14.002,14.07,13.915,13.915,2826.0
2020-06-08,13.93,14.1,13.93,14.06,4510.0
2020-06-05,13.95,14.01,13.8,13.99,3118.0
2020-06-04,14.1,14.14,13.6,13.6,4697.0
2020-06-03,14.1,14.1,13.92,13.92,3633.0
2020-06-02,13.82,14.1,13.81,14.06,17235.0
2020-06-01,13.74,13.77,13.615,13.77,2676.0
2020-05-29,13.99,14.01,13.47,13.545,7130.0
2020-05-28,13.91,14.006,13.83,13.83,1699.0
2020-05-27,13.3,13.82,13.3,13.82,13647.0
2020-05-26,13.253,13.41,13.253,13.3,1731.0
2020-05-22,13.17,13.2,13.17,13.2,2040.0
2020-05-21,13.08,13.08,13.08,13.08,188.0
2020-05-20,13.24,13.244,13.14,13.14,4169.0
2020-05-19,13.01,13.23,13.01,13.1,14847.0
2020-05-18,13.78,13.78,12.54,13.03,38964.0
2020-05-15,13.63,13.63,13.63,13.63,1332.0
2020-05-14,13.87,13.87,13.52,13.69,4101.0
2020-05-13,13.86,14.14,13.731,13.8,3622.0
2020-05-12,14.06,14.06,14.0,14.0,20061.0
2020-05-11,14.02,14.44,14.0,14.11,7003.0
2020-05-08,13.813,14.05,13.67,14.0,24549.0
2020-05-07,13.35,14.71,13.35,13.86,11731.0
2020-05-06,13.35,13.35,13.33,13.35,2809.0
2020-05-05,12.9,13.3,12.9,13.3,4442.0
2020-05-04,12.79,13.07,12.79,12.97,4160.0
2020-05-01,13.07,13.07,12.803,13.006,4793.0
2020-04-30,13.02,13.07,12.91,13.035,11751.0
2020-04-29,12.71,12.97,12.67,12.97,7700.0
2020-04-28,12.5,12.594,12.5,12.55,3711.0
2020-04-27,12.68,12.68,12.38,12.411,11118.0
2020-04-24,12.61,12.62,12.6,12.62,4466.0
2020-04-23,13.07,13.07,12.6,12.63,20529.0
2020-04-22,12.733,12.75,12.7,12.7,1668.0
2020-04-21,12.71,12.887,12.645,12.755,10062.0
2020-04-20,12.76,13.05,12.76,12.83,12656.0
2020-04-17,13.07,13.07,12.81,13.07,15600.0
2020-04-16,12.91,13.07,12.902,13.05,21545.0
2020-04-15,12.77,13.07,12.76,13.07,3820.0
2020-04-14,12.89,13.07,12.89,13.056,10481.0
2020-04-13,13.03,13.03,12.775,12.85,9360.0
2020-04-09,12.85,13.07,12.85,13.03,28923.0
2020-04-08,12.905,13.05,12.905,12.92,2628.0
2020-04-07,13.02,13.06,12.7,13.05,6442.0
2020-04-06,12.66,12.91,12.6,12.61,5116.0
2020-04-03,12.6,12.62,12.356,12.4,5998.0
2020-04-02,12.342,12.844,12.342,12.487,8617.0
2020-04-01,13.07,13.07,12.409,12.5,28122.0
2020-03-31,13.07,13.1,13.07,13.07,1796.0
2020-03-30,13.19,13.39,13.053,13.23,2570.0
2020-03-27,13.059,13.059,12.99,12.99,4233.0
2020-03-26,12.5,12.99,12.5,12.99,15285.0
2020-03-25,12.1,12.55,11.951,12.425,16744.0
2020-03-24,11.24,11.9,11.24,11.607,18158.0
2020-03-23,12.9,12.9,11.011,11.242,14105.0
2020-03-20,12.36,12.88,12.305,12.4,6599.0
2020-03-19,12.7,12.763,11.34,12.13,20152.0
2020-03-18,13.085,13.085,12.75,12.821,21601.0
2020-03-17,13.25,13.5,13.25,13.45,7125.0
2020-03-16,14.0,14.0,13.234,13.25,8688.0
2020-03-13,13.52,14.208,13.52,14.0,5442.0
2020-03-12,14.4,14.4,12.95,13.425,34719.0
2020-03-11,14.88,14.88,14.2,14.2,27053.0
2020-03-10,14.83,14.83,14.825,14.825,1833.0
2020-03-09,14.86,14.86,14.794,14.794,5049.0
2020-03-06,14.9,14.9,14.81,14.89,1519.0
2020-03-05,14.792,14.9,14.792,14.9,1106.0
2020-03-04,14.83,14.88,14.773,14.806,2304.0
2020-03-03,14.824,14.824,14.824,14.824,421.0
2020-03-02,14.9,14.9,14.716,14.78,4893.0
2020-02-28,14.69,14.789,14.69,14.721,6851.0
2020-02-27,14.88,14.88,14.735,14.87,9351.0
2020-02-26,14.778,14.778,14.778,14.778,321.0
2020-02-25,14.71,14.83,14.71,14.77,6285.0
2020-02-24,14.73,14.9,14.7,14.88,14327.0
2020-02-21,14.84,14.84,14.77,14.83,8269.0
2020-02-20,14.73,14.73,14.73,14.73,50.0
2020-02-19,14.73,14.73,14.73,14.73,504.0
2020-02-18,14.65,14.79,14.65,14.76,28183.0
2020-02-14,14.6,14.63,14.6,14.627,2668.0
2020-02-13,14.63,14.63,14.61,14.63,5579.0
2020-02-12,14.63,14.63,14.61,14.61,2603.0
2020-02-11,14.63,14.63,14.58,14.62,7107.0
2020-02-10,14.63,14.63,14.585,14.63,6554.0
2020-02-07,14.552,14.63,14.53,14.613,12967.0
2020-02-06,14.51,14.58,14.47,14.58,8925.0
2020-02-05,14.4,14.53,14.3915,14.465,4139.0
2020-02-04,14.45,14.505,14.37,14.412,1491.0
2020-02-03,14.59,14.62,14.442,14.442,7394.0
2020-01-31,14.55,14.57,14.479,14.479,1455.0
2020-01-30,14.38,14.52,14.37,14.4724,23645.0
2020-01-29,14.41,14.44,14.376,14.38,6324.0
2020-01-28,14.36,14.423,14.36,14.412,3261.0
2020-01-27,14.45,14.45,14.412,14.424,5593.0
2020-01-24,14.41,14.443,14.395,14.443,2080.0
2020-01-23,14.36,14.45,14.31,14.45,36077.0
2020-01-22,14.439,14.439,14.356,14.356,3491.0
2020-01-21,14.42,14.42,14.365,14.365,276.0
2020-01-17,14.39,14.45,14.3,14.4,6727.0
