date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,13.91,13.93,13.855,13.88,24057.0
2021-03-16,13.92,14.08,13.92,13.93,26765.0
2021-03-15,13.9,13.9499,13.9,13.9426,9373.0
2021-03-12,14.02,14.02,13.89,13.89,30281.0
2021-03-11,13.97,14.4749,13.97,14.07,27922.0
2021-03-10,13.98,14.03,13.95,13.97,22722.0
2021-03-09,13.905,13.9386,13.905,13.91,5704.0
2021-03-08,13.9067,13.9067,13.8,13.81,15173.0
2021-03-05,13.74,13.8498,13.74,13.81,17659.0
2021-03-04,13.81,13.885,13.79,13.79,36096.0
2021-03-03,13.85,13.91,13.83,13.84,15887.0
2021-03-02,13.84,13.94,13.84,13.92,18280.0
2021-03-01,13.91,13.94,13.83,13.9,36415.0
2021-02-26,13.73,13.8,13.69,13.79,16212.0
2021-02-25,13.78,13.85,13.66,13.67,114214.0
2021-02-24,13.8,13.87,13.69,13.86,72375.0
2021-02-23,14.03,14.03,13.854,13.88,52472.0
2021-02-22,14.12,14.12,14.0301,14.06,115091.0
2021-02-19,14.14,14.17,14.07,14.12,36216.0
2021-02-18,14.14,14.25,14.12,14.16,45904.0
2021-02-17,14.21,14.25,14.15,14.15,11906.0
2021-02-16,14.45,14.45,14.23,14.25,41815.0
2021-02-12,14.32,14.3497,14.3,14.32,30904.0
2021-02-11,14.28,14.34,14.2718,14.32,87449.0
2021-02-10,14.26,14.31,14.26,14.3,14304.0
2021-02-09,14.33,14.33,14.29,14.29,40914.0
2021-02-08,14.27,14.31,14.2,14.29,99543.0
2021-02-05,14.29,14.3119,14.24,14.27,47814.0
2021-02-04,14.24,14.32,14.15,14.24,20708.0
2021-02-03,14.33,14.33,14.194,14.23,28789.0
2021-02-02,14.4,14.4,14.25,14.28,17609.0
2021-02-01,14.39,14.41,14.21,14.34,34570.0
2021-01-29,14.25,14.26,14.22,14.25,18063.0
2021-01-28,14.21,14.25,14.15,14.24,43273.0
2021-01-27,14.11,14.22,14.11,14.2,15297.0
2021-01-26,14.12,14.16,14.079,14.13,28554.0
2021-01-25,14.059,14.14,14.03,14.12,25055.0
2021-01-22,14.06,14.124,14.03,14.05,30137.0
2021-01-21,14.07,14.12,14.04,14.06,40295.0
2021-01-20,13.98,14.06,13.98,14.04,19616.0
2021-01-19,14.1,14.1,13.98,14.0,49577.0
2021-01-15,14.21,14.21,13.97,14.0,15794.0
2021-01-14,14.0,14.01,13.95,13.95,17282.0
2021-01-13,13.97,14.04,13.96,13.9972,17642.0
2021-01-12,13.98,14.03,13.94,13.95,19600.0
2021-01-11,13.97,14.0,13.95,13.99,27512.0
2021-01-08,13.98,14.02,13.935,13.95,15526.0
2021-01-07,14.04,14.04,13.96,13.98,38684.0
