date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,14.33,14.3695,14.2874,14.33,89403.0
2021-03-16,14.35,14.36,14.26,14.33,116513.0
2021-03-15,14.32,14.39,14.27,14.33,187973.0
2021-03-12,14.34,14.37,14.28,14.3,114732.0
2021-03-11,14.41,14.5,14.36,14.4,352754.0
2021-03-10,14.48,14.48,14.34,14.39,283903.0
2021-03-09,14.39,14.54,14.34,14.43,257097.0
2021-03-08,14.42,14.42,14.31,14.33,146597.0
2021-03-05,14.41,14.4506,14.33,14.39,99754.0
2021-03-04,14.47,14.51,14.3401,14.36,204051.0
2021-03-03,14.45,14.51,14.3806,14.43,122985.0
2021-03-02,14.3,14.47,14.28,14.45,198308.0
2021-03-01,14.22,14.325,14.1805,14.27,237680.0
2021-02-26,14.11,14.19,14.0799,14.17,210160.0
2021-02-25,14.13,14.1996,14.02,14.08,256220.0
2021-02-24,14.01,14.19,13.9,14.16,396978.0
2021-02-23,14.15,14.23,13.94,14.04,577497.0
2021-02-22,14.45,14.46,14.25,14.29,406989.0
2021-02-19,14.48,14.5125,14.35,14.44,252506.0
2021-02-18,14.56,14.58,14.3387,14.49,410214.0
2021-02-17,14.61,14.62,14.56,14.62,171591.0
2021-02-16,14.64,14.64,14.53,14.55,295138.0
2021-02-12,14.83,14.83,14.6233,14.69,227946.0
2021-02-11,14.65,14.86,14.63,14.86,186826.0
2021-02-10,14.73,14.76,14.66,14.73,208895.0
2021-02-09,14.57,14.88,14.53,14.68,263600.0
2021-02-08,14.54,14.63,14.52,14.59,302045.0
2021-02-05,14.47,14.54,14.46,14.51,239251.0
2021-02-04,14.44,14.4967,14.375,14.44,177445.0
2021-02-03,14.43,14.5,14.43,14.46,171614.0
2021-02-02,14.45,14.51,14.44,14.44,220325.0
2021-02-01,14.42,14.52,14.42,14.46,226562.0
2021-01-29,14.37,14.44,14.32,14.42,176763.0
2021-01-28,14.36,14.43,14.36,14.41,160896.0
2021-01-27,14.35,14.4,14.32,14.35,140863.0
2021-01-26,14.34,14.4,14.32,14.37,178846.0
2021-01-25,14.33,14.4,14.32,14.39,211298.0
2021-01-22,14.31,14.38,14.27,14.31,226676.0
2021-01-21,14.29,14.35,14.28,14.31,116021.0
2021-01-20,14.25,14.31,14.226,14.27,160297.0
2021-01-19,14.24,14.25,14.21,14.22,148366.0
2021-01-15,14.25,14.25,14.21,14.22,163514.0
2021-01-14,14.22,14.28,14.21,14.25,115980.0
2021-01-13,14.25,14.39,14.25,14.28,205488.0
2021-01-12,14.2,14.35,14.2,14.26,189902.0
2021-01-11,14.25,14.3,14.18,14.21,214198.0
2021-01-08,14.21,14.29,14.21,14.25,154550.0
2021-01-07,14.15,14.24,14.11,14.23,214663.0
2021-01-06,14.19,14.23,14.15,14.18,278934.0
2021-01-05,14.2,14.2467,14.18,14.19,126339.0
2021-01-04,14.36,14.3674,14.19,14.21,326683.0
2020-12-31,14.26,14.42,14.26,14.42,218635.0
2020-12-30,14.2,14.25,14.16,14.25,143881.0
2020-12-29,14.16,14.19,14.14,14.19,126998.0
2020-12-28,14.14,14.24,14.06,14.15,335852.0
2020-12-24,14.19,14.24,14.18,14.23,118686.0
2020-12-23,14.18,14.2198,14.1,14.16,170087.0
2020-12-22,14.03,14.2,14.0031,14.2,259382.0
2020-12-21,13.99,14.04,13.96,14.03,201138.0
2020-12-18,13.92,14.04,13.92,13.98,200521.0
2020-12-17,13.98,14.02,13.92,13.96,209564.0
2020-12-16,14.01,14.03,13.92,13.97,192765.0
2020-12-15,14.03,14.04,13.995,14.03,199759.0
2020-12-14,14.15,14.187,13.98,14.03,333222.0
2020-12-11,14.07,14.25,14.07,14.25,280889.0
2020-12-10,13.99,14.1,13.99,14.08,203551.0
2020-12-09,14.03,14.05,13.95,13.99,303271.0
2020-12-08,13.95,14.03,13.92,13.99,182356.0
2020-12-07,13.92,14.03,13.89,13.94,309296.0
2020-12-04,13.84,13.97,13.83,13.9,290539.0
2020-12-03,13.84,13.96,13.81,13.83,292131.0
2020-12-02,13.75,13.86,13.75,13.81,240885.0
2020-12-01,13.8,13.8,13.75,13.79,210499.0
2020-11-30,13.78,13.8,13.73,13.77,169626.0
2020-11-27,13.8,13.87,13.75,13.78,165700.0
2020-11-25,13.6,13.75,13.6,13.75,218663.0
2020-11-24,13.58,13.61,13.5789,13.6,152555.0
2020-11-23,13.53,13.59,13.53,13.57,237854.0
2020-11-20,13.5,13.54,13.5,13.52,138625.0
2020-11-19,13.49,13.555,13.48,13.5,259585.0
2020-11-18,13.48,13.5,13.475,13.49,160154.0
2020-11-17,13.48,13.49,13.47,13.48,210974.0
