date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,9.69,9.69,9.6009,9.66,14331.0
2021-03-16,9.68,9.7,9.63,9.69,48146.0
2021-03-15,9.61,9.67,9.61,9.66,7468.0
2021-03-12,9.62,9.66,9.58,9.6,19944.0
2021-03-11,9.65,9.7,9.6,9.65,8171.0
2021-03-10,9.61,9.65,9.6,9.65,17670.0
2021-03-09,9.6,9.6,9.53,9.59,18149.0
2021-03-08,9.51,9.57,9.51,9.52,21547.0
2021-03-05,9.55,9.55,9.49,9.5,31429.0
2021-03-04,9.61,9.66,9.5,9.51,56258.0
2021-03-03,9.65,9.65,9.6,9.6,11925.0
2021-03-02,9.63,9.66,9.6,9.66,8863.0
2021-03-01,9.67,9.68,9.59,9.6,21530.0
2021-02-26,9.66,9.785,9.59,9.63,29604.0
2021-02-25,9.69,9.73,9.45,9.575,81910.0
2021-02-24,9.68,9.74,9.68,9.68,39409.0
2021-02-23,9.78,9.78,9.68,9.71,27525.0
2021-02-22,9.85,9.89,9.57,9.82,71843.0
2021-02-19,9.86,9.88,9.84,9.85,22902.0
2021-02-18,9.91,9.91,9.86,9.87,8861.0
2021-02-17,9.96,10.0,9.9,9.9,11223.0
2021-02-16,9.98,9.985,9.92,9.95,20540.0
2021-02-12,10.01,10.02,9.97,9.99,17768.0
2021-02-11,9.98,10.04,9.97,10.02,17545.0
2021-02-10,9.95,10.04,9.9,10.04,51644.0
2021-02-09,9.97,10.005,9.94,9.94,78909.0
2021-02-08,10.0,10.0399,9.98,10.0,10221.0
2021-02-05,10.01,10.0486,9.98,10.0,9086.0
2021-02-04,9.98,10.03,9.97,10.03,9209.0
2021-02-03,10.07,10.08,9.97,9.98,21568.0
2021-02-02,10.06,10.085,10.05,10.08,7214.0
2021-02-01,10.15,10.16,10.08,10.08,3274.0
2021-01-29,10.09,10.09,10.05,10.06,5766.0
2021-01-28,10.06,10.11,10.0544,10.09,8873.0
2021-01-27,10.03,10.0522,10.01,10.01,5307.0
2021-01-26,10.06,10.06,10.03,10.03,3725.0
2021-01-25,10.08,10.08,10.0,10.06,8364.0
2021-01-22,10.06,10.15,10.06,10.08,4701.0
2021-01-21,10.05,10.11,10.0002,10.03,13218.0
2021-01-20,10.04,10.065,10.02,10.02,8408.0
2021-01-19,10.0,10.0614,10.0,10.04,10384.0
2021-01-15,10.0,10.09,10.0,10.04,16151.0
2021-01-14,10.05,10.11,10.0,10.02,22527.0
2021-01-13,10.08,10.1258,10.05,10.11,22091.0
2021-01-12,10.07,10.08,10.0224,10.04,9864.0
2021-01-11,10.03,10.04,10.0055,10.02,13028.0
2021-01-08,10.0,10.03,9.9799,10.02,8932.0
2021-01-07,10.0,10.0,9.94,10.0,8806.0
2021-01-06,10.03,10.05,9.96,9.98,15978.0
2021-01-05,9.96,10.06,9.96,10.05,18010.0
2021-01-04,9.93,10.05,9.93,10.01,27642.0
2020-12-31,10.31,10.31,9.89,9.97,84494.0
2020-12-30,10.15,10.22,10.12,10.15,19574.0
2020-12-29,10.13,10.1458,10.11,10.121,8107.0
2020-12-28,10.13,10.1606,10.06,10.07,18854.0
2020-12-24,10.13,10.16,10.13,10.16,2671.0
2020-12-23,10.05,10.16,10.05,10.15,12103.0
2020-12-22,10.06,10.06,10.01,10.02,15749.0
2020-12-21,10.05,10.11,9.987,10.1,9986.0
