date,1. open,2. high,3. low,4. close,5. volume
2021-03-05,14.01,14.69,13.92,14.04,7512.0
2021-03-04,14.02,14.79,14.02,14.08,4748.0
2021-03-03,14.15,14.15,14.0255,14.1,4245.0
2021-03-02,14.24,14.24,14.24,14.24,1304.0
2021-03-01,14.35,14.35,14.05,14.05,1859.0
2021-02-26,13.99,13.99,13.96,13.96,2107.0
2021-02-25,14.29,14.29,13.96,13.96,906.0
2021-02-24,14.29,14.29,14.29,14.29,70.0
2021-02-23,14.29,14.29,14.29,14.29,141.0
2021-02-22,14.39,14.58,14.07,14.07,2462.0
2021-02-19,14.5,14.5,14.5,14.5,103.0
2021-02-18,14.25,14.5,14.25,14.5,6141.0
2021-02-17,14.1666,14.23,14.14,14.23,7705.0
2021-02-16,14.1684,14.1684,14.01,14.09,1749.0
2021-02-12,14.135,14.135,14.09,14.09,1449.0
2021-02-11,13.92,14.09,13.92,14.09,9997.0
2021-02-10,13.98,14.08,13.98,14.07,13336.0
2021-02-09,13.74,14.0162,13.74,13.83,2319.0
2021-02-08,14.01,14.05,13.18,13.6766,14307.0
2021-02-05,13.88,14.05,13.88,14.05,1247.0
2021-02-04,13.85,13.8773,13.85,13.85,1059.0
2021-02-03,13.8869,13.8869,13.8869,13.8869,1008.0
2021-02-02,13.8,13.97,13.8,13.97,347.0
2021-02-01,13.95,13.95,13.855,13.855,854.0
2021-01-29,13.86,13.86,13.77,13.84,4052.0
2021-01-28,14.01,14.01,13.8901,13.8901,369.0
2021-01-27,13.86,14.02,13.86,13.88,2900.0
2021-01-26,14.03,14.11,13.81,13.81,6619.0
2021-01-25,13.9,14.04,13.9,14.04,201.0
2021-01-22,13.83,14.12,13.8,13.96,5859.0
2021-01-21,13.86,13.9373,13.86,13.86,336.0
2021-01-20,13.8726,13.8726,13.8726,13.8726,0.0
2021-01-19,13.846,13.8726,13.846,13.8726,1483.0
2021-01-15,13.77,13.7747,13.77,13.7747,375.0
2021-01-14,13.85,13.87,13.75,13.75,7889.0
2021-01-13,13.8873,13.9045,13.86,13.88,2403.0
2021-01-12,13.93,13.93,13.91,13.91,589.0
2021-01-11,13.95,13.97,13.93,13.93,4296.0
2021-01-08,13.92,13.97,13.92,13.97,1278.0
2021-01-07,14.02,14.05,13.75,13.8,20123.0
2021-01-06,14.13,14.16,14.02,14.02,2874.0
2021-01-05,14.3,14.3,14.12,14.16,3332.0
2021-01-04,14.28,14.28,14.2,14.263,1684.0
2020-12-31,14.39,14.45,14.27,14.27,1267.0
2020-12-30,14.06,14.4899,14.04,14.12,2068.0
2020-12-29,15.05,15.05,14.5694,14.5694,1424.0
2020-12-28,14.1101,15.05,14.02,14.0202,13311.0
2020-12-24,14.1,14.1,14.1,14.1,703.0
2020-12-23,14.09,14.21,14.09,14.16,2794.0
2020-12-22,14.17,14.17,14.17,14.17,2000.0
2020-12-21,14.1257,14.1257,14.1257,14.1257,775.0
2020-12-18,14.1117,14.1117,14.1117,14.1117,177.0
2020-12-17,14.2,14.2,14.09,14.09,470.0
2020-12-16,14.1,14.1668,14.08,14.09,2057.0
2020-12-15,14.13,14.13,14.08,14.0833,1911.0
2020-12-14,14.26,14.26,14.08,14.08,9447.0
2020-12-11,14.24,14.26,14.24,14.2579,10468.0
2020-12-10,14.2499,14.2499,14.22,14.2201,859.0
2020-12-09,14.22,14.22,14.22,14.22,200.0
2020-12-08,14.26,14.26,14.22,14.22,995.0
2020-12-07,14.23,14.25,14.23,14.2358,1671.0
2020-12-04,14.25,14.26,14.25,14.26,308.0
2020-12-03,14.14,14.2593,14.14,14.2593,623.0
2020-12-02,14.2652,14.2652,14.2652,14.2652,720.0
2020-12-01,14.32,14.32,14.12,14.144,5385.0
2020-11-30,14.08,14.16,14.08,14.15,6219.0
2020-11-27,14.25,14.25,14.25,14.25,185.0
2020-11-25,14.2459,14.2459,14.2459,14.2459,185.0
2020-11-24,14.32,14.32,14.08,14.2548,8849.0
2020-11-23,14.37,14.37,14.35,14.35,303.0
2020-11-20,14.05,14.3684,14.05,14.3684,2100.0
2020-11-19,14.1,14.1635,14.07,14.1635,2000.0
2020-11-18,14.5215,14.5215,14.08,14.4555,4877.0
2020-11-17,14.8772,14.99,14.37,14.37,8613.0
2020-11-16,14.51,14.9,14.51,14.9,3600.0
2020-11-13,14.52,14.52,14.51,14.51,501.0
2020-11-12,14.5376,14.5376,14.5376,14.5376,0.0
2020-11-11,14.89,14.9,14.5681,14.5681,3326.0
2020-11-10,14.77,14.91,14.77,14.91,2106.0
2020-11-09,14.68,14.68,14.68,14.68,231.0
2020-11-06,14.6817,14.6817,14.6817,14.6817,0.0
2020-11-05,14.6817,14.6817,14.6817,14.6817,204.0
2020-11-04,14.18,14.6818,14.18,14.6817,2388.0
2020-11-03,14.2306,14.6084,14.2306,14.6084,2167.0
2020-11-02,14.49,14.49,14.3356,14.3356,507.0
2020-10-30,14.014,14.014,14.014,14.014,84.0
2020-10-29,14.49,14.49,14.014,14.014,930.0
2020-10-28,14.305,14.305,14.305,14.305,239.0
2020-10-27,14.39,14.5,14.37,14.5,1000.0
2020-10-26,14.2899,14.2899,14.2899,14.2899,0.0
2020-10-23,14.2899,14.2899,14.2899,14.2899,0.0
2020-10-22,14.2899,14.2899,14.2899,14.2899,0.0
2020-10-21,14.2899,14.2899,14.2899,14.2899,150.0
2020-10-20,14.2899,14.2899,14.2899,14.2899,150.0
2020-10-19,14.5899,14.5899,14.0,14.0,319.0
2020-10-16,14.06,14.4664,14.06,14.07,1525.0
2020-10-15,13.9806,14.2,13.9806,14.15,4337.0
2020-10-14,14.41,14.41,14.1455,14.28,1630.0
2020-10-13,14.69,14.69,14.69,14.69,100.0
2020-10-12,14.5,14.5,14.5,14.5,1.0
2020-10-09,14.5,14.5,14.5,14.5,333.0
2020-10-08,14.58,14.58,14.58,14.58,0.0
2020-10-07,14.58,14.58,14.58,14.58,640.0
2020-10-06,14.84,14.84,14.51,14.5984,2961.0
2020-10-05,14.65,14.8207,14.42,14.8207,2952.0
2020-10-02,15.05,15.05,14.8025,14.8025,567.0
2020-10-01,15.05,15.05,15.05,15.05,243.0
2020-09-30,14.7617,14.7617,14.7617,14.7617,10.0
2020-09-29,15.02,15.02,14.7617,14.7617,1986.0
2020-09-28,14.72,14.72,14.72,14.72,0.0
2020-09-25,14.72,14.72,14.72,14.72,91.0
2020-09-24,14.72,14.72,14.72,14.72,0.0
2020-09-23,14.47,14.72,14.43,14.72,1364.0
2020-09-22,14.83,14.83,14.532,14.532,433.0
2020-09-21,14.839,14.839,14.839,14.839,675.0
2020-09-18,15.05,15.05,14.54,14.54,393.0
2020-09-17,15.1,15.1,14.855,14.855,430.0
2020-09-16,15.08,15.1,14.99,15.1,1801.0
2020-09-15,14.7545,14.7545,14.7545,14.7545,1001.0
2020-09-14,15.0495,15.0495,15.0495,15.0495,71.0
2020-09-11,15.08,15.08,15.08,15.08,507.0
2020-09-10,15.06,15.06,15.06,15.06,576.0
2020-09-09,14.46,14.46,14.46,14.46,1000.0
2020-09-08,14.4457,14.4457,14.4457,14.4457,321.0
2020-09-04,14.92,15.1,14.92,15.1,760.0
2020-09-03,15.05,15.0947,14.941,15.09,1935.0
2020-09-02,15.15,15.15,15.15,15.15,664.0
2020-09-01,15.15,15.15,15.15,15.15,183.0
2020-08-31,15.15,15.15,15.07,15.15,3837.0
2020-08-28,15.15,15.15,15.15,15.15,201.0
2020-08-27,15.19,15.19,15.19,15.19,0.0
2020-08-26,14.44,15.19,14.44,15.19,510.0
2020-08-25,14.96,14.96,14.96,14.96,6.0
2020-08-24,14.96,14.96,14.96,14.96,0.0
2020-08-21,14.96,14.96,14.96,14.96,0.0
2020-08-20,15.3,15.3,14.96,14.96,810.0
2020-08-19,15.27,15.27,15.27,15.27,1.0
2020-08-18,14.6,15.29,14.6,15.27,546.0
2020-08-17,14.67,15.0,14.67,15.0,2050.0
2020-08-14,14.85,15.09,14.75,14.79,3661.0
2020-08-13,15.0,15.3,14.8,15.3,4226.0
2020-08-12,14.75,14.8,14.75,14.8,2858.0
2020-08-11,14.7617,14.7617,14.7617,14.7617,548.0
2020-08-10,14.53,14.76,14.5,14.76,1996.0
