date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,15.94,15.9753,15.9,15.9301,4296.0
2021-03-16,16.03,16.05,15.93,15.955,10651.0
2021-03-15,16.01,16.05,16.01,16.05,6942.0
2021-03-12,16.05,16.05,15.91,16.05,14562.0
2021-03-11,15.9053,16.01,15.9053,15.99,23375.0
2021-03-10,15.81,15.91,15.73,15.91,10426.0
2021-03-09,15.7939,15.81,15.775,15.81,17561.0
2021-03-08,15.77,15.7794,15.7,15.75,6382.0
2021-03-05,15.81,15.81,15.64,15.715,10048.0
2021-03-04,15.71,15.73,15.7,15.73,568.0
2021-03-03,15.74,15.81,15.64,15.79,9780.0
2021-03-02,15.72,15.83,15.7032,15.7032,7705.0
2021-03-01,15.8,15.9889,15.6,15.8,16234.0
2021-02-26,15.5,15.639,15.41,15.6,18936.0
2021-02-25,15.85,15.85,15.4,15.5,61945.0
2021-02-24,15.75,15.83,15.75,15.77,28896.0
2021-02-23,15.85,15.95,15.75,15.864,47682.0
2021-02-22,16.0,16.09,15.77,15.88,6949.0
2021-02-19,15.94,16.06,15.93,16.05,7218.0
2021-02-18,16.01,16.05,15.84,15.84,9928.0
2021-02-17,15.94,16.1271,15.91,16.05,13084.0
2021-02-16,16.03,16.044,15.94,15.97,15486.0
2021-02-12,16.06,16.15,15.95,15.96,15462.0
2021-02-11,15.89,16.1,15.89,16.06,15495.0
2021-02-10,15.975,16.0499,15.957,16.005,5053.0
2021-02-09,15.95,16.0481,15.95,15.955,7839.0
2021-02-08,15.9,16.015,15.9,15.95,30606.0
2021-02-05,15.87,15.95,15.83,15.95,13532.0
2021-02-04,15.77,15.89,15.66,15.85,29150.0
2021-02-03,15.78,15.89,15.75,15.8,12529.0
2021-02-02,15.76,15.9998,15.76,15.81,23018.0
2021-02-01,15.99,15.99,15.79,15.79,35764.0
2021-01-29,15.9416,15.96,15.78,15.89,25491.0
2021-01-28,15.81,15.94,15.605,15.94,31009.0
2021-01-27,15.75,15.7699,15.655,15.73,4964.0
2021-01-26,15.67,15.809,15.63,15.64,21209.0
2021-01-25,15.682,15.73,15.6601,15.68,10075.0
2021-01-22,15.67,15.76,15.67,15.7,9275.0
2021-01-21,15.6668,15.75,15.6468,15.71,23244.0
2021-01-20,15.57,15.74,15.5,15.61,34881.0
2021-01-19,15.45,15.55,15.39,15.5,23518.0
2021-01-15,15.45,15.53,15.39,15.49,27443.0
2021-01-14,15.62,15.8307,15.5,15.52,43518.0
2021-01-13,15.53,15.78,15.53,15.72,7689.0
2021-01-12,15.58,15.6791,15.57,15.58,20490.0
2021-01-11,15.63,15.757,15.63,15.7,14535.0
2021-01-08,15.62,15.7354,15.6,15.65,20862.0
2021-01-07,15.84,15.84,15.65,15.66,25872.0
2021-01-06,15.76,15.9252,15.76,15.84,33994.0
2021-01-05,15.9264,15.9598,15.78,15.8321,37102.0
2021-01-04,15.9,15.9799,15.9,15.91,11321.0
2020-12-31,16.1,16.1,15.89,15.9,32315.0
2020-12-30,16.05,16.1,16.0,16.04,34020.0
2020-12-29,16.1,16.1,16.0,16.08,36243.0
2020-12-28,16.0496,16.1,16.0,16.085,22110.0
2020-12-24,16.05,16.05,16.0,16.05,3123.0
2020-12-23,16.1,16.1,16.0,16.05,8989.0
2020-12-22,15.9,16.09,15.73,16.06,23037.0
2020-12-21,15.78,16.1,15.7699,15.9,15101.0
2020-12-18,15.76,15.9,15.73,15.9,24312.0
2020-12-17,16.1,16.1,15.58,15.76,41337.0
2020-12-16,15.7127,16.099,15.7127,16.099,17757.0
2020-12-15,15.9,16.041,15.9,16.0,16048.0
2020-12-14,16.0696,16.1,15.7,15.92,33144.0
2020-12-11,16.1,16.2,16.08,16.1,28768.0
2020-12-10,16.0,16.2784,16.0,16.1,53734.0
2020-12-09,15.7763,15.975,15.7301,15.975,5069.0
2020-12-08,15.88,16.01,15.77,15.985,12213.0
2020-12-07,15.672,15.88,15.6302,15.88,54626.0
2020-12-04,15.59,15.66,15.56,15.66,15830.0
2020-12-03,15.58,15.66,15.5195,15.62,34832.0
2020-12-02,15.57,15.6,15.55,15.55,11862.0
2020-12-01,15.57,15.59,15.505,15.55,24499.0
2020-11-30,15.5,15.54,15.17,15.54,62047.0
2020-11-27,15.45,15.48,15.45,15.47,1653.0
2020-11-25,15.31,15.44,15.31,15.43,8886.0
2020-11-24,15.3196,15.46,15.2701,15.44,13222.0
2020-11-23,15.1702,15.41,15.1702,15.276,6631.0
2020-11-20,15.3388,15.3593,15.305,15.35,2601.0
2020-11-19,15.315,15.35,15.2388,15.35,2822.0
2020-11-18,15.36,15.39,15.33,15.34,9822.0
2020-11-17,15.3,15.46,15.29,15.365,14584.0
2020-11-16,15.26,15.48,15.26,15.39,15615.0
2020-11-13,15.38,15.39,15.23,15.305,14154.0
2020-11-12,15.3,15.39,15.245,15.3,11971.0
2020-11-11,15.29,15.39,15.1601,15.37,15135.0
2020-11-10,15.24,15.35,15.22,15.29,5296.0
2020-11-09,15.1,15.3,15.1,15.21,6789.0
2020-11-06,15.21,15.3488,15.15,15.19,35909.0
2020-11-05,15.057,15.27,15.04,15.2,53264.0
2020-11-04,15.15,15.15,15.05,15.05,13706.0
2020-11-03,15.07,15.1494,15.01,15.06,27684.0
2020-11-02,15.05,15.09,14.99,15.07,19513.0
2020-10-30,15.0366,15.044,14.9,14.93,7114.0
2020-10-29,14.88,15.06,14.88,14.9607,22587.0
2020-10-28,14.85,14.98,14.81,14.81,11312.0
2020-10-27,14.89,14.9787,14.87,14.87,8062.0
2020-10-26,14.95,14.95,14.851,14.88,22949.0
2020-10-23,15.02,15.02,14.96,14.96,7507.0
2020-10-22,15.07,15.07,14.95,14.97,17627.0
2020-10-21,15.0423,15.07,15.02,15.02,6704.0
2020-10-20,15.07,15.1,15.01,15.01,27505.0
2020-10-19,15.0341,15.15,15.02,15.03,16166.0
2020-10-16,15.18,15.18,15.021,15.075,13513.0
2020-10-15,15.021,15.2,14.9935,15.18,19508.0
2020-10-14,15.1,15.17,15.07,15.15,8523.0
2020-10-13,15.1699,15.17,15.11,15.17,7820.0
2020-10-12,15.06,15.18,15.06,15.11,15157.0
2020-10-09,15.13,15.18,15.0572,15.18,14199.0
2020-10-08,15.05,15.13,15.05,15.13,23696.0
2020-10-07,15.1186,15.13,15.109,15.13,9580.0
2020-10-06,15.1586,15.24,15.08,15.1,19117.0
2020-10-05,14.99,15.28,14.99,15.01,7622.0
2020-10-02,15.25,15.2876,14.85,14.91,17310.0
2020-10-01,15.19,15.316,15.05,15.14,23631.0
2020-09-30,15.071,15.115,14.99,15.05,24674.0
2020-09-29,15.11,15.2361,15.06,15.06,10368.0
2020-09-28,15.14,15.17,15.03,15.11,21318.0
2020-09-25,15.1,15.15,15.011,15.135,17972.0
2020-09-24,15.07,15.197,15.05,15.11,37374.0
2020-09-23,15.018,15.13,15.0,15.13,29994.0
2020-09-22,15.0141,15.0141,14.9098,14.99,48968.0
2020-09-21,15.08,15.14,14.93,15.02,16092.0
2020-09-18,15.2252,15.2252,15.06,15.07,3575.0
2020-09-17,15.14,15.22,15.132,15.19,16101.0
2020-09-16,15.24,15.46,15.05,15.28,53392.0
2020-09-15,15.3978,15.3978,15.18,15.325,7193.0
2020-09-14,15.4,15.4,15.2,15.26,35487.0
2020-09-11,15.3194,15.485,15.3,15.47,16590.0
2020-09-10,15.26,15.35,15.19,15.275,14085.0
2020-09-09,15.15,15.32,15.0605,15.21,15998.0
2020-09-08,15.2545,15.349,14.98,15.01,10061.0
2020-09-04,15.15,15.2986,15.08,15.27,3252.0
2020-09-03,15.19,15.35,15.15,15.15,20859.0
2020-09-02,15.1915,15.29,15.1057,15.1351,2946.0
2020-09-01,15.29,15.3465,15.0,15.25,23128.0
2020-08-31,15.0604,15.2,15.0569,15.18,10679.0
2020-08-28,15.15,15.2,15.03,15.1312,16871.0
2020-08-27,15.31,15.322,15.18,15.21,14081.0
2020-08-26,15.182,15.27,15.182,15.23,22834.0
2020-08-25,15.13,15.3,15.13,15.22,10846.0
2020-08-24,15.209,15.232,15.13,15.14,15343.0
2020-08-21,15.298,15.34,15.05,15.05,14673.0
2020-08-20,15.29,15.35,15.1613,15.26,34291.0
2020-08-19,15.26,15.35,15.25,15.3,18188.0
2020-08-18,15.15,15.33,15.15,15.305,14177.0
2020-08-17,15.27,15.2968,15.0,15.01,13870.0
2020-08-14,15.01,15.35,15.01,15.22,26010.0
2020-08-13,15.1255,15.1255,15.04,15.065,14929.0
2020-08-12,15.15,15.15,15.06,15.14,11409.0
2020-08-11,15.17,15.24,15.05,15.11,33699.0
2020-08-10,15.11,15.16,15.0985,15.1306,4559.0
2020-08-07,15.05,15.17,15.05,15.08,26857.0
2020-08-06,15.17,15.17,15.05,15.105,11196.0
2020-08-05,15.13,15.24,15.13,15.17,21423.0
2020-08-04,15.1369,15.1369,15.0871,15.1299,10893.0
2020-08-03,15.08,15.08,14.98,15.05,19862.0
2020-07-31,14.9696,15.06,14.9696,15.05,6304.0
2020-07-30,14.91,15.2269,14.91,14.9594,12359.0
2020-07-29,14.95,15.1555,14.9,14.93,25903.0
2020-07-28,15.09,15.188,14.9801,15.022,5342.0
2020-07-27,14.95,15.27,14.63,15.04,25623.0
2020-07-24,15.0407,15.14,14.97,14.98,15569.0
2020-07-23,15.04,15.09,15.04,15.05,25554.0
2020-07-22,15.17,15.3,15.04,15.0599,12360.0
2020-07-21,15.25,15.28,15.08,15.25,42923.0
2020-07-20,15.1401,15.2503,15.14,15.14,12052.0
2020-07-17,15.14,15.25,15.14,15.14,18533.0
2020-07-16,15.23,15.24,15.17,15.21,21740.0
2020-07-15,15.05,15.24,15.05,15.24,14707.0
2020-07-14,14.99,15.2,14.75,15.17,21002.0
2020-07-13,15.0,15.14,14.91,15.05,26479.0
2020-07-10,15.1,15.1,14.91,14.91,72552.0
2020-07-09,14.85,15.04,14.85,14.95,42508.0
2020-07-08,14.88,15.0,14.87,14.89,21362.0
2020-07-07,14.58,14.96,14.58,14.96,63839.0
2020-07-06,14.4,14.58,14.37,14.57,16870.0
2020-07-02,14.37,14.48,14.35,14.35,26415.0
2020-07-01,14.41,14.47,14.26,14.4,40003.0
2020-06-30,14.25,14.3,14.22,14.28,42603.0
2020-06-29,14.15,14.241,14.1,14.17,14284.0
2020-06-26,14.15,14.25,14.15,14.15,24383.0
2020-06-25,14.15,14.18,14.14,14.15,10930.0
2020-06-24,14.16,14.16,14.12,14.12,5355.0
2020-06-23,14.21,14.27,14.16,14.16,19892.0
2020-06-22,14.13,14.17,14.09,14.16,19875.0
2020-06-19,14.15,14.16,14.07,14.09,10305.0
2020-06-18,13.98,14.13,13.98,14.05,21091.0
2020-06-17,14.2,14.28,13.35,14.09,44965.0
2020-06-16,14.02,14.23,14.02,14.08,13291.0
2020-06-15,14.28,14.28,14.01,14.01,15271.0
2020-06-12,13.9,14.27,13.89,13.99,11341.0
2020-06-11,13.88,13.94,13.79,13.84,27748.0
2020-06-10,13.94,13.98,13.86,13.89,16169.0
2020-06-09,13.81,13.85,13.76,13.85,14530.0
2020-06-08,13.76,13.78,13.71,13.78,10849.0
2020-06-05,13.7,13.73,13.65,13.7,16356.0
2020-06-04,13.65,13.7,13.56,13.66,9388.0
2020-06-03,13.57,13.66,13.55,13.63,40344.0
2020-06-02,13.46,13.56,13.46,13.56,20550.0
2020-06-01,13.5,13.5,13.4,13.46,20365.0
2020-05-29,13.22,13.4,13.22,13.4,23004.0
2020-05-28,13.23,13.31,13.21,13.24,51558.0
2020-05-27,13.24,13.28,13.22,13.23,17200.0
2020-05-26,13.15,13.25,13.13,13.23,15981.0
2020-05-22,13.07,13.18,13.01,13.08,34081.0
2020-05-21,13.1,13.18,13.0,13.11,11970.0
2020-05-20,12.86,13.01,12.86,12.96,15088.0
2020-05-19,12.85,12.94,12.82,12.86,15372.0
2020-05-18,12.85,13.0,12.82,12.82,19012.0
2020-05-15,12.84,13.28,12.82,12.82,18870.0
2020-05-14,12.81,12.82,12.75,12.81,16897.0
2020-05-13,12.85,12.99,12.85,12.87,8414.0
2020-05-12,12.82,13.06,12.82,12.94,40742.0
2020-05-11,13.15,13.27,12.82,12.88,25899.0
2020-05-08,12.87,13.1,12.87,13.06,22456.0
2020-05-07,12.85,12.95,12.78,12.95,17597.0
2020-05-06,12.81,12.88,12.7,12.84,15835.0
2020-05-05,12.76,12.88,12.76,12.87,9466.0
2020-05-04,12.65,12.79,12.61,12.77,18989.0
2020-05-01,12.67,12.73,12.62,12.71,11986.0
2020-04-30,12.58,12.69,12.55,12.61,12440.0
2020-04-29,12.53,12.75,12.53,12.62,19519.0
2020-04-28,12.5,12.51,12.35,12.51,20309.0
2020-04-27,12.57,12.57,12.21,12.45,48968.0
2020-04-24,12.69,12.71,12.5,12.6,39037.0
2020-04-23,12.8,12.8,12.62,12.62,30776.0
2020-04-22,12.8,12.8,12.74,12.74,15484.0
2020-04-21,12.77,12.79,12.73,12.79,18946.0
2020-04-20,12.8,12.87,12.8,12.83,28096.0
2020-04-17,12.85,12.85,12.75,12.82,10487.0
2020-04-16,12.8,12.82,12.8,12.82,9302.0
2020-04-15,12.79,12.83,12.79,12.81,12667.0
2020-04-14,12.92,12.97,12.69,12.78,39780.0
2020-04-13,12.99,13.06,12.8,12.81,26529.0
2020-04-09,12.68,13.05,12.68,12.99,17414.0
2020-04-08,12.59,12.73,12.59,12.68,4647.0
2020-04-07,12.45,12.62,12.45,12.59,11431.0
2020-04-06,12.37,12.44,12.32,12.4,25153.0
2020-04-03,12.38,12.48,12.31,12.31,7227.0
2020-04-02,12.35,12.53,12.29,12.53,35357.0
2020-04-01,13.12,13.12,12.48,12.49,28576.0
2020-03-31,12.85,13.01,12.8,12.92,28513.0
2020-03-30,12.86,13.0,12.79,12.8,31235.0
2020-03-27,12.68,12.86,12.55,12.82,23051.0
2020-03-26,12.17,12.79,12.16,12.78,49265.0
2020-03-25,11.32,12.39,11.32,12.18,57648.0
2020-03-24,11.55,11.63,11.28,11.39,94868.0
2020-03-23,11.61,11.93,10.08,11.23,122604.0
2020-03-20,12.03,12.6,11.83,12.08,74735.0
2020-03-19,10.76,11.81,10.75,11.81,79091.0
2020-03-18,12.38,12.38,10.62,10.93,101373.0
2020-03-17,12.76,12.86,12.48,12.68,37080.0
2020-03-16,12.5,12.9,12.5,12.65,15513.0
2020-03-13,13.0,13.0,12.86,12.98,30568.0
2020-03-12,13.35,13.39,12.62,12.96,60843.0
2020-03-11,14.0,14.12,13.47,13.56,95197.0
2020-03-10,14.27,14.34,14.2,14.22,37878.0
2020-03-09,14.53,14.53,14.15,14.24,47830.0
2020-03-06,14.55,14.62,14.55,14.59,10561.0
2020-03-05,14.62,14.62,14.55,14.55,19556.0
2020-03-04,14.55,14.66,14.55,14.63,13580.0
2020-03-03,14.51,14.62,14.47,14.62,13745.0
2020-03-02,14.48,14.69,14.42,14.46,29023.0
2020-02-28,14.61,14.61,14.36,14.38,39636.0
2020-02-27,14.68,14.68,14.62,14.62,35378.0
2020-02-26,14.72,14.73,14.67,14.67,26388.0
2020-02-25,14.73,14.81,14.68,14.68,41374.0
2020-02-24,14.78,14.78,14.73,14.73,19315.0
2020-02-21,14.75,14.75,14.7,14.7,26714.0
2020-02-20,14.71,14.73,14.68,14.71,47744.0
2020-02-19,14.68,14.68,14.65,14.66,7571.0
2020-02-18,14.65,14.68,14.61,14.63,5543.0
2020-02-14,14.62,14.68,14.61,14.61,12091.0
2020-02-13,14.64,14.67,14.6,14.62,27005.0
2020-02-12,14.7,14.71,14.69,14.69,10722.0
2020-02-11,14.73,14.73,14.66,14.69,31150.0
2020-02-10,14.68,14.74,14.66,14.72,20376.0
2020-02-07,14.7,14.72,14.65,14.7,11128.0
2020-02-06,14.66,14.67,14.66,14.67,10223.0
2020-02-05,14.63,14.66,14.62,14.66,6916.0
2020-02-04,14.66,14.67,14.61,14.67,24300.0
2020-02-03,14.69,14.69,14.66,14.68,24448.0
2020-01-31,14.69,14.69,14.66,14.66,29584.0
2020-01-30,14.72,14.72,14.65,14.68,14868.0
2020-01-29,14.7,14.73,14.63,14.63,26585.0
2020-01-28,14.63,14.78,14.63,14.69,15135.0
2020-01-27,14.67,14.71,14.63,14.71,17657.0
2020-01-24,14.61,14.65,14.59,14.65,20171.0
2020-01-23,14.58,14.61,14.57,14.607,17391.0
2020-01-22,14.6,14.61,14.58,14.58,5792.0
2020-01-21,14.56,14.61,14.53,14.6,19915.0
2020-01-17,14.6,14.61,14.56,14.57,6877.0
2020-01-16,14.61,14.61,14.57,14.57,9862.0
2020-01-15,14.64,14.64,14.56,14.58,28864.0
2020-01-14,14.6,14.72,14.6,14.64,19036.0
2020-01-13,14.64,14.65,14.61,14.65,10458.0
2020-01-10,14.72,14.72,14.55,14.65,43219.0
2020-01-09,14.65,14.65,14.59,14.61,10022.0
2020-01-08,14.64,14.7,14.59,14.7,36823.0
2020-01-07,14.58,14.64,14.57,14.64,18795.0
2020-01-06,14.54,14.57,14.5,14.57,17583.0
2020-01-03,14.52,14.57,14.45,14.57,15682.0
2020-01-02,14.6,14.65,14.42,14.47,44445.0
2019-12-31,14.65,14.65,14.56,14.6,21573.0
2019-12-30,14.5,14.57,14.48,14.56,18594.0
2019-12-27,14.49,14.56,14.49,14.51,15060.0
2019-12-26,14.63,14.63,14.42,14.44,24880.0
2019-12-24,14.49,14.49,14.49,14.49,401.0
2019-12-23,14.51,14.65,14.49,14.49,34495.0
2019-12-20,14.62,14.62,14.45,14.45,10319.0
2019-12-19,14.6,14.61,14.57,14.59,18357.0
2019-12-18,14.62,14.63,14.58,14.58,9082.0
2019-12-17,14.7,14.75,14.61,14.61,23133.0
2019-12-16,14.64,14.78,14.6,14.6,4659.0
2019-12-13,14.57,15.74,14.57,14.57,40139.0
2019-12-12,14.45,14.58,14.39,14.58,14728.0
2019-12-11,14.44,14.48,14.44,14.48,9092.0
2019-12-10,14.43,14.5,14.37,14.48,36610.0
