date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,18.71,18.7785,18.44,18.74,40148.0
2021-03-16,19.12,19.1699,18.21,18.62,32137.0
2021-03-15,18.74,19.25,18.6,19.03,45155.0
2021-03-12,17.94,19.0,17.9,18.73,88442.0
2021-03-11,18.54,18.92,18.54,18.63,111811.0
2021-03-10,19.07,19.23,18.4516,18.75,99762.0
2021-03-09,18.7,19.28,18.7,18.91,56067.0
2021-03-08,18.855,19.54,18.61,18.65,67060.0
2021-03-05,18.89,19.3599,18.51,18.72,21703.0
2021-03-04,19.31,19.385,18.78,18.84,11179.0
2021-03-03,19.4,19.4,19.02,19.22,36201.0
2021-03-02,19.5,19.535,19.113,19.26,23486.0
2021-03-01,19.24,19.3172,18.76,19.2,13332.0
2021-02-26,19.24,19.43,18.435,18.6,80888.0
2021-02-25,19.44,19.65,18.92,19.02,64063.0
2021-02-24,19.25,19.435,19.1601,19.3,28608.0
2021-02-23,19.39,19.43,19.01,19.2,45605.0
2021-02-22,19.46,19.46,19.2,19.39,33207.0
2021-02-19,19.06,19.7,18.7479,19.62,47351.0
2021-02-18,18.35,19.15,18.22,18.88,48191.0
2021-02-17,18.02,18.14,17.3005,17.61,13816.0
2021-02-16,17.27,18.0499,17.27,18.01,22599.0
2021-02-12,17.24,17.41,17.0,17.12,18840.0
2021-02-11,17.49,17.6799,17.04,17.04,10794.0
2021-02-10,17.19,17.57,17.175,17.49,16338.0
2021-02-09,17.15,17.5,16.81,17.35,24365.0
2021-02-08,17.19,17.19,16.59,17.09,13711.0
2021-02-05,17.23,17.2378,16.6707,17.1,7473.0
2021-02-04,16.73,17.359,16.5101,17.0,21862.0
2021-02-03,17.0,17.0,16.56,16.8,11806.0
2021-02-02,16.97,16.98,16.5485,16.76,17852.0
2021-02-01,16.38,17.11,16.0,16.56,22643.0
2021-01-29,16.67,16.9732,16.1226,16.26,11478.0
2021-01-28,16.255,17.0,16.0001,17.0,17381.0
