date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,26.29,26.38,26.254,26.34,27709.0
2021-03-16,26.35,26.38,26.28,26.34,45881.0
2021-03-15,26.32,26.39,26.2794,26.33,80714.0
2021-03-12,26.34,26.43,26.2,26.29,340858.0
2021-03-11,26.41,26.56,26.39,26.42,171167.0
2021-03-10,26.44,26.5,26.38,26.39,45152.0
2021-03-09,26.37,26.4,26.29,26.37,101106.0
2021-03-08,26.37,26.4,26.28,26.29,32276.0
2021-03-05,26.33,26.4,26.28,26.37,97352.0
2021-03-04,26.39,26.45,26.12,26.28,154403.0
2021-03-03,26.43,26.5,26.23,26.37,626403.0
2021-03-02,26.44,26.5699,26.34,26.4,130358.0
2021-03-01,26.35,26.5378,26.22,26.32,85734.0
2021-02-26,26.71,26.71,26.16,26.25,63839.0
2021-02-25,26.73,26.73,26.23,26.54,23538.0
2021-02-24,26.99,26.99,26.54,26.65,14538.0
2021-02-23,26.81,26.91,26.69,26.84,9043.0
2021-02-22,26.85,26.85,26.68,26.74,12585.0
2021-02-19,26.88,27.17,26.67,26.84,14274.0
2021-02-18,26.94,27.03,26.67,26.73,18058.0
2021-02-17,27.18,27.2098,26.8459,26.9,23815.0
2021-02-16,27.17,27.23,27.0,27.0,18449.0
2021-02-12,27.19,27.205,27.06,27.08,21512.0
2021-02-11,27.41,27.41,27.1,27.15,20526.0
2021-02-10,27.4,27.4876,27.015,27.25,16930.0
2021-02-09,27.45,27.53,27.25,27.26,9059.0
2021-02-08,27.73,27.74,27.38,27.38,27568.0
2021-02-05,27.58,27.63,27.38,27.62,18958.0
2021-02-04,27.37,27.58,27.195,27.57,13402.0
2021-02-03,27.25,27.47,27.2,27.38,19422.0
2021-02-02,27.14,27.31,27.12,27.16,10621.0
2021-02-01,27.0,27.23,26.93,27.07,21249.0
2021-01-29,27.07,27.07,26.79,27.02,57546.0
2021-01-28,27.29,27.38,27.15,27.28,19783.0
2021-01-27,27.31,27.35,27.12,27.28,25325.0
2021-01-26,27.3,27.41,27.19,27.31,18159.0
2021-01-25,27.39,27.55,27.15,27.24,20619.0
2021-01-22,27.31,27.43,27.26,27.3,17363.0
2021-01-21,27.23,27.43,27.09,27.21,35113.0
2021-01-20,27.25,27.32,27.09,27.17,57267.0
2021-01-19,27.33,27.51,27.05,27.19,29419.0
2021-01-15,27.23,27.5199,27.08,27.13,19636.0
2021-01-14,27.74,27.74,27.21,27.31,33807.0
2021-01-13,27.62,27.62,27.47,27.6,54297.0
2021-01-12,27.58,27.61,27.3952,27.57,21764.0
2021-01-11,27.6,27.6,27.33,27.49,17278.0
2021-01-08,27.6,27.6,27.5,27.6,17339.0
2021-01-07,27.68,27.78,27.52,27.55,24938.0
2021-01-06,27.9,27.9,27.5,27.76,18929.0
2021-01-05,28.19,28.32,27.78,28.0,20664.0
2021-01-04,29.28,29.28,28.04,28.11,63801.0
2020-12-31,29.33,29.3889,28.8584,29.28,41306.0
2020-12-30,29.08,29.42,28.55,29.35,16355.0
2020-12-29,28.735,29.24,28.7142,28.99,25506.0
2020-12-28,28.53,28.84,28.2942,28.78,16864.0
2020-12-24,28.55,28.69,28.1,28.31,12768.0
2020-12-23,28.36,28.69,28.16,28.33,23088.0
2020-12-22,28.29,28.5,28.11,28.11,18680.0
2020-12-21,27.82,28.51,27.79,28.295,26176.0
2020-12-18,27.87,27.87,27.75,27.85,8612.0
2020-12-17,27.89,27.9,27.74,27.88,14304.0
2020-12-16,27.8,27.9,27.79,27.89,23116.0
2020-12-15,27.74,27.77,27.72,27.77,14669.0
2020-12-14,27.55,27.7348,27.55,27.69,18595.0
2020-12-11,27.52,27.6,27.41,27.55,17725.0
2020-12-10,27.74,27.841,27.36,27.44,47319.0
2020-12-09,27.79,27.8056,27.6,27.77,21740.0
2020-12-08,27.75,27.8187,27.69,27.7,18453.0
