date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,41.17,41.27,40.505,40.98,354909.0
2021-03-16,41.12,41.52,40.75,41.17,287302.0
2021-03-15,40.72,41.729,40.455,41.31,272251.0
2021-03-12,39.27,40.67,39.12,40.65,1038568.0
2021-03-11,39.39,39.77,39.16,39.54,292658.0
2021-03-10,38.93,39.62,38.67,39.41,432114.0
2021-03-09,39.0,39.66,38.87,38.93,222883.0
2021-03-08,38.26,39.28,37.785,38.82,238294.0
2021-03-05,38.15,38.24,37.36,38.05,339316.0
2021-03-04,37.9,38.71,37.0,37.7,278800.0
2021-03-03,38.13,38.23,37.63,37.95,237856.0
2021-03-02,38.33,38.7472,37.66,38.27,541761.0
2021-03-01,39.09,39.93,38.35,38.44,275334.0
2021-02-26,39.79,39.985,38.55,38.55,341863.0
2021-02-25,39.29,40.67,39.115,39.62,328916.0
2021-02-24,39.95,40.73,39.03,39.3,291598.0
2021-02-23,38.02,40.18,37.5,39.84,396976.0
2021-02-22,37.49,38.22,37.21,38.03,237714.0
2021-02-19,37.63,37.93,37.3,37.72,263064.0
2021-02-18,38.0,38.27,37.54,37.54,414836.0
2021-02-17,37.46,38.39,37.0,38.1,394638.0
2021-02-16,37.73,37.8488,36.92,37.63,238794.0
2021-02-12,37.71,37.99,37.3,37.75,308665.0
2021-02-11,37.8,38.05,37.44,37.88,281228.0
2021-02-10,38.44,38.86,37.46,37.7,261326.0
2021-02-09,37.64,38.14,37.47,38.14,369224.0
2021-02-08,37.55,37.76,37.2,37.48,240461.0
2021-02-05,38.0,38.07,36.97,37.56,316015.0
2021-02-04,37.32,37.87,37.32,37.81,232301.0
2021-02-03,37.35,37.41,36.33,37.2,198051.0
2021-02-02,37.48,37.81,37.11,37.59,210725.0
2021-02-01,36.62,37.455,35.86,37.43,308221.0
2021-01-29,36.43,37.42,35.96,36.54,377681.0
2021-01-28,36.68,36.91,36.04,36.4,382931.0
2021-01-27,36.75,37.6,36.21,36.56,496794.0
2021-01-26,37.21,37.69,37.07,37.21,322087.0
2021-01-25,36.28,37.22,35.84,37.01,749475.0
2021-01-22,36.06,36.7,35.95,36.38,348333.0
2021-01-21,36.58,36.63,35.81,36.13,310358.0
2021-01-20,36.27,36.94,36.25,36.66,500425.0
2021-01-19,37.24,37.26,36.28,36.46,332615.0
2021-01-15,36.21,36.89,35.95,36.86,374783.0
2021-01-14,36.49,36.7,36.12,36.51,272766.0
2021-01-13,36.46,36.92,36.26,36.45,320236.0
2021-01-12,37.09,37.2,35.77,36.31,311810.0
2021-01-11,36.99,37.285,36.15,37.06,560982.0
2021-01-08,35.96,37.49,35.66,37.22,788271.0
2021-01-07,34.24,35.53,33.81,35.53,519263.0
2021-01-06,34.36,34.86,34.07,34.28,559046.0
2021-01-05,34.44,34.68,33.79,34.14,584486.0
2021-01-04,36.18,36.4499,34.4,34.42,436187.0
2020-12-31,35.52,36.16,35.3145,36.03,296783.0
2020-12-30,35.14,35.52,34.78,35.39,330800.0
2020-12-29,35.47,35.7006,34.96,35.02,276705.0
2020-12-28,35.96,36.0,35.02,35.46,307392.0
2020-12-24,35.5,35.805,35.34,35.76,102606.0
2020-12-23,35.82,36.34,35.18,35.34,728856.0
2020-12-22,35.24,35.85,35.06,35.75,333521.0
2020-12-21,34.41,35.35,34.06,35.29,210205.0
2020-12-18,35.47,35.57,34.89,34.96,918803.0
2020-12-17,35.0,35.6,34.735,35.49,244919.0
2020-12-16,35.05,35.4,34.42,34.74,361897.0
2020-12-15,34.17,34.91,33.71,34.89,317991.0
2020-12-14,34.24,34.92,33.82,34.05,433585.0
2020-12-11,33.82,34.46,33.75,34.32,265688.0
2020-12-10,33.73,34.21,33.73,34.01,374100.0
2020-12-09,33.96,34.37,33.57,33.95,279374.0
