date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,12.65,12.65,11.7927,12.1717,11615.0
2021-03-16,13.59,13.59,12.45,12.61,8638.0
2021-03-15,13.5,13.9,13.1,13.39,23703.0
2021-03-12,11.9,13.66,11.9,12.98,40577.0
2021-03-11,11.93,12.075,11.814,11.9,5443.0
2021-03-10,12.21,12.2217,11.7201,12.19,3440.0
2021-03-09,12.479,12.479,11.76,12.41,4194.0
2021-03-08,12.06,12.49,11.7966,12.39,19026.0
2021-03-05,11.9805,11.9805,11.31,11.7007,10501.0
2021-03-04,11.31,11.7,11.2,11.56,18583.0
2021-03-03,12.1,12.1,11.3027,11.7,10613.0
2021-03-02,11.82,11.99,11.75,11.8,6165.0
2021-03-01,12.099,12.099,11.5,11.915,11242.0
2021-02-26,11.4662,11.9,11.25,11.82,10724.0
2021-02-25,12.21,12.8727,12.0,12.2,4979.0
2021-02-24,11.37,12.7,11.37,12.2,9418.0
2021-02-23,11.91,12.25,11.47,11.5967,21015.0
2021-02-22,13.0604,13.0604,11.81,12.2,10870.0
2021-02-19,11.5393,12.99,11.5393,12.51,10561.0
2021-02-18,12.5,12.916,11.69,12.1075,5165.0
2021-02-17,12.32,13.01,12.26,12.56,4884.0
2021-02-16,13.2,13.5,12.5389,13.088,10203.0
2021-02-12,12.3,13.25,12.2277,13.2,13297.0
2021-02-11,12.72,13.25,11.25,12.44,64523.0
2021-02-10,12.5001,13.25,12.5001,12.8,18485.0
2021-02-09,12.54,13.52,12.5,13.25,20075.0
2021-02-08,13.49,13.8,12.9,12.9,24695.0
2021-02-05,12.25,13.4999,12.25,13.39,50704.0
2021-02-04,11.5,12.14,11.5,12.14,22272.0
2021-02-03,11.2,11.6401,11.15,11.495,30008.0
2021-02-02,10.75,11.35,10.75,11.2,16979.0
2021-02-01,10.77,11.4864,10.77,11.4864,12733.0
2021-01-29,11.44,12.0,11.06,11.25,5138.0
2021-01-28,11.75,11.7739,11.08,11.27,10268.0
2021-01-27,11.12,11.87,10.84,11.35,15469.0
2021-01-26,11.88,12.341,10.8,11.26,51467.0
2021-01-25,11.84,12.33,11.3,11.75,23323.0
2021-01-22,12.3,12.34,11.5,11.97,50644.0
2021-01-21,11.5,12.23,11.0,12.23,27652.0
2021-01-20,11.8,12.1644,11.21,11.4425,34793.0
2021-01-19,12.4,12.4,11.74,12.0,29402.0
2021-01-15,12.9,12.9,12.03,12.45,6012.0
2021-01-14,13.8393,13.99,12.76,12.8,42674.0
2021-01-13,12.43,13.3,12.43,13.29,11097.0
2021-01-12,12.37,13.5,11.77,12.54,34942.0
2021-01-11,13.0,15.11,12.07,12.7,224844.0
2021-01-08,13.4,13.4,12.89,13.0,14606.0
2021-01-07,12.5,13.4,11.9233,13.4,58743.0
2021-01-06,12.2,12.335,12.02,12.24,16543.0
2021-01-05,11.3,12.16,11.3,12.08,10246.0
2021-01-04,12.48,12.51,11.08,11.45,28498.0
