date,1. open,2. high,3. low,4. close,5. volume
2021-02-05,15.0,15.1,14.98,15.1,37590.0
2021-02-04,15.05,15.09,14.97,14.98,41387.0
2021-02-03,15.1,15.15,15.07,15.07,18850.0
2021-02-02,15.06,15.1499,15.05,15.07,31530.0
2021-02-01,15.12,15.14,14.99,15.11,50099.0
2021-01-29,15.133,15.133,15.05,15.08,40625.0
2021-01-28,15.13,15.18,15.07,15.08,77525.0
2021-01-27,15.03,15.1,15.03,15.07,21794.0
2021-01-26,15.04,15.09,15.02,15.07,37722.0
2021-01-25,15.02,15.07,14.96,15.05,47879.0
2021-01-22,14.93,15.0214,14.93,15.02,44254.0
2021-01-21,14.9,15.0,14.9,14.97,42983.0
2021-01-20,14.87,14.95,14.85,14.93,101632.0
2021-01-19,14.75,14.9,14.75,14.88,181042.0
2021-01-15,14.63,14.66,14.61,14.65,17573.0
2021-01-14,14.61,14.645,14.6,14.64,14927.0
2021-01-13,14.64,14.699,14.6135,14.68,14846.0
2021-01-12,14.5,14.62,14.5,14.62,49259.0
2021-01-11,14.55,14.6,14.53,14.59,69145.0
2021-01-08,14.65,14.65,14.55,14.57,40296.0
2021-01-07,14.68,14.68,14.57,14.59,22044.0
2021-01-06,14.66,14.66,14.6,14.61,39212.0
2021-01-05,14.67,14.691,14.65,14.67,10856.0
2021-01-04,14.79,14.79,14.62,14.69,62529.0
2020-12-31,14.75,14.7622,14.7,14.76,37701.0
2020-12-30,14.65,14.71,14.6,14.66,33648.0
2020-12-29,14.63,14.63,14.56,14.59,113478.0
2020-12-28,14.52,14.623,14.52,14.58,34005.0
2020-12-24,14.62,14.62,14.57,14.6,22437.0
2020-12-23,14.55,14.73,14.5201,14.595,32324.0
2020-12-22,14.53,14.56,14.5171,14.56,38849.0
2020-12-21,14.59,14.61,14.51,14.55,34768.0
2020-12-18,14.48,14.61,14.46,14.57,46733.0
2020-12-17,14.648,14.6642,14.47,14.52,37417.0
2020-12-16,14.73,14.73,14.6245,14.66,38714.0
2020-12-15,14.65,14.78,14.63,14.71,43203.0
2020-12-14,14.68,14.7341,14.68,14.7,23843.0
2020-12-11,14.75,14.7986,14.73,14.75,47551.0
2020-12-10,14.78,14.78,14.7247,14.74,86783.0
2020-12-09,14.74,14.81,14.71,14.76,48033.0
2020-12-08,14.66,14.79,14.66,14.74,53609.0
2020-12-07,14.71,14.75,14.68,14.73,12897.0
2020-12-04,14.63,14.76,14.63,14.7,20863.0
2020-12-03,14.61,14.71,14.58,14.69,44749.0
2020-12-02,14.6,14.62,14.57,14.58,82737.0
2020-12-01,14.63,14.67,14.6,14.63,45894.0
2020-11-30,14.6,14.615,14.58,14.6,30463.0
2020-11-27,14.56,14.65,14.56,14.61,30071.0
2020-11-25,14.48,14.6,14.48,14.52,54445.0
2020-11-24,14.4333,14.52,14.4333,14.49,42434.0
2020-11-23,14.45,14.45,14.28,14.42,112802.0
2020-11-20,14.39,14.41,14.365,14.38,20733.0
2020-11-19,14.3,14.39,14.3,14.38,31068.0
2020-11-18,14.26,14.337,14.26,14.3,43287.0
2020-11-17,14.27,14.31,14.26,14.26,49893.0
2020-11-16,14.17,14.27,14.17,14.26,52004.0
2020-11-13,14.19,14.24,14.16,14.24,103619.0
2020-11-12,14.19,14.21,14.1656,14.18,106645.0
2020-11-11,14.24,14.2452,14.22,14.23,39677.0
2020-11-10,14.17,14.27,14.15,14.25,33350.0
2020-11-09,14.38,14.38,14.23,14.23,17707.0
2020-11-06,14.25,14.26,14.17,14.25,78040.0
2020-11-05,14.15,14.29,14.15,14.26,205449.0
2020-11-04,14.17,14.22,14.14,14.2,29902.0
2020-11-03,14.18,14.18,14.03,14.07,47657.0
2020-11-02,14.18,14.21,14.07,14.11,72922.0
2020-10-30,14.04,14.14,14.04,14.1,35744.0
2020-10-29,14.17,14.185,14.1,14.1,14395.0
2020-10-28,14.15,14.17,14.09,14.13,35371.0
2020-10-27,14.17,14.2,14.13,14.175,32763.0
2020-10-26,14.19,14.209,14.14,14.18,30253.0
2020-10-23,14.24,14.25,14.19,14.25,19260.0
2020-10-22,14.12,14.29,14.12,14.25,114862.0
2020-10-21,14.33,14.33,14.15,14.23,12321.0
2020-10-20,14.17,14.28,14.17,14.28,29378.0
2020-10-19,14.25,14.25,14.17,14.24,25245.0
2020-10-16,14.19,14.25,14.17,14.22,36949.0
2020-10-15,14.43,14.43,14.17,14.19,19615.0
2020-10-14,14.78,14.78,14.14,14.17,83662.0
2020-10-13,14.24,14.29,14.22,14.29,10174.0
2020-10-12,14.2,14.27,14.17,14.18,107336.0
2020-10-09,14.21,14.25,14.18,14.2,48094.0
2020-10-08,14.17,14.22,14.15,14.2,62483.0
2020-10-07,14.2,14.23,14.19,14.21,34116.0
2020-10-06,14.17,14.23,14.17,14.22,29993.0
2020-10-05,14.27,14.285,14.16,14.21,55634.0
2020-10-02,14.07,14.27,14.07,14.27,21734.0
2020-10-01,14.31,14.31,14.17,14.19,22496.0
2020-09-30,14.24,14.24,14.13,14.18,33999.0
2020-09-29,14.17,14.2211,14.14,14.1825,20755.0
2020-09-28,14.17,14.25,14.17,14.19,30904.0
2020-09-25,14.14,14.17,14.11,14.17,27779.0
